Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
77 Degree Resort,BRERAP12755_001/56/R-1702/2024,DURGA URBAN AND LEASING LLP,,07 Jun 2024
A M PINNACLE,BRERAP00427-9/155/R-1663/2024,R.D.ECO DEVELOPERS PVT. LTD.,,04 Apr 2024
A ONE HERITAGE,BRERAP00923-1/607/R-783/2019,A ONE BUILDERS DEVELOPERS,"NOSHA, PHULWARI SHARIF, Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -437",17 Oct 2019
A ONE SHAMSI ENCLAVE,BRERAP00915-1/608/R-602/2019,A ONE CONSTRUCTION,"MAUZA-PHUWARI SHARIF DIST- PATNA, Block- Patna Sadar Mauja - रानीपुर District - PatnaPlot No -KHATA NO-1467,1008 SURVEY PLOT NO-39,34,3871",25 Apr 2019
A ONE SHELTER,BRERAP00915-1/608/R-602/2019,A ONE CONSTRUCTION,"NOSHA, PHULWARI SHARIF, Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -746",25 Apr 2019
A.A.N TOWER,BRERAP00824-1/812/R-564/2019,AKASH NAV NIRMAN PRIVATE LIMITED,"KHANJARPUR, Block- Jagdishpur Sadar Mauja - Khanjarpur Diyara District - BhagalpurPlot No -1322 KA, KHA, GA - PART",05 Apr 2019
A.D. COMPLEX,BRERAP00558-2/801/R-584/2019,SN INFRACON PRIVATE LIMITED,"KALER, MM MEDICAL COLLEGE, Block- Sadar Gaya Mauja - चन्‍दौती District - GayaPlot No -325",11 Apr 2019
A.R GREEN CITY,BRERAP14746-5/100/R-1767/2024,PARI CONSTRUCTION AND DEVELOPER,,09 Oct 2024
A.R TOWER,BRERAP00559-1/397/R-466/2019,PARMANAND SINGH,"RANI TALAB, SABOUR ROAD, NH-80, Block- Sabour Mauja - फतेहपुर District - BhagalpurPlot No -235",27 Feb 2019
A.S TOWER,BRERAP81137-002/61/R-1577/2023,MITTAL INFRASPACES,,13 Jun 2023
AADHUNIKA TOWER,BRERAP00927-1/656/R-283/2018,ARIN REAL ESTATE Pvt. Ltd.,"GANNIPUR, Block- Musahari Mauja - गन्नीपुर District - MuzaffarpurPlot No -757(KA,KHA, GA)",10 Dec 2018
Aadhvik Ashok Enclave,BRERAP54235-1/17/R-1304/2022,Aadhvik Developers,"Thana No.- 36, Tauzi No.- 5241, Khata No.-24, Survey Plot No.- 916, Mauza- Mustaffapur, Thana- Danapur, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -Survey Plot No.- 916",15 Mar 2022
Aadhvik Bimla Enclave,BRERAP20338-1/971/R-707/2019,Aadhvik Housing Pvt Ltd,"Khata No. 10,11 Thana No. 24, 35, Mauza Manipura, Babakkarpur, Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -26, 769",09 Aug 2019
Aadhvik Ramvilas Apartment,BRERAP12546-001/189/R-1689/2024,AADHVIK HOMES,,10 May 2024
AADYA HEIGHTS,BRERAP00340-3/420/R-299/2018,YASH RAJ BUILDERS & PROMOTERS PVT LTD,"ASHIANA ROAD, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -1150,1151",14 Dec 2018
AAKANSHA HEIGHTS,BRERAP15309-1/R-1305/2022,SANJAY KUMAR,,17 Mar 2022
AAKARSHAN ENCLAVE,BRERAP14728-1/885/R-659/2019,APNA SAPNA CONSTRUCTION AND DEVELOPER  PVT.LTD,"ASHIYANA-DIGHA ROAD,FRIENDS COLONY MAIN ROAD,NEAR GANPATI MARRIAGE HALL, PATNA 25, Block- Patna Sadar Mauja - सलेमपुर (डुमरा) District - PatnaPlot No -25,50",12 Jun 2019
AAKRITI'S THE MANGO GROVES,BRERAP00358-1/373/R-225/2018,AAKRITI BUILDCON PVT  LTD,"PANCHWATI COLONY,ROAD NO. 23,RAJIV NAGAR -DIGHA ROAD , Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -3687P,3688P,3689P,3690P&3691P",29 Oct 2018
AAKRITI'S THE NEST,BRERAP00358-2/372/R-149/2018,AAKRITI BUILDCON PVT  LTD,"ABHIMANYUNAGAR,RUPASPUR-KHAGAUL CANAL ROAD,OFF BAILEY ROAD,JALALPUR,PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -349P,356P",29 Aug 2018
AANGAN ENCLAVE,BRERAP70952-1/896/R-689/2019,AANGAN REALTORS PRIVATE LIMITED,,15 Jul 2019
Aaniket Pramila Palace,BRERAP00797-1/582/R-239/2018,Aaniket Homes Private Limited,"Mauza Sheikhpura, Shastri Nagar, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -319, 320",01 Nov 2018
AARINI LOTUS,BRERAP00671-2/1216/R-1029/2020,AARINI DEVELOPERS PVT LTD,"RAMJAIPAL NAGAR, BEHIND CORPORATION BANK, GOLA ROAD, DANAPUR, PATNA , Block- Danapur Mauja - धनौत District - PatnaPlot No -129, 145    P",03 Jan 2022
AAROHI CITY,BRERAP00312-3/129/R-1776/2024,AAROHI HOMES PRIVATE LIMITED,"MAUZA - SIKANDARPUR, MITHILA COLONY SE DAKSHIN CHAWAR
OPP. PATLIPUTRA RAILWAY STATION, DIGHA DANAPUR NAHAR LINK ROAD, Danapur , Patna., Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -562,563, 561, 564, 559, 560, 140",30 Oct 2024
AAROHI CITY,94/2023/75,AAROHI HOMES PRIVATE LIMITED,,
