Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/364/96/2019/58 DATED 24.09.2019,MANOR ONE,KASHISH DEVELOPERS LIMITED,"SEC-111, DWARKA EXPRESSWAY,GU
RUGRAM-122017",GURUGRAM,254,391,84,30,38,20,275,22.5,20,8,66.82,125,28,250,14.843 (Acre),31-07-2020,0,ITALIAN MARBLE/ENGINEERED WOOD,"DESIGNER MODULAR KITCHEN, FULLY FITTED WITH PREMIUM BRAD HOB,CHIMNEY, GRANITE CORNER TOP,STAINLESS STEEL SINK IMPORTED CP FITTINGS. ENCLOSURE EXHAUT FAN VENTED TO EXTERIOR. WATER PURIFIER/RO & GEYSER","ALL DOORS 8 FT HIGH, FLUSH SHUTTERS WITH POLISHED WOOD VENEER AND SOLID WOOD DOOR FRAME","PREMIUM MODULAR SWITCHES AND SOCKETS,",NA,"PREMIUM MODULAR SWITCHES AND SOCKETS,",POP PUNNING WITH EMULSION PAINT
GGM/290/2018/22 DATED 23.10.2018,ASHIANA MULBERRY,ASHIANA DWELLINGS PVT LTD,"SECTOR-2, SOHNA, GURUGRAM",GURUGRAM,20,20,20,40,20,0,5,20,300,30,0,0,0,101,2.81 (Acre),30-06-2023,7,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES
GGM/301/2018/33 DATED 07.12.2018,GODREJ AIR PHASE-II,GODREJ DEVELOPERS & PROPERTIES LLP,SECTOR-85,GURUGRAM,150,33,24,103,22,20,64,28,224,0,5,0,0,0,1.727 (Acre),Not available,Not available,"VITRIFIED TILES IN LIVING/DINING, WOODEN FLOORING IN BEDROOMS, ANTI SKID TILES IN TOILETS, KITCHEN, BALCONY & UTILITY OR EQUIVALENT",COUNTER WITH SINK AND CP FITTINGS OR EQUIVALENT,"TEAK FRAME IN MAIN DOOR, RED MERANTI IN INTERNAL DOORS, ALUMINUM FRAME WITH GLASS FOR WINDOWS & SLIDING DOOR WINDOWS OR EQUIVALENT",ONLY SWITCHES,YES,ONLY SWITCH,N/A
GGM/309/41/2019/03 DATED 16.01.2019,PYRAMID ELITE,PYRAMID INFRATECH PVT. LTD.,"SECTOR- 86, MANESAR, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6125 (Acre),Not available,Not available,TILES/IPS,"WALL- OBD/COLOR WASH, 2 FT TILE ON KITCHEN COUNTER, ADN TILE/ STONE ON KITCHEN COUNTER",HARDWOOD/ MS Z-SECTION/ FIBER/ COMPOSITE/ ALUMINUM/ FRAME WINDOWS ETC.,ISI MARK,2 LIFTS AS PER SANCTIONED PLAN.,STANDARD,OBD / COLOR WASH
GGM/412/144/2020/28 DATED 28.09.2020,URBAN HOMES-II EXTENSION,PYRAMID INFRATECH PRIVATE LIMITED,"VILLAGE BADHA, SECTOR-86",GURUGRAM,53.14,57,20.91,0,58.67,5.76,0,1.61,0,0,0,0,0,0,1.5 (Acre),Not available,Not available,I PS FLOORING,STONE COUNTER WITH TILE,EXTERNAL D/W M S- Z SECTION,AS PER STANDARD,AS PER STANDARD,AS PER STANDARD,NA
GGM/383/115/2019/77 DATED 31.12.2019,SIGNATUREGLOBAL PROXIMA 1,SIGNATUREGLOBAL (INDIA) PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM, HARYANA",GURUGRAM,124.74,156.02,56.81,0,165.13,15.35,0,14.65,0,0,0,0,0,182.28,5.00 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/363/95/2019/57 DATED 03.10.2019,ASHIANA ANMOL PLAZA PHASE I,ASHIANA HOUSING LIMITED,"REVENUE VILLAGE DHUNELA , SEC
TOR 33 , TEHSIL SHONA",GURUGRAM,113000,43000,85000,893000,153000,21000,408000,0,0,0,0,0,0,910000,0.339 (Acre),Not available,Not available,THE FLOORING IS CERAMIC IN ENTIRE UNIT,"FLOORING - CERAMIC DADO - CERAMIC KITCHEN COUNTER - KOTA STONE OR EQUIVALENT SS SINK-16''*16'''', S.S. SINGLE BOWL",DOOR FRAME- MS PRESSED STEEL WINDOW FRAME- ALUMINIUM ANODIZED OR POWDER COATED FRAME WITH FLOAT GLASS,"PIANO TYPE ISI APPROVED, SSK OR EQUIVALENT",JOHNSON LIFT,SAME AS ABOVE,OIL BOUND DISTEMPER
GGM/490/222/2021/58 DATED 14.09.2021,ANANT RAJ ESTATE,ANANT RAJ LIMITED,"63 A VILLAGE KADARPUR AND ULL
AHAWAS",GURUGRAM,60,30,30,95,20,20,12,12,4,0,4,0,0,0,2.08125 (Acre),Not available,Not available,PLOTTED COLONY,NA,NA,NA,NA,NA,NA
GGM/657/389/2023/01 DATED 02.01.2023,INDEPENDENT FLOORS AT DLF GARDENCITY ENCLAVE PHASE 2,DLF LIMITED,SECTOR 93,GURUGRAM,319,156,151,547,209,65,82,690,0,0,0,0,0,0,20277 (Sqr/mtrs),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,WOODEN FRAMES FOR DOORS UPVC/AL/MS FRAMES FOR WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,WHITE WASH / OBD
GGM/716/448/2023/60 DATED 08.05.2023,EMERALD HILLS - PHASE 2,EMAAR INDIA LIMITED,"VILLAGE BADSHAHPUR, MAIDAWAS,
NANGLI UMARPUR, SECTOR - 62 & 65, GURUGRAM",GURUGRAM,1611.74,366.26,811.8,563.68,0,0,29,275.26,0,0,0,0,0,0,50.61 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
