Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
R217045,UPRERAPRJ809,OMAXE LIMITED,Residential,"GH-1 (GRAND OMAXE), PHASE - 1, AT OMAXE INTEGRATED",Uttar Pradesh,Lucknow,27-07-2017,31-07-2023,Lucknow,8623,26.810941,80.997935,PRAKASH KUMAR
#N/A,UPRERAPRJ463811,"PARAMPARA BUILDERS PVT LTD
KUNTI DEVI JAIN
MANISH KUMAR JAIN
NAVEEN KUMAR JAIN
PRAVEEN KUMAR JAIN",Mixed,PARAMPARA ELITE,Uttar Pradesh,Moradabad,19-09-2022,1/1/2023,Moradabad,55257,28.81608,78.7018,PARAG AGARWAL
R922,UPRERAPRJ17551,SUPERTECH ORB PROJECT PRIVATE LIMITED,Residential,SUPERTECH CAPETOWN (PHASE-V),Uttar Pradesh,Gautam Buddha Nagar,19-09-2018,30-09-2024,Gautam Buddha Nagar,10541,28.573404,77.387714,Space Designers International
#N/A,UPRERAPRJ852,"SUPER CITY DEVELOPERS PVT LTD
AVINYA REALTECH INDIA PVT LIMITED-MILAN GROUP",Residential,MAYFAIR RESIDENCY,Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-12-2018,Gautam Buddha Nagar,24000,31.6504,73.919,DEEPAK MEHTA & ASSOCIATES
#N/A,UPRERAPRJ11478,MAHADEV BUILDERS AND DEVELOPERS,Residential,SHRI MAHADEV VILLA,Uttar Pradesh,Varanasi,15-08-2017,31-12-2021,Varanasi,638,25.3,82.98,SANJEEV KUMAR GUPTA
R230607,UPRERAPRJ1350,OMAXE LIMITED,Residential,OMAXE HEIGHT-II PHASE-1 (THE PALACE),Uttar Pradesh,Lucknow,27-07-2017,31-12-2022,Lucknow,6816,26.806774,81.005767,PRAKASH KUMAR 
#N/A,UPRERAPRJ964895,"TRINITY RENAISSANCE CONSTRUCTION
MOHAMMAD KHALID UMER FAROOQUI
TRINITY RENAISSANCE CONSTRUCTION",Commercial,ONEX,Uttar Pradesh,Lucknow,24-06-2019,21-05-2020,Lucknow,2659,26.775018,80.948758,MOHD. SABAHAT
R1160,UPRERAPRJ4968,SUPERTECH LIMITED,Residential,SUPERTECH ECO VILLAGE-II (PHASE-IV),Uttar Pradesh,Gautam Buddha Nagar,10/8/2017,30-12-2022,Gautam Buddha Nagar,9671,28.610574,77.442808,
#N/A,UPRERAPRJ569177,NIRALA HOUSING PRIVATE LIMITED,Commercial,ASPIRE PLAZA,Uttar Pradesh,Gautam Buddha Nagar,26-06-2020,31-03-2024,Gautam Buddha Nagar,3837,27.66434043,78.14738738,Ar. Ashish Bhatnagar
#N/A,UPRERAPRJ7272,R. R. DWELLINGS PVT LTD,Residential,CELEBRITY GARDENS BLOCK D,Uttar Pradesh,Lucknow,31-07-2017,20-07-2015,Lucknow,2976,26.783349 N,26.782510 N,Viresh Kumar
#N/A,UPRERAPRJ7326,R. R. DWELLINGS PVT LTD,Residential,CELEBRITY GARDENS BLOCK E,Uttar Pradesh,Lucknow,31-07-2017,20-07-2015,Lucknow,546,26.783349 N,26.782510 N,Viresh Kumar
R217985,UPRERAPRJ6682,RISHITA DEVELOPERS PRIVATE LIMITED,Residential,RISHITA MANHATTAN (PHASE-I),Uttar Pradesh,Lucknow,4/8/2017,31-12-2022,Lucknow,40198,26.813128,80.996458,DESIGN FORUM INTERNATIONAL
#N/A,UPRERAPRJ7139,R. R. DWELLINGS PVT LTD,Residential,CELEBRITY GARDENS BLOCK B,Uttar Pradesh,Lucknow,31-07-2017,31-03-2018,Lucknow,546,26.783349 N,26.782510 N,Viresh Kumar
R34314,UPRERAPRJ3330,MAHAGUN (INDIA) PVT. LTD.,Residential,MAHAGUN MYWOODS,Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,30-06-2021,Gautam Buddha Nagar,145738,28 37 20.41 N,77 25 30.09 E,GIAN.P.MATHUR
#N/A,UPRERAPRJ341534,"RISE PROJECTS PVT LTD
EUPHORIA SPORTS CITY PRIVATE LIMITED",Commercial,"RISE SQUARE - PALM STREET, MADISON SQUARE, BROADWAY STREET",Uttar Pradesh,Gautam Buddha Nagar,2/5/2019,31-07-2022,Gautam Buddha Nagar,15600,28.57496534,77.42708837,Mr. RACHIT SHARMA
#N/A,UPRERAPRJ8337,SUPERTECH LIMITED,Residential,SUPERTECH ECO VILLAGE-II PHASE I-C,Uttar Pradesh,Gautam Buddha Nagar,9/8/2017,30-12-2017,Gautam Buddha Nagar,31268,28.610574,77.442808,Space Designer International
R8874,UPRERAPRJ5854,SUPERTECH TOWNSHIP PROJECT LIMITED,Residential,SUPERTECH GOLF COUNTRY (PHASE-II),Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,30-03-2019,Gautam Buddha Nagar,41793,28.300814,77.543903,Space Designer International
R599,UPRERAPRJ3894,JAYPEE INFRATECH LIMITED,Residential,"JAYPEE GREENS KOSMOS - C, NOIDA",Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,31-12-2018,Gautam Buddha Nagar,23018,28^ 30' 42'',77^ 23' 02'',M/s ARCOP ASSOCIATES PVT. LTD
R921,UPRERAPRJ4243,LOGIX INFRATECH PRIVATE LIMITED,Residential,"BLOSSOM GREENS ( PHASE- 4 TOWERS - E , F & G)",Uttar Pradesh,Gautam Buddha Nagar,3/8/2017,1/10/2021,Gautam Buddha Nagar,16480,77.3273 E,28.5874 N,
R5996,UPRERAPRJ10246,IITL-NIMBUS THE EXPRESS PARK VIEW,Residential,"IITL NIMBUS THE EXPRESS PARK VIEW (TOWER I1, J1, K1)",Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-03-2019,Gautam Buddha Nagar,18785,28.430578,77.504507,M/S. GYAN P MATHUR & ASSOCIATES PRIVATE LIMITED
