Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
1,RAJVI STATUS,VRAJ DEVELOPERS,"SURVEY NO. 15/3, TP NO. 111, OPP. SHRIDHAR FLORA SARDAR PATEL RING ROAD, NIKOL Ahmedabad 382350",Mixed Development,shilpshaily27@gmail.com,9687525252,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00720/151117,Ahmedabad,15-11-2017
2,Nirman Life Style,Aum Construction,"Nirman Life Style, Nr. IOC Depot, Chenpur-Jagatpur Road, Chenpur, Ahmedabad 382470",Mixed Development,pjshah07@gmail.com,9979855701,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01595/090218,Ahmedabad,09-02-2018
3,Classic Heights,CLASSIC BUILD PROJECTS PRIVATE LIMITED,"Classic platinum,vishala circle,next to apmc market vasna sarkhej road Ahmedabad 380055",Mixed Development,classicbuild25@gmail.com,9825097453,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03166/170718,Ahmedabad,17-07-2018
4,SWAMINARAYAN PARK 1 NAROL,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02425/200418,Ahmedabad,20-04-2018
5,SHREE RAM RESIDENCY,SHRI NIRANJAN CORPORATION,OPP.NILKANTH MAHADEV NR.SHARDAR CHOWK.KRISHNANAGAR Ahmedabad 382346,Mixed Development,shreeramresidency3239@gmail.com,7600093239,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01483/010218,Ahmedabad,01-02-2018
6,ADITYA OASIS,J P Developers,"Nr. Indira Nagar, Lambha Village, nr. Lambha Lake Ahmedabad 382405",Mixed Development,adityaoasis@gmail.com,9712997759,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01207/040118,Ahmedabad,04-01-2018
7,"Takshashila Eco Green & Gallaria Mall, Phase-1",Takshashila Realties Pvt Ltd,"Ground Floor, Block-A, Manav Mandir Flat, Old Aradhana Vidhyalay Cross Road Maninagar,Ahmedabad Ahmedabad 380008",Mixed Development,hmparikh@takshashilarealties.com,8140559197,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03338/300818,Ahmedabad,30-08-2018
8,RADHE RESIDENCY,VINAYAK DEVELOPERS,RADHE RESIDENCY CHILODA ROAD Ahmedabad 382355,Mixed Development,vinayakdevelopers2007@yahoo.co.in,9825324321,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01250/080118,Ahmedabad,08-01-2018
9,"Prakruti Residency (Block no. C+D, E+F and G)",Yamuna Corporation,"Prakruti Residency, Near Shreenath Bungalows, Mahadevnagar Tekra, Vastral Road, Ahmedabad-382418 Ahmedabad 382418",Mixed Development,pushkarhill9207@gmail.com,9879619207,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA01813/010318,Ahmedabad,01-03-2018
10,SWAMINARAYAN PARK NARODA,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02096/210318,Ahmedabad,21-03-2018
11,TULSI RESIDENCY,SHAKTI CORPORATION,"TULSI RESIDENCY, NEAR SARAL PARIVESH IOC TO RING ROAD ,100 FEET ROAD, NEW CHANDKHEDA Ahmedabad 382424",Mixed Development,khushirutul1@yahoo.co.in,9824777966,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00122/110917,Ahmedabad,11-09-2017
