Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
1,SHREE BALAJI TEXTILE MARKET,VIJAY ENTERPRIZE,"4/2152-53 & 2190, KAGJI NI CHAWL, SAHARA DARWAJA, RING ROAD, SURAT Surat 395007",Commercial,hjpamnani@gmail.com,9825744795,PR/GJ/SURAT/SURAT CITY/SUDA/CAA06942/220420,Surat,22-04-2020
2,ISHWAR PLAZA,NITIN,"102, OSCAR APPARTMENT B/H SWEET HOME, GHOD DOD ROAD Surat 395001",Commercial,ca.jigarchoksi@yahoo.com,9824090273,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02740/EX1/210819,Surat,30-05-2018
3,TEJENDRA ARCADE,SHYAM REALTIES,"6, SHIVANAND SOC. OPP. VIJAY NAGAR SCHOOL, VIJAYNAGAR Ahmedabad 380013",Commercial,tejendraarcade@gmail.com,7016150640,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02267/050418,Ahmedabad,05-04-2018
4,SWASTIK UNIVERSAL,VIBHUTI ORGANISERS PVT LTD,"FP 10/11, RS NO. 15/1/A,9/2 SWASTIK UNIVERSAL, NR VALENTINE CINEMA, PIPLOD Surat 395007",Commercial,vibhutiorganiserspltd@gmail.com,9825136100,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02050/EX1/210120,Surat,17-03-2018
5,RAJ SANSKRUTI,PRATISH KAKKAD,"FLAT NO. 107 B, SHIV SANSKRUTI APP. CHHAYA NARSANG TEKARI, PORBANDAR Porbandar 360575",Commercial,himanshu.sodhajgd@gmail.com,9033628906,PR/GJ/JAMNAGAR/JAMNAGAR/Others/CAA06465/131219,Jamnagar,13-12-2019
6,Sunrise Heights,Sun Associates,"Sunrise heights, B\H Sun Pharma Sunpharma Road Vadodara 390012",Commercial,sunriseheights25@gmail.com,9825117545,PR/GJ/VADODARA/VADODARA/Others/CAA01902/070318,Vadodara,07-03-2018
7,SIDDHESHWAR ARCADE,SHIVALAY CORPORATION,"23, ITIHAS RESIDENCY, NIKOL. Ahmedabad 382350",Commercial,shivalaycorporation1718@gmail.com,7874890908,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA00973/111217,Gandhinagar,11-12-2017
8,Joyos Hubtown Adajan,HUBTOWN BUS TERMINAL (ADAJAN) PRIVATE LIMITED,"ADAJAN BUS DEPOT,NEAR SHITAL POLICE CHAUWKI ADAJAN PATIA, SURAT Surat 395009",Commercial,rera.adajan@hubtown.co.in,9870986079,PR/GJ/SURAT/SURAT CITY/SUDA/MAA03608/EX1/A1C/121122,Surat,06-10-2018
9,Joyos Hubtown Vadodara,HUBTOWN BUS TERMINAL (VADODARA) PRIVATE LIMITED,"MAKARPURA BUS DEPOT, NEAR.G.I.D.C, OPP.TOYOTO SHOW ROOM,, MAKARPURA MAIN ROAD Vadodara 390010",Commercial,rera.vadodara@hubtown.co.in,9870986079,PR/GJ/VADODARA/VADODARA/Others/CAA03607/EX1/100522,Vadodara,06-10-2018
10,Joyos Hubtown Mehsana,HUBTOWN BUS TERMINAL (MEHSANA) PRIVATE LIMITED,"GSRTC QUARTERS CLASS-II,BLOCK NO.2,GROUND FLOOR,BEHIND VIBHAGIYA KACHERI, MODHERA CROSSING,MEHSANA,GUJARAT-38002 Ahmedabad 380002",Commercial,rera.mehsana@hubtown.co.in,9870986079,PR/GJ/MEHSANA/MAHESANA/Others/CAA03610/EX1/040522,Mehsana,06-10-2018
