Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/VADODARA/VAGHODIA/Others/RAA07857/040121,ULTIMA PEARL,"33,023","12,763","BLOCK NO 68, FP-112, B/H. HIMALAYA PARTY PLOT, Vaghodia, Vadodara, Gujarat,",20/10/2025,Residential/Group Housing,103,1,ULTIMA PEARL,PARTNERSHIP FIRM,31,28,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VAGHODIA/Others/MAA09585/271221,SHIVALIK GRACE,"3,095","1,719.88","SHIVALIK GRACE, OPP. SOLARIS 2, Vaghodia, Vadodara, Gujarat,",31/03/2026,Mixed Development,114,4,SHIVALIK HOME REALITIES,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,SATYAMEV LUXOR,"5,828","2,544.15","SATYAMEV LUXOR, BESIDE SHIVALIK SATYAMEV, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,152,1,SATYAMEV LUXOR,PARTNERSHIP FIRM,27,15,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,SATYAMEV LUXOR,"5,828","2,544.15","SATYAMEV LUXOR, BESIDE SHIVALIK SATYAMEV, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,152,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,SATYAMEV LUXOR,"5,828","2,544.15","SATYAMEV LUXOR, BESIDE SHIVALIK SATYAMEV, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,152,1,SATYAMEV LUXOR,PARTNERSHIP FIRM,27,15,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
