Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/VALSAD/PARDI/Others/RAA10021/130422,Vivan,"11,157","7,191.93","Revenue Survey No. : 1647 (Old Survey No. 213/1/p4), Pardi, Valsad, Gujarat,",30/06/2026,Residential/Group Housing,470,5,VIVAN ENTERPRISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VALSAD/PARDI/Others/RAA09562/261221,Pramukh Aristo,"4,989","3,091.95","Survey No. 1604 (Old Survey No. 162/1), Pardi, Valsad, Gujarat,",31/12/2026,Residential/Group Housing,80,2,RAJ DEVELOPERS,PARTNERSHIP FIRM,8,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VALSAD/PARDI/Others/RAA08345/A1R/190623,Pramukh Vedanta,"23,885","15,659.76","Survey No. 1702 (Old Survey No. 268/2/3/4), Muktanand Marg,, Pardi, Valsad, Gujarat,",31/12/2027,Residential/Group Housing,328,0,,,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VALSAD/PARDI/Others/MAA11400/060323,M M Lake City,"21,408","15,575.88","Survey No. 3663, Silvassa Vapi Road, Pardi, Valsad, Gujarat,",31/12/2028,Mixed Development,91,15,M M LAKE CITY DEVELOPERS,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VAGHODIA/Others/RAA11052/171222,SHANGRI-LA IMPERIAL,"67,438","20,037.31","Shangri-La Imperial, Punit Shrey Nagar Co Op Housing Soc, Vaghodia, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,115,4,KUBER ROYAL,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VAGHODIA/Others/RAA07857/040121,ULTIMA PEARL,"33,023","12,763","BLOCK NO 68, FP-112, B/H. HIMALAYA PARTY PLOT, Vaghodia, Vadodara, Gujarat,",20/10/2025,Residential/Group Housing,103,1,ULTIMA PEARL,PARTNERSHIP FIRM,31,28,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12499/211023,AKSHAR PRIME,"22,156.8","13,429.09","BLOCK NO 401, NEXT TO DADA BHAGWAN TEMPLE, Vadodara, Vadodara, Gujarat,",31/12/2028,Residential/Group Housing,170,1,SHREE AKSHAR BUILDERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12425/121023,NARAYAN GREEN VISTAS,"5,768","4,522.59","NARAYAN GREEN VISTAS BESIDE RED CORAL BUNGALOWS, Vadodara, Vadodara, Gujarat,",31/12/2029,Residential/Group Housing,112,2,Narayan Realty Infrastructure,PARTNERSHIP FIRM,15,6,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA11391/040323,SHALIGRAM WEST,"2,692","1,931.82","Shaligram West, Nr. Stone Gate, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,48,1,KRISHNA INFRA,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA11287/020323,GOKULESH GREENS,"5,767","3,098.23","RS 262 FP 64 TP 25(ATLADARA), Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,35,1,VRAJ ENTERPRISE,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
