Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,No. of Flats/Apartments constructed,No. of Flats/ Apartments booked,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING,Document URL,OC Document Path
HRERA-PKL-SNP-588-2024,MANSHA HERITAGE,MANSHA BUILDCON PVT. LTD.,"VILLAGE KAMASHPUR SECTOR 83-8
4, SONIPAT",SONIPAT,305.42,195.45,No,314.65,255.36,0,0,124.8,0,0,0,0,0,0.41200,Not Found,Not Found,21.13125 (Acre),Not available,Not available,NOT APPLICABLE BEING PLOTTED COLONY,NOT APPLICABLE BEING PLOTTED COLONY,NOT APPLICABLE BEING PLOTTED COLONY,NOT APPLICABLE BEING PLOTTED COLONY,NOT APPLICABLE BEING PLOTTED COLONY,NOT APPLICABLE BEING PLOTTED COLONY,NOT APPLICABLE BEING PLOTTED COLONY,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTAxNQ==,oc\HRERA-PKL-SNP-588-2024-OC_uploaded.pdf
HRERA-PKL-SNP-496-2023,ELDECO AMAYA,ELDECO GREEN PARK INFRSTRUCTURE LIMITED,SONIPAT,SONIPAT,577.13,113.10,No,441.722,225.93,16.048,4.189,236.12,0,0,23.069,0,0,1.31,Not Found,Not Found,14.20625 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-SNP-348-2022,GODREJ GREEN ESTATE,OASIS LANDMARKS LLP,"SECTOR 34, SONIPAT",SONIPAT,981,459,No,1741,440,184,342,134,68,0,0,0,0,7291.38,Not Found,Not Found,48.0125 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-SNP-212-2020,"SUSHANT CITY, SONIPAT (3.4187 ACRE PLOTTED)",ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,"SECTOR -61, 62, 63",SONIPAT,53.13,19.68,No,49.20,19.68,11.81,0,23.61,0,0,0,0,0,0,Not Found,Not Found,3.4187 (Acre),Not available,Not available,NOT APPLICABLE BEING PLOTTED.,NOT APPLICABLE BEING PLOTTED.,NOT APPLICABLE BEING PLOTTED.,NOT APPLICABLE BEING PLOTTED.,NOT APPLICABLE BEING PLOTTED.,NOT APPLICABLE BEING PLOTTED.,NOT APPLICABLE BEING PLOTTED.,Not Found,Not Available
HRERA-PKL-SNP-172-2019,SUSHANT CITY ZONE-1 (20.081 ACRE),ANSAL PROPERITIES AND INFRASTRUCTURE LIMITED,VILLAGE KUNDLI,SONIPAT,243.57,231.98,No,255.17,139.19,0,0,115.99,0,0,0,0,0,1.5896,179,179,20.081 (Acre),31-08-2020,100,N.A. FOR PLOTTED PROJECT,N.A. FOR PLOTTED PROJECT,N.A. FOR PLOTTED PROJECT,N.A. FOR PLOTTED PROJECT,N.A. FOR PLOTTED PROJECT,N.A. FOR PLOTTED PROJECT,N.A. FOR PLOTTED PROJECT,Not Found,Not Available
HRERA-PKL-RWR-207-2020,OKAS ENCLAVE 2,PARDOS AFFORDABLE HOUSING PRIVATE LIMITED,VILLAGE MALPURA,REWARI,351.13,169.84,No,0,216.98,52.97,0,6.05,0,0,0,0,0,0,Not Found,Not Found,13.80625 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MzIy,oc\HRERA-PKL-RWR-207-2020-OC_uploaded.pdf
HRERA-PKL-RWR-206-2020,OKAS ENCLAVE 1,PARDOS AFFORDABLE HOUSING PRIVATE LIMITED,VILLAGE MALPURA,REWARI,355.74,188.88,No,0,246.02,51.94,0,6.07,0,0,0,0,0,0,Not Found,Not Found,13.5376 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MzIx,oc\HRERA-PKL-RWR-206-2020-OC_uploaded.pdf
HRERA-PKL-PWL-568-2024,LAVENDER GREENS,ASSOCIATE REAL ESTATE DEVELOPERS LLP,"VILLAGE ALAHAPUR AND PATLI KH
URD SECTOR 5 PALWAL",PALWAL,352.60,310,No,210,233.75,17.90,60,40,40,40,40,0,0,0,Not Found,Not Found,18.48125 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-PKL-558-2024,URBANA GREEN CITY,SUNLIT INFRACON LLP,"VILLAGE BILLAH, SECTOR 16 KOT
BEHLA",PANCHKULA,320.40,245.00,No,52.70,178.70,0,0,17.50,0,0,0,0,0,0,Not Found,Not Found,13.65 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-PKL-557-2024,ECO CITY HILLS,UNITY MEADOWS LLP,"SECTOR-14, VILLAGE BHILLAH, K
OT-BEHLA URBAN COMPLEX, DISTRICT PANHKULA",PANCHKULA,290.70,241.40,No,275.00,174.30,48.60,0,7.70,0,0,0,0,0,0,Not Found,Not Found,12.66875 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/OTA4,oc\HRERA-PKL-PKL-557-2024-OC_uploaded.pdf
HRERA-PKL-PKL-507-2023,SIGMA RESIDENCY,M/S SIGMA RESIDENCY,"VILLAGE KHANGESRA & ALIPUR, S
ECTOR - 12, PANCHKULA EXTENSION - II (PART)",PANCHKULA,225,95,No,200,280,22,0,45,0,0,0,0,0,0,Not Found,Not Found,18.925 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
HRERA-PKL-PKL-477-2023,WINDSONG RESIDENCES 2,TRIDENT HILLS PRIVATE LIMITED (FORMERLY KNOWN AS IREO FIVERIVER PRIVATE LTD.),"SECTOR-3,4 4A, VILLAGE ISLAM
NAGAR, DISTT. PANCHKULA, HARYANA",PANCHKULA,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,6.31837 (Acre),Not available,Not available,MARBLE/ TILES/ GRANITE/ LAMINATE WOODEN FLOORING/ IPS FLOORING/ VITRIFIED TILES/ ANTI SKID TILES/CERAMIC TILES,ACRYLIC EMULSION PAINT /TILES / PLASTIC EMULSION,UPVC/ ALUMINIUM/ MS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA,Not Found,Not Available
HRERA-PKL-PKL-476-2023,WINDSONG RESIDENCES 1,TRIDENT HILLS PRIVATE LIMITED (FORMERLY KNOWS AS IREO FIVERIVER PVT. LTD),"SECTOR-3,4 4A, VILLAGE ISLAM
NAGAR, DISTT. PANCHKULA, HARYANA",PANCHKULA,0,0,No,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,2.0282 (Acre),Not available,Not available,MARBLE/ TILES/ GRANITE/ LAMINATE WOODEN FLOORING/ IPS FLOORING/ VITRIFIED TILES/ ANTI SKID TILES/CERAMIC TILES,ACRYLIC EMULSION PAINT /TILES / PLASTIC EMULSION,UPVC/ ALUMINIUM/ MS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA,Not Found,Not Available
HRERA-PKL-PKL-356-2022,TRIDENT HILLS2,TRIDENT HILLS PRIVATE LIMITED,"SECTOR-3,4 4A, VILLAGE ISLAM
NAGAR, DISTT. PANCHKULA, HARYANA",PANCHKULA,1854,265,No,1589,795,0,0,530,0,0,0,0,0,0,Not Found,Not Found,43.76416 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/OTEw,oc\HRERA-PKL-PKL-356-2022-OC_uploaded.pdf
