TOR/PRM/KA/RERA/1251/446/PR/230419/001674,DNR ARISTA PHASE 1,Partnership Firm,BENGALURU URBAN,INESA VENTURES LLP,Residential/Group Housing,12-12-2024,APPROVED,"Kaikondarahalli village , Varthur Hobli",3 bed - 4,104SqMtr,12SqMtr,12,10SqMtr,,,,
TOR/PRM/KA/RERA/1251/310/PR/230120/001682,KEYA SPRING,Society,BENGALURU URBAN,SPACIO APARTMENT OWNERS ASSOCIATION,Residential/Group Housing,08-05-2024,APPROVED,"Sy No 85/1 & 85/2, Arakere Village, Begur Hobli, Bangalore South Taluk, Bannerghatta Road",3BHK,2166SqMtr,0SqMtr,17,0SqMtr,,,,
TOR/PRM/KA/RERA/1251/309/PR/221116/000068,SHRIRAM SOLITAIRE,Company,BENGALURU URBAN,SHRIPROP HOMES PRIVATE LIMITED,Residential/Group Housing,15-05-2025,APPROVED,"Survey no 4/4 , Veerasagara village, Attur post, Yelahanka",Residential apartments,7316SqMtr,125SqMtr,106,269SqMtr,,,,
TOR/PRM/KA/RERA/1251/309/PR/211028/002104,NITESH NAPA VALLEY,Company,BENGALURU URBAN,TRUE-BLUE REALTY PRIVATE LIMITED,Residential/Group Housing,29-12-2022,APPROVED,"NITTE Meenakshi College Road Off Bellary Road near Ryan International School, Vadeyarapura Village Yelahanka",Villas,29139SqMtr,0SqMtr,75,1917SqMtr,,,,
TOR/PRM/KA/RERA/1250/301/PR/221116/001916,SHRIRAM PRISTINE ESTATES,Company,BENGALURU RURAL,SPL HOUSING PROJECTS PRIVATE LIMITED,Plotted Development,15-05-2025,APPROVED,"Siddenayakanahalli, Muthur, Raghunathapura village",PLOTS,74288SqMtr,0SqMtr,376,0SqMtr,,,,
PRM/KA/RERA/1251/309/PR/290822/005198,NEW HAVEN BENGALURU PHASE V,Company,BENGALURU URBAN,SMART VALUE HOMES (PEENYA PROJECT) PRIVATE LIMITED,Residential/Group Housing,30-09-2023,APPROVED,,,,,,,,,,
PRM/KA/RERA/1273/319/PR/080824/006966,HERITAGE HEIGHTS,Partnership Firm,UDUPI,DHARMA ASSOCIATE,Mixed Development,31-03-2027,APPROVED,"SADANANDA KAMATH ROAD , KOTE KOPPALA , Karkala , Udupi, Karnataka - 574104",,,,,,,,,
PRM/KA/RERA/1273/318/PR/220923/006288,ARCHANA SIGNATURE,Partnership Firm,UDUPI,ARCHANA PROJECTS,Residential/Group Housing,19-09-2028,APPROVED,,,,,,,,,,
PRM/KA/RERA/1270/302/PR/230522/004906,LTG AISHWARYA INDRAPRASTHA,Company,RAMANAGARA,LTG INFRASTRUCTURE LIMITED,Plotted Development,10-01-2027,APPROVED,,,,,,,,,,
PRM/KA/RERA/1270/302/PR/210731/004204,SALARPURIA SATTVA ASHRAYA,Other,RAMANAGARA,NEELANCHAL DWELLINGS LLP,Residential/Group Housing,15-03-2025,APPROVED,"Survey No 1 and Survey No 43/3, Lakshmisagara Village, Bidadi Hobli, Ramanagar Taluk",1BHK+1 TOI,516SqMtr,0SqMtr,83,29SqMtr,,,,
PRM/KA/RERA/1268/378/PR/180507/001617,BHIMA ASHVINI 2,Individual,MYSORE,SHIVAKUMAR,Plotted Development,30-08-2019,APPROVED,"SY NO 204/1, 204/3, 204/4, 205, 207/8, 207/9, 208/2, 208/5, 208/6, & 208/7. OF MANDAKALLI VILLAGE KASABA HOBLI MYSORE TQ & MYSORE DISTRICT, NA",,,,,,,,Not found,Not found
PRM/KA/RERA/1268/378/PR/171019/000373,ASTRUM GRANDVIEW MYSORE PHASE - I,Company,MYSORE,ASTRUM VALUE HOMES PRIVATE LIMITED,Residential/Group Housing,30-06-2020,APPROVED,"Bandipalya (Opp. APMC Yard), Nanjangud Road",,,,,,,,,
PRM/KA/RERA/1268/378/PR/091123/006396,SAHA FORTUNE,Company,MYSORE,ESS AND ESS INFRASTRUCTURE PRIVATE LIMITED,Plotted Development,04-09-2027,APPROVED,,,,,,,,,,
PRM/KA/RERA/1268/378/PR/091123/006385,SAHA ELITE - 2,Company,MYSORE,ESS AND ESS INFRASTRUCTURE PRIVATE LIMITED,Plotted Development,11-09-2028,APPROVED,,,,,,,,,,
PRM/KA/RERA/1268/378/PR/060424/006776,BHIMA VISHAKA,Partnership Firm,MYSORE,BHIMA ANANTHAPADMANABHA DEVELOPERS,Plotted Development,31-12-2024,APPROVED,"Survey No.112/2, 113 , Madaragalli Village, Varuna Hobli , MYSORE , Mysore, Karnataka - 571311",,,,,,,,,
PRM/KA/RERA/1267/374/PR/190204/002349,KBL SILICON CITY,Partnership Firm,MANDYA,KBL AND SONS,Plotted Development,31-12-2018,APPROVED,"Sy No. 2,3,4(P), 5(p), 8(p), 20(p), 21,24,25(p),26,27,28,29,30,31,32,33,34(p),35(p),37,41(p),42,43,44 and 45 , kUPPEDADA VILLAGE",Plots,0SqMtr,0SqMtr,1201,0SqMtr,,,,
PRM/KA/RERA/1267/374/PR/101023/006309,ZUARI GARDEN CITY - PLOTS,Company,MANDYA,ZUARI INFRAWORLD INDIA LIMITED,Plotted Development,31-03-2026,APPROVED,,,,,,,,,,
PRM/KA/RERA/1265/347/PR/151222/005525,CONCORDE EQUITY,Company,KOLAR,CONCORDE HOUSING CORPORATION PVT LTD,Plotted Development,31-12-2026,APPROVED,,,,,,,,,,
PRM/KA/RERA/1265/347/PR/071124/007201,TEMPLE BELLS,Partnership Firm,KOLAR,BRIGHT PROJECTS,Plotted Development,31-05-2027,APPROVED,"Sy No. 226, 242 & 244 of Alambadi Village, , Lakkur Hobli, Malur Taluk, , Maluru , Kolar, Karnataka - 563160",,,,,,,,,
PRM/KA/RERA/1257/334/PR/290423/005898,PRISTINE,Proprietorship Firm,DAKSHINA KANNADA,LAND TRADES BUILDERS AND DEVELOPERS,Mixed Development,30-05-2028,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/260924/007081,SHAKTHI HEIGHTS,Company,DAKSHINA KANNADA,"NIDHI LAND INFRASTRUCTURE DEVELOPERS INDIA (P) LTD.,",Mixed Development,30-06-2031,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/240822/005188,BHARATHI SOWPARNIKA,Proprietorship Firm,DAKSHINA KANNADA,BHARATHI BUILDERS AND DEVELOPERS,Residential/Group Housing,31-12-2029,APPROVED,"DETAILED PLAN SHOWING RESIDENTIAL/COMMERCIAL APARTMENT BUILDING IN AT , S.N 32/10P, 32/11P PADAVU VILLAGE, MANGALORE , Mangalore , Dakshina Kannada, Karnataka - 575001",,,,,,,,,
PRM/KA/RERA/1257/334/PR/211223/006506,SHALIMAR ALTIUS,Partnership Firm,DAKSHINA KANNADA,SHALIMAR REALTY HOLDINGS,Mixed Development,30-09-2028,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/201106/003690,VAILANKANNI'S HEIGHTS,Partnership Firm,DAKSHINA KANNADA,SL INDUSTRIES,Residential/Group Housing,31-12-2024,APPROVED,"SY.NO.97/1,VAILANKANNI HEIGHTS, , ACHUKODY, BONDEL",RESIDENTIAL FLAT,13923SqMtr,1166SqMtr,184,1166SqMtr,,,,
PRM/KA/RERA/1257/334/PR/200219/003287,REDBRICKS PALM HILLS BLOCK B AND BLOCK C,Company,DAKSHINA KANNADA,REDBRICKS DWELLINGS AND INFRAPROJECTS PVT LTD,Residential/Group Housing,30-09-2032,APPROVED,"NH 169 KULSHEKAR CHOWKI, KULSHEKAR MANGALORE",,,,,,,,,
PRM/KA/RERA/1257/334/PR/190913/002849,ASHA CITY,Company,DAKSHINA KANNADA,YAMUNA HOMES AND DESIGN PRIVATE LIMITED,Plotted Development,28-11-2021,APPROVED,Asha City,,,,,,,,Not found,Not found
PRM/KA/RERA/1257/334/PR/180905/001999,THE MARIAN PARK,Partnership Firm,DAKSHINA KANNADA,MARIAN PROJECTS PVT LTD,Mixed Development,30-09-2024,APPROVED,"Kadri Village, Kadri",,,,,,,,,
PRM/KA/RERA/1257/334/PR/180823/006175,POORVI ESTELLA,Company,DAKSHINA KANNADA,POORVI HOUSING DEVELOPMENT COMPANY PVT. LTD.,Residential/Group Housing,29-02-2028,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/171214/001457,GREENFIELD MEADOWS,Partnership Firm,DAKSHINA KANNADA,GREENFIELD LIFEPARK,Plotted Development,31-08-2019,APPROVED,"Behind NITK, Surathkal",,,,,,,,,
PRM/KA/RERA/1257/334/PR/171214/001428,REDBRICKS PALM HILLS BLOCK A,Company,DAKSHINA KANNADA,REDBRICKS DWELLINGS & INFRAPROJECTS PVT LTD,Mixed Development,30-06-2019,APPROVED,"Redbricks Palm Hills, NH169, Kulshekar Chowki, , Kulshekar, Mangalore",,,,,,,,Not found,Not found
PRM/KA/RERA/1257/334/PR/171021/000437,PRESTIGE VALLEY CREST PHASE 2,Company,DAKSHINA KANNADA,PRESTIGE ESTATES CONSTRUCTIONS LIMITED,Residential/Group Housing,30-07-2023,APPROVED,"SY NO 31-3, 31-4,31-5A, 31-1C2, 31-1D2, 31-1E2-, 31-1F2, 31-1G2, 31-1H1, 31-1H2, 31-1/1,31-1/3,32-1, KHADRI VILLAGESY NO 39-1,39-3, 39/3,39/8B,39-10,41-1A1, KODIALBAIL VILLAGE BEJAI MUSEUM ROAD, MANGALORE",APARTMENTQ,20561SqMtr,32SqMtr,250,1014SqMtr,,,,
PRM/KA/RERA/1257/334/PR/171014/000388,PRESTIGE VALLEY CREST PHASE I,Company,DAKSHINA KANNADA,PRESTIGE ESTATES PROJECTS LIMTED,Residential/Group Housing,30-03-2023,APPROVED,"SY NO 31-3, 31-4, 31-5A, 31-1C2, 31-1D2, 31-1E2, 31-1F2,31-1G2, 31-1H1, 31-1H2, 31-1/1, 31-1/3, 32-1, KADHIRI VILLAGE, AND SURVEY NUMBER 39-1,39-3,39/3,39/8B,39-10,41,41-1A1,KODIALBAIL VILLAGE, BEJAI-MUSEUM, MANGALORE-",APARTMENT,21386SqMtr,32SqMtr,260,1055SqMtr,,,,
PRM/KA/RERA/1257/334/PR/101122/005436,SANKALP,Company,DAKSHINA KANNADA,NIDHI LAND INFRASTRUCTURE DEVELOPERS INDIA PVT LTD,Mixed Development,26-05-2025,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/101023/006310,LUCENT,Company,DAKSHINA KANNADA,M/S MOHTISHAM COMPLEXES PVT LTD,Residential/Group Housing,30-07-2027,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/100222/004694,ALLEGRO AVENTUS,Proprietorship Firm,DAKSHINA KANNADA,ALLEGRO BUILDERS AND DEVELOPERS,Residential/Group Housing,31-12-2026,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/040524/006849,MAHALAXMI,Proprietorship,DAKSHINA KANNADA,LAND TRADES BUILDERS AND DEVELOPERS,Mixed Development,01-06-2028,APPROVED,,,,,,,,,,
PRM/KA/RERA/1257/334/PR/011024/007106,SMRITHI HEIGHTS,Company,DAKSHINA KANNADA,"NIDHI LAND INFRASTRUCTURE DEVELOPERS INDIA (P) LTD.,",Mixed Development,30-06-2029,APPROVED,,,,,,,,,,
