Registration Number,Sr.No.,Apartment Type,Carpet Area,Area of exclusive veranda,Area of exclusive balcony,Area of exclusive open terrace,Share of common area,Area of external wall,Total area,Proposed number of apartments,Number of apartments Booked /Sold /Allotted
K-RERA/PRJ/TVM/215/2024,1,2BHK,71.17,0,6.21,0,18.68,8.12,104.18,1,0,0
K-RERA/PRJ/TVM/215/2024,2,3BHK,92.82,0,7.25,0,24.16,10.50,134.73,1,0,0
K-RERA/PRJ/TVM/215/2024,3,5 BHK and More,187.90,0,15.65,0,48.43,18.12,270.10,1,0,0
K-RERA/PRJ/TVM/215/2024,4,3BHK,115.12,0,9.31,0,29.65,11.29,165.37,11,4,0
K-RERA/PRJ/TVM/215/2024,5,2BHK,71.17,0,6.21,0,18.68,8.12,104.18,11,0,0
K-RERA/PRJ/TVM/215/2024,6,3BHK,92.82,0,7.25,0,24.16,10.50,134.73,11,2,0
K-RERA/PRJ/TVM/215/2024,7,3BHK,104.17,0,7.48,0,26.57,9.94,148.16,11,1,0
K-RERA/PRJ/TVM/215/2024,8,3BHK,115.12,0,9.76,0,29.76,11.30,165.94,1,0,0
K-RERA/PRJ/TVM/215/2024,9,3BHK,104.17,0,7.95,0,26.64,9.78,148.54,1,0,0
K-RERA/PRJ/TVM/215/2024,10,3BHK,115.12,0,9.31,4.31,29.65,11.29,165.37,1,0,0
K-RERA/PRJ/TVM/215/2024,11,2BHK,71.17,0,6.21,43.60,18.68,8.12,104.18,1,0,0
K-RERA/PRJ/TVM/215/2024,12,3BHK,92.82,0,7.25,123.54,24.16,10.50,134.73,1,0,0
K-RERA/PRJ/TVM/215/2024,13,3BHK,104.17,0,7.48,74.42,26.57,9.94,148.16,1,0,0
K-RERA/PRJ/TVM/215/2024,14,5 BHK and More,198.59,0,15.16,0,50.79,18.72,283.26,1,0,0
K-RERA/PRJ/TVM/152/2023,1,2BHK,66.07,0,6.48,0,22.75,8.71,104,1,1,0
K-RERA/PRJ/TVM/152/2023,2,3BHK,84.35,0,8.38,0,28.76,10.41,131,1,1,0
K-RERA/PRJ/TVM/152/2023,3,3BHK,93.39,0,9.07,0,31.79,11.11,145.36,1,0,0
K-RERA/PRJ/TVM/152/2023,4,3BHK,92.58,0,9.17,0,31.53,11.01,144.16,5,0,0
K-RERA/PRJ/TVM/152/2023,5,2BHK,65.46,0,5.87,0,22.15,7.78,101.26,9,0,0
K-RERA/PRJ/TVM/152/2023,6,2BHK,74.05,0,6.92,17,25.03,8.44,114,1,0,0
K-RERA/PRJ/TVM/152/2023,7,3BHK,90.47,0,10.14,0,31.13,10.59,142.33,5,0,0
K-RERA/PRJ/TVM/152/2023,8,3BHK,138.56,0,3.67,14.27,45.08,18.80,206.11,1,1,0
K-RERA/PRJ/TVM/152/2023,9,2BHK,70.74,0,6.53,0,24.13,8.93,110,8,2,0
K-RERA/PRJ/TVM/152/2023,10,3BHK,103.21,0,14.50,10.89,37.34,15.67,170.72,1,1,0
K-RERA/PRJ/TVM/152/2023,11,3BHK,89.59,0,8.89,0,30.53,10.59,139.60,1,0,0
K-RERA/PRJ/TVM/152/2023,12,3BHK,94.14,0,9.04,0,31.92,10.82,145.92,1,0,0
K-RERA/PRJ/TVM/152/2023,13,3BHK,89.95,0,9.18,0,30.72,10.60,140.45,1,0,0
K-RERA/PRJ/TVM/152/2023,14,3BHK,104.04,0,7.51,24,34.73,12.50,158.78,1,0,0
K-RERA/PRJ/TVM/152/2023,15,2BHK,71.81,0,6.38,0,24.26,8.48,110.98,1,0,0
K-RERA/PRJ/TVM/152/2023,16,2BHK,69.58,0,6.38,0,23.60,8.33,107.89,1,1,0
K-RERA/PRJ/TVM/123/2023,1,2BHK,60.90,0,4.16,0,19.70,8.18,92.94,19,6,0
K-RERA/PRJ/TVM/123/2023,2,3BHK,73.12,0,4.20,0,22.95,8,108.27,20,8,0
K-RERA/PRJ/TVM/123/2023,3,2BHK,73.48,0,4.13,0,22.95,7.71,108.27,19,4,0
K-RERA/PRJ/TVM/123/2023,4,2BHK,60.90,0,4.16,36.38,19.70,8.18,129.32,1,0,0
K-RERA/PRJ/TVM/123/2023,5,3BHK,103.08,0,10.40,26.70,33.29,10.29,183.76,1,0,0
K-RERA/PRJ/TVM/123/2023,6,2BHK,73.48,0,4.13,11.69,22.95,7.71,119.96,1,0,0
K-RERA/PRJ/TVM/123/2023,7,3BHK,103.08,0,10.40,0,33.29,10.29,157.06,19,6,0
K-RERA/PRJ/TVM/123/2023,8,2BHK,73.48,0,4.13,0,23.05,8.08,108.74,20,0,0
K-RERA/PRJ/TVM/123/2023,9,3BHK,102.66,0,10.67,0,33.29,10.44,157.06,20,5,0
K-RERA/PRJ/TVM/123/2023,10,2BHK,63.46,0,3.90,0,20.19,7.71,95.26,19,0,0
K-RERA/PRJ/TVM/123/2023,11,3BHK,108.61,0,13.49,0,35.86,11.18,169.14,20,2,0
K-RERA/PRJ/TVM/123/2023,12,2BHK,63.46,0,3.90,5.67,20.19,7.71,100.93,1,3,0
K-RERA/PRJ/TVM/123/2023,13,2BHK,81.34,0,4.50,22,26,10.83,144.67,1,0,0
K-RERA/PRJ/TVM/123/2023,14,2BHK,65.31,0,6.78,0,21.67,8.47,102.23,19,0,0
K-RERA/PRJ/TVM/123/2023,15,2BHK,73.48,0,4.13,0,23.05,8.08,108.74,20,0,0
K-RERA/PRJ/TVM/123/2023,16,2BHK,65.31,0,6.78,5.67,21.67,8.47,107.90,1,0,0
K-RERA/PRJ/TVM/123/2023,17,3BHK,107.54,0,13.46,94.98,35.46,10.83,262.27,1,0,0
K-RERA/PRJ/TVM/123/2023,18,3BHK,102.66,0,10.67,20.49,33.29,10.44,177.55,1,0,0
K-RERA/PRJ/TVM/123/2023,19,3BHK,103.11,0,10.36,0,33.29,10.30,157.06,20,0,0
K-RERA/PRJ/TVM/123/2023,20,3BHK,107.54,0,13.46,0,35.46,10.83,167.29,20,0,0
K-RERA/PRJ/TVM/123/2023,21,3BHK,103.11,0,10.36,48.31,33.29,10.30,205.37,1,0,0
K-RERA/PRJ/TVM/123/2023,22,2BHK,77.13,0,8.85,0,26,10.70,122.68,19,4,0
K-RERA/PRJ/TVM/123/2023,23,3BHK,103.07,0,10.42,26.70,26.24,10.28,176.71,1,0,0
K-RERA/PRJ/TVM/123/2023,24,3BHK,103.07,0,10.42,0,33.29,10.28,157.06,20,6,0
K-RERA/PRJ/TVM/123/2023,25,2BHK,64.29,0,6.46,0,21.38,8.71,100.84,20,12,0
K-RERA/PRJ/TVM/117/2024,1,3BHK,98.38,0,10.53,0,28.58,9.43,146.92,15,0,NA
K-RERA/PRJ/TVM/117/2024,2,4BHK,104.52,0,6.56,0,29.44,10.85,151.37,15,0,NA
K-RERA/PRJ/TVM/117/2024,3,2BHK,74.04,0,12.12,0,22.88,8.56,117.60,14,0,NA
K-RERA/PRJ/TVM/117/2024,4,3BHK,95.63,0,12.33,0,28.45,9.87,146.28,15,0,NA
K-RERA/PRJ/TVM/117/2024,5,3BHK,96.90,0,14.40,0,29.13,9.31,149.74,14,0,NA
K-RERA/PRJ/TVM/117/2024,6,3BHK,91.55,0,12.20,0,27.37,9.57,140.69,14,0,NA
K-RERA/PRJ/TVM/099/2022,1,2BHK,63.83,0,4.87,0,19.20,11.56,96,1,1,0
K-RERA/PRJ/TVM/099/2022,2,3BHK,84.54,0,5.49,0,24.75,9.20,124,1,1,0
K-RERA/PRJ/TVM/099/2022,3,2BHK,69.71,0,8.39,0,20.42,11.96,102,1,0,0
K-RERA/PRJ/TVM/099/2022,4,2BHK,63.83,0,4.87,5.76,19.20,11.56,96,1,1,0
K-RERA/PRJ/TVM/099/2022,5,3BHK,82.30,0,8.39,0,24.86,15.30,124,18,14,0
K-RERA/PRJ/TVM/099/2022,6,3BHK,89.56,0,9.10,0,26.70,15.73,134,19,11,0
K-RERA/PRJ/TVM/099/2022,7,2BHK,59.44,0,6.47,17.25,18.90,15,94,1,0,0
K-RERA/PRJ/TVM/099/2022,8,2BHK,59.44,0,6.47,0,18.90,17.25,94,18,13,0
