Registration Number,Total Land Area,Project Type,Total Units,Locality,Proposed Area to be Constructed,Building Name
K-RERA/PRJ/TVM/215/2024,1947.00 Sqmts,Residential (Apartment),54,Kuravankonam,12560,CORDIAL LEORA
K-RERA/PRJ/TVM/152/2023,1303.00 Sqmts,Residential (Apartment),39,,28758,CORDIAL ACHUTHAM
K-RERA/PRJ/TVM/123/2023,10246.00 Sqmts,Residential (Apartment),305,SREEKARYAM,100000,TOWER 1
K-RERA/PRJ/TVM/117/2024,2857.00 Sqmts,Residential (Apartment),87,Thripadapuram,175233,Oceanus Golden Peak
K-RERA/PRJ/TVM/099/2022,3238.00 Sqmts,Residential (Apartment),97,,28758,CORDIAL PARADISE
K-RERA/PRJ/TVM/096/2024,1687.00 Sqmts,Mixed (Commercial & Residential),46,Kanjirampara Junction,13404,Cordial Vajram
K-RERA/PRJ/TVM/086/2023,1937.00 Sqmts,Residential (Apartment),64,KAZHAKOOTTAM,28758,CORDIAL DEV
K-RERA/PRJ/TVM/069/2023,2338.00 Sqmts,Residential (Apartment),58,,100000,ARTECH MARVEL
K-RERA/PRJ/TVM/044/2024,1699.00 Sqmts,Residential (Apartment),46,Alathara,11060,PRS WINDY WOODS
K-RERA/PRJ/TVM/021/2024,7665.00 Sqmts,Plots,26,,1015,N/A
K-RERA/PRJ/TSR/108/2024,1823.00 Sqmts,Residential (Apartment),52,NELLIKKUNNU,8111,HI LIFE INSPIRE
K-RERA/PRJ/TSR/068/2024,1920.00 Sqmts,Residential (Apartment),42,CHEMBUKAVU,16232,FORUS LAVENDER
K-RERA/PRJ/KKD/204/2024,1801.30 Sqmts,Residential (Apartment),61,THONDAYAD,194843,REIGATE LAUREL HAVEN
K-RERA/PRJ/ERN/208/2023,2104.00 Sqmts,Villas (Plots & Buildings),6,KAKKANAD,1452,VILLA 1
K-RERA/PRJ/ERN/163/2024,1392.00 Sqmts,Residential (Apartment),46,Elamakkara,0,YESKAY PEARL VIEW APARTMETS
K-RERA/PRJ/ERN/146/2024,4504.00 Sqmts,Plots,18,,12237,N/A
K-RERA/PRJ/ERN/093/2022,1,Villas (Plots & Buildings),8,Onamkulam,1,ELANZA
K-RERA/PRJ/ERN/076/2023,67557.64 Sqmts,Residential (Apartment),193,"Marine Drive, Kochi",160000,Marina One Phase - 4 North Wing 01
K-RERA/PRJ/ERN/070/2022,19370.00 Sqmts,Residential (Apartment),907,,15013,ONE COCHIN
K-RERA/PRJ/ERN/065/2024,0,Villas (Plots & Buildings),3,,1,AMELIA
K-RERA/PRJ/ERN/058/2024,2,Villas (Plots & Buildings),46,Pallikkara,8500,VILLA 1
K-RERA/PRJ/ERN/043/2021,12,Villas (Plots & Buildings),15,Kizhakkabalam,0,NIRWANA BY AVNI HOMES VILLA A
K-RERA/PRJ/ERN/040/2024,0.00 Sqmts,Residential (Apartment),192,Tripunithura,160000,Block - 1
K-RERA/PRJ/ERN/009/2025,981.00 Sqmts,Villas (Plots & Buildings),4,,1,SOPHIA NEST 1
K-RERA/PRJ/90/2020,8615.00 Sqmts,Mixed (Commercial & Residential),211,Akkulam,59190,"Muthoot Homez, Akkulam"
K-RERA/PRJ/345/2020,1718.00 Sqmts,Residential (Apartment),72,,39268,Vfive Amrutha
K-RERA/PRJ/315/2020,37878.00 Sqmts,Mixed (Commercial & Residential),629,KUSUMAGIRI,53000000,PRESTIGE HILLSIDE GATEWAY - TOWER 2
K-RERA/PRJ/253/2020,67557.64 Sqmts,Residential (Apartment),181,"Marine Drive, Kochi",160000,Marina One Phase-3 East Wing 05 Tower
K-RERA/PRJ/252/2020,67557.64 Sqmts,Residential (Apartment),112,"Marine Drive, Kochi",160000,Marina One Phase 2
K-RERA/PRJ/251/2020,67557.64 Sqmts,Residential (Apartment),293,"Marine Drive, Kochi",160000,Marina One Phase-1 North Wing 03 Tower
K-RERA/PRJ/243/2020,1744.00 Sqmts,Residential (Apartment),54,"Walkable distance from Thrippadhapuram temple, 1 Km away from Technopark Phase III, 1.5 Km away from Karyavattom campus, 2 Km away from Infosys.",175233,Oceanus Mythrika
K-RERA/PRJ/235/2020,18991.55 Sqmts,Residential (Apartment),192,Thripunithura,160000,Block 3
K-RERA/PRJ/138/2020,2522.00 Sqmts,Residential (Apartment),72,,39268,VFIVE ELYSIUM PHASE II
K-RERA/PRJ/138/2020,2522.00 Sqmts,Residential (Apartment),72,,39268,VFIVE ELYSIUM PHASE II
K-RERA/PRJ/096/2021,2316.00 Sqmts,Residential (Apartment),81,KARAMANA,13404,CORDIAL MAGNOLIA
K-RERA/PRJ/052/2021,9429.51 Sqmts,Residential (Apartment),213,MULAVANA Jn.,48773,EIFFEL
K-RERA/PRJ/029/2021,1422.00 Sqmts,Residential (Apartment),32,VENNALA,7658,PEPPER VINE
K-RERA/PRJ/003/2020,4027.00 Sqmts,Residential (Apartment),89,,19975,Nikunjam Tharangini
Kâ€RERA/PRJ/TVM/133/2022,4027.00 Sqmts,Residential (Apartment),89,,19975,Nikunjam Tharangini
Kâ€RERA/PRJ/TVM/121/2022,4027.00 Sqmts,Residential (Apartment),89,,19975,Nikunjam Tharangini
Kâ€RERA/PRJ/KKD/242/2024,4027.00 Sqmts,Residential (Apartment),89,,19975,Nikunjam Tharangini
Kâ€RERA/PRJ/ERN/109/2022,4027.00 Sqmts,Residential (Apartment),89,,19975,Nikunjam Tharangini
