Registration Number,Professional Name,RERA Certificate No.,Professional Type,Type of Contractor,Registration Number,Name of the firm,Address of the firm,Year of establishment,Name of Promoters Associated with,Key projects completed,Type of Professional
K-RERA/PRJ/TVM/215/2024,Dharmakeethi A,NA,Architect,NA,CA/94/17475,Keerthi and Bhavana,"TC-15/1526 (1), No.48, MP Appan Road, Vazhuthacaud, Thiruvananthapuram- 695 014",1994,"SFS, Favourite Homes","1. SFS Standford, Mukkola 2. Palmgrove NXT, Near Akkulam, Trivandrum",NA
K-RERA/PRJ/TVM/215/2024,Karthik K,NA,Engineer,NA,AM1782617,NA,NA,2018,"Cordial Foundation pvt Ltd, Cordial Properties India Pvt Ltd","Cordial Skyview, Jagathy",NA
K-RERA/PRJ/TVM/215/2024,M Ramesh Kumar,NA,Chartered Accountant,NA,0107455,M Ramesh Kumar and Co,"Krishnageetham, VNRA167, Bhagavathy Nagar, NCC Road, Ambalamukku, Trivandrum 695005",1989,"Cordial Properties India Pvt Ltd, COrdial Foundation Pvt Ltd, Cordial Developers Pvt Ltd",Cordial Skyview,NA
K-RERA/PRJ/TVM/152/2023,RAGESH R,NA,Architect,NA,CA/2004/33262,SOORYA DESIGN CONSULTANCY,"TC-7/905, PTP NAGAR ROAD, MARUTHANKUZHY SASTHAMANGALAM",2004,"CORDIAL HOMES PVT LTD, SUN HOMES Pvt Ltd","CORDIAL DHANYAM KANJIRAMPARA, CORDIAL GITANJALI VELLAYAMBALAM AND CORDIAL JEMS MEDICAL COLLEGE",NA
K-RERA/PRJ/TVM/152/2023,DEEPAK DHANANJAYAN,NA,Engineer,NA,AM1752343,DHANUSS,"DHANUSS, TC No. 37/2138, KODUNGANOOR P.O, VATTIYOORKAVU",2017,CORDIAL HOMES PVT LTD,"CORDIAL JEMS, CORDIAL GITANJALI, CORDIAL DHANYAM",NA
K-RERA/PRJ/TVM/152/2023,M RAMESHKUMAR,NA,Chartered Accountant,NA,FRN0010745S,M RAMESH KUMAR CO,KRISHNAGEETHAM AMBALAMUKKU NCC ROAD PEROORKADA,1989,ARTECH,"CORDIAL DHANYAM, CORDIAL GITANJALI, CORDIAL JEMSARTECH LEXUS",NA
K-RERA/PRJ/TVM/123/2023,MANOJ G,NA,Architect,NA,CA/2009/44535,MANOJ ASSOCIATES,"SREESAILAM, MYLOM, NEAR TEMPLE,MYLOM PO, KOTTARAKKARA, KOLLAM PIN691560",2009,ARTECH REALTORS PVT LTD,ARTECH LUXUS,NA
K-RERA/PRJ/TVM/123/2023,BIJU K O,NA,Engineer,NA,M102894-9,K O BIJU ASSOCIATES,"FLAT NO 2B, ESAR DEEPAM, ELANJUMOOD LANE, EDAPAHIJI, TRIVANDRUM",1990,ARTECH REALTORS PVT LTD,ARTECH GATEWAY,NA
K-RERA/PRJ/TVM/123/2023,M RAMESH KUMAR,NA,Chartered Accountant,NA,028578,M RAMESH KUMAR & CO,"KRISHNAGEETHAM,167 BHAGAVATHY NAGAR NCC ROAD AMBALAMUKK THIRUVANANTHAPURAM",2004,ARTECH REALTORS PVT LTD,ARTECH LUXUS,NA
K-RERA/PRJ/TVM/123/2023,HARI K S,NA,Chartered Accountant,NA,0123735,HARI PILLAI AND CO CHARTERED ACCOUNTANTS,"1ST FLOOR, MLR-106, MANAGALAM LANE, SASTHAMANGALAM, TRIVANDRUM, KERALA- 695010",2009,ARTECH REALTORS PVT LTD,ARTECH PANORAMA,NA
K-RERA/PRJ/TVM/117/2024,Nijas Najeem,NA,Architect,NA,CA/2023/157426,KB Architect,"Kannayil Benglow,Medamukku,Kayamkulam",2017,"Muthoot, Artech, SGS,SARGA,THULASI DEVELOPERS, KA ASSOCIATES","Muthoot sasthamangalam,Artech nest Pipinmoodu, Sudarsanam villas phase-1,2,3,4, Pullukad villas,Oceanus villas Kochi",NA
K-RERA/PRJ/TVM/117/2024,Lekshmi R,NA,Engineer,NA,E-6382/16/EA-16,self,"Vayalil Puthen veedu,Koikkal Lane,Kannamoola,Medical College P O, Thiruvananthapuram",2016,Oceanus Dwellings Pvt Ltd,"Oceanus Elite, Oceanus Mythrikas",NA
K-RERA/PRJ/TVM/117/2024,Sheela Benny,NA,Chartered Accountant,NA,019405,SAVR&Associates,"1st floor,Prince Complex, Market Road, Aluva",2019,"Green Natural Extracts Pvt Ltd, Aluva, Industrial Engineering Corporation, South kalamassey, Mastek Constructions Pvt Ltd, Muppathadam, Aluva, Dreamzwell Technical Services Pvt Ltd, Kochi.","Green Natural Extracts Pvt Ltd, Aluva, Industrial Engineering Corporation, South Kalamassery, Mastek Constructions Pvt Ltd, Muppathadam, Aluva, Dreamzwell Technical services Pvt Ltd Ernakulam.",NA
K-RERA/PRJ/TVM/099/2022,RAGESH R,NA,Architect,NA,CA/2004/33262,Soorya Design Consultancy,"TC 38/51, MARUTHANKUZHY, THIRUVANANTHAPURAM",2017,Contour,Contour Island Resort Wayanad,NA
K-RERA/PRJ/TVM/099/2022,DEEPAK DHANANJAYAN,NA,Engineer,NA,AM1752343,DEEPAK,"DHANUSS, VATTIYOORKAVU VILLAGE, KODUNGANOOR P.O, THIRUVANANTHAPURAM 695013",2017,CORDIAL,CORDIAL BHARATHI,NA
K-RERA/PRJ/TVM/099/2022,M RAMESH KUMAR,NA,Chartered Accountant,NA,010745S,M RAMESH KUMAR & CO,"KRISHNAGEETHAM, BNRA 167, BAGAVATHY NAGAR, NCC ROAD, AMBALAMUKKU, THIRUVANANTHAPURAM 695005",1989,ARTECH,ARTECH THAMPURAN,NA
K-RERA/PRJ/TVM/096/2024,Sidharth Vijayan M,NA,Architect,NA,CA/2012/57907,Neospace Architects,"TC 7, Medical College, 1225, RG 36, P.O, Pongumoodu, Thiruvananthapuram, Kerala 695011",2005,"Grandeur homes, Cordial Developers Pvt Ltd","le-reva villas trippadapuram tvm, attrium stuctures grandeur homes kudappanakkunnu, RP international impact milestone trippadapuram, Vijaya international convention centre, thiruvalla",NA
K-RERA/PRJ/TVM/096/2024,VIVVEK V,NA,Engineer,NA,M1594915,CORDIAL DEVELOPERS PVT LTD,"EVRA 431, Easwara Vilasam road, Cotton hill,Vazhuthacaud, 695014",2021,Cordial Developers Pvt Ltd,"Cordial Amity, Cordial Adithya",NA
K-RERA/PRJ/TVM/096/2024,M RAMESH KUMAR,NA,Chartered Accountant,NA,010745 S,M RAMESH KUMAR AND CO,"BNRA 167, KRISHMAGEETHAM, BHAGATHY NAGAR, NCC ROAD ,AMBALAMUKKU, 695005",2004,"Cordial Homes Pvt Ltd, Cordial Properties Indian Pvt Ltd","Cordial Adithya, Cordial Bharathi",NA
K-RERA/PRJ/TVM/086/2023,RAGESH R,NA,Architect,NA,CA/2004/33262,SDC ARCHITECTS,"TC 7/905, PTP NAGAR ROAD, MARUTHANKUZHY, SASTHAMANGALAM",2004,CORDIAL HOMES,"CORDIAL JEMS, GITANJALI, DHANYAM",NA
K-RERA/PRJ/TVM/086/2023,DEEPAK DHANANJAYAN,NA,Engineer,NA,AM1752343,DEEPAK,"DHANUSS, VATTIYOORKAVU VILLAGE, KODUNGANOOR P O, THIRUVANANTHAPURAM, 695013",2017,CORDIAL,CORDIAL DHANUSS,NA
K-RERA/PRJ/TVM/086/2023,M RAMESHKUMAR,NA,Chartered Accountant,NA,0107455,M RAMESH KUMAR &CO,"KRISHNAGEETHAM, BNRA 167, BHAGAVATHY NAGAR, NCC ROAD, AMBALAMUKKU, THIRUVANANTHAPURAM, 695005",1989,ARTECH,ARTECH THAMPURAN,NA
K-RERA/PRJ/TVM/069/2023,MANOJ G,NA,Architect,NA,CA/2009/44535,MANOJ ASSOCIATES,"SREESAILAM , MYLOM ,NEAR TEMPLE, MYLOM P O , KOTTARAKKARA, KOLLAM, PIN 691560",2009,ARTECH REALTORS PVT LTD,ARTECH LUXUS,NA
K-RERA/PRJ/TVM/069/2023,Biju K O,NA,Engineer,NA,M102894-9,K O Biju Associates,"Flat No. 2B, Esar Deepam, Elanjumood lane ,Edapazhiji, Trivandrum",1990,artech Realtors Pvt Ltd,Artech Gateway,NA
K-RERA/PRJ/TVM/069/2023,M RAMESH KUMAR,NA,Chartered Accountant,NA,028578,M RAMESH KUMAR & CO,"KRISHNAGEETHAM, 167,BHAGAVATHY NAGARNCC ROADAMBALAMUKK THIRUVANANTHAPURAM",2004,ARTECH REALTORS,ARTECH LEXUS,NA
K-RERA/PRJ/TVM/044/2024,Dharmakeerthi A,NA,Architect,NA,CA/94/17475,Keerthi & Bhavana Architects & Interior Designer,Ms Keerthi and Bhavana Architects and Interior Designers TC15 1526 1 No 48 MP Appan Road Vazhuthacaud Trivandrum 695014,1994,PRS Build India Pvt. Ltd.,PRA Ramsaras,NA
K-RERA/PRJ/TVM/044/2024,S Ravikumar,NA,Engineer,NA,PWD Executive Engineer,Ravikumar Associates,"Ravikumar Associates, TC 25/1975, Nirmala Sadan, Thycadu, Thiruvanathapuram, 695014",1997,PRS Build India Private Limited,1. A Church for Seventh day Adventist at Trivendrum 2. A Church for Seventh day Adventist at Trivendrum 3. PRS,NA
K-RERA/PRJ/TVM/044/2024,Suresh S,NA,Chartered Accountant,NA,203716,Sankar & Moorthy CA,"TC 80/2538, APRA-9, Airport Rooad, West Fort, trivandrum",1978,PRS Build India Pvt. Ltd.,"PRS Param Ratna, PRS Krishna",NA
K-RERA/PRJ/TVM/021/2024,SAJAN SALAM,NA,Architect,NA,CA/40207/2018,VGA ASSOCIATES,"VGA ARCHITECTS,KRA-D25A,KURAVANKONAM, NEAR HARRY FORD SHOW ROOM,KOWDIAR, TRIVANDRUM",2008,VGA ASSOCIATES,"B CANTI,PMG NAGAR TRIVANDRUM",NA
K-RERA/PRJ/TVM/021/2024,SHIBU MATHEW,NA,Engineer,NA,E-12150/19/SS-319/KLM,SHIBU,"VAANETH VAYALA PO, ANCHAL, KOLLAM",2008,SHIBU MATHEW,"SHANOOR NALANDA, SHANOOR METRO SQUARE",NA
K-RERA/PRJ/TVM/021/2024,UMMATHAM KUZHIYIL AYESHA SHIFA,NA,Chartered Accountant,NA,247803,PN RAJ AND ASSOCIATES,PN RAJ AND ASSOCIATES KOTTAYAM,2000,PN RAJ AND ASSOCIATES,"SHANOOR METRO SQUARE, SHANOOR NALANDA",NA
K-RERA/PRJ/TSR/108/2024,MR JOY AMBOOKEN,NA,Architect,NA,CA 94/17232,Ms Joy Ambooken & Associates,"Dr O k John Memorial Building, Mission Quarters, Ikkanda Warrier Road Thrissur-1",2016,"elroi,HILIFE","Hi- LIfe Capitol, Candila Apartments, Hilife gratia Elori Shop",NA
K-RERA/PRJ/TSR/108/2024,MRS LIMI JAIN,NA,Engineer,NA,G6-3632/18/632/EA,MS JOY AMBOOKEN,"2ND FLOOR, MO JOHN BUILDING,MANOROMA ROAD, THRISSIR",1996,HILIFE BUILDERS,"HILIFE CAPITOL,HILIFE GRATIA",NA
K-RERA/PRJ/TSR/108/2024,C I FRANCIS,NA,Chartered Accountant,NA,204086,FRANCIS AND ASSOCIATES,"XII/35 CASINO COMPLEX,T B ROAD THRISSUR",2003,MR VINOD,CAPITOL,NA
K-RERA/PRJ/TSR/068/2024,SUJIT NAIR,NA,Architect,NA,CA/2003/31934,SDEG,"113, 3RD FLOOR, 2ND CROSS, 2ND MAIN ROAD, EAST OF NGEF, KASTURINAGAR, BANGALORE",2007,"FORUS INITIATIVES, MODERN SPAACES, SUYUG, SEKHAR GROUP","THE KORAMANGALA CLUB EXTN , URBANEST - MODERN SPACES, FEMIINT CHAITHANYA DEVELOPERS",NA
K-RERA/PRJ/TSR/068/2024,M SREEKUMAR,NA,Engineer,NA,BCC/BL-3 6/SE/283/18-19,STRUCTURAL SOLUTIONS,"186E, GROUND FLOOR, 5TH MAIN , ST.BED LAYOUT, 4TH BLOCK, BANGALORE",2004,FORUS INITIATIVES,"FORUS FLORA HEIGHTS, FORUS VRINDAVANAM",NA
K-RERA/PRJ/TSR/068/2024,G ANOOP,NA,Chartered Accountant,NA,021165,MOHANDAS AND ASSOCIATES,"3RD FLOOR, SREE RESIDENCY, PRESS CLUB ROAD, THRISSUR-1",1986,FORUS INITIATIVES,"FORUS MATHURA,FORUS COSY NEST",NA
K-RERA/PRJ/KKD/204/2024,SAMEER TK,NA,Architect,NA,CA/2018/100713,DE ECO ARCHITECTS,"ARCHITECTURAL PLANNING- INTERIOR- LANSCAPE, VENGARA, MINI BAZAR, CHERUR ROAD",2017,REIGATE BUILDERS (P)LTD,NILL,NA
K-RERA/PRJ/KKD/204/2024,HARIPRASAD KV,NA,Engineer,NA,E-2050/08/14415/KKD/253/2019/EA,BIRD building industry research development,"13/710 -ANNIE HALL ROAD, CALICUT-673002",2010,REIGATE BUILDERS (P)LTD.,"FINSBURY PARK, BLUEMONT PARK",NA
K-RERA/PRJ/KKD/204/2024,C NAGARAJU,NA,Chartered Accountant,NA,243063,C NAGARAJU & ASSOCIATES,"ROOM NO. 105,PENDEKATI COMMERCIAL COMPLEX,MAIN BAZAR, NEAR AMMAVARISALA, NANDYAL,518501",2017,REIGATE BUILDERS(P)LTD.,SERENITY FINSBURY PARK BLUEMONT PARK,NA
K-RERA/PRJ/ERN/208/2023,Jeswin Varghese,NA,Architect,NA,CA/2019/107692,PRAJC Design Consultants LLP,"PRAJC Design Consultant, First Floor, CSI Complex, Kanjikuzhy, Kottayam - 686004",2020,Oxygen Digitals Greenland Villas Telnova Networks Kochi,Oxygen Digitals Kavani Bridals Kottayam House of Volumes Kottayam Greenland Villas Perumbavoor,NA
K-RERA/PRJ/ERN/208/2023,Haroon Rasheed,NA,Engineer,NA,M-155720-8,HAROON & SUNITHA ASSOCIATES,"Haroon and Sunitha Associates,Penta Estate, South Janatha Road, palarivattom",2010,NA,4 storey Apartment Building for Mr. Ansal at Karuvalippady,NA
K-RERA/PRJ/ERN/208/2023,LAZAR DOMINIC,NA,Chartered Accountant,NA,016681S,BLV AND ASSOCIATES,"3rd Cross Road ,Girinagar Housing Colony, Kadavanthara",1984,C.A PT BASTIN,"BUILDOWN - GOLDEN HEIGHTS, CLOUD VILLE, THE HAVENS, CASADEL BUILDERS - TOWN SUITES,INHOUSE BUILDERS- SEVENTH AVENUE,SPACETON-TREETALES,SYNTHITE REALITY-PEPPERVINE,PIMENTO GARDEN",NA
K-RERA/PRJ/ERN/163/2024,Vijith Jagadeesh,NA,Architect,NA,CA/2002/29716,Vijith Jagadeesh Architects,"34/269 ,Beerakkutty Road ,Near Chilton Tower ,Edappally Kochi-682 024",2000,Dreamflower housing Projects,Dreamflower Magna Opus,NA
