Registration Number,Sr No.,Project Name,RERA registration number,Project Address,Land Area (In Sq mtrs),Details of payments pending,Current status of the project,Details of cases/ litigations related to the project,Date of commencement,Proposed date of completion,Actual completion date,Remarks (If any),Other relevant experience
K-RERA/PRJ/TVM/215/2024,1,Cordial Skyview,,"Cordial Skyview, Karamana, Thiruvananthapuram, Kerala 695012",2168,31607227,"Completed, OC awaited",Nil,24/08/2016,30/09/2020,NA,NA,NA
K-RERA/PRJ/TVM/215/2024,2,Cordial Dhanuss,,"Maruthumkuzhi, Thiruvananthapuram, Kerala 695030",1740,52123584,"Completed, OC obtained",Nil,16/07/2017,30/09/2020,11/11/2020,NA,NA
K-RERA/PRJ/TVM/123/2023,1,ARTECH METROPOLIS,,"MANNANTHALA , THIRUVANANTHPURAM",6720.60,NIL,ON GOING,NIL,21/10/2017,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/123/2023,2,ARTECH PALM MEADOWS,,POLAYATHODE KOLLAM,2136,0,ON GOING,NIL,11/10/2018,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/123/2023,3,ARTECH KAAZHCHA,,THIRUVALLA,3311,NIL,ON GOING,NIL,15/06/2018,31/12/2022,NA,NA,NA
K-RERA/PRJ/TVM/117/2024,1,Oceanus Mythrika,,"Thrippadhapuram, Kulathoor P. O., Kazhakkuttam, Thiruvananthapuram.",1744,NA,Construction in progress,NA,01/07/2016,30/06/2022,NA,NA,"Had constructed and handed over around 10 Residential apartment buildings in Thiruvananthapuram alone. The company is also having projects in other parts of Kerala, like Ernakulam, Palakkad, Kannoor, Thrissur etc."
K-RERA/PRJ/TVM/096/2024,1,CORDIAL BHARATHI,,NANTHENCODE,3439,NO,COMPLETED,NO,10/03/2016,01/08/2019,10/10/2019,COMPLETED,NA
K-RERA/PRJ/TVM/096/2024,2,CORDIAL ADITHYA,,AMBALAMUKKU,2023,NO,COMPLETED,NO,05/07/2016,07/08/2019,10/10/2019,COMPLETED,NA
K-RERA/PRJ/TVM/096/2024,3,CORDIAL AMITY,,PEROORKADA,2306,NO,COMPLETED,NO,06/03/2013,14/07/2016,14/07/2016,COMPLETED,NA
K-RERA/PRJ/TVM/069/2023,1,ARTECH METROPOLIS,,"MANNANTHALA , THIRUVANANTHPURAM",6720.60,NIL,ON GOING,NIL,21/10/2017,31/12/2022,NA,NA,NA
