XID,Configuration,List Item,Price,Area
R177855,"3 BHK Apartment
6.47 Cr",2250 SQ.FT,₹ 6.47 Cr,Builtup Area: 2250 sq.ft
R78869,"2 BHK Apartment
2.85 Cr",1280 SQ.FT,₹ 2.85 Cr,Builtup Area: 1280 sq.ft
R78869,"3 BHK Apartment
3.42 Cr - 3.56 Cr",1540 SQ.FT,₹ 3.42 Cr,Builtup Area: 1540 sq.ft
R78869,"3 BHK Apartment
3.42 Cr - 3.56 Cr",1600 SQ.FT,₹ 3.56 Cr,Builtup Area: 1600 sq.ft
R32394,"Plot
28.34 L",1350 SQ.FT,₹ 28.34 L,Plot Area: 1350 sq.ft
R436913,"4 BHK Villa
3.61 Cr - 4.32 Cr",1935 SQ.FT,₹ 3.61 Cr,Carpet Area: 1935 sq.ft
R436913,"4 BHK Villa
3.61 Cr - 4.32 Cr",2313 SQ.FT,₹ 4.32 Cr,Carpet Area: 2313 sq.ft
R435863,"Plot
22.5 L - 30.31 L",150 SQ.YD,₹ 22.5 L,Plot Area: 150 sq.yd
R435863,"Plot
22.5 L - 30.31 L",202 SQ.YD,₹ 30.31 L,Plot Area: 202 sq.yd
R433762,"Plot
33 L - 1.32 Cr",600 SQ.FT,₹ 33 L,Plot Area: 600 sq.ft
R433762,"Plot
33 L - 1.32 Cr",900 SQ.FT,₹ 49.5 L,Plot Area: 900 sq.ft
R433762,"Plot
33 L - 1.32 Cr",1200 SQ.FT,₹ 66 L,Plot Area: 1200 sq.ft
R433762,"Plot
33 L - 1.32 Cr",1500 SQ.FT,₹ 82.5 L,Plot Area: 1500 sq.ft
R433762,"Plot
33 L - 1.32 Cr",1800 SQ.FT,₹ 99 L,Plot Area: 1800 sq.ft
R433762,"Plot
33 L - 1.32 Cr",2400 SQ.FT,₹ 1.32 Cr,Plot Area: 2400 sq.ft
R429636,"Plot
37.04 L - 77.53 L",741 SQ.FT,₹ 37.04 L,Builtup Area: 741 sq.ft
R429636,"Plot
37.04 L - 77.53 L",1551 SQ.FT,₹ 77.53 L,Builtup Area: 1551 sq.ft
R428048,"Plot
17.77 L - 48.3 L",423 SQ.FT,₹ 17.77 L,Plot Area: 423 sq.ft
R428048,"Plot
17.77 L - 48.3 L",545 SQ.FT,₹ 22.89 L,Plot Area: 545 sq.ft
R428048,"Plot
17.77 L - 48.3 L",776 SQ.FT,₹ 32.59 L,Plot Area: 776 sq.ft
R428048,"Plot
17.77 L - 48.3 L",1150 SQ.FT,₹ 48.3 L,Plot Area: 1150 sq.ft
R413330,"Plot
24 L - 1.54 Cr",480 SQ.FT,₹ 24 L,Plot Area: 480 sq.ft
R413330,"Plot
24 L - 1.54 Cr",484 SQ.FT,₹ 24.2 L,Plot Area: 484 sq.ft
R413330,"Plot
24 L - 1.54 Cr",507 SQ.FT,₹ 25.35 L,Plot Area: 507 sq.ft
R413330,"Plot
24 L - 1.54 Cr",576 SQ.FT,₹ 28.8 L,Plot Area: 576 sq.ft
R413330,"Plot
24 L - 1.54 Cr",700 SQ.FT,₹ 35 L,Plot Area: 700 sq.ft
R413330,"Plot
24 L - 1.54 Cr",890 SQ.FT,₹ 44.5 L,Plot Area: 890 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1010 SQ.FT,₹ 50.5 L,Plot Area: 1010 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1123 SQ.FT,₹ 56.15 L,Plot Area: 1123 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1150 SQ.FT,₹ 57.5 L,Plot Area: 1150 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1340 SQ.FT,₹ 67 L,Plot Area: 1340 sq.ft
R413330,"Plot
24 L - 1.54 Cr",1430 SQ.FT,₹ 71.5 L,Plot Area: 1430 sq.ft
