state,matched_registration_number
Haryana,HRERA-PKL-PKL-339-2022
Madhya Pradesh,P-GWL-19-2421
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
West Bengal,WBRERA/P/HOO/2024/001032
West Bengal,WBRERA/P/HOW/2024/001163
Assam,ARERAKMPPROJ2017-83
Bihar,BRERAP00041-008/138/R1629/2023
Haryana,HRERA-PKL-PKL-339-2022
Kerala,K-RERA/PRJ/KKD/204/2024
Kerala,K-RERA/PRJ/TSR/068/2024
Kerala,K-RERA/PRJ/TVM/044/2024
Punjab,PBRERA-JAL33-PR0797
Punjab,PBRERA-KPT40-PR0767
Punjab,PBRERA-SAS79-PR0462
Chandigarh,PBRERA-SAS80-PM0164
Punjab,PBRERA-SAS80-PR0269
Punjab,PBRERA-SAS81-PR0154
Madhya Pradesh,P-IND-17-256
Madhya Pradesh,P-IND-20-2546
Madhya Pradesh,P-IND-24-5270
Madhya Pradesh,P-JBP-23-4248
Maharashtra,PM1181012400048
Maharashtra,PM1330002400003
Madhya Pradesh,P-OTH-23-4403
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/A1M/121218
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06528/EX2/A1R/260523
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00388/091017
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA04324/A1R/211021
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT Urban Development Authority/RN209AA10109/011022
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12149/170823
Gujarat,PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/EX1/100119
Gujarat,PR/GJ/RAJKOT/RAJKOT/Others/RAA12607/081123
Gujarat,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA14049/280824/311227
Gujarat,PR/GJ/SURAT/CHORASI/SUDA/RAA06320/A2R/060523
Gujarat,PR/GJ/SURAT/CHORYASI/Surat Urban Development Authority/MAA14223/051024/311028
Gujarat,PR/GJ/SURAT/OLPAD/Surat Municipal Corporation/RAA14569/231224/311229
Gujarat,PR/GJ/SURAT/SURAT CITY/SUDA/RAA06461/A1R/301122
Gujarat,PR/GJ/VALSAD/PARDI/Others/RAA08345/A1R/190623
Maharashtra,PR1170002400011
Maharashtra,PR1261012400049
Maharashtra,PR1338082400025
Madhya Pradesh,P-SWR-22-3599
Assam,RERAA KM 123 of 2021
Punjab,PBRERA-LDH45-PM0001
Madhya Pradesh,P-JBP-23-4426
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04910/250219
