state,matched_registration_number
Haryana,HRERA-PKL-PKL-339-2022
Madhya Pradesh,P-GWL-19-2421
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Tamil Nadu,TN/01/BUILDING/283/2021
West Bengal,WBRERA/P/HOO/2024/001032
West Bengal,WBRERA/P/HOW/2024/001163
Assam,ARERAKMPPROJ2017-83
Bihar,BRERAP00041-008/138/R1629/2023
Bihar,BRERAP00041-009/195/R1674/2024
Haryana,GGM/503/235/2021/71 Dated 27.10.2021
Haryana,GGM/520/252/2021/88 dated 20.12.2021
Haryana,GGM/597/329/2022/72 Dated 01.08.2022
Haryana,HRERA-PKL-PKL-339-2022
Haryana,HRERA-PKL-PKL-355-2022
Haryana,HRERA-PKL-PKL-356-2022
Haryana,HRERA-PKL-PKL-476-2023
Haryana,HRERA-PKL-PKL-477-2023
Haryana,HRERA-PKL-PKL-507-2023
Haryana,HRERA-PKL-PKL-557-2024
Haryana,HRERA-PKL-PKL-558-2024
Kerala,K-RERA/PRJ/KKD/204/2024
Kerala,K-RERA/PRJ/TSR/068/2024
Kerala,K-RERA/PRJ/TSR/108/2024
Kerala,K-RERA/PRJ/TVM/021/2024
Kerala,K-RERA/PRJ/TVM/044/2024
Kerala,K-RERA/PRJ/TVM/069/2023
Kerala,K-RERA/PRJ/TVM/086/2023
Kerala,K-RERA/PRJ/TVM/096/2024
Kerala,K-RERA/PRJ/TVM/099/2022
Kerala,K-RERA/PRJ/TVM/117/2024
Kerala,K-RERA/PRJ/TVM/123/2023
Kerala,K-RERA/PRJ/TVM/152/2023
Kerala,K-RERA/PRJ/TVM/215/2024
Punjab,PBRERA-JAL33-PR0388
Punjab,PBRERA-JAL33-PR0598
Punjab,PBRERA-JAL33-PR0779
Punjab,PBRERA-JAL33-PR0797
Punjab,PBRERA-JAL33-PR0832
Punjab,PBRERA-JAL33-PR1043
Punjab,PBRERA-KPT40-PR0140
Punjab,PBRERA-KPT40-PR0767
Punjab,PBRERA-KPT40-PR0951
Punjab,PBRERA-SAS79-PR0462
Punjab,PBRERA-SAS79-PR0464
Punjab,PBRERA-SAS79-PR0546
Punjab,PBRERA-SAS79-PR0692
Punjab,PBRERA-SAS79-PR0727
Punjab,PBRERA-SAS79-PR0824
Punjab,PBRERA-SAS79-PR0844
Punjab,PBRERA-SAS79-PR0868
Punjab,PBRERA-SAS79-PR0921
Chandigarh,PBRERA-SAS80-PM0164
Punjab,PBRERA-SAS80-PR0067
Punjab,PBRERA-SAS80-PR0103
Punjab,PBRERA-SAS80-PR0197
Punjab,PBRERA-SAS80-PR0269
Punjab,PBRERA-SAS80-PR0271
Punjab,PBRERA-SAS80-PR0287
Punjab,PBRERA-SAS80-PR0398
Punjab,PBRERA-SAS80-PR0663
Punjab,PBRERA-SAS80-PR0668
Punjab,PBRERA-SAS80-PR0781
Punjab,PBRERA-SAS80-PR0834
Punjab,PBRERA-SAS80-PR0860
Punjab,PBRERA-SAS80-PR0877
Punjab,PBRERA-SAS80-PR0879
Punjab,PBRERA-SAS80-PR0927
Chandigarh,PBRERA-SAS81-PM0152
Punjab,PBRERA-SAS81-PR0015
Punjab,PBRERA-SAS81-PR0111
Punjab,PBRERA-SAS81-PR0119
Punjab,PBRERA-SAS81-PR0124
Punjab,PBRERA-SAS81-PR0142
Punjab,PBRERA-SAS81-PR0148
Punjab,PBRERA-SAS81-PR0154
Punjab,PBRERA-SAS81-PR0199
Punjab,PBRERA-SAS81-PR0308
Punjab,PBRERA-SAS81-PR0319
Punjab,PBRERA-SAS81-PR0327
Punjab,PBRERA-SAS81-PR0391
Punjab,PBRERA-SAS81-PR0451
Punjab,PBRERA-SAS81-PR0457
Punjab,PBRERA-SAS81-PR0522
Punjab,PBRERA-SAS81-PR0594
Punjab,PBRERA-SAS81-PR0685
Punjab,PBRERA-SAS81-PR0748
Punjab,PBRERA-SAS81-PR0757
Punjab,PBRERA-SAS81-PR0763
Punjab,PBRERA-SAS81-PR0765
Punjab,PBRERA-SAS81-PR0795
Punjab,PBRERA-SAS81-PR0799
Punjab,PBRERA-SAS81-PR0813
Punjab,PBRERA-SAS81-PR0819
Punjab,PBRERA-SAS81-PR0828
Punjab,PBRERA-SAS81-PR0830
Punjab,PBRERA-SAS81-PR0854
Punjab,PBRERA-SAS81-PR0866
Punjab,PBRERA-SAS81-PR0892
Punjab,PBRERA-SAS81-PR0928
Punjab,PBRERA-SAS81-PR0957
Punjab,PBRERA-SAS81-PR0958
Punjab,PBRERA-SAS81-PR0995
Punjab,PBRERA-SAS81-PR1006
Punjab,PBRERA-SAS81-PR1009
Punjab,PBRERA-SAS81-PR1042
Punjab,PBRERA-SAS81-PR1097
Punjab,PBRERA-SAS81-PR1098
Punjab,PBRERA-SAS81-PR1099
Punjab,PBRERA-SAS81-PR1106
Madhya Pradesh,P-GWL-17-753
Madhya Pradesh,P-GWL-20-2605
Madhya Pradesh,P-GWL-22-3201
Madhya Pradesh,P-IND-17-1001
Madhya Pradesh,P-IND-17-1013
Madhya Pradesh,P-IND-17-1024
Madhya Pradesh,P-IND-17-107
Madhya Pradesh,P-IND-17-1455
Madhya Pradesh,P-IND-17-255
Madhya Pradesh,P-IND-17-256
Madhya Pradesh,P-IND-17-259
Madhya Pradesh,P-IND-17-260
Madhya Pradesh,P-IND-17-345
Madhya Pradesh,P-IND-17-348
Madhya Pradesh,P-ind-17-367
Madhya Pradesh,P-IND-17-369
Madhya Pradesh,P-IND-17-442
Madhya Pradesh,P-IND-17-602
Madhya Pradesh,P-IND-17-660
Madhya Pradesh,P-IND-18-1543
Madhya Pradesh,P-IND-18-1572
Madhya Pradesh,P-IND-18-1999
Madhya Pradesh,P-IND-19-2149
Madhya Pradesh,P-IND-19-2180
Madhya Pradesh,P-IND-19-2455
Madhya Pradesh,P-IND-19-2483
Madhya Pradesh,P-IND-19-2484
Madhya Pradesh,P-IND-20-2546
Madhya Pradesh,P-IND-20-2595
Madhya Pradesh,P-IND-20-2762
Madhya Pradesh,P-IND-20-2815
Madhya Pradesh,P-IND-21-3005
Madhya Pradesh,P-IND-22-3096
Madhya Pradesh,P-IND-22-3155
Madhya Pradesh,P-IND-22-3331
Madhya Pradesh,P-IND-22-3336
Madhya Pradesh,P-IND-22-3596
Madhya Pradesh,P-IND-23-3933
Madhya Pradesh,P-IND-23-3947
Madhya Pradesh,P-IND-23-3974
Madhya Pradesh,P-IND-23-4166
Madhya Pradesh,P-IND-23-4209
Madhya Pradesh,P-IND-23-4274
Madhya Pradesh,P-IND-23-4397
Madhya Pradesh,P-IND-23-4420
Madhya Pradesh,P-IND-24-4451
Madhya Pradesh,P-IND-24-4461
Madhya Pradesh,P-IND-24-4541
Madhya Pradesh,P-IND-24-4643
Madhya Pradesh,P-IND-24-4652
Madhya Pradesh,P-IND-24-4740
Madhya Pradesh,P-IND-24-4769
Madhya Pradesh,P-IND-24-4855
Madhya Pradesh,P-IND-24-4911
Madhya Pradesh,P-IND-24-4927
Madhya Pradesh,P-IND-24-4973
Madhya Pradesh,P-IND-24-5035
Madhya Pradesh,P-IND-24-5270
Madhya Pradesh,P-IND-25-5405
Madhya Pradesh,P-JBP-17-452
Madhya Pradesh,P-JBP-22-3539
Madhya Pradesh,P-JBP-23-4248
Madhya Pradesh,P-JBP-23-4425
Maharashtra,PM1181012400048
Maharashtra,PM1183032400064
Maharashtra,PM1260002400007
Maharashtra,PM1330002400003
Maharashtra,PM1330002400089
Maharashtra,PM1331012400052
Madhya Pradesh,P-OTH-17-147
Madhya Pradesh,P-OTH-21-2893
Madhya Pradesh,P-OTH-23-4372
Madhya Pradesh,P-OTH-23-4403
Madhya Pradesh,P-OTH-24-4568
Madhya Pradesh,P-OTH-24-4784
Madhya Pradesh,P-OTH-25-5372
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00114/080917
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00268/270917
Gujarat,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00303/290917
Gujarat,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222
Gujarat,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/A1M/121218
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00064/040917
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00986/EX4/A1R/260523
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04368/141218
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06528/EX2/A1R/260523
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA08927/210821
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA09891/070322
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10325/170622
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10889/111122
Gujarat,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA12709/161123
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00388/091017
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA04324/A1R/211021
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA06343/181119
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10759/121022
Gujarat,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10833/201022
