State,Pattern Ex.-1,Pattern Ex.-2,Pattern Ex.-3,Pattern Ex.-4,Pattern Ex.-5,Pattern Ex.-6,Pattern Ex.-7,Pattern Ex.-8,Pattern Ex.-9,Pattern Ex.-10,Pattern Ex.-11,Pattern Ex.-12,Pattern Ex.-13,Pattern Ex.-14,Pattern Ex.-15,Pattern Ex.-16,Pattern Ex.-17,Pattern Ex.-18,Pattern Ex.-19,Pattern Ex.-20,Pattern Ex.-21,Pattern Ex.-22,Pattern Ex.-23,Pattern Ex.-24,Pattern Ex.-25,Pattern Ex.-26,Pattern Ex.-27,Pattern Ex.-28,Pattern Ex.-29,Pattern Ex.-30,Pattern Ex.-31,Pattern Ex.-32,Pattern Ex.-33,Pattern Ex.-34,Pattern Ex.-35,Pattern Ex.-36,Pattern Ex.-37
Andhra Pradesh,P06210170074,P02280224639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,RERAA KM 23 OF 2023-2024,RERAA KM 123 of 2021,ARERAKMPPROJ2017-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,BRERAP95816-1/139/R-1774/2024,BRERAP181728050325150929E00,BRERAP00041-008/138/R1629/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,PBRERA-SAS79-PR0228,PBRERA-SAS80-PR1063,PBRERA-SAS80-PM0164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattisgarh,P3CGRERA161118000013,PCGRERA071021001277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli,P49600000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,P49500000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,DLRERA2019P0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,PRGO08180382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01941/EX1/A1R/140622,PR/GJ/VALSAD/VAPI/Vapi Municipality/RAA14776/030225/311227, PR/GJ/VADODARA/VADODARA/Others/MAA10902/A1M/160324/311228,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917,,PR/GJ/AHMEDABAD/AHMADABADCITY/AUDA/RAA00016/EX2/221222,,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/A1M/121218,,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06528/EX2/A1R/260523,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620,,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00388/091017,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA04324/A1R/211021,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT Urban Development Authority/RN209AA10109/011022,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12149/170823,PR/GJ/RAJKOT/RAJKOT/Others/RAA12607/081123,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA14049/280824/311227,PR/GJ/GANDHINAGAR/KALOL/AUDA/MAA00023/EX1/100119,PR/GJ/SURAT/CHORYASI/Surat Urban Development Authority/MAA14223/051024/311028,PR/GJ/SURAT/CHORASI/SUDA/RAA06320/A2R/060523,PR/GJ/SURAT/OLPAD/Surat Municipal Corporation/RAA14569/231224/311229,,,PR/GJ/SURAT/SURAT CITY/SUDA/RAA06461/A1R/301122,,,,PR/GJ/VALSAD/PARDI/Others/RAA08345/A1R/190623,,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04910/250219,,,
Haryana,GGM/470/202/2021/38 DATED 27.07.2021,GGM/833/565/2024/60 DATED 03.06.2024 (SUPERSEDES GGM/662/394/2023/06 DATED 12.01.2023),41 OF 2017 DATED 10.08.2017, HRERA-PKL-FBD-76-2018,HRERA-PKL-PKL-339-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,HPRERASOL2024095/P,RERAHPSOP09210119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,JHARERA/PROJECT/102/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,PRM/KA/RERA/1248/444/PR/210319/004043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,K-RERA/PRJ/ERN/080/2023,K-RERA/PRJ/152/2021,K-RERA/PRJ/TVM/044/2024,K-RERA/PRJ/KKD/204/2024,K-RERA/PRJ/TSR/068/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
