state,unmatched_registration_number
Haryana,GGM/554/286/2022/29DATED25.04.2022
Haryana,GGM/620/352/2022/95
West Bengal,HIRA/P/KOL/2020/001014
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03063/030718
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07393/A1R/080921
Gujarat,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01520/030218
Gujarat,PR/GJ/VADODARA/VADODARA/Others/MAA12043/280623
Gujarat,PR/GJ/VADODARA/VADODARA/Others/RAA10185/120522
Rajasthan,RAJ/P/2017/051
Rajasthan,RAJ/P/2020/1390
Rajasthan,RAJ/P/2022/2207
Rajasthan,RAJ/P/2024/2997
Telangana,?P02400001517
Haryana,03 OF 2017
Haryana,05 OF 2017
Haryana,101 O 2017
Haryana,112 OF 2017
Haryana,113 OF 2017
Haryana,115 OF 2017
Haryana,118 OF 2017
Haryana,120OF2017
Haryana,125 OF 2017
Haryana,130 OF 2017
Haryana,133 OF 2017
Haryana,137 OF 2017
Haryana,15 OF 2018
Haryana,164 OF 2017
Haryana,165OF2017DATED29.08.2017
Haryana,17 of 2018
Haryana,178 OF 2017
Haryana,181 OF 2017
Haryana,184 OF 2017
Haryana,186 OF 2017
Haryana,199OF2017DATED15.9.2017
Haryana,200OF2017DATED15.9.2017
Haryana,21 of 2018
Haryana,215OF2017DATED18-09-2017
Haryana,23 of 2024 RC/REP/HARERA/GGM/796/528/2024/23
Haryana,232 OF 2017
Haryana,233 OF 2017
Haryana,244OF2017DATED29-09-2017
Haryana,254 OF 2017
Haryana,256 OF 2017
Haryana,279 OF 2017
Haryana,281 of 2017
Haryana,285 OF 2017
Haryana,288 OF 2017
Haryana,299 OF 2017
Haryana,306 OF 2017
Haryana,307 OF 2017
Haryana,319 OF 2017
Haryana,330 OF 2017
Haryana,336 OF 2017
Haryana,351 OF 2017
Haryana,352 OF 2017
Haryana,353 OF 2017
Haryana,36(A) OF 2017 DATED 05.12.2017
Haryana,367 OF 2017
Haryana,371 OF 2017 DATED27.11.2017
Haryana,379 of 2017
Haryana,54 OF 2019
Haryana,57(A) OF 2017
Haryana,67 DATED 06.11.2019
Haryana,73 OF 2017
Haryana,75 OF 2017
Haryana,81 of 2017
Haryana,83 OF 2017
Haryana,84 OF 2017
Haryana,86 OF 2017
Haryana,88 OF 2017
Haryana,90 OF 2017
Haryana,91 OF 2017
Haryana,96 OF 2017
Haryana,98 OF 2017
Haryana,99 OF 2017
Haryana,GGM/ 820/552/2024/47
Haryana,GGM/271/2018/03
Haryana,GGM/286/2018/18 DATED 12.10.2018
Haryana,GGM/290/2018/22 DATED 23.10.2018
Haryana,GGM/292/2018/24
Haryana,GGM/295/2018/27
Haryana,GGM/300/2018/32
Haryana,GGM/301/2018/33
Haryana,GGM/302/2018/34
Haryana,GGM/316/48/2019/10
Haryana,GGM/324/56/2019/18
Haryana,GGM/325/57/2019/19
Haryana,GGM/331/63/2019/25
Haryana,GGM/334/66/2019/28
Haryana,GGM/340/72/2019/34
Haryana,GGM/361/93/2019/55
Haryana,GGM/369/101/2019/63
Haryana,GGM/384/116/2019/78
Haryana,GGM/393/125/2020/09
Haryana,GGM/395/127/2020/11
Haryana,GGM/440/172/2021/08
Haryana,GGM/444/176/2021/12
Haryana,GGM/445/177/2021/13 DATED22.03.2021
Haryana,GGM/446/178/2021/14 DATED22.03.2021
Haryana,GGM/455/187/2021/23 DATED15.06.2021
Haryana,GGM/456/188/2021/24 DATED15.06.2021
Haryana,GGM/457/189/2021/25 DATED15.06.2021
Haryana,GGM/459/191/2021/27
Haryana,GGM/462/194/2021/30
Haryana,GGM/463/195/2021/31
Haryana,GGM/470/202/2021/38
