state,unmatched_registration_number,closest_template_match
Haryana,GGM/554/286/2022/29DATED25.04.2022,GGM/470/202/2021/38 DATED 27.07.2021
Haryana,GGM/620/352/2022/95,HRERA-PKL-FBD-76-2018
West Bengal,HIRA/P/KOL/2020/001014,HIRA/P/NOR/2020/000940
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03063/030718,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00080/050917
Gujarat,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07393/A1R/080921,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00587/EX1/110219
Gujarat,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01520/030218,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/A1M/121218
Gujarat,PR/GJ/VADODARA/VADODARA/Others/MAA12043/280623,PR/GJ/VADODARA/VADODARA/Others/MAA10902/A1M/160324/311228
Gujarat,PR/GJ/VADODARA/VADODARA/Others/RAA10185/120522,PR/GJ/VADODARA/VADODARA/Others/MAA10902/A1M/160324/311228
Rajasthan,RAJ/P/2017/051,RAJ/P/2024/3420 (07/12/2024)
Rajasthan,RAJ/P/2020/1390,RAJ/P/2024/3420 (07/12/2024)
Rajasthan,RAJ/P/2022/2207,RAJ/P/2024/3420 (07/12/2024)
Rajasthan,RAJ/P/2024/2997,RAJ/P/2024/3420 (07/12/2024)
Telangana,?P02400001517,P01100000747
Haryana,03 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,05 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,101 O 2017,41 OF 2017 DATED 10.08.2017
Haryana,112 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,113 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,115 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,118 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,120OF2017,HRERA-PKL-FBD-76-2018
Haryana,125 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,130 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,133 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,137 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,15 OF 2018,HRERA-PKL-FBD-76-2018
Haryana,164 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,165OF2017DATED29.08.2017,41 OF 2017 DATED 10.08.2017
Haryana,17 of 2018,HRERA-PKL-FBD-76-2018
Haryana,178 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,181 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,184 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,186 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,199OF2017DATED15.9.2017,41 OF 2017 DATED 10.08.2017
Haryana,200OF2017DATED15.9.2017,41 OF 2017 DATED 10.08.2017
Haryana,21 of 2018,HRERA-PKL-FBD-76-2018
Haryana,215OF2017DATED18-09-2017,41 OF 2017 DATED 10.08.2017
Haryana,23 of 2024 RC/REP/HARERA/GGM/796/528/2024/23,41 OF 2017 DATED 10.08.2017
Haryana,232 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,233 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,244OF2017DATED29-09-2017,41 OF 2017 DATED 10.08.2017
Haryana,254 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,256 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,279 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,281 of 2017,HRERA-PKL-FBD-76-2018
Haryana,285 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,288 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,299 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,306 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,307 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,319 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,330 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,336 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,351 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,352 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,353 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,36(A) OF 2017 DATED 05.12.2017,41 OF 2017 DATED 10.08.2017
Haryana,367 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,371 OF 2017 DATED27.11.2017,41 OF 2017 DATED 10.08.2017
Haryana,379 of 2017,HRERA-PKL-FBD-76-2018
Haryana,54 OF 2019,HRERA-PKL-FBD-76-2018
Haryana,57(A) OF 2017,HRERA-PKL-FBD-76-2018
Haryana,67 DATED 06.11.2019,41 OF 2017 DATED 10.08.2017
Haryana,73 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,75 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,81 of 2017,HRERA-PKL-FBD-76-2018
Haryana,83 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,84 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,86 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,88 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,90 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,91 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,96 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,98 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,99 OF 2017,HRERA-PKL-FBD-76-2018
Haryana,GGM/ 820/552/2024/47,HRERA-PKL-FBD-76-2018
