reg_no,prom_address,Project_detail_address,proj_completion_date,other_details_Lat_long,Project Name :,Project Details :,Type of Building :,Usage :,Site Extent(Sq.m) :,Total No. of Dwelling Units including all Phases/Villas :,Stage of Construction :,Project Completion Date :,Latitude :,Longitude :,site_address,Solid Waste Disposal by:,Water Supply Source :,Sewage Disposal by :,Renewable Energy If Applicable(Provision made in terrace floor) :,"Fire Fighting & Emergency Evacuation services as per MSB Norms for MSB's (ie., More than stilt + 5 Floors) :",Internal Road :,Others :,Project Developed by :,Type of Promoter :,Firm Name :
TN/20/Layout/3588/2024,"Mayflower Enterprises Private Limited, Plot No.16A1, Anna Statue,Huzur Road, Behind Taj Vivanta Village , Coimbatore, Coimbatore, Tamil Nadu-641018.","Mayflower Enterprises Private Limited, Plot No.16A1, Anna Statue,Huzur Road, Behind Taj Vivanta Village , Coimbatore, Coimbatore, Tamil Nadu-641018.",31.12.2026,"Location of Site: Latitude-11.2192;
Longitude-77.1134;",Mayflower East Gate,"Old S.F.No.418/2pt,New T.S.No.5/1,Block.07,Ward No.Z(26) of Vilankurichi Village,Coimbatore District",High Rise Building(HRB),Residential,2230.00,42,Under Construction,31/12/2026,11.2192,77.1134,"Old Survey No : 418/2pt
T.S. No : 5/1
Block No : 07
Village : Vilankurichi Village
City/Town : Coimbatore
State : Tamil Nadu
District : Coimbatore
Pincode : 641035",Corporation,Corporation Supply,Sewerage Treatment Plant at site maintained by Flat Promoter,Yes,Yes,Not Applicable,,FIRM,Company,Mayflower Enterprises Private Limited
TN/11/Building/0489/2024,"Kovai Life style construction Private Limited, Door No.No.27, 1st Floor,T Nagar 1st street, Ramanathapuram, Taluk.Coimbatore, Coimbatore, Tamil Nadu-641045.","Kovai Life style construction Private Limited, Door No.No.27, 1st Floor,T Nagar 1st street, Ramanathapuram, Taluk.Coimbatore, Coimbatore, Tamil Nadu-641045.",31.08.2027,"Location of Site: Latitude-105924.9;
Longitude-770202.5;",Lifestyle Luxor,"Development of Residential Building in 0.30 acres of land situated at SF.No. 472PT Ward No. 37, Block No.3 T.S.No. .33/7 & 33/8 , SF.No. 472PT, Singanallur Village, Coimbatore East Zone, Coimbatore Dist. Tamil Nadu. The Project comprises of 24 Dwelling units.",Non-High Rise Building(NHRB),Residential,1217,24,Not Yet Started,31/08/2027,105924.9,770202.5,"Survey No : SF.No.472pt
T.S. No : T.S.No. 33/7 & 33/8
Block No : Ward No..37, Block No. 3
Village : Singanallur Village
City/Town : Coimbatore
State : Tamil Nadu
District : Coimbatore
Pincode : 641005",Corporation,Corporation Supply,Septic Tank,No,No,Not Applicable,,FIRM,Company,Kovai Life style construction Private Limited
TN/11/Building/0478/2024,"M/s.INFINIUM SHELTERS LLP, No.1733/1, 2nd Floor, Trichy Road, Olymbus, Ramanathapuram,, Coimbatore - 641045, Coimbatore, Tamil Nadu-","M/s.INFINIUM SHELTERS LLP, No.1733/1, 2nd Floor, Trichy Road, Olymbus, Ramanathapuram,, Coimbatore - 641045, Coimbatore, Tamil Nadu-",16.07.2029,"Location of Site: Latitude-11.033624;
Longitude-77.012335;",INFINIUM CRIMSON CREST,"Basement + Ground + 5 floors Residential Apartments in T.S Nos. 1/4, 1/5, 1/6, 1/7 of Ward No. Y (25), Block No. 17, (Old SF Nos.348/1 Part, 340/2C), Vilankurichi Village, Coimbatore North Taluk, Coimbatore Corporation (East)",Non-High Rise Building(NHRB),Residential,6070,130,Not Yet Started,16/07/2029,11.033624,77.012335,"New Survey No : 1/3, 1/4, 1/5, 1/6
Old Survey No : 348/1 Part, 340/2C
T.S. No : 1/4, 1/5, 1/6, 1/7
Block No : 17
Village : Vilankurichi (Corporation)
City/Town : Coimbatore
Taluk : Coimbatore North
State : Tamil Nadu
District : Coimbatore
Pincode : 641004",Corporation,Corporation Supply,UDS,No,No,Not Applicable,,FIRM,Limited Liability Partnership,INFINIUM SHELTERS LLP
TN/11/Building/0495/2024,"M/s. CASA GRANDE COIMBATORE LLP, Sri Dwaraka 2nd Floor No 1-A, B R Nagar Main Road, Singanallur, Coimbatore, Tamil Nadu-641005.","M/s. CASA GRANDE COIMBATORE LLP, Sri Dwaraka 2nd Floor No 1-A, B R Nagar Main Road, Singanallur, Coimbatore, Tamil Nadu-641005.",28.08.2029,"Location of Site: Latitude-11.00271;
Longitude-77.06183;",CASAGRAND ORCHARDS PHASE I,"Proposed Construction of Phase - I Non High Rise Group Development Consists of 2 Blocks with combined Basement, Block - A : Ground Floor + 5 Upper Floors, (143 D/U) Block B : Ground Floor (Part) + 5 Upper Floors, (64 D/U) Club House (Part) Ground Floor + 4 Upper Floors and Swimming Pool on the Ground Floor Level, Totally 207 D/U Comprised in S.No. 150/1A2B of Kannampalayam Village, Sulur Taluk, Coimbatore District.",Non-High Rise Building(NHRB),Residential,38525.75,207,Not Yet Started,28/08/2029,11.00271,77.06183,"Survey No : S.No. 150/1A2B
New Survey No : S.No. 150/1A2B
Village : Kannampalayam Village
City/Town : Coimbatore
Taluk : Sulur Taluk
State : Tamil Nadu
District : Coimbatore
Pincode : 641402",Town Panchayat,Municipality Supply,Sewerage Treatment Plant at site maintained by Flat Promoter,Yes,No,Black Topped,,FIRM,Company,CASA GRANDE COIMBATORE LLP
TN/11/Building/0515/2024,"IM/s.NFINIUM DEVELOPERS LLP, Door No.1733/1, 2nd Floor, Trichy Road, Olymbus, Ramanathapuram,, Coimbatore, Tamil Nadu-641045.","IM/s.NFINIUM DEVELOPERS LLP, Door No.1733/1, 2nd Floor, Trichy Road, Olymbus, Ramanathapuram,, Coimbatore, Tamil Nadu-641045.",12.09.2028,"Location of Site: Latitude-11.03;
Longitude-77.02;",INFINIUM SKY 9,"Basement + Stilt + 9 floors Residential Apartments in S.F No. 733/4 at Veeriyamapalayam Road, Kalapatti Village, Coimbatore Corporation",High Rise Building(HRB),Residential,8777.55,216,Not Yet Started,12/09/2028,11.03,77.02,"Survey No : 733/4
New Survey No : 733/4C
Village : Kalapatti East
City/Town : Coimbatore
Taluk : Coimbatore North
State : Tamil Nadu
District : Coimbatore
Pincode : 641048",Corporation,Corporation Supply,UDS,Yes,Yes,Not Applicable,,FIRM,Limited Liability Partnership,INFINIUM DEVELOPERS LLP
TN/29/Building/0533/2024,"1.M/s. DRA AADITHYA SOUTH CITY PROJECTS PVT LTD, Door No.New Door No .109,111, & 113, Old Door No.76/1,77&78,, Lloyds Road, Avvai Shanmugam Salai,, Royapettah, Chennai, Tamil Nadu-600014.","1.M/s. DRA AADITHYA SOUTH CITY PROJECTS PVT LTD, Door No.New Door No .109,111, & 113, Old Door No.76/1,77&78,, Lloyds Road, Avvai Shanmugam Salai,, Royapettah, Chennai, Tamil Nadu-600014.",03.10.2032,"Location of Site: Latitude-13128937;
Longitude-80241453;",DRA POLARIS,"Comprised in Old Survey No.1110/Part, Town Survey Nos. 3/1,3/3,5/6 and 5/8, Ward No.D, Block No;115, Madhavaram Village,",High Rise Building(HRB),Residential,3234.41,96,Not Yet Started,03/10/2032,13128937,80241453,"City/Town : Chennai
State : Tamil Nadu
District : Chennai
Pincode : 600060",Corporation,Metro Water Supply,Connected to main sewerage line maintained by TWAD / Corporation / Municipality / CMWSSB,No,Yes,Black Topped,,FIRM,Company,M/s DRA AADITHYA SOUTH CITY PROJECTS PVT LTD
TN/20/Building/0539/2024,"M/S.VISVAS PROMOTERS PRIVATE LIMITED., Door No.VASUDHARA ENCLAVE, NO.84, TPK ROAD, ANDALPURAM,, MADURAI - 625003, Madurai, Tamil Nadu-","M/S.VISVAS PROMOTERS PRIVATE LIMITED., Door No.VASUDHARA ENCLAVE, NO.84, TPK ROAD, ANDALPURAM,, MADURAI - 625003, Madurai, Tamil Nadu-",31.03.2039,"Location of Site: Latitude-9.954501;
Longitude-78.061761;",AJITA PHASE 2,"S.No.22/5A, 22/5B, 22/6, 22/7A & 22/7B, Thuvariman Village, Thiruparankundram Panchayat Union, Madurai West Taluk, Madurai District.",Non-High Rise Building(NHRB),Residential,8376.90,37,Not Yet Started,31/03/2039,9.954501,78.061761,"Survey No : 22/5A, 22/5B, 22/6, 22/7A & 22/7B,
Village : Thuvariman
City/Town : Madurai
Taluk : Madurai West
State : Tamil Nadu
District : Madurai
Pincode : 625003",Corporation,Well Water,Sewerage Treatment Plant at site maintained by Flat Promoter,Yes,No,Not Applicable,,FIRM,Company,"M/S. VISVAS PROMOTERS PRIVATE LIMITED.,"
TN/35/Building/0444/2024,"M/s. DAC DEVELOPERS PVT LTD, Plot No.New no: 27, Old No: 19, K Block, Flat A1, 1st Main Road, Anna Nagar, Chennai - 600 102, Chennai - 600102, Chennai, Tamil Nadu-","M/s. DAC DEVELOPERS PVT LTD, Plot No.New no: 27, Old No: 19, K Block, Flat A1, 1st Main Road, Anna Nagar, Chennai - 600 102, Chennai - 600102, Chennai, Tamil Nadu-",31.07.2029,"Location of Site: Latitude-12.964847;
Longitude-80.123711;",DAC AEROPOLIS,"Basement Floor (Parking and Pump room) + Stilt Floor + 4 Floors + 5th Floor (Part) (Height - 18.30m) Residential Building with 137 Dwelling units for Affordable Housing with Gym, Association Room, & Indoor Games Room at Shankar Nagar 32nd Street, Pammal, Chennai comprised in S.Nos.167/9A and 167/9B of Pammal Village within the limits of Tambaram Municipal Corporation.",Non-High Rise Building(NHRB),Residential,5050,137,Not Yet Started,31/07/2029,12.964847,80.123711,"Survey No : S,Nos. 167/9A, 167/9B
City/Town : TAMBARAM
State : Tamil Nadu
District : Chengalpattu
Pincode : 600045",Corporation,Not Applicable,Sewerage Treatment Plant at site maintained by Flat Promoter,Yes,No,Pavement Blocks,,FIRM,Firm,DAC DEVELOPERS PVT LTD
TN/29/Building/0415/2024,"M/s. PEARL CONSTRUCTION CHENNAI PRIVATE LIMITED rep by its Managing Director Thiru.S.Kannan, Door No.16, Gayathri Nagar , Medavakkam, Chennai - 600100, Chennai, Tamil Nadu-","M/s. PEARL CONSTRUCTION CHENNAI PRIVATE LIMITED rep by its Managing Director Thiru.S.Kannan, Door No.16, Gayathri Nagar , Medavakkam, Chennai - 600100, Chennai, Tamil Nadu-",30.06.2026,"Location of Site: Latitude-13.036094;
Longitude-80.203591;",PEARL ISHAAN,"Proposed project PEARL ISHAAN to be set up at Door No.2, Anna Main road and 1st Sector 1st Street, K.K.Nagar, Chennai - 600 078 comprised in Old S.No. 394/1 Part, T.S. No:256/10, Block No. 104 of Kodambakkam village. Total Floor Area: 1854.30 sqm Total FSI Area: 1713.90 sqm No of Car parking: 22",Non-High Rise Building(NHRB),Residential,723.96,10,Not Yet Started,30/06/2026,13.036094,80.203591,"Old Survey No : 394/1
T.S. No : 256/10
Block No : 104
Village : Kodambakkam
City/Town : Door No.2, Anna Main road and 1st Sector 1st Street, K.K.Nagar, Chennai
State : Tamil Nadu
District : Chennai
Pincode : 600078",Corporation,Corporation Supply,Connected to main sewerage line maintained by TWAD / Corporation / Municipality / CMWSSB,No,No,Not Applicable,,FIRM,Company,PEARLCONSTRUCTION CHENNAI PRIVATE LIMITED
TN/35/Building/0413/2024,"M/s. CASA GRANDE GRACE PRIVATE LIMITED, New No.111 , Old No. 59 , NPL Devi , L B Road , Thiruvanmiyur, Chennai - 600041, Chennai, Tamil Nadu-","M/s. CASA GRANDE GRACE PRIVATE LIMITED, New No.111 , Old No. 59 , NPL Devi , L B Road , Thiruvanmiyur, Chennai - 600041, Chennai, Tamil Nadu-",10.03.2028,"Location of Site: Latitude-80.115289;
Longitude-12.435731;",CASAGRAND SOUTHBROOKE II,"Proposed Additional Construction of Non-High Rise Group Development Consists of 3 Blocks with Basement of Block 3 & Combined Basement of Blocks 4 & 5, Block 3 : Ground + 5 Upper Floors with 124 Dwelling Units, Block 4: Ground (Partly) + 5 Upper Floors with 208 Dwelling Units, with Clubhouse :Ground (Partly) + 4 Upper Floors & Swimming Pool on the Ground Floor, Block 5 : Ground + 5 Upper Floors with 192 Dwelling Units, Totally 524 Dwelling Units",Non-High Rise Building(NHRB),Residential,53458.53,524,Not Yet Started,10/03/2028,80.115289,12.435731,"Survey No : S.Nos. 240/13, 240/15A & 240/15B
New Survey No : S.Nos. 240/13, 240/15A & 240/15B
Village : Kalavakkam
City/Town : Chengalpet
Taluk : Thiruporur
State : Tamil Nadu
District : Chengalpattu
Pincode : 603105",Village Panchayat,Municipality Supply,Sewerage Treatment Plant at site maintained by Flat Promoter,Yes,No,Not Applicable,,FIRM,Company,CASA GRANDE GRACE PRIVATE LIMITED
