XID,Reg.,State
r415447,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA12238/010923,Gujarat
r416689,PR/GJ/VADODARA/VADODARA/Others/MAA12311/250923,Gujarat
r393293,PR/GJ/VADODARA/VADODARA/Others/RAA09922/A1R/270923,Gujarat
r417226,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12432/121023,Gujarat
r417467,PR/GJ/SURAT/SURAT CITY/SUDA/MAA12331/290923,Gujarat
r371407,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222,Gujarat
r417556,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12448/131023,Gujarat
r417559,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12526/251023,Gujarat
r417585,PR/GJ/VADODARA/VADODARA/Others/MAA12461/161023,Gujarat
r417602,PR/GJ/VADODARA/VADODARA/Others/RAA12499/211023,Gujarat
r417888,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RN363AA10263/181023,Gujarat
r418507,PR/GJ/RAJKOT/RAJKOT/Others/RAA12607/081123,Gujarat
r419768,PR/GJ/VADODARA/VADODARA/Others/RAA12636/161123,Gujarat
r419821,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12715/161123,Gujarat
r257195,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00303/290917 ,Gujarat
r420320,PR/GJ/VADODARA/VADODARA/Others/RAA12544/261023,Gujarat
r420349,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12694/A1M/141024/311228,Gujarat
r420353,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12006/230623,Gujarat
r420548,PR/GJ/VADODARA/VADODARA/Others/RAA09124/011021,Gujarat
r419501,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA12635/161123,Gujarat
r421330,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA12755/050124/300630,Gujarat
r408668,PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/MN174AA10074/A1M/201223,Gujarat
r421431,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA10275/201223/311229,Gujarat
r421436,PR/GJ/VADODARA/VADODARA/Others/MAA12742/030124/311229,Gujarat
r422584,PR/GJ/AHMEDABAD/SANAND/AHMEDABAD URBAN DEVELOPMENT AUTHORITY/MAA12900/080224/300627,Gujarat
r397295,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA10524/A1M/290124/311225,Gujarat
r422994,PR/GJ/VADODARA/VADODARA/Others/RAA12954/190224/311228,Gujarat
r423084,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13008/210224/300627,Gujarat
r423636,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12948/170224/310127,Gujarat
r423644,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA12906/120224/311228,Gujarat
r423882,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13100/070324/300927,Gujarat
r424389,PR/GJ/AHMEDABAD/SANAND/Ahmedabad Urban Development Authority/MAA13079/060324/311227,Gujarat
r6414,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA14640/040125/311229,Gujarat
r424564,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12908/A1M/311224/311227,Gujarat
r425079,PR/GJ/VADODARA/VADODARA/Others/RAA13025/230224/311228,Gujarat
r425110,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13044/270224/310327,Gujarat
r425850,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13113/110324/311226 ,Gujarat
r425978,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13092/A1R/141024/300628,Gujarat
r426054,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA13290/090424/300428,Gujarat
r426093,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13375/A1R/080125/311228,Gujarat
r426470,PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA13184/270324/300627,Gujarat
r426534,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13395/250424/311228,Gujarat
r296319,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA01279/A1M/EX1/030424/270125,Gujarat
r426894,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13446/040524/311229,Gujarat
r427302,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA14293/211024/311228,Gujarat
r427386,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13673/120624/311227,Gujarat
r427825,PR/GJ/VADODARA/VADODARA/Others/MAA12780/170124/311229,Gujarat
r428544,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA13505/140524/311228,Gujarat
r428573,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Urban Development Authority/RAA13603/310524/311230,Gujarat
r428620,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13515/160524/310328,Gujarat
r428623,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13578/240524/311228,Gujarat
r429137,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13658/100624/311226,Gujarat
r429660,PR/GJ/VADODARA/VADODARA/Vadodara Urban Development Authority/RAA13754/290624/311229,Gujarat
r430024,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13809/080724/311228,Gujarat
r430238,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA14084/020924/300929,Gujarat
r240957,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13776/010724/300329,Gujarat
r430740,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/RAA13853/160724/311229,Gujarat
r430758,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13856/220724/311229,Gujarat
r430758,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13857/220724/311229,Gujarat
r431012,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13907/290724/311227 ,Gujarat
r431636,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13781/010724/310327,Gujarat
r431642,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13821/080724/300328,Gujarat
r432390,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13610/030624/300628,Gujarat
r432446,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/RAA13665/100624/310329,Gujarat
r432460,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA13912/290724/311228,Gujarat
r433160,PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA14096/050924/300628,Gujarat
r433257,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14211/300924/300628,Gujarat
r433348,PR/GJ/RAJKOT/RAJKOT/Rajkot Municipal Corporation/MAA14049/280824/311227,Gujarat
r433366,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13989/120824/300429,Gujarat
r334407,PR/GJ/VADODARA/VADODARA/Others/MAA05581/EX1/020724/301124,Gujarat
r400219,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA10737/A1M/180924/310327,Gujarat
