XID,Reg.,State
r355806,TN/11/BUILDING/0184/2018,Tamil Nadu
r340605,TN/29/Layout/3715/2024,Tamil Nadu
r435812,TN/29/Building/0533/2024,Tamil Nadu
r435876,TN/20/Building/0539/2024,Tamil Nadu
r436153,TN/11/Layout/3970/2024,Tamil Nadu
r436315,TN/20/Regularisation-Layout/0944/2024 dated 14.11.2024,Tamil Nadu
r436826,TN/11/Layout/0007/2025,Tamil Nadu
r437329,TN/1/Building/0605/2024,Tamil Nadu
r437334,TN/32/Building/0006/2025,Tamil Nadu
r388868,TN/20/Building/0609/2024,Tamil Nadu
r437986,TN/35/Layout/0115/2025,Tamil Nadu
r313927,TN/1/Layout/4357/2024,Tamil Nadu
r438248,TN/11/Building/0588/2024,Tamil Nadu
r438256,TN/29/Building/0020/2025,Tamil Nadu
r434363,TN/11/Building/0030/2025,Tamil Nadu
r403088,TN/35/Building/0087/2025,Tamil Nadu
r433864,TN/1/Layout/0886/2025,Tamil Nadu
r437299,TN/35/Layout/1222/2025,Tamil Nadu
r15646,TN/01/Layout/3690/2023,Tamil Nadu
r430,TN/01/Building/0335/2018,Tamil Nadu
r1285, TN/01/Building/0181/2019,Tamil Nadu
r1375,TN/29/Building/0038/2022 dated 28/01/2022,Tamil Nadu
r12286,TN/29/Building/0095/2019,Tamil Nadu
r133579,TN/29/Building/0173/2017,Tamil Nadu
r225425,TN/01/Building/0047/2017,Tamil Nadu
r267433,TN/01/Layout/0322/2021 dated 09/09/2021,Tamil Nadu
r7754,TN/01/Layout/0093/2019,Tamil Nadu
r77983,TN/02/Building/0054/2017,Tamil Nadu
r240490,TN/29/Building/0379/2024,Tamil Nadu
r275839,TN/011/building/0069/2017,Tamil Nadu
r270128,TN/01/Building/0218/2017,Tamil Nadu
r272961,TN/29/Building/0223/2021,Tamil Nadu
r63083,TN/29/Building/0068/2017,Tamil Nadu
r266617,TN/01/Building/0026/2017,Tamil Nadu
r267513,TN/01/Building/0019/2017,Tamil Nadu
r273851,TN/01/Building/0012/2017,Tamil Nadu
r271059,TN/11/Layout/8344/2022,Tamil Nadu
r1988,TN/01/Building/0098/2018,Tamil Nadu
r77983,TN/02/Building/0053/2017,Tamil Nadu
r307547,TN/01/Building/0150/2018,Tamil Nadu
r77983,TN/01/Building/0129/2018,Tamil Nadu
r313927,TN/01/Layout/0034/2018,Tamil Nadu
r77983,TN/02/Building/0284/2018,Tamil Nadu
r34284,TN/29/Building/0166/2018,Tamil Nadu
r130079,TN/01/Building/0176/2018,Tamil Nadu
r323833,TN/01/Building/012/2019,Tamil Nadu
r324257,TN/29/Building/013/2019,Tamil Nadu
r324461,TN/02/Building/0315/2021,Tamil Nadu
r324701,TN/01/Building/015/2019 ,Tamil Nadu
r267043,TN/01/Layout/0018/2019,Tamil Nadu
r258491,TN/11/Building/0082/2019,Tamil Nadu
r335111,TN/01/Building/0093/2019,Tamil Nadu
r335345,TN/01/Building/0101/2019,Tamil Nadu
r267043,TN/01/Layout/0090/2019,Tamil Nadu
r337519,TN/01/Building/0111/2019,Tamil Nadu
r340605,TN/29/Layout/0127/2019,Tamil Nadu
r342799,TN/29/Building/0175/2019,Tamil Nadu
r266619,TN/01/Building/0030/2017,Tamil Nadu
r351351,TN/01/Building/0031/2020,Tamil Nadu
r351351,TN/01/Building/0042/2020,Tamil Nadu
r351351,TN/01/Building/0043/2020,Tamil Nadu
r351351,TN/01/Building/0044/2020,Tamil Nadu
r77983,TN/02/Building/0046/2020,Tamil Nadu
r352551,TN/01/Building/0075/2020,Tamil Nadu
r351351,TN/01/Building/0180/2020,Tamil Nadu
r367959,TN/11/Building/0209/2020,Tamil Nadu
r63151,TN/29/Building/0280/2020,Tamil Nadu
r335111,TN/01/Building/0376/2020,Tamil Nadu
r371041,TN/29/Building/0411/2020,Tamil Nadu
r371344,TN/01/Building/0399/2022,Tamil Nadu
r371553,TN/02/Building/0423/2020,Tamil Nadu
r372234,TN/29/Building/0448/2020,Tamil Nadu
r373831,TN/01/Building/0010/2021,Tamil Nadu
r271787,TN/29/Building/0018/2021,Tamil Nadu
r267043,TN/01/Building/0045/2021,Tamil Nadu
r374687,"TN/02/Building/0467/2020 dated 18/12/2020	",Tamil Nadu
r369997,TN/01/Building/0114/2021,Tamil Nadu
r376598,TN/11/Building/0090/2021 dated 29/03/2021,Tamil Nadu
r324563,TN/01/Building/0072/2018 ,Tamil Nadu
r378754,TN/01/BUILDING/0189/2021,Tamil Nadu
r378890,TN/11/Layout/9527/2022,Tamil Nadu
r272961,TN/29/Building/0209/2021,Tamil Nadu
r77983,TN/01/Building/0217/2021,Tamil Nadu
r380451,TN/01/BUILDING/0290/2021,Tamil Nadu
r380711,TN/30/Layout/0330/2021 dated 16/09/2021,Tamil Nadu
r381799,TN/29/Building/0341/2021 dated 01/10/2021,Tamil Nadu
r1285, TN/01/BUILDING/283/2021,Tamil Nadu
r384811,TN/01/BUILDING/0418/2021,Tamil Nadu
r385441,TN/01/Layout/0010/2022 dated 11/01/2022,Tamil Nadu
r387741,TN/02/Building/0065/2022 dated 22/02/2022,Tamil Nadu
r388868,TN/20/Regularisation-Layout/1055/2022 dated 08/03/2022,Tamil Nadu
r390484,TN/01/Building/0099/2022,Tamil Nadu
r391272,TN/11/Building/0129/2022 dated 22/04/2022,Tamil Nadu
r324563,TN/01/Building/0136/2022,Tamil Nadu
r391947,TN/11/Layout/3102/2022,Tamil Nadu
r393021,TN/01/Building/0182/2022,Tamil Nadu
r393194,TN/02/Layout/4178/2022 dated 26/05/2022,Tamil Nadu
r101553,TN/01/Building/001/2019,Tamil Nadu
r54,TN/29/Building/0009/2023,Tamil Nadu
r1383,TN/01/Layout/0117/2019,Tamil Nadu
r395606,TN/01/Building/0245/2022 dated 01/07/2022,Tamil Nadu
r397871,TN/11/Building/0330/2022,Tamil Nadu
r300015,TN/02/Layout/7456/2022,Tamil Nadu
r398743,TN/29/Building/0331/2022,Tamil Nadu
r267433,TN/01/Layout/7827/2022,Tamil Nadu
r399112,TN/29/Building/0386/2022,Tamil Nadu
r400176,TN/29/Building/430/2022,Tamil Nadu
r400347,TN/01/Building/441/2022,Tamil Nadu
r400481,TN/35/Building/0436/2023,Tamil Nadu
r401542,TN/01/Building/0497/2022 dated 05/12/2022,Tamil Nadu
r401575,TN/02/Layout/0158/2024,Tamil Nadu
r401746,TN/01/Layout/9103/2022,Tamil Nadu
r402149,TN/11/Building/0526/2022,Tamil Nadu
r267433,TN/01/Layout/9427/2022 dated 12/12/2022,Tamil Nadu
r402584,TN/29/Building/0531/2022,Tamil Nadu
r403017,TN/01/Layout/9727/2022,Tamil Nadu
r403668,TN/02/Layout/8201/2022,Tamil Nadu
r404559,TN/29/Building/192/2023,Tamil Nadu
r275677,TN/11/Building/0085/2023,Tamil Nadu
r405080,TN/29/Building/436/2022,Tamil Nadu
r405308,TN/01/Building/0163/2023,Tamil Nadu
r405310,TN/29/Building/0184/2023,Tamil Nadu
r406501,TN/2/Regularisation-Layout/0934/2023 dated 17.03.2023,Tamil Nadu
r407392,TN/20/Building/0294/2023 dated 05/07/2023,Tamil Nadu
r408184,TN/02/Layout/1307/2023,Tamil Nadu
r100985,TN/11/Building/0165/2017,Tamil Nadu
r500,TN/01/Building/0058/2017,Tamil Nadu
r223401,TN/29/Building/0073/2017,Tamil Nadu
r270078,TN/01/BUILDING/233/2017,Tamil Nadu
r271771,TN/02/Building/0190/2018,Tamil Nadu
r14102,TN/01/BUILDING/028/2019,Tamil Nadu
r163033,TN/29/Building/0154/2020 dated 20/03/2020,Tamil Nadu
r409301,TN/02/Layout/1440/2023,Tamil Nadu
r340605,TN/29/Layout/1642/2023,Tamil Nadu
r409851,TN/29/Building/0454/2023,Tamil Nadu
r409873,TN/11/Building/205/2023,Tamil Nadu
r410448,TN/16/Building/0139/2022,Tamil Nadu
r410501,TN/02/Building/0218/2023,Tamil Nadu
r410684,TN/11/Layout/1792/2023 dated 22/05/2023,Tamil Nadu
r412011,TN/29/Building/0276/2023,Tamil Nadu
r412144,TN/29/Building/0298/2023,Tamil Nadu
r412548,TN/35/Building/0493/2023,Tamil Nadu
r412829,TN/11/Building/309/2023,Tamil Nadu
r367600,TN/16/Building/0314/2023,Tamil Nadu
r413110,TN/29/Building/0320/2023,Tamil Nadu
r413587,TN/02/Layout/9044/2022,Tamil Nadu
r414512,TN/02/Building/0319/2023,Tamil Nadu
r500,TN/35/Building/0365/2023,Tamil Nadu
r414786,TN/29/Layout/2973/2023,Tamil Nadu
r415046,TN/29/Building/366/2023,Tamil Nadu
r313995,TN/29/Building/0395/2023,Tamil Nadu
r415456,TN/01/Building/0386/2023,Tamil Nadu
r415490,TN/29/Building/0379/2023,Tamil Nadu
r416386,TN/29/Building/389/2023,Tamil Nadu
r414350,TN/02/Layout/3127/2023,Tamil Nadu
r416680,TN/35/Layout/03555/2023,Tamil Nadu
r300015,TN/29/Layout/3528/2023,Tamil Nadu
r416692,TN/29/Building/467/2023,Tamil Nadu
r416957,TN/11/Layout/3616/2023,Tamil Nadu
r417033,TN/35/Layout/3871/2023,Tamil Nadu
r418684,TN/29/Layout/4130/2023,Tamil Nadu
r4384,TN/11/Building/0276/2021,Tamil Nadu
