Registration Number,Block No,Floor Number,Flat/ Apartment/ Shop/Plot type,Number of Apartment/Flats/Shop,Unit Carpet Area (in sqm),Number of Balcony,Total Area of Balcony (in sqm),Number of Verandah,Total Area of Verandah (in sqm),No. of garrage,Total Area of garage (in sqm),Open Parking Space (in Nos.)
UPRERAPRJ14252,Commercial,GF,SHOP,7,18,0,0,0,0,0,0,0
UPRERAPRJ14252,Commercial,1,SHOP,7,18,0,0,0,0,0,0,-
UPRERAPRJ14252,Commercial,BSMNT,OTHER,0,0,0,0,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],GF,3 BHK,2,113.60,5,23.54,0,0,0,0,0
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],1,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],2,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],3,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],4,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],5,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],6,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],7,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],8,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],9,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],10,3 BHK,2,113.60,5,23.54,0,0,0,0,-
UPRERAPRJ14252,Tower B1 [(3BHK+2 Store/Utility (Type-4)],11,3 BHK,2,113.60,5,23.54,0,0,0,0,-
