Registration Number,Development Type,Size Of plot,Number Of Plot/Villas,Carpet Area Of The Villa(In Sq. Mt.)
UPRERAPRJ10669,Plot,72,18,
UPRERAPRJ10669,Plot,87,5,
UPRERAPRJ10669,Plot,64,23,
UPRERAPRJ10669,Plot,70,1,
UPRERAPRJ10669,Plot,195,1,
UPRERAPRJ10669,Plot,222,1,
UPRERAPRJ10669,Plot,63,1,
UPRERAPRJ10669,Plot,62,1,
UPRERAPRJ10669,Plot,51,1,
UPRERAPRJ10669,Plot,82,1,
UPRERAPRJ10669,Villa,64,8,78
UPRERAPRJ10669,Plot,87,1, 
UPRERAPRJ692448,Plot,83,2, 
UPRERAPRJ692448,Plot,84,1,
UPRERAPRJ692448,Plot,87,1,
UPRERAPRJ692448,Plot,92,1,
UPRERAPRJ692448,Plot,94,1,
UPRERAPRJ692448,Plot,99,8,
UPRERAPRJ692448,Plot,101,2,
UPRERAPRJ692448,Plot,108,2,
UPRERAPRJ692448,Plot,119,2,
UPRERAPRJ692448,Plot,122,1,
UPRERAPRJ692448,Plot,130,3,
UPRERAPRJ692448,Plot,131,2,
UPRERAPRJ692448,Plot,132,1,
UPRERAPRJ692448,Plot,133,1,
UPRERAPRJ692448,Plot,136,1,
UPRERAPRJ692448,Plot,137,1,
UPRERAPRJ692448,Plot,147,1,
UPRERAPRJ692448,Plot,96,24,
UPRERAPRJ692448,Plot,97,2,
UPRERAPRJ692448,Plot,112,1,
UPRERAPRJ692448,Plot,116,10,
UPRERAPRJ692448,Plot,125,1,
UPRERAPRJ692448,Plot,154,1,
UPRERAPRJ692448,Plot,155,1,
UPRERAPRJ692448,Plot,199,2,
UPRERAPRJ692448,Plot,93,134, 
UPRERAPRJ692448,Villa,93,6,174
UPRERAPRJ692448,Villa,93,1,127
UPRERAPRJ396368,Villa,128,4,100
UPRERAPRJ396368,Villa,128,47,124
UPRERAPRJ396368,Villa,94,1,66
UPRERAPRJ396368,Villa,141,2,101
UPRERAPRJ396368,Villa,149,2,101
UPRERAPRJ396368,Villa,152,1,124
UPRERAPRJ396368,Villa,150,1,124
UPRERAPRJ396368,Villa,148,1,124
UPRERAPRJ396368,Villa,145,1,124
UPRERAPRJ396368,Villa,143,1,124
UPRERAPRJ396368,Villa,141,1,124
