UPRERAPRJ14252,BRICK RISE DEVELOPERS PVT. LTD.,Residential,GODREJ NEST PHASE-2,Uttar Pradesh,Gautam Buddha Nagar,03-11-2017,30-09-2024,Gautam Buddha Nagar,9503,28.420189,77.493981,Arcop Associates. Pvt. Ltd.
UPRERAPRJ17861,BRICK RISE DEVELOPERS PVT. LTD.,Residential,GODREJ NURTURE PHASE-1,Uttar Pradesh,Gautam Buddha Nagar,30-10-2018,29-03-2025,Gautam Buddha Nagar,26380,28.420189,77.493981,Arcop Associates. Pvt. Ltd.
UPRERAPRJ936659,E HOMES INFRASTRUCTURE PVT LTD,Commercial,THE JEWEL OF NOIDA (PHASE IV) - AVENUES AT BURJ NOIDA,Uttar Pradesh,Gautam Buddha Nagar,02-02-2019,04-11-2028,Gautam Buddha Nagar,698,28.575438,77.381541,DESIGNARCH CONSULTANTS PVT. LTD.
UPRERAPRJ274689,SUBLIME REALTECH PRIVATE LIMITED,Mixed,SPRING ELMAS,Uttar Pradesh,Gautam Buddha Nagar,17-12-2022,15-12-2029,Dadri,20000,28.561903,77.483416,VIPIN KUMAR
UPRERAPRJ4514,ACE INFRACITY DEVELOPERS PRIVATE LIMITED,Residential,ACE PARKWAY,Uttar Pradesh,Gautam Buddha Nagar,09-08-2017,31-12-2021,Gautam Buddha Nagar,45604,28.432134376020038,77.48222608531343,Raj Kumar 
UPRERAPRJ145318,ROSEBERRY ESTATE LLP,Mixed,GODREJ WOODS PHASE II,Uttar Pradesh,Gautam Buddha Nagar,20-05-2021,28-01-2027,Gautam Buddha Nagar,20602,71.210076,28.332727,Ar. Abhishek Verma
UPRERAPRJ773536,ROSEBERRY ESTATE LLP,Residential,GODREJ WOODS PHASE-3,Uttar Pradesh,Gautam Buddha Nagar,14-01-2022,20-10-2027,Gautam Buddha Nagar,7653,28.558,77.351,Ar. Abhishek Verma C.o. RSP Design Consultants Pvt. Ltd.
UPRERAPRJ10669,ROSSARI CONSTRUCTIONS PVT LTD,Residential,GOLDEN AVENUE,Uttar Pradesh,Meerut,14-08-2017,30-04-2022,Mawana,4561,29.092278490647473,77.87503068331351,SANDEEP TANDON
UPRERAPRJ793157/10/2024,"OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.)
AVIRAL COLONIZERS PRIVATE LIMITED
BEAUTIFUL LANDBASE PRIVATE LIMITED
SATKAR COLONISERS PRIVATE LIMITED",Residential,AANANDA NEW TOWER,Uttar Pradesh,Prayagraj,11-10-2024,15-04-2029,Karchhana,7237,25.38907,81.890277,Apurba Borah
UPRERAPRJ900072,PROTOSTAR INFRAESTATES PVT LTD,Residential,CELESTIA,Uttar Pradesh,Lucknow,16-09-2019,31-07-2024,Lucknow,2077,26.835191,80.926748,Ar. Chitranshu Khare - Point Architects Pvt Ltd
UPRERAPRJ11140,PUSHPANJALI CONSTRUCTIONS PRIVATE LIMITED,Residential,PUSHPANJALI PLANET (PUSHPANJALI HABITAT),Uttar Pradesh,Agra,07-10-2017,31-12-2021,Agra,34064,27.152812,78.034101,Theme Consultants
UPRERAPRJ877113,PEYUSH INFRAREALTORS LLP,Residential,PEARL GREEN,Uttar Pradesh,Moradabad,28-07-2023,30-06-2027,Moradabad,39635.08,28.911571,78.720462,Vinayak Gupta
UPRERAPRJ15656,OMAXE LIMITED,Residential,GH-6 (EWS & LIG) AT OMAXE INTEGRATED TOWNSHIP,Uttar Pradesh,Lucknow,13-04-2018,30-04-2023,Sarojini Nagar,13486,26.813444,80.992733,Md. Amanullah
UPRERAPRJ121123,WONDROUS BUILDMART PRIVATE LIMITED,Residential,ELDECO LIVE BY THE GREENS PHASE-II,Uttar Pradesh,Gautam Buddha Nagar,30-06-2021,31-12-2026,Gautam Buddha Nagar,15572,28.418280023285763,77.48763797780258,Mr. Kulmeet Shangari
UPRERAPRJ4253,SCC BUILDERS PVT. LTD.,Residential,"SCC SAPPHIRE PHASE-I BLOCK B,C,D & E",Uttar Pradesh,Ghaziabad,31-07-2017,31-12-2018,Ghaziabad,11348,28.709326,77.423765,ANUJ AGARWAL
UPRERAPRJ735034,SCC BUILDERS PVT. LTD.,Residential,SCC BLOSSOM (PMAY) PH-1 BLOCK X,Uttar Pradesh,Ghaziabad,16-04-2019,30-05-2021,Ghaziabad,3522,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
UPRERAPRJ171530,SCC BUILDERS PVT. LTD.,Commercial,"SCC BLOSSOM (PMAY) COMMERCIAL BLOCK, NURSING HOME AND NURSERY SCHOOL",Uttar Pradesh,Ghaziabad,23-04-2019,31-08-2022,Ghaziabad,2872,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
UPRERAPRJ245194,SCC BUILDERS PVT. LTD.,Residential,SCC BLOSSOM (PMAY) PH-2 BLOCK C AND BLOCK D,Uttar Pradesh,Ghaziabad,16-04-2019,30-06-2024,Ghaziabad,5703,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
UPRERAPRJ12692,SVS DEVELOPERS,Residential,APPLE RESIDENCY,Uttar Pradesh,Kanpur Nagar,29-09-2017,24-12-2020,Kanpur,4896,26 31'21.23' N,80 15'31.10' E,Uma Shanker
UPRERAPRJ2527,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,SECTOR-5-EWS/LIG,Uttar Pradesh,Ghaziabad,28-07-2017,31-08-2018,Ghaziabad,18872,28.64982,77.51002,Niraj Kumar nanda
