xid,Project name,Review,Sentiment
R28336,Max Heiights Majestic,"6 years ago
The best residential project for people looking for options on Sikar road",positive
R28336,Max Heiights Majestic,"2 years ago
It's a very good society   with all the amenities and b
Very much neat and clean surroundings with beautiful garden and podium
Good spacious flats ..open for sale ..",positive
R28336,Max Heiights Majestic,"3 years ago
We contacted this place  for  flats on rent so that after living we can plan to buy on same place
agents are not responsive to answer on
after calling 50 times they answer once that is the reason alll the flats are empty and people are not interested to buy there should be good team who are keen to sell the flats",negative
R28336,Max Heiights Majestic,"a year ago
Hats off for making a beautiful place for living and peaceful environment all around the society.
Thanks Max heights and Bhati sir.",positive
R28336,Max Heiights Majestic,"3 years ago
Visited Max Heights site and find this suitable for small family. Experience is good; one can think to purchase with a reasonable price.",positive
R28336,Max Heiights Majestic,"a year ago
Just roam around garden , it's fantastic
And then check out basement, lifts, balconies
Scary they are",negative
R28336,Max Heiights Majestic,"3 years ago
Best socity for a family. Safe and healthy nature around the socity.all are lives like a family.all program is celebrat and enjoying",positive
R28336,Max Heiights Majestic,"8 years ago
It's very awsome but too inside main road. If you don't have any car or conveyance. You can't think of moving out!",negative
R28336,Max Heiights Majestic,a year agoHouse are good facilities available can be more given ,positive
R28336,Max Heiights Majestic,8 years agoVery good Group Housing Sosaity at Sikar Road Suncity jaipur. ,positive
R256111,Sobha City,"5 months agoIt’s very clean and having a cricket, Basketball other grounds and a small and beautiful kid’s Swings. Also having Open Jim and in house club. Well connected to Dwarkaand Mumbai Expressway and also from Biswasan and Najafgarh. Flats price are on higher side.",positive
R256111,Sobha City,2 months agoThe society is fine but be careful if you are looking to invest here specifically in the apartments at the back side . There is an open drain near the society because of which at random times a very bad smell comes all around the society. During night time specially and it becomes impossible to sleep due to the smell. The society is doing nothing about it and you cannot expect the govt to do anything anytime soon. ,negative
R256111,Sobha City,4 years agoGreat construction and a well maintained project. One of the best if someone is looking forward for end use. Prices are high if you compare with cheap overrated projects near by.But the quality they are offering is class apart. Besides the basic amenities they have ensured the optimum utilisation of the land and have kept landscaping in a tidy state. Even though the project is under construction the project is managed in a superb manner vis a vis many projects delivered in the area. This makes the project remarkable and Unique looking forward for the delivery. ,positive
R256111,Sobha City,"3 years agoBest construction quality and well thought out architecture hands down! We have been provided with the progress reports diligently and before hand over the flat, they asked us to inspect and point out any snag post which the final payment is taken. Worth every penny. ",positive
R256111,Sobha City,"10 months agoNot a tenant friendly society. They have mandatory introduced moving in and moving out charges of Rs. 5900 both times that too only for tenants. Their tractor rule to transfer goods is totally a waste and makes you feel miserable. No authority lies with the people sitting in their FMD department and they never respond to tenants over email and if you want to discuss anything they never pick tenants phone. Simply, tenant can not talk and discuss with management for anything. In winters it’s too cold to live and in summers it’s too hot. No proper system of water, dg backup and lots of things despite this they are charging maintenance heavily. Even normal electricity is 7.2 per unit and is disastrous in summer as they won’t have proper backup system. You will find cats and dogs roam freely in parking and underneath your car. ",negative
R256111,Sobha City,2 years agoGreat project by sobha . Located in sector 108 .They have taken care of minor details in designing the project and executing it with keeping in mind what one would require to make their daily life easy and tension free . ,positive
R256111,Sobha City,"5 years agoLocated in Dwarka Expressway on the border of Delhi and Gurugram. Sobha is undoubtedly one of the most renowned and reliable real estate developers of India. Recently had a visit to Sobha City to know more about its project and was warmly received and entertained by the sales executives including by Deputy Manager, Sales Ms Sanju Saini. They also show us the sample flat and construction specifications and as to how their quality is superior and above mark. We were also taken to construction site and the building under construction. The quality of construction and overall planning seems very promising. Importance was given to even fine details. However price of appartment appears to be on a bit higher side and moreover Dwarka Expressway is still underdeveloped and that's the only matter of concern. If anyone looking for quality construction and a reputable developer then should give a visit to Sobha city in my opinion.",positive
R256111,Sobha City,4 years agoBest Construction quality with perfect finish. Rates are a bit competitive but justified with the location and quality finish. ,positive
R256111,Sobha City,"8 months agoSobha is a big name and that's why we invested our hard earn money in Sector 108, gurgaon project. Recently they handed C4 TOWER. We are very disheartened to see the blunder mistake they did with our apartment they handed to us. The passage marble flooring was in 2 different colour marble and totally mismatched from the living area. First their team tried to convince us by giving many excuses. But when we escalated the matter to higher authorities they ready to change it. Now it has been almost more then a month, they changed the passage marble twice and still it is mismatched and cracked as well. They put 4 different slabs with different color and size as well. No one is helping us in this matter and all the Sobha personnels trying to put this mistake on each other or sometime they don't even bother to reply us. If any person knows Mr. RAVI MENON'S contact number or the way we can reach to him, please let us know. Thanks ""The team is just wasting our time."" ",negative
R256111,Sobha City,"Only good thing is infrastructure in the society not out there, There is no road to travel, even village roads are better then roads available, I have visited as I got intrest to buy flat there but after seeing roads conditions I dropped this location and project, kindly check all things outside also before investing your hard earned money. ",negative
R256111,Sobha City,"Superb quality of construction, maintained and managed very well. Sobha is living up to its name. Every condo has some problems, but what I like is the velocity at which Sobha responds to to concerns of its residents. ",positive
R2966,ALTA,"If you are considering to buy or rent a flat here, better think twice. By looking at swimming pool photos, don't get fooled. Please check the lift in few towers, that itself tells you how poor the maintenance. If you are visiting the flat, check the lights, water tap, western toilet flush, that tells the current state of property. Since the apartment is very old, all these are in end of life. Once you move in, all these things goes off one by one. If you call apartment maintenance team, they take 1 week to attend the issue. All these spare parts cost falls on your head. Check the water colour in bathroom,kitchen. You and your kids have to use that water only. Above all, the house owners think very high about their flat by staying somewhere else and ask for high deposit and rent. I have stayed in nearby apartments and moved in thinking this will be good. But, its one of the worst apartment in this area. ",negative
R2966,ALTA,"Rent and Deposit that is being charged high in this locality. Any house hold items we need to buy we need to travel 4 to 5 KMs. Heavy maintenances charge with low amenities. No bus stop near, No proper Network. Super Market provisioning items we cannot buy. the rates are very very high.. so cannot use this shop for buying ",negative
R2966,ALTA,Lovely place to stay. If you buy an apartment at the top floor I bet you will love the beauty and charm of this place. We love view from our balcony. Have a nice sea view. Con is that you may need own vehicle for easy commune. Good water connection and hygiene place. Power Backup and good security people's. Still in construction phase. ,positive
R2966,ALTA,Apartment was good. Entrance need to be maintained as it was very clumsy at rainy days. Need to pave some roads to access the OMR in convenient way. Have supermarket inside the apartment itself. Parking was also quite good. Family rental will be good here. ,positive
R2966,ALTA,A decent apartment complex. It's a budget apartment and so don't expect all the luxurious amminities. There is a gym which is functional. Its a calm place. During the evenings one can enjoy the cool breeze especially during the winter months. ,positive
R2966,ALTA,"This is a great place to live if you don't have to visit the city too often. Serene and calm sorrounding, nice friendly community, plenty of space in the campus and most importantly, the constant breeze that keeps flowing throughout the day. Aminities are not that great and the builder seems to be working on these forever. ",positive
R2966,ALTA,"A typical old age paradise, away from city crowd, peaceful place for all retired community pol, slightly far sway from city, but flats are well planned for ventilation, for those who have there office in sirusseri and beyond this will suit, else s retirement community apartment. Still u have enough space to walk ",positive
R2966,ALTA,"If you are going to buy or rent flat consider the points below I have stayed here more than 3 year, found the followings It have no water source, it depends only on the external water tankers. Sewage water(Waste Water) also depends on the Sewage tankers. Wastage management also depends on the private cleaners. For basic amenities you should travel at-least of 3-4 kms. Now only inside apartments they opened a shop. Construction still take place and Community has not formed. ",negative
R265661,Aishwaryam Courtyard Gold,"Worst builder , worst staff ,no quality check at all .People took possession 2 years before , still there is no handover, no amenities ready yet.False promise by builder and his team. Builder don't bother about anything people tried to reach him but he simply don't care about people's health , hygeine. ",negative
R265661,Aishwaryam Courtyard Gold,"What a fraud.building material used is 3rd class 3rd class society and people living here.Oversmart people,wanna be hifi. They also trouble shopkeepers. Builder is a scammer sells flats and shops delay giving property papers ",negative
R265661,Aishwaryam Courtyard Gold,"0 star is not an option, We purchased a flat here and getting the worst experience we could get. Quality is way below expectations.. construction quality is Third grade. Worst class site Engineers and supervisors. An unfinished flat with 50+ mistakes looks to them as a flat ready for possession. Seepage issue at large. Management does not care about customer satisfaction at all. DO NOT WASTE YOUR HARD EARNED MONEY HERE. GO FOR BIG BRAND NAMES. ",negative
