Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Media Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date,Price trends
Vivaan Oliver,VIVAAN GROUP,"SP Ring Road, Behind Sangath Prominence, Zundal, North West, Ahmedabad",Not Found,"Dec, 2027",854 - 1836 sq.ft.,1.15 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11459/150323,,192,3 BHK Apartment,12,"Cricket Pitch, Gazebo, Fire Sprinklers, Table Tennis, Gymnasium, Fire Fighting System, Closed Car Parking, 24X7 Water Supply, Car Parking, Senior Citizen Siteout, Piped Gas Connection, +14 more",Not Found,Not Found,Not Found,0,2003,8,"Vivaan Group is committed to providing you a higher quality oflife and redefining the standard of living throug hinnovative reale state products. We distinctively differentiate ourselves through our unvarying focus on 3 core values-Customer Centricity, Quality, and Transparency. We have consistently stood at the forefront of design, raising the bar on aesthetics, functionality, infrastructure, andeco-friendliness.",Under Construction,"Oct, 2023",₹3.7K/sq.ft
Highline,AG GROUP,"New Science City Road, S.G Highway, Gota, North West, Ahmedabad",₹6.32 K/sq.ft,"Mar, 2028",2700 - 9978 sq.ft.,3.83 Acres (60% open),PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11517/270323,,349,"3, 4, 5 BHK Apartment,Duplex,Penthouses",12,"Reading Lounge, Internet / Wi-Fi, Cricket Pitch, Volleyball Court, Sauna Bath, Spa, Gazebo, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Mini Theatre, +33 more",Not Found,Not Found,Not Found,0,3,Not Found,...,Under Construction,"Jan, 2023",Not Found
Saamarth Twinland,SAAMARTH GROUP,"Koba, Gandhinagar",Not Found,"Dec, 2027",8478 - 10575 sq.ft.,,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13673/120624/311227,,80,"4, 5 BHK Villas",12,"Children's Play Area, Entrance Lobby, 24X7 Water Supply, Street Lighting, Solid Waste Management And Disposal, Storm Water Drains, Landscaping & Tree Planting, Internal Roads & Footpaths, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Power Backup, +1 more",Not Found,Not Found,Not Found,0,2008,12,"Saamarth Group is been ranked Unparalleled in Real Estate Developers of Gandhinagar & Ahmedabad. We have been associated in developing Exquisite & Top Notch Residential Projects since a vast time-span and thus have gained the Position amongst the Leading Real Estate Developers not just in Gandhinagar but Gujarat as well. As a Brand, our Objective is to Strive for Excellence in Building Residencies of Premium Quality Design & Construction Services.
In this ten years period of real estate, we have finished many residential and commercial projects. By conveying excellent quality at affordable prices, we have been powering the aspirations of the emerging and dynamic middle class.
By bringing to life appealingly supreme villas and farm houses, we are redefining luxury and ways of enjoying it. With eco-friendly materials and construction techniques, our company share concern for the nature.
We attempt to provide value for money to our customers.
We have built complete and exclusive structures, with a strong belief in safety, hygiene, efficiency and technological advancement.
We believe that the provision of alive and kicking constructions and the comfort of clients form the backbone of all the functions of the Saamarth.
Latest utility systems, aesthetically superior facades and explicit building maintenance form special features of all the Saamarth Group.",Under Construction,"Sep, 2023",Not Found
Polaris Casarica,POLARIS BUILDCON LLP,"Survey No. 428/1/001, Behind Shikshapatri, Swagat Flamingo Road, Sargaasan, Gandhinagar",₹38.92 K - 44.57 K/sq.yd,"Oct, 2025",275 - 276 sq.yd.,1.21 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10271/060622,,152,3 BHK Apartment,12,"Cricket Pitch, Gazebo, Solar Lighting, Skating Rink, Fountains, Bus Shelter, Fire Fighting System, Car Parking, 24X7 Water Supply, Jogging Track, Street Lighting, +14 more",Not Found,Not Found,Not Found,0,1978,5,"Polaris Group Polaris Group has been a leader in the Real Estate industry for almost two decades. From changing skylines to ensuring inspiration and innovation in every project, their vision is based on determination & hard work. Executed residential to commercial projects, the team is undeterred & progressive. Maintaining the legacy of innovation in construction, we continue to add new milestones every year. Expertise with an environment-friendly approach, The Polaris Group reinforces by being cost-effective & implementing the latest technology in our projects to ensure complete customer satisfaction.

The visionary of all Polaris Group directors is renowned for his excellence, quality, performance, and years of land development experience. Our strength & conviction can be attributed to the dedicated & qualified team of directors. Like the Star, The Polaris Group inspires trust with its finest architecture and engineering expertise. Exceeding industry standards Polaris is making its mark in the industry which is consistently changing, evolving, and transcending expectations. It is the determination to transform every challenge into an opportunity.",Under Construction,"May, 2022",₹4.7K/sq.ft
Adani Ambrosia,ADANI REALTY,"Near Vaishno Devi Circle On SG Highway, Ahmedabad",₹13.51 K - 15.01 K/sq.ft,"Sep, 2026",1672 - 2066 sq.ft.,2.45 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10833/201022,,156,4 BHK Apartment,12,"Amphitheater, Reading Lounge, Cricket Pitch, Gazebo, Reflexology Park, Skating Rink, Swimming Pool, Landscaping & Tree Planting, Kid's Pool, Gymnasium, Closed Car Parking, +14 more",Not Found,Not Found,Not Found,0,1988,26,"Adani Realty is one of the youngest arms of India's top infrastructure and development conglomerate - the Adani Group. With a commitment to getting India on par with the most advanced countries around the world, we have begun development in our most promising cities, integrating the finest design aesthetics with cutting-edge construction technology. As part of the Adani Group, we have a legacy of trust and excellence we live up to; a fact that has driven us to achieve a lot in a relatively short period of time. At present, we are developing over 69 million sq. ft. of residential, commercial and social club projects across Ahmedabad, Mumbai, Gurgaon, Mundra and Kochi.",Under Construction,"Oct, 2022",₹9.5K/sq.ft
Adani Embrace,ADANI REALTY,"Near Vaishnodevi Circle Off SG Highway, Shantigram, Ahmedabad",11.38 K - ₹12.85 K/sq.ft,"Jul, 2027",988 - 2529 sq.ft.,2.26 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12526/251023,,248,"3, 4 BHK Apartments",12,"Children's Play Area, Entrance Lobby, Yoga / Meditation Area, Solar Lighting, Swimming Pool, Fire Sprinklers, Lift(s), Landscaping & Tree Planting, Mini Theatre, 24x7 CCTV Surveillance, Video Door Security, +12 more",Not Found,Not Found,Not Found,0,1988,26,"Adani Realty is one of the youngest arms of India's top infrastructure and development conglomerate - the Adani Group. With a commitment to getting India on par with the most advanced countries around the world, we have begun development in our most promising cities, integrating the finest design aesthetics with cutting-edge construction technology. As part of the Adani Group, we have a legacy of trust and excellence we live up to; a fact that has driven us to achieve a lot in a relatively short period of time. At present, we are developing over 69 million sq. ft. of residential, commercial and social club projects across Ahmedabad, Mumbai, Gurgaon, Mundra and Kochi.",Under Construction,"Oct, 2023",₹7.5K/sq.ft
Vivaan Essence,NORTHSIDE PROPERTIES,"Northside Properties, Vivaan Essence, Behind Sangath Prominence, Opp. Cbd Mall, Near Pushkar Residency, Between Divine Circle And Vaishnodevi Circle, S.p. Ring Road, Zundal, North West, Ahmedabad",Not Found,"Jul, 2026",,0.76 Acres (66% open),PR/GJ/GANDHINAGAR/GANDHINAGAR/GUJRERA/221221/013889,,162,2 BHK Apartment,12,"Children's Play Area, Partial Power Backup, Internet / Wi-Fi, Gazebo, Lift(s), Landscaping & Tree Planting, Terrace Garden, EV Charging Point, 24x7 CCTV Surveillance, Solar Power System, Gymnasium, +4 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Jan, 2023",₹3.7K/sq.ft
Sobha Elysia,SOBHA LIMITED,"Shram Marg, Gift City, Gift City",₹19.9 K - 22.01 K/sq.ft,"Dec, 2030",1226 - 2045 sq.ft.,2.64 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT Urban Development Authority/RAA13206/300324/311230,,572,"3, 4 BHK Apartments",12,"Reflexology Park, Swimming Pool, Open Gym, Landscaping & Tree Planting, Kid's Pool, Gymnasium, Closed Car Parking, Car Parking, 24X7 Water Supply, Senior Citizen Siteout, Gated Community, +14 more",Not Found,Not Found,Not Found,0,1995,254,"Sobha Limited is one of fastest growing real estate companies in India with its operations spread across 13 states and 24 cities as well as in the Middle East. It was established in 1995 and has a market value of Rs 26 billion. The developer is headquartered in Bangalore and is engaged in the development of contractual and residential projects encompassing villas, row houses, plotted development, presidential apartments, luxury and super luxury apartments. Sobha Limited has attained ISO 14001:2004 and OHSAS 18001:2007 certifications for environmental, health and safety management systems. It has bagged various awards like ‘India’s Top 10 Builders Award’ by Construction World, ‘Builder of the Year’ and ‘Most Reliable Builder Award’ by CNBC, ‘Employer of the Year Award’ by Realty Plus and ‘Top Indian Real Estate Company’ by Dun & Bradstreet. Experience and Strengths",Under Construction,"Mar, 2024",₹10.2 K/sq.ft
Praharsh Serena,DR INFRASTRUCTURE,"Safal Parisar Road, South Bopal, Ahmedabad",₹4.2 K/sq.ft,"Dec, 2027",,2.3 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12235/310823,,261,3 BHK Apartment,12,"Yoga / Meditation Area, Gazebo, Barbecue Area, Landscaping & Tree Planting, Terrace Garden, Mini Theatre, Gymnasium, Closed Car Parking, Jogging Track, Multipurpose Hall, Senior Citizen Siteout, +6 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Aug, 2023",₹4.2K/sq.ft
Kavisha The Portrait,KAVISHA ATRIA LLP,"Kavisha Portrait, Nr. Club 07, Shela, South West, Ahmedabad",7.99 K - ₹9.77 K/sq.ft,"Dec, 2027",1035 - 2830 sq.ft.,3.79 Acres,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA12621/101123,,461,"3, 4, 5 BHK Apartments",12,"Gazebo, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium, 24X7 Water Supply, Car Parking, Jogging Track, Senior Citizen Siteout, +16 more",Not Found,Not Found,Not Found,0,5,Not Found,"Kavisha Group made its foray into the real estate market in the year 1999 as a land dealer and developer. Within a short span of time, the company has carved a niche for itself in the realty market by providing exemplary projects. It follows a customer-centric approach and strives to deliver high-quality projects at affordable prices. Committed to delivering the best, the company remains in trend with new innovative space planning techniques and updated construction technology.",Under Construction,"Sep, 2023",₹5 K/sq.ft
