XID,Project Name,Configuration,List Item,Price
408676,Vivaan Oliver,3 BHK Apartment,854 SQ.FT,Price on Request
408676,Vivaan Oliver,3 BHK Apartment,860 SQ.FT,Price on Request
408676,Vivaan Oliver,3 BHK Apartment,888 SQ.FT,Price on Request
408676,Vivaan Oliver,3 BHK Apartment,1836 SQ.FT,Price on Request
406898,Highline,"3 BHK Apartment
1.71 Cr - 1.71 Cr",2700 SQ.FT,₹ 1.71 Cr
406898,Highline,"3 BHK Apartment
1.71 Cr - 1.71 Cr",2701 SQ.FT,₹ 1.71 Cr
406898,Highline,"4 BHK Penthouse
3.4 Cr",5391 SQ.FT,₹ 3.4 Cr
406898,Highline,"4 BHK Apartment
3.43 Cr",5432 SQ.FT,₹ 3.43 Cr
406898,Highline,"5 BHK Duplex
6.3 Cr",9978 SQ.FT,₹ 6.3 Cr
427386,Saamarth Twinland,4 BHK Villa,8478 SQ.FT,Price on Request
427386,Saamarth Twinland,5 BHK Villa,9018 SQ.FT,Price on Request
427386,Saamarth Twinland,5 BHK Villa,9351 SQ.FT,Price on Request
427386,Saamarth Twinland,5 BHK Villa,9432 SQ.FT,Price on Request
427386,Saamarth Twinland,5 BHK Villa,10575 SQ.FT,Price on Request
393562,Polaris Casarica,"3 BHK Apartment
1.07 Cr - 1.23 Cr",275 SQ.YD,₹ 1.07 Cr
393562,Polaris Casarica,"3 BHK Apartment
1.07 Cr - 1.23 Cr",276 SQ.YD,₹ 1.23 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",1672 SQ.FT,₹ 2.26 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",1784 SQ.FT,₹ 2.41 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",1785 SQ.FT,₹ 2.41 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",1787 SQ.FT,₹ 2.42 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",1788 SQ.FT,₹ 2.42 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",1902 SQ.FT,₹ 2.57 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",2062 SQ.FT,₹ 3.05 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",2063 SQ.FT,₹ 3.05 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",2065 SQ.FT,₹ 3.1 Cr
399887,Adani Ambrosia,"4 BHK Apartment
2.26 Cr - 3.1 Cr",2066 SQ.FT,₹ 3.1 Cr
417559,Adani Embrace,3 BHK Apartment,988 SQ.FT,₹ 1.27 Cr
417559,Adani Embrace,3 BHK Apartment,1044 SQ.FT,Price on Request
417559,Adani Embrace,3 BHK Apartment,1097 SQ.FT,₹ 1.41 Cr
417559,Adani Embrace,3 BHK Apartment,1158 SQ.FT,Price on Request
417559,Adani Embrace,3 BHK Apartment,1243 SQ.FT,₹ 1.6 Cr
417559,Adani Embrace,3 BHK Apartment,1346 SQ.FT,Price on Request
417559,Adani Embrace,3 BHK Apartment,1347 SQ.FT,Price on Request
417559,Adani Embrace,3 BHK Apartment,1367 SQ.FT,Price on Request
417559,Adani Embrace,3 BHK Apartment,1368 SQ.FT,Price on Request
417559,Adani Embrace,3 BHK Apartment,2238 SQ.FT,₹ 2.88 Cr
417559,Adani Embrace,4 BHK Apartment,2527 SQ.FT,Price on Request
417559,Adani Embrace,4 BHK Apartment,2529 SQ.FT,Price on Request
417559,Adani Embrace,4 BHK Apartment,2529 SQ.FT,Price on Request
404764,Vivaan Essence,2 BHK Apartment,156 SQ.YD,Price on Request
426127,Sobha Elysia,"3 BHK Apartment
2.44 Cr",1226 SQ.FT,₹ 2.44 Cr
426127,Sobha Elysia,"4 BHK Apartment
2.93 Cr - 4.5 Cr",1489 SQ.FT,₹ 2.93 Cr
426127,Sobha Elysia,"4 BHK Apartment
2.93 Cr - 4.5 Cr",1731 SQ.FT,₹ 3.41 Cr
426127,Sobha Elysia,"4 BHK Apartment
2.93 Cr - 4.5 Cr",2045 SQ.FT,₹ 4.5 Cr
415440,Praharsh Serena,"3 BHK Apartment
75.18 L",1790 SQ.FT,₹ 75.18 L
419031,Kavisha The Portrait,3 BHK Apartment,1035 SQ.FT,₹ 1.01 Cr
419031,Kavisha The Portrait,3 BHK Apartment,1085 SQ.FT,Price on Request
419031,Kavisha The Portrait,3 BHK Apartment,1108 SQ.FT,₹ 1.08 Cr
419031,Kavisha The Portrait,3 BHK Apartment,1564 SQ.FT,Price on Request
419031,Kavisha The Portrait,3 BHK Apartment,1572 SQ.FT,Price on Request
419031,Kavisha The Portrait,3 BHK Apartment,1669 SQ.FT,Price on Request
419031,Kavisha The Portrait,3 BHK Apartment,2160 SQ.FT,Price on Request
419031,Kavisha The Portrait,4 BHK Apartment,2196 SQ.FT,Price on Request
419031,Kavisha The Portrait,4 BHK Apartment,2282 SQ.FT,Price on Request
419031,Kavisha The Portrait,4 BHK Apartment,2285 SQ.FT,₹ 2.21 Cr
419031,Kavisha The Portrait,4 BHK Apartment,2657 SQ.FT,Price on Request
419031,Kavisha The Portrait,4 BHK Apartment,2660 SQ.FT,Price on Request
419031,Kavisha The Portrait,4 BHK Apartment,2661 SQ.FT,Price on Request
419031,Kavisha The Portrait,"5 BHK Apartment
1.95 Cr - 2.26 Cr",2488 SQ.FT,₹ 1.95 Cr
419031,Kavisha The Portrait,"5 BHK Apartment
1.95 Cr - 2.26 Cr",2830 SQ.FT,₹ 2.26 Cr
400416,Vida Project,"Studio Apartment
1.01 Cr",483 SQ.FT,₹ 1.01 Cr
400416,Vida Project,"1 BHK Apartment
1.11 Cr",529 SQ.FT,₹ 1.11 Cr
400416,Vida Project,"2 BHK Apartment
1.82 Cr",871 SQ.FT,₹ 1.82 Cr
400416,Vida Project,"3 BHK Apartment
2.47 Cr",1180 SQ.FT,₹ 2.47 Cr
421330,Anamika High Point,"4 BHK Apartment
2.86 Cr - 3.63 Cr",1766 SQ.FT,₹ 2.86 Cr
421330,Anamika High Point,"4 BHK Apartment
2.86 Cr - 3.63 Cr",2237 SQ.FT,₹ 3.63 Cr
421330,Anamika High Point,"5 BHK Apartment
5.42 Cr",3345 SQ.FT,₹ 5.42 Cr
428567,Polaris Callisto,"4 BHK Apartment
1.89 Cr - 1.96 Cr",465 SQ.YD,₹ 1.89 Cr
428567,Polaris Callisto,"4 BHK Apartment
1.89 Cr - 1.96 Cr",489 SQ.YD,₹ 1.96 Cr
433366,Krishna Solitude,"4 BHK Apartment
1.38 Cr",345 SQ.YD,₹ 1.38 Cr
416927,Tulsi Paradise,"3 BHK Apartment
85 L",200 SQ.YD,"₹ 85.0 L
i"
422985,Serenity Shivam,"3 BHK Apartment
71.8 L",1795 SQ.FT,₹ 71.8 L
405940,Shlok Abhilasha,4 BHK Apartment,3096 SQ.FT,Price on Request
405940,Shlok Abhilasha,4 BHK Apartment,3159 SQ.FT,Price on Request
405940,Shlok Abhilasha,4 BHK Apartment,3420 SQ.FT,Price on Request
405940,Shlok Abhilasha,4 BHK Apartment,3456 SQ.FT,Price on Request
405940,Shlok Abhilasha,4 BHK Apartment,3546 SQ.FT,Price on Request
410064,Vivaan Aura,2 BHK Apartment,158 SQ.YD,Price on Request
410064,Vivaan Aura,3 BHK Apartment,204 SQ.YD,Price on Request
428573,Ekarth Sarvam,"5 BHK Apartment
3.57 Cr - 4 Cr",750 SQ.YD,₹ 3.57 Cr
428573,Ekarth Sarvam,"5 BHK Apartment
3.57 Cr - 4 Cr",840 SQ.YD,₹ 4.0 Cr
411905,Polaris Calice,"3 BHK Apartment
1.11 Cr - 1.18 Cr",279 SQ.YD,₹ 1.11 Cr
411905,Polaris Calice,"3 BHK Apartment
1.11 Cr - 1.18 Cr",295 SQ.YD,₹ 1.18 Cr
402612,Kopren Park View,"2 BHK Apartment
59.5 L",145 SQ.YD,"₹ 59.5 L
i"
402612,Kopren Park View,"3 BHK Apartment
79.91 L",200 SQ.YD,"₹ 79.91 L
i"
387280,Supercity Joy,"1 BHK Apartment
28.25 L",720 SQ.FT,₹ 28.25 L
387280,Supercity Joy,"2 BHK Apartment
40.5 L",1035 SQ.FT,₹ 40.5 L
395251,Vishwanath Sarathya West,"3 BHK Apartment
74.01 L",1760 SQ.FT,₹ 74.01 L
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1282 SQ.FT,₹ 1.22 Cr
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1283 SQ.FT,₹ 1.22 Cr
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1285 SQ.FT,₹ 1.23 Cr
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1447 SQ.FT,₹ 1.38 Cr
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1448 SQ.FT,₹ 1.38 Cr
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1463 SQ.FT,₹ 1.4 Cr
410304,Super Shaligram,"3 BHK Apartment
1.22 Cr - 1.43 Cr",1501 SQ.FT,₹ 1.43 Cr
410304,Super Shaligram,"4 BHK Apartment
1.56 Cr - 1.57 Cr",1640 SQ.FT,₹ 1.56 Cr
410304,Super Shaligram,"4 BHK Apartment
1.56 Cr - 1.57 Cr",1645 SQ.FT,₹ 1.57 Cr
410304,Super Shaligram,"5 BHK Apartment
2.37 Cr - 2.38 Cr",2484 SQ.FT,₹ 2.37 Cr
410304,Super Shaligram,"5 BHK Apartment
2.37 Cr - 2.38 Cr",2485 SQ.FT,₹ 2.37 Cr
410304,Super Shaligram,"5 BHK Apartment
2.37 Cr - 2.38 Cr",2496 SQ.FT,₹ 2.38 Cr
388209,Sharanya Altura,"3 BHK Apartment
86.01 L",1760 SQ.FT,₹ 86.01 L
411643,Vivaan Solitaire,3 BHK Apartment,203 SQ.YD,Price on Request
423659,Solitaire Vista 2,"2 BHK Apartment
44 L",1377 SQ.FT,"₹ 44.0 L
i"
