XID,Unit Type,Unit Size,Area Type,Price,Possession Date
399887,4 BHK,3208 sq.ft,Super Area,2.30 Cr,Possession by Sep'26
399887,4 BHK,3211 sq.ft,Super Area,2.37 Cr,Possession by Sep'26
399887,4 BHK,3700 sq.ft,Super Area,2.66 Cr,Possession by Sep'26
417559,Penthouse,4672 sq.ft,Super Area,3.60 Cr,Possession by Jul'27
417559,3 BHK,988 sq.ft,Super Area,Price Not Available,Possession by Jul'27
417559,3 BHK,1966 sq.ft,Super Area,1.40 Cr,Possession by Jul'27
417559,3 BHK,1996 sq.ft,Super Area,1.33 Cr,Possession by Jul'27
417559,3 BHK,2164 sq.ft,Super Area,1.55 Cr,Possession by Jul'27
417559,3 BHK,2514 sq.ft,Super Area,1.68 Cr,Possession by Jul'27
404764,Penthouse,1494 sq.ft,Super Area,72 Lac,Possession by Jun'26
404764,2 BHK,1404 sq.ft,Super Area,56.1 Lac,Possession by Jun'26
404764,2 BHK,1413 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,2 BHK,1414 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,2 BHK,1415 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,2 BHK,1416 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,2 BHK,1417 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,2 BHK,1418 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,2 BHK,1419 sq.ft,Super Area,51.5 Lac,Possession by Jun'26
404764,4 BHK,4180 sq.ft,Super Area,2.75 Cr,Possession by Jun'26
404764,4 BHK,4240 sq.ft,Super Area,2.95 Cr,Possession by Jun'26
426127,3 BHK,1876 sq.ft,Super Area,2.53 Cr,Possession by Dec'30
426127,4 BHK,2253 sq.ft,Super Area,2.98 Cr,Possession by Dec'30
426127,4 BHK,2625 sq.ft,Super Area,3.61 Cr,Possession by Dec'30
426127,4 BHK,3462 sq.ft,Super Area,4.76 Cr,Possession by Dec'30
419031,3 BHK,1035 sq.ft,Super Area,1.08 Cr,Possession by Dec'27
419031,3 BHK,2160 sq.ft,Super Area,97.2 Lac,Possession by Dec'27
419031,3 BHK,2570 sq.ft,Super Area,1.15 Cr,Possession by Dec'27
419031,4 BHK,3260 sq.ft,Super Area,1.46 Cr,Possession by Dec'27
419031,4 BHK,3775 sq.ft,Super Area,1.69 Cr,Possession by Dec'27
400416,3 BHK,1180 sq.ft,Super Area,2.36 Cr,Possession by Jun'28
400416,2 BHK,871 sq.ft,Super Area,1.75 Cr,Possession by Jun'28
400416,1 BHK,529 sq.ft,Super Area,1.06 Cr,Possession by Jun'28
421330,5 BHK,3346 sq.ft,Super Area,5.32 Cr,Possession by Jun'30
421330,4 BHK,1767 sq.ft,Super Area,2.80 Cr,Possession by Jun'30
421330,4 BHK,2237 sq.ft,Super Area,3.56 Cr,Possession by Jun'30
428567,4 BHK,4182 sq.ft,Super Area,2.20 Cr,Possession by Dec'27
428567,4 BHK,4184 sq.ft,Super Area,2.20 Cr,Possession by Dec'27
428567,4 BHK,4185 sq.ft,Super Area,2.20 Cr,Possession by Dec'27
428567,4 BHK,4186 sq.ft,Super Area,2.20 Cr,Possession by Dec'27
428567,4 BHK,4410 sq.ft,Super Area,2.35 Cr,Possession by Dec'27
428567,4 BHK,4413 sq.ft,Super Area,2.35 Cr,Possession by Dec'27
428567,4 BHK,4415 sq.ft,Super Area,2.35 Cr,Possession by Dec'27
428567,4 BHK,4416 sq.ft,Super Area,2.35 Cr,Possession by Dec'27
405940,4 BHK,3096 sq.ft,Super Area,1.47 Cr,Possession by Dec'26
405940,4 BHK,3159 sq.ft,Super Area,1.50 Cr,Possession by Dec'26
405940,4 BHK,3420 sq.ft,Super Area,1.69 Cr,Possession by Dec'26
405940,4 BHK,3456 sq.ft,Super Area,1.70 Cr,Possession by Dec'26
405940,4 BHK,3546 sq.ft,Super Area,1.65 Cr,Possession by Dec'26
410064,3 BHK,204 sq.ft,Super Area,61.2 Lac,Possession by Dec'26
410064,3 BHK,1836 sq.ft,Super Area,61.2 Lac,Possession by Dec'26
410064,2 BHK,1395 sq.ft,Super Area,48.1 Lac,Possession by Dec'26
410064,2 BHK,1422 sq.ft,Super Area,49 Lac,Possession by Dec'26
411905,Penthouse,3906 sq.ft,Super Area,1.73 Cr,Possession by Dec'27
411905,Penthouse,4131 sq.ft,Super Area,1.83 Cr,Possession by Dec'27
411905,Penthouse,4464 sq.ft,Super Area,2.48 Cr,Possession by Dec'27
411905,Penthouse,4716 sq.ft,Super Area,2.61 Cr,Possession by Dec'27
411905,3 BHK,2511 sq.ft,Super Area,1.24 Cr,Possession by Dec'27
411905,3 BHK,2655 sq.ft,Super Area,1.30 Cr,Possession by Dec'27
410304,Penthouse,3306 sq.ft,Super Area,2.60 Cr,Possession by Mar'29
410304,Penthouse,5339 sq.ft,Super Area,3.47 Cr,Possession by Mar'29
410304,3 BHK,2641 sq.ft,Super Area,1.60 Cr,Possession by Mar'29
410304,3 BHK,2645 sq.ft,Super Area,1.65 Cr,Possession by Mar'29
410304,4 BHK,3428 sq.ft,Super Area,1.81 Cr,Possession by Mar'29
410304,4 BHK,3445 sq.ft,Super Area,2.10 Cr,Possession by Mar'29
402571,Penthouse,3104 sq.ft,Super Area,2 Cr,Possession by Jun'26
402571,Penthouse,3770 sq.ft,Super Area,2.45 Cr,Possession by Jun'26
402571,Penthouse,5045 sq.ft,Super Area,3.30 Cr,Possession by Jun'26
402571,3 BHK,2050 sq.ft,Super Area,1 Cr,Possession by Jun'26
402571,3 BHK,2051 sq.ft,Super Area,1.27 Cr,Possession by Jun'26
