XID,Project Name,Unit Type,Area,Price,Area Type
4006,RG Luxury Homes Phase II,2 BHK 1229 Sq. Ft. Apartment,1229 Sq. Ft.,Price on Request,(Saleable)
4006,RG Luxury Homes Phase II,3 BHK 1872 Sq. Ft. Apartment,1872 Sq. Ft.,Price on Request,(Saleable)
4904,Adani Oyster Grande Phase 2,3 BHK 1689 Sq. Ft. Apartment,1689 Sq. Ft.,Rs 1.82 Cr,(Saleable)
4904,Adani Oyster Grande Phase 2,3 BHK 2598 Sq. Ft. Apartment,2598 Sq. Ft.,Rs 2.80 Cr,(Saleable)
4904,Adani Oyster Grande Phase 2,4 BHK 3188 Sq. Ft. Apartment,3188 Sq. Ft.,Rs 3.44 Cr,(Saleable)
4904,Adani Oyster Grande Phase 2,4 BHK 4750 Sq. Ft. Penthouse,4750 Sq. Ft.,Rs 5.12 Cr,(Saleable)
5452,Eros Sampoornam III,2 BHK 835 Sq. Ft. Apartment,532 Sq. Ft.,Rs 73.06 Lac,(Carpet)
5452,Eros Sampoornam III,2 BHK 1060 Sq. Ft. Apartment,665 Sq. Ft.,Rs 93.28 Lac,(Carpet)
5452,Eros Sampoornam III,3 BHK 1350 Sq. Ft. Apartment,790 Sq. Ft.,Rs 1.20 Cr,(Carpet)
5452,Eros Sampoornam III,3 BHK 1800 Sq. Ft. Apartment,1069 Sq. Ft.,Rs 1.84 Cr,(Carpet)
5832,Nirala Estate II,2 BHK 995 Sq. Ft. Apartment,995 Sq. Ft.,Rs 1.06 Cr,(Saleable)
5832,Nirala Estate II,3 BHK 1225 Sq. Ft. Apartment,1225 Sq. Ft.,Rs 1.31 Cr,(Saleable)
5832,Nirala Estate II,3 BHK 1897 Sq. Ft. Apartment,1897 Sq. Ft.,Rs 2.03 Cr,(Saleable)
7182,DLF Ultima Phase II,3 BHK 2132 Sq. Ft. Apartment,2132 Sq. Ft.,Rs 3.80 Cr,(Saleable)
7182,DLF Ultima Phase II,3 BHK 1912 Sq. Ft. Apartment,1912 Sq. Ft.,Rs 3.41 Cr,(Saleable)
7182,DLF Ultima Phase II,4 BHK 2549 Sq. Ft. Apartment,2549 Sq. Ft.,Rs 4.56 Cr,(Saleable)
7182,DLF Ultima Phase II,4 BHK 2824 Sq. Ft. Apartment,2824 Sq. Ft.,Rs 5.06 Cr,(Saleable)
8664,DLF The Crest,2 BHK 2400 Sq. Ft. Apartment,2400 Sq. Ft.,Rs 3.80 Cr,(Saleable)
8664,DLF The Crest,2 BHK 2349 Sq. Ft. Apartment,2349 Sq. Ft.,Rs 3.72 Cr,(Saleable)
8664,DLF The Crest,3 BHK 2644 Sq. Ft. Apartment,2644 Sq. Ft.,Rs 4.19 Cr,(Saleable)
8664,DLF The Crest,3 BHK 2662 Sq. Ft. Apartment,2662 Sq. Ft.,Rs 4.21 Cr,(Saleable)
8664,DLF The Crest,3 BHK 3087 Sq. Ft. Apartment,3087 Sq. Ft.,Rs 4.89 Cr,(Saleable)
8664,DLF The Crest,3 BHK 3511 Sq. Ft. Apartment,3511 Sq. Ft.,Rs 5.56 Cr,(Saleable)
8664,DLF The Crest,4 BHK 3081 Sq. Ft. Apartment,3081 Sq. Ft.,Rs 4.88 Cr,(Saleable)
8664,DLF The Crest,4 BHK 3898 Sq. Ft. Apartment,3898 Sq. Ft.,Rs 6.17 Cr,(Saleable)
8664,DLF The Crest,4 BHK 3907 Sq. Ft. Apartment,3907 Sq. Ft.,Rs 6.19 Cr,(Saleable)
8664,DLF The Crest,4 BHK 3497 Sq. Ft. Apartment,3497 Sq. Ft.,Rs 5.54 Cr,(Saleable)
8664,DLF The Crest,4 BHK 4498 Sq. Ft. Penthouse,4498 Sq. Ft.,Rs 7.12 Cr,(Saleable)
8664,DLF The Crest,4 BHK 4953 Sq. Ft. Penthouse,4953 Sq. Ft.,Rs 7.84 Cr,(Saleable)
8664,DLF The Crest,5 BHK 6221 Sq. Ft. Penthouse,6221 Sq. Ft.,Rs 9.85 Cr,(Saleable)
10412,Purvanchal Royal City II,3 BHK 1815 Sq. Ft. Apartment,1815 Sq. Ft.,Rs 1.83 Cr,(Saleable)
10412,Purvanchal Royal City II,3 BHK 1825 Sq. Ft. Apartment,1825 Sq. Ft.,Rs 1.84 Cr,(Saleable)
15378,Solitairian City Villas,3 BHK 1740 Sq. Ft. Villa,1740 Sq. Ft.,Price on Request,(Saleable)
