XID,Project Name,City,magicbricks.com link,housing.com link,squareyards.com link
428412,Signature Global Titanium SPR,Gurugram,https://www.magicbricks.com/signatureglobal-titanium-spr-sector-71-gurgaon-pdpid-4d4235343231353933,https://housing.com/in/buy/projects/page/321322-signature-global-titanium-spr-by-signature-global-builders-pvt-ltd-in-sector-71,https://www.squareyards.com/gurgaon-residential-property/signature-global-titanium-spr/249570/project
405181,M3M Golf Hills,Gurugram,https://www.magicbricks.com/m3m-golf-hills-phase-1-sector-79-gurgaon-pdpid-4d4235343030303737,https://housing.com/in/buy/projects/page/296234-m3m-golf-hills-by-m3m-india-pvt-ltd-in-sector-79,https://www.squareyards.com/gurgaon-residential-property/m3m-golf-hills/220071/project
391580,DLF The Grove,Gurugram,https://www.magicbricks.com/dlf-the-grove-sector-54-gurgaon-pdpid-4d4235333336343433,https://housing.com/in/buy/projects/page/275695-dlf-the-grove-by-dlf-real-estate-builders-limited-in-dlf-phase-5,https://www.squareyards.com/gurgaon-residential-property/dlf-the-grove/130079/project
430191,Adani Lushlands,Gurugram,https://www.magicbricks.com/adani-lushlands-gwal-pahari-gurgaon-pdpid-4d4235343232363233,https://housing.com/in/buy/projects/page/329111-adani-lushlands-by-adani-realty-in-gwal-pahari,https://www.squareyards.com/gurgaon-residential-property/adani-lushlands/251901/project
318679,Hero Homes,Gurugram,https://www.magicbricks.com/hero-homes-sector-104-gurgaon-pdpid-4d4235313139323831,https://housing.com/in/buy/projects/page/95699-hero-homes-gurgaon-by-hero-realty-private-limited-in-sector-104,https://www.squareyards.com/gurgaon-residential-property/hero-homes-gurgaon/10213/project
336331,ATS Destinaire,Noida,https://www.magicbricks.com/ats-destinaire-noida-extension-greater-noida-pdpid-4d4235313235313937,https://housing.com/in/buy/projects/page/225397-ats-destinaire-by-ats-infrastructure-limited-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/ats-destinaire/10912/project
270729,ATS Rhapsody,Noida,https://www.magicbricks.com/ats-rhapsody-noida-extension-noida-pdpid-4d4235303936373339,https://housing.com/in/buy/projects/page/44136-ats-rhapsody-by-ats-infrastructure-limited-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/ats-rhapsody/8676/project
427056,M3M Altitude,Gurugram,https://www.magicbricks.com/m3m-altitude-sector-65-gurgaon-pdpid-4d4235343230383733,https://housing.com/in/buy/projects/page/321022-m3m-altitude-by-m3m-india-pvt-ltd-in-sector-65,https://www.squareyards.com/gurgaon-residential-property/m3m-altitude/247647/project
25860,ATS Triumph,Gurugram,https://www.magicbricks.com/ats-triumph-sector-104-gurgaon-pdpid-4d4235303239393035,https://housing.com/in/buy/projects/page/83-ats-triumph-by-ats-infrastructure-limited-in-sector-104,https://www.squareyards.com/gurgaon-residential-property/ats-triumph/234/project
379918,Nimbus Express Park View 2 Low Rise,Noida,https://www.magicbricks.com/nimbus-express-park-view-ii-low-rise-chi-5-greater-noida-pdpid-4d4235333332343933,https://housing.com/in/buy/projects/page/257380-nimbus-the-express-park-view-ii-low-rise-apartments-by-nimbus-realty-in-chi-v-greater-noida,https://www.squareyards.com/greater-noida-residential-property/nimbus-express-park-view-ii/1187/project
426159,Nimbus The Palm Village,Noida,https://www.magicbricks.com/nimbus-the-palm-village-yamuna-expressway-greater-noida-pdpid-4d4235343230363035,https://housing.com/in/buy/projects/page/319921-nimbus-the-palm-village-by-nimbus-realty-in-jewar,https://www.squareyards.com/greater-noida-residential-property/nimbus-the-palm-village/247100/project
426520,Conscient Parq,Gurugram,https://www.magicbricks.com/parq-sector-80-gurgaon-pdpid-4d4235343230373839,https://housing.com/in/buy/projects/page/320891-conscient-parq-by-conscient-infrastructure-in-sector-80,https://www.squareyards.com/gurgaon-residential-property/conscient-parq/247842/project
404068,M3M Crown,Gurugram,https://www.magicbricks.com/m3m-crown-phase-1-sector-111-gurgaon-pdpid-4d4235333933333337,https://housing.com/in/buy/projects/page/288734-m3m-crown-by-m3m-india-pvt-ltd-in-sector-111,https://www.squareyards.com/gurgaon-residential-property/m3m-crown/214724/project
327273,County 107,Noida,https://www.magicbricks.com/county-107-sector-107-noida-pdpid-4d4235313234373439,https://housing.com/in/buy/projects/page/198060-county-107-by-county-group-in-sector-107,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project
434608,Eldeco Fairway Reserve,Gurugram,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137,https://housing.com/in/buy/projects/page/332463-eldeco-fairway-reserve-by-eldeco-infrastructure-properties-limited-in-sector-80,https://www.squareyards.com/gurgaon-residential-property/eldeco-fairway-reserve/324073/project
378131,M3M Soulitude,Gurugram,https://www.magicbricks.com/m3m-soulitude-sector-89-gurgaon-pdpid-4d4235333234383739,https://housing.com/in/buy/projects/page/261019-m3m-soulitude-by-m3m-india-pvt-ltd-in-sector-89,https://www.squareyards.com/gurgaon-residential-property/m3m-soulitude/106807/project
333369,Emaar Digihomes,Gurugram,https://www.magicbricks.com/emaar-digi-homes-sector-62-gurgaon-pdpid-4d4235313234343135,https://housing.com/in/buy/projects/page/198354-emaar-digi-homes-by-emaar-in-sector-62,NA
404772,Central Park The Orchard,Gurugram,https://www.magicbricks.com/central-park-the-orchard-sohna-sector-32-gurgaon-pdpid-4d4235343034333833,https://housing.com/in/buy/projects/page/293320-central-park-the-orchard-by-central-park-in-sector-32-sohna,https://www.squareyards.com/gurgaon-residential-property/central-park-the-orchard/217447/project
390137,Tulip Monsella,Gurugram,https://www.magicbricks.com/tulip-monsella-sector-53-gurgaon-pdpid-4d4235333332313237,https://housing.com/in/buy/projects/page/277126-tulip-monsella-by-tulip-infratech-pvt-ltd-in-sector-53,https://www.squareyards.com/gurgaon-residential-property/tulip-monsella/113706/project
403842,Adani Samsara Avasa,Gurugram,https://www.magicbricks.com/adani-samsara-avasa-sector-63-gurgaon-pdpid-4d4235343035303531,https://housing.com/in/buy/projects/page/295441-adani-samsara-avasa-by-adani-realty-in-sector-63,https://www.squareyards.com/gurgaon-residential-property/adani-samsara-vilasa/14119/project
403945,Irish Platinum,Noida,https://www.magicbricks.com/irish-platinum-vaidpura-greater-noida-pdpid-4d4235343230373431,https://housing.com/in/buy/projects/page/317382-irish-platinum-by-irish-infrastructure-private-limited-in-sector-10,https://www.squareyards.com/greater-noida-residential-property/irish-platinum/245846/project
405529,Navraj The Antalyas,Gurugram,https://www.magicbricks.com/navraj-the-antalyas-sector-37d-gurgaon-pdpid-4d4235343131333439,https://housing.com/in/buy/projects/page/297932-navraj-the-antalya-by-navraj-builder-in-sector-37d,https://www.squareyards.com/gurgaon-residential-property/navraj-the-antalyas/228575/project
419936,Godrej Aristocrat,Gurugram,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,https://housing.com/in/buy/projects/page/310951-godrej-aristocrat-by-godrej-properties-ltd-in-sector-49,https://www.squareyards.com/gurgaon-residential-property/godrej-aristocrat/235556/project
427191,Ganga Anantam,Gurugram,https://www.magicbricks.com/ganga-anantam-sector-85-gurgaon-pdpid-4d4235343231393237,https://housing.com/in/buy/projects/page/319501-anantam-by-ganga-realty-in-sector-85,https://www.squareyards.com/gurgaon-residential-property/ganga-anantam/249821/project
