XID,Project Name,Unit Type,Area,Price,Area Type
408676,Vivaan Oliver,3 BHK 851 Sq. Ft. Apartment,851 Sq. Ft.,Rs 63.20 Lac,(Carpet)
408676,Vivaan Oliver,3 BHK 1836 Sq. Ft. Apartment,1836 Sq. Ft.,Rs 1.36 Cr,(Carpet)
406898,AG Highline,3 BHK 2700 Sq. Ft. Apartment,2700 Sq. Ft.,Rs 1.58 Cr,(Saleable)
427386,Saamarth Twinland,5 BHK 3521 Sq. Ft. Villa,3521 Sq. Ft.,Price on Request,(Carpet)
393562,Polaris Casarica,3 BHK 2475 Sq. Ft. Apartment,2475 Sq. Ft.,Rs 1.07 Cr,(Saleable)
393562,Polaris Casarica,3 BHK 2484 Sq. Ft. Apartment,2484 Sq. Ft.,Rs 1.08 Cr,(Saleable)
399887,Adani Ambrosia,4 BHK 1787 Sq. Ft. Apartment,1787 Sq. Ft.,Rs 2.31 Cr,(Carpet)
399887,Adani Ambrosia,4 BHK 2065 Sq. Ft. Apartment,2065 Sq. Ft.,Rs 2.67 Cr,(Carpet)
417559,Adani Embrace,3 BHK 1082 Sq. Ft. Apartment,1082 Sq. Ft.,Rs 1.29 Cr,(Carpet)
417559,Adani Embrace,3 BHK 2238 Sq. Ft. Apartment,2238 Sq. Ft.,Rs 2.67 Cr,(Carpet)
404764,Vivaan Essence,2 BHK 1404 Sq. Ft. Apartment,1404 Sq. Ft.,Rs 55.00 Lac,(Saleable)
426127,Sobha Elysia,3 BHK 1817 Sq. Ft. Apartment,1817 Sq. Ft.,Rs 2.50 Cr,(Saleable)
426127,Sobha Elysia,4 BHK 3462 Sq. Ft. Apartment,3462 Sq. Ft.,Rs 4.76 Cr,(Saleable)
426127,Sobha Elysia,4 BHK 2254 Sq. Ft. Apartment,2254 Sq. Ft.,Rs 3.10 Cr,(Saleable)
415440,DR Praharsh Serena,3 BHK 1790 Sq. Ft. Apartment,1790 Sq. Ft.,Rs 75.15 Lac,(Saleable)
419031,Kavisha The Portrait,3 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Rs 1.11 Cr,(Carpet)
419031,Kavisha The Portrait,3 BHK 1400 Sq. Ft. Apartment,1400 Sq. Ft.,Rs 1.41 Cr,(Carpet)
419031,Kavisha The Portrait,4 BHK 1600 Sq. Ft. Apartment,1600 Sq. Ft.,Rs 1.67 Cr,(Carpet)
