XID,URL,Project Name,Builder Name,Location,Price Range,Price per Sqft,Configurations,Completion Date,Unit Size Range,LandMarks,Project Size,Launch Date,RERA Number,Total Number of Units,USP,BHK,Amenity Count,Amenities,Specifications,Photo Count,Video Count,Rating count,Price Trend,Builder URL,Builder Experience,Total Projects,Ongoing Projects,Past Projects,Builder Info,Project Status
408676,https://www.squareyards.com/ahmedabad-residential-property/vivaan-oliver/246162/project,Vivaan Oliver,Vivaan Group,"Zundal, Ahmedabad",Rs63.20 Lac - 1.36 Cr,N/A,3 BHK Flats,Ask for Details,851 Sq. Ft to 1836 Sq. Ft (Carpet),N/A,1.5 Acres,Ask for Details,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11459/150323,221 units,,3 BHK,25,Gymnasium; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo; Large Green Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Power Backup; PNG; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Party Hall; Amphitheater; Indoor Games; Senior Citizen Area,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,22,2,N/A,,https://www.squareyards.com/vivaan-group-projects/19538/builder,N/A,9,5,4,N/A,New Launch
406898,https://www.squareyards.com/ahmedabad-residential-property/ag-highline/228352/project,AG Highline,AG Group,"Gota, Ahmedabad",Rs1.58 Cr,N/A,3 BHK Flats,Ask for Details,2700 Sq. Ft (Saleable),N/A,3.83 Acres,Ask for Details,PR/GJ/AHMEDABAD/AHMEDABAD,263 units,,3 BHK,37,Cafe / Coffee Bar; Dance Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Conference Room; Spa; Senior Citizen Area; Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Power Backup; Treated Water Supply; Day Care Center; Pet Area; 24*7 Water Supply; Lift; Gymnasium; Swimming Pool; Kids' Pool; Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards; Gazebo,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,12,0,N/A,,https://www.squareyards.com/ag-group-projects/19351/builder,N/A,1,1,N/A,N/A,New Launch
427386,https://www.squareyards.com/ahmedabad-residential-property/saamarth-twinland/250001/project,Saamarth Twinland,Saamarth Group,"Koba, Ahmedabad",Price on Request,N/A,5 BHK Villa,Ask for Details,3521 Sq. Ft (Carpet),N/A,9.2 Acres,Ask for Details,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar,80 units,,5 BHK,7,Power Backup; Treated Water Supply; 24*7 Water Supply; 24 x 7 Security; Kids' Play Areas / Sand Pits; Indoor Games; Normal Park / Central Green,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,1,0,N/A,,https://www.squareyards.com/saamarth-group-projects/23507/builder,N/A,3,2,1,N/A,New Launch
393562,https://www.squareyards.com/ahmedabad-residential-property/polaris-casarica/247253/project,Polaris Casarica,Polaris Group,"Sargaasan, Ahmedabad",Rs1.07 Cr - 1.08 Cr,N/A,3 BHK Flats,Ask for Details,2475 Sq. Ft to 2484 Sq. Ft (Saleable),N/A,1.21 Acres,Ask for Details,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA10271/060622,170 units,"Polaris Casarica: Strategically located near NH 147 and Gandhi Nagar Ahmedabad Highway.,Exclusive 3 BHK apartments with 2475-2484 sq. ft. of spacious living areas.,Experience top-notch amenities, including a well-equipped gym and reliable power backup.,Enjoy premium finishes with acrylic emulsion walls in master bedrooms.,Conveniently situated in Sargaasan with easy access to major roads and highways.,Polaris Casarica: A haven of comfort and style in the heart of Ahmedabad.",3 BHK,34,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Power Backup; Treated Water Supply; Car Washing Bays; 24*7 Water Supply; Lift; Party Lawn; Cafe / Coffee Bar; Mini Theatre; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Rain Water Harvesting; Normal Park / Central Green; Solar Lighting,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,12,1,N/A,,https://www.squareyards.com/polaris-group-projects/21634/builder,N/A,6,2,4,N/A,Mid Stage
399887,https://www.squareyards.com/ahmedabad-residential-property/adani-ambrosia/229506/project,Adani Ambrosia,Adani Realty,"Shantigram, Ahmedabad",Rs2.31 Cr - 2.67 Cr,N/A,4 BHK Flats,Ask for Details,1787 Sq. Ft to 2065 Sq. Ft (Carpet),N/A,2.45 Acres,Ask for Details,N/A,156 units,"Strategically located near Sardar Patel Ring Road and NH 147 for seamless connectivity.,RERA approved with registration number PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA10833/201022 for buyer reassurance.,Experience a luxurious lifestyle with state-of-the-art gymnasium and power backup system.,Unwind in a peaceful retreat with well-planned master bedrooms and lush green surroundings.,Email address - [email address] to get best deals and latest updates.,Live amidst nature serenity within the 10-acre Shantigram township, a haven of tranquility.",4 BHK,26,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Gymnasium; Swimming Pool; Kids' Pool; Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo; Normal Park / Central Green; Power Backup; Pet Area; 24*7 Water Supply; Lift; Party Lawn,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,15,2,N/A,,https://www.squareyards.com/adani-realty-projects/4/builder,31 Years Experience,45,13,32,"Founded in 1988, Adani Realty is one of India's leading real estate developers. Committed to excellence, the prestigious builder company has multiple ongoing real estate projects in various tier-1 cities from Gurgaon, Mumbai, Pune, and Ahmedabad.",Mid Stage
417559,https://www.squareyards.com/ahmedabad-residential-property/adani-embrace/238173/project,Adani Embrace,Adani Realty,"Shantigram, Ahmedabad",Rs1.29 Cr - 2.67 Cr,N/A,3 BHK Flats,Ask for Details,1082 Sq. Ft to 2238 Sq. Ft (Carpet),N/A,2.26 Acres,Ask for Details,PR/GJ/AHMEDABAD/AHMEDABAD,251 units,"Strategically located near Sardar Patel Ring Road and NH 147 for seamless connectivity,Amenities like power backup and gym to enhance a luxurious lifestyle,Luxurious master bedrooms with oil bound distemper walls and vitrified tiles flooring,Enjoy hassle-free living with 24/7 power backup and backup,Stay fit and active with on-site gym facilities at your doorstep,Lavish living at affordable prices to fit your budget and lifestyle",3 BHK,22,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Normal Park / Central Green; Solar Lighting; IGBC Certified Building; Mini Theatre; Party Hall; Clubhouse; Indoor Games; Senior Citizen Area; Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,29,1,N/A,,https://www.squareyards.com/adani-realty-projects/4/builder,31 Years Experience,45,13,32,"Founded in 1988, Adani Realty is one of India's leading real estate developers. Committed to excellence, the prestigious builder company has multiple ongoing real estate projects in various tier-1 cities from Gurgaon, Mumbai, Pune, and Ahmedabad.",Mid Stage
404764,https://www.squareyards.com/ahmedabad-residential-property/vivaan-essence/229599/project,Vivaan Essence,Vivaan Group,"Zundal, Ahmedabad",Rs55.00 Lac,N/A,2 BHK Flats,Ask for Details,1404 Sq. Ft (Saleable),N/A,0.77 Acres,Ask for Details,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11224/280223,162 units,"Strategically located near Sardar Patel Ring Road.,Approved by Gujarat RERA with RERA number PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11224/280223.,Covered with power backup for uninterrupted comfort.,Well-equipped gymnasium for a healthy lifestyle.,Acrylic emulsion and vitrified tiles for ultimate living experience.",2 BHK,16,Power Backup; PNG; 24*7 Water Supply; Lift; Gymnasium; Kids' Play Areas / Sand Pits; Gazebo; Clubhouse; Indoor Games; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Solar Lighting; Large Green Area,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,16,0,N/A,,https://www.squareyards.com/vivaan-group-projects/19538/builder,N/A,9,5,4,N/A,New Launch
426127,https://www.squareyards.com/ahmedabad-residential-property/sobha-elysia/247645/project,Sobha Elysia,Sobha,"Gift City, Ahmedabad",Rs2.50 Cr - 4.76 Cr,N/A,"3, 4 BHK Flats",Ask for Details,1817 Sq. Ft to 3462 Sq. Ft (Saleable),N/A,2.65 Acres,Ask for Details,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT,572 units,"Sobha Elysia: Luxurious 3 & 4 BHK apartments in Gift City, Ahmedabad.,Strategically located near Sardar Patel Ring Road and NH 8 for easy connectivity.,Experience opulent living with amenities like power backup and gymnasium.,Well-appointed interiors with oil-bound distemper finishes in master bedrooms.,Choose from spacious 3 & 4 BHK apartments with areas ranging from 1817-3462 sq. ft.,Walmart corporate office and other commercial establishments nearby, making it a prime location.","3, 4 BHK",16,Power Backup; 24*7 Water Supply; Lift; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Clubhouse; Indoor Games; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; N/A,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,16,1,N/A,,https://www.squareyards.com/sobha-projects/104/builder,24 Years Experience,191,24,172,"Indian global real estate developer Sobha Limited, formerly Sobha Developers Limited, has its headquarters in Bangalore. PNC Menon formed Sobha Developers Limited on August 7, 1995, and remains the Chairman emeritus today. As of August 18, 2014, the enterprise is now known as Sobha Limited.",New Launch
415440,https://www.squareyards.com/ahmedabad-residential-property/dr-praharsh-serena/246731/project,DR Praharsh Serena,DR Infrastructure,"Bopal, Ahmedabad",Rs75.15 Lac,N/A,3 BHK Flats,Ask for Details,1790 Sq. Ft (Saleable),N/A,2.3 Acres,Ask for Details,PR/GJ/AHMEDABAD/AHMEDABAD,261 units,,3 BHK,27,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,22,1,N/A,,https://www.squareyards.com/dr-infrastructure-projects/21604/builder,N/A,1,1,N/A,N/A,New Launch
419031,https://www.squareyards.com/ahmedabad-residential-property/kavisha-the-portrait/246051/project,Kavisha The Portrait,Kavisha,"Shela, Ahmedabad",Rs1.11 Cr - 3.85 Cr,N/A,"3, 4, 5 BHK Flats",Ask for Details,1100 Sq. Ft to 2860 Sq. Ft (Carpet),N/A,3.79 Acres,Ask for Details,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA12621/101123,521 units,,"3, 4, 5 BHK",20,Cafe / Coffee Bar; Dance Room; Party Hall; Amphitheater; Indoor Games; Conference Room; Senior Citizen Area; Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; 24 x 7 Security; Normal Park / Central Green; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Golf Simulator; Gazebo,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,15,0,N/A,,https://www.squareyards.com/kavisha-projects/846/builder,N/A,9,2,7,"Kavisha construction group, promoted by an entrepreneur, Mr. Ramesh K. Patel has emerged as a fast growing and prominent group engaged primarily in the activity of real estate development and construction. Starting with the business of land dealing, the group forayed in real estate development activities since 1999 and in a short span of 11 years, the group has achieved healthy progress with projects already completed and under execution involving area under development of 3,60,000 sq.ft.",New Launch
