XID,Phase,region,proj_name,proj_city,magicbricks.com link,Magic Bricks 2,housing.com link,Housing 2,squareyards.com link,Square Yards 2
743,Multi,Noida,Logix Blossom County,Noida,https://www.magicbricks.com/logix-blossom-county-2-sector-137-noida-pdpid-4d4235323839313331,,https://housing.com/in/buy/projects/page/29436-logix-blossom-county-by-logix-group-in-sector-137,,https://www.squareyards.com/gurgaon-residential-property/emaar-gurgaon-greens/245/project,
4006,Multi,Noida,RG Luxury Homes,Greater Noida,,,,,https://www.squareyards.com/greater-noida-residential-property/rg-luxury-homes-phase-ii/20836/project,
4904,Multi,Gurugram,Adani M2K Oyster Grande,Gurgaon,,,,,https://www.squareyards.com/gurgaon-residential-property/adani-oyster-grande-phase-2/10346/project,
5452,Multi,Noida,Eros Sampoornam,Greater Noida,,,https://housing.com/in/buy/projects/page/272625-eros-sampoornam-2-by-ajay-enterprises-pvt-ltd-in-noida-extension,,https://www.squareyards.com/greater-noida-residential-property/eros-sampoornam-iii/20711/project,
5832,Multi,Noida,Nirala Estate,Greater Noida,https://www.magicbricks.com/nirala-estate-phase-1-techzone-4-greater-noida-pdpid-4d4235333331373337,https://www.magicbricks.com/nirala-estate-phase-iii-techzone-4-greater-noida-pdpid-4d4235333336383539,,,https://www.squareyards.com/greater-noida-residential-property/nirala-estate-ii/20617/project,
7182,Multi,Gurugram,DLF The Ultima,Gurgaon,,,,,https://www.squareyards.com/gurgaon-residential-property/dlf-ultima-phase-ii/21196/project,
8664,Multi,Gurugram,DLF The Crest,Gurgaon,,,,,https://www.squareyards.com/gurgaon-residential-property/dlf-the-crest/342/project,
10412,Multi,Noida,Purvanchal Royal City,Greater Noida,,,,,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city-ii/20746/project,
15378,Multi,Noida,Solitairian City,Greater Noida,,,,,https://www.squareyards.com/noida-residential-property/solitairian-city-villas/20732/project,
136575,Multi,Gurugram,Ashiana Anmol,Gurgaon,https://www.magicbricks.com/ashiana-anmol-phase-3-sohna-sector-33-gurgaon-pdpid-4d4235333333353039,,,,https://www.squareyards.com/gurgaon-residential-property/ashiana-anmol-phase-2/112788/project,https://www.squareyards.com/gurgaon-residential-property/ashiana-anmol-phase-3/113087/project
269397,Multi,Noida,ATS Picturesque Reprieves,Noida,,,https://housing.com/in/buy/projects/page/227243-ats-picturesque-reprieves-phase-2-by-ats-infrastructure-limited-in-sector-152,,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves-phase-2/100012/project,
