XID,Unit Type,Unit Size,Area Type,Price,Possession Date
743,4,BHK Flat 1850 sq.ft,Area Not Available,"₹ 2.46 Cr
₹2.14 lakh EMI",Under Construction
743,4,BHK Flat 1850 sq.ft,Area Not Available,"₹ 2.44 Cr
₹2.12 lakh EMI",Under Construction
743,2,BHK Flat 1150 sq.ft,Area Not Available,"₹ 88 Lac
₹76.4K EMI",Ready to Move
5832,3,BHK Flat 1280 sq.ft,Area Not Available,"₹ 1.15 Cr
₹1 lakh EMI",Ready to Move
5832,3,BHK Flat 1120 sq.ft,Area Not Available,"₹ 1.79 Cr
₹1.55 lakh EMI",Ready to Move
5832,3,BHK Flat 1410 sq.ft,Area Not Available,"₹ 1.79 Cr
₹1.55 lakh EMI",Ready to Move
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
136575,3 BHK,1527 sq.ft,Super Area,1.64 Cr,Possession by Dec'27
136575,3 BHK,1776 sq.ft,Super Area,1.86 Cr,Possession by Dec'27
136575,2 BHK,1205 sq.ft,Super Area,1.32 Cr,Possession by Dec'27
136575,4 BHK,1884 sq.ft,Super Area,2 Cr,Possession by Dec'27
