XID,URL,Name,Price
r420162,https://www.magicbricks.com/kamini-kaushal-the-watermark-adityapur-jamshedpur-pdpid-4d4235343232303435,Kamini Kaushal The Watermark,Rs 45.3 Lac - Rs 61.2 Lac
r413382,https://www.magicbricks.com/shriram-solitaire-yelahanka-new-town-bangalore-pdpid-4d4235343036333233,Shriram Solitaire,Rs 80.4 Lac - Rs 1.11 Cr
r376088,https://www.magicbricks.com/smartworld-orchard-sector-61-gurgaon-pdpid-4d4235333234323439,Smartworld Orchard,Rs 1.80 Cr - Rs 2.70 Cr
r300077,https://www.magicbricks.com/elevate-at-godrej-seven-joka-kolkata-pdpid-4d4235343139333631,Elevate at Godrej Seven,Rs 56.0 Lac - Rs 88.8 Lac
r429474,https://www.magicbricks.com/rld-merlion-estate-vanagaram-chennai-pdpid-4d4235343233373833,RLD Merlion Estate,Rs 83.0 Lac - Rs 2.26 Cr
r417614,https://www.magicbricks.com/mgr-windsor-gardens-jp-nagar-phase-5-bangalore-pdpid-4d4235343231383733,MGR Windsor Gardens,Rs 1.06 Cr - Rs 1.49 Cr
r386987,https://www.magicbricks.com/ds-max-sukruth-chandapura-bangalore-pdpid-4d4235333236363035,DS MAX Sukruth,Call For Price
r405295,https://www.magicbricks.com/sapnil-residency-bonhooghly-kolkata-pdpid-4d4235303236323239,Sapnil Residency,Call For Price
r434608,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137,Eldeco Fairway Reserve,Rs 3.41 Cr - Rs 5.58 Cr
r294633,https://www.magicbricks.com/jp-codename-skywards-ambernath-east-beyond-thane-pdpid-4d4235333333383335,JP Codename Skywards,Call For Price
r262402,https://www.magicbricks.com/bhivisya-metro-city-bhopal-bagh-sewaniyan-bhopal-pdpid-4d4235323230333533,Bhivisya Metro City Bhopal,Call For Price
r376598,https://www.magicbricks.com/sai-gardenia-peelamedu-coimbatore-pdpid-4d4235343130313735,Sai Gardenia,Rs 2.80 Cr - Rs 2.81 Cr
r402170,https://www.magicbricks.com/hi-tech-imperial-ville-gandhi-path-jaipur-pdpid-4d4235333937363935,Hi Tech Imperial Ville,Call For Price
r436787,https://www.magicbricks.com/celestia-baner-gaon-pune-pdpid-4d4235333933373035,Celestia,Rs 1.60 Cr - Rs 1.93 Cr
r29040,https://www.magicbricks.com/naiknavare-kutumb-prime-vadgaon-pune-pdpid-4d4235333333303637,Naiknavare Kutumb Prime,Rs 49.7 Lac - Rs 75.7 Lac
r369336,https://www.magicbricks.com/om-sree-brilliance-as-rao-nagar-hyderabad-pdpid-4d4235313838353232,Om Sree Brilliance,Call For Price
r434202,https://www.magicbricks.com/nidhi-land-shakthi-heights-shakti-nagar-mangalore-pdpid-4d4235343234333133,Nidhi Land Shakthi Heights,Rs 29.4 Lac - Rs 81.0 Lac
r375899,https://www.magicbricks.com/raama-skyz-sama-vadodara-pdpid-4d4235323330323437,Raama Skyz,Rs 45 Lac - Rs 53.1 Lac
r390836,https://www.magicbricks.com/anand-bhavan-santacruz-west-mumbai-pdpid-4d4235323238393031,Anand Bhavan,Rs 3.40 Cr - Rs 4.28 Cr
r424835,https://www.magicbricks.com/venkatesh-heights-narhe-pune-pdpid-4d4235303839363932,Venkatesh Heights,Rs 35 Lac - Rs 42 Lac
r332831,https://www.magicbricks.com/prateek-canary-sector-150-noida-pdpid-4d4235313236353535,Prateek Canary,Rs 2.26 Cr - Rs 4.79 Cr
r392193,https://www.magicbricks.com/kohinoor-abhimaan-homes-shirgaon-pune-pdpid-4d4235303936343837,Kohinoor Abhimaan Homes,Rs 25.8 Lac - Rs 34 Lac
r388872,https://www.magicbricks.com/the-empire-by-jarry-profit-&-r-sandesh-group-kadvi-chowk-nagpur-pdpid-4d4235333238323639,The Empire by Jarry Profit & R sandesh Group,Call For Price
