XID,Housing Price Range,MagicBricks Price,SquareYards Price Range
R153,Not Found,Rs 60.0 Lac - Rs 1.28 Cr,Not Found
nan,Not Found,Not Found,Not Found
nan,Not Found,Not Found,Not Found
r100125,Not Found,Not Found,Not Found
r10042,1.35 Cr - 2.0 Cr,Not Found,Rs95.00 Lac - 2.53 Cr
r100595,Not Found,Rs 89.6 Lac - Rs 2.62 Cr,Rs48.77 Lac - 1.96 Cr
r10090,2.21 Cr - 3.45 Cr,Not Found,Price on Request
r100965,Not Found,Rs 1.25 Cr - Rs 1.35 Cr,Not Found
r100985,10.74 L - 35.8 L,Not Found,Not Found
r101061,Not Found,Call For Price,Not Found
r1011,85.14 L,Not Found,Rs80.00 Lac - 1.06 Cr
r1012,1.04 Cr - 1.89 Cr,Rs 1.06 Cr - Rs 1.88 Cr,Not Found
r1013,2.18 Cr - 4.48 Cr,Not Found,Rs2.10 Cr - 4.20 Cr
r10130,Not Found,Rs 2.41 Cr - Rs 4.88 Cr,Not Found
r10146,82.17 L - 1.75 Cr,Rs 2.75 Cr - Rs 3.80 Cr,Not Found
r101553,2.6 Cr - 2.75 Cr,Not Found,Not Found
r10166,Not Found,Rs 26 Lac - Rs 34 Lac,Rs26.20 Lac - 44.05 Lac
r101679,Price on Request,Not Found,Rs22.71 Lac - 33.25 Lac
r10168,4.2 Cr - 8.0 Cr,Rs 4.16 Cr - Rs 8.32 Cr,Not Found
r1020,1.69 Cr - 5.61 Cr,Not Found,Rs1.08 Cr - 2.99 Cr
r10208,50.75 L - 2.01 Cr,Rs 73.5 Lac - Rs 1.56 Cr,Not Found
r1022,88.04 L - 1.38 Cr,Rs 6.58 Cr - Rs 79.32 Cr,Not Found
r10246,2.18 Cr - 2.85 Cr,Not Found,Not Found
r102620,21.28 L - 47.36 L,Rs 41.0 Lac - Rs 60.0 Lac,Not Found
r1027,1.09 Cr - 1.33 Cr,Rs 1.07 Cr - Rs 1.34 Cr,Rs97.61 Lac - 1.21 Cr
r102752,Price on Request,Not Found,Rs97.57 Lac - 1.56 Cr
r1028,Not Found,Rs 62.0 Lac - Rs 95.0 Lac,Rs67.27 Lac - 1.05 Cr
r102808,1.74 Cr,Rs 76.6 Lac - Rs 3.17 Cr,Not Found
r1030,Not Found,Rs 6.35 Cr - Rs 29.60 Cr,Rs4.46 Cr - 8.70 Cr
r1031,50.0 L - 1.28 Cr,Rs 54.0 Lac - Rs 2.02 Cr,Not Found
r103296,43.49 L - 88.37 L,Not Found,Rs43.00 Lac - 89.30 Lac
r103494,Not Found,Not Found,Rs41.24 Lac - 64.03 Lac
r10356,Not Found,Rs 49.5 Lac - Rs 88.1 Lac,Not Found
r1038,1.45 Cr - 1.85 Cr,Rs 1.52 Cr - Rs 2.82 Cr,Not Found
r1041,59.37 L - 1.39 Cr,Rs 63.5 Lac - Rs 1.53 Cr,Not Found
r10412,Not Found,Not Found,Rs1.70 Cr - 5.05 Cr
r104230,36.18 L - 60.48 L,Not Found,Not Found
r10426,29.95 L - 42.02 L,Rs 41.2 Lac - Rs 56.2 Lac,Not Found
r10432,Not Found,Rs 99.5 Lac - Rs 1.21 Cr,Not Found
r104342,Not Found,Rs 58.7 Lac - Rs 3.40 Cr,Rs44.00 Lac - 89.41 Lac
r104374,53.41 L - 1.96 Cr,Not Found,Not Found
r10458,23.89 L - 48.06 L,Not Found,Not Found
r104614,1.09 Cr - 1.41 Cr,Rs 1.04 Cr - Rs 1.50 Cr,Not Found
r104622,30.0 L - 2.22 Cr,Not Found,Not Found
r10486,1.11 Cr - 2.38 Cr,Not Found,Rs87.14 Lac - 1.80 Cr
r1051,44.1 L - 51.19 L,Not Found,Not Found
r1053,Not Found,Rs 76.8 Lac - Rs 2.04 Cr,Rs66.17 Lac - 1.75 Cr
r10548,2.1 Cr - 3.18 Cr,Rs 2.09 Cr - Rs 2.45 Cr,Rs1.97 Cr - 2.98 Cr
r1056,Not Found,Not Found,Rs2.03 Cr - 4.75 Cr
r10578,Not Found,Rs 1.43 Cr - Rs 2.77 Cr,Rs1.60 Cr - 7.83 Cr
r1061,2.1 Cr - 2.95 Cr,Not Found,Not Found
r106169,Not Found,Rs 2.69 Cr - Rs 6.41 Cr,Rs2.68 Cr - 6.25 Cr
r10624,Not Found,Rs 3.10 Cr - Rs 3.35 Cr,Rs2.47 Cr - 6.30 Cr
r10626,3.2 Cr - 8.18 Cr,Rs 3.25 Cr - Rs 4.63 Cr,Rs2.16 Cr - 2.55 Cr
r106303,38.58 L - 82.94 L,Not Found,Not Found
r1066,5.61 Cr - 8.15 Cr,Rs 5.23 Cr - Rs 9.67 Cr,Rs1.71 Cr - 7.54 Cr
r106775,57.51 L - 1.3 Cr,Rs 54.0 Lac - Rs 2.02 Cr,Not Found
r106909,Not Found,Rs 82 Lac - Rs 1.02 Cr,Not Found
r10700,14.56 L - 29.84 L,Not Found,Not Found
r107053,63.61 L - 1.46 Cr,Not Found,Not Found
r10720,5.5 Cr - 27.5 Cr,Rs 3.80 Cr - Rs 4 Cr,Rs2.88 Cr - 4.80 Cr
r107423,Not Found,Rs 80.8 Lac - Rs 1.28 Cr,Rs1.11 Cr - 3.85 Cr
r107603,49.76 L - 87.34 L,Not Found,Rs45.00 Lac - 59.98 Lac
r107611,3.47 Cr - 5.96 Cr,Not Found,Not Found
r10794,35.92 L - 90.0 L,Not Found,Rs1.14 Cr - 1.89 Cr
r1080,Not Found,Rs 2.44 Cr - Rs 2.70 Cr,Rs2.42 Cr - 5.27 Cr
r10822,Price on Request,Not Found,Not Found
r108249,Not Found,Rs 3.12 Cr - Rs 5.32 Cr,Rs2.94 Cr - 4.35 Cr
r1084,96.08 L - 1.91 Cr,Rs 69.7 Lac - Rs 1.51 Cr,Rs77.78 Lac - 1.55 Cr
r108529,41.89 L - 75.4 L,Call For Price,Not Found
r1087,72.72 L - 1.55 Cr,Not Found,Not Found
r10878,1.22 Cr - 1.66 Cr,Rs 53.2 Lac - Rs 80.2 Lac,Not Found
r1089,93.39 L - 2.53 Cr,Not Found,Not Found
r10984,63.72 L - 1.0 Cr,Rs 1.97 Cr - Rs 2.88 Cr,Not Found
r10986,22.98 Cr,Rs 3.28 Cr - Rs 4.24 Cr,Not Found
r11,3.05 Cr - 18.99 Cr,Rs 5.14 Cr - Rs 11.23 Cr,Rs2.59 Cr - 8.41 Cr
r110,5.01 Cr - 13.55 Cr,Not Found,Rs4.50 Cr - 13.18 Cr
r11048,94.78 L - 1.92 Cr,Rs 85 Lac - Rs 1.10 Cr,Not Found
