XID,Project Name,City,Housing.com Link
R416019,Om Ganpati Atrium,Bhopal,https://housing.com/buy-om-ganpati-atrium-by-om-access-reality-pvt-ltd-in-ayodhya-bypass-bhopal-pid-307479
R416032,Nirvana Homes,Jabalpur,https://housing.com/buy-800-sqft-residential-plot-in-barela-for-rs-800000-rid-12431127
R416138,Love Home Joypur,Jaipur,https://housing.com/buy-acl-love-home-joypur-by-acl-infratech-private-limited-in-tonk-road-jaipur-rajasthan-pid-305647
R416147,Royal Crysta,Jaipur,https://housing.com/buy-vinayak-royal-crysta-by-vinayak-buildersand-developers-in-mansarovar-extension-jaipur-rajasthan-pid-307432
R416158,Archana Signature,Udupi,https://housing.com/in/buy/projects/page/337294-archana-signature-by-archana-projects-in-maruthi-veethika
R416196,Prime Athos 1,Navi Mumbai,https://housing.com/in/buy/projects/page/306632-prime-athos-1-by-prime-peak-realty-private-limited-in-panvel
R416246,Parth Palace A,Jaipur,https://housing.com/buy-sahaj-parth-palace-b-by-sahaj-industries-in-dholai-jaipur-rajasthan-pid-317452
R416251,Parth Prime,Jaipur,https://housing.com/buy-parth-prime-b-resale-flats-in-jagatpura-jaipur-srpid-AG6lxgAH0
R416277,Shreekhetra Greenpark,Bhubaneswar,https://housing.com/buy-shreekhetra-greenpark-by-sri-jagannath-promoters-and-builders-in-khandagiri-bhubaneswar-pid-311530/brochure
R416278,Pankaj Gokul Greens,Nagpur,https://housing.com/buy-gokul-greens-by-pankaj-construction-in-mankapur-nagpur-maharashtra-pid-307483
R416281,Sark South Meadows 1,Hyderabad,https://housing.com/in/buy/projects/page/300603-sark-south-meadows-1-by-sark-projects-india-pvt-ltd-in-raviryal
R416316,Rudra Gardenia Phase 1,Kanpur,https://housing.com/buy-new-projects-in-new-kanpur-city-kanpur-srpid-AB0P395usne3qntxllgn
R416390,Turnstone The Medallion Aurum,Mohali,https://housing.com/in/buy/projects/page/308465-turnstone-the-medallion-aurum-by-turnstone-realty-llp-in-sector-67
R416455,Cordial Achutham,Trivandrum,Not Found
R416470,Ranjekar Dhanasampada,Pune Central,https://housing.com/in/buy/projects/page/309826-ranjekar-dhansampada-by-ranjekar-realty-in-erandwane
R416658,Prarthana Uma Exotica,Ranchi,https://housing.com/in/buy/projects/page/92755-hinduja-palm-grove-apartments-by-hinduja-holdings-in-padmanabhanagar
R416689,Sorrento Rosette,Vadodara,https://housing.com/buy-sorrento-rosette-by-avkar-buildtech-llp-in-bhayli-vadodara-pid-307578
R416821,Skyline Elevate,Mohali,https://housing.com/in/buy/projects/page/309181-skyline-elevate-by-skyline-developers-mohali-in-utrathiya
R416824,Narayan Green Vistas,Vadodara,https://housing.com/buy-narayan-green-vistas-by-narayan-realty-in-sama-savli-vadodara-pid-308719
R416927,Tulsi Paradise,Ahmedabad North,https://housing.com/buy-tulsi-paradise-by-tulsi-paradise-in-sughad-gandhinagar-gujarat-pid-307561
R416951,Roongta Florenza,Nashik,https://housing.com/buy-roongta-florenza-by-lalit-roongta-group-in-govind-nagar-nashik-pid-288910
R417007,Visvas Aparna,Madurai,Not Found
R417015,La Montana by TATA Value Homes,Pune West,https://www.tatahousing.com/
R417061,Ssd Peace Residency,Nagpur,https://housing.com/buy-new-projects-in-dabha-vayusena-nagar-nagpur-srpid-AB0P6i3059zr10zeuzxb
R417112,Jambrung Valley,Karjat,https://housing.com/in/buy/projects/page/308247-kirtiraj-jambrung-valley-by-kirtiraj-sawant-reality-in-jambrung
R417156,Urban Front,Pune North,https://housing.com/in/buy/projects/page/320276-urban-front-by-am-gore-and-associates-in-chikhali
R417187,Akshar Amar Mansion,Central Mumbai,https://housing.com/in/buy/projects/page/308268-akshar-amar-mansion-by-akshar-om-construction-in-chembur
R417246,Shubh Mahadev Tower,Udaipur,https://housing.com/in/buy/projects/page/301719-shubh-mahadev-tower-by-shubh-constructions-in-sector-9
R417345,Shalimar Sky Garden,Lucknow,https://housing.com/buy-shalimar-sky-garden-by-shalimar-corp-in-indira-nagar-lucknow-pid-320176
R417410,Aashirwad Vrindavan,Kota,https://aashirwadhousing.com/
