XID,Project Name,City,Squareyards.com Link
R19552,Lokhandwala Riviera Tower,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/lokhandwala-octacrest/26387/project
R19554,Lokhandwala Harmony,Mumbai South,https://www.squareyards.com/sale/resale-properties-in-lokhandwala-harmony-mumbai
R19776,Jolly Maker Apartment,Mumbai South,https://www.squareyards.com/rent/property-for-rent-in-jolly-maker-apartment-mumbai
R20078,Suraksha Enclave,Sonipat,https://www.squareyards.com/sonipat-residential-property/suraksha-enclave/311569/project
R20374,Kabra Shubharambh CHS,Thane,https://www.squareyards.com/sale/2-bhk-flat-in-shubharambh-complex-thane
R20524,Hiranandani Avalon,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-avalon/2883/project
R20542,Hiranandani Brentwood,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-brentwood-mumbai/3012/project
R20548,Hiranandani Florentine,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-gardens-florentine/27285/project
R20554,Hiranandani Gardens Glen Classic,Central Mumbai,https://www.squareyards.com/sale/resale-properties-in-hiranandani-gardens-glen-classic-mumbai
R20620,Hiranandani Octavius,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-gardens-octavius/28501/project
R20622,Hiranandani Torino,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-gardens-torino/28958/project
R20734,Kingston Atlantis,Pune South,https://www.squareyards.com/sale/resale-properties-in-vedant-kingston-atlantis-pune
R20758,Nirupam Royal Palms,Bhopal,https://www.squareyards.com/bhopal-residential-property/nirupam-royal-palms-villas/9423/project
R21520,Modello Highs,Kolkata South,https://www.squareyards.com/sale/resale-properties-in-modello-highs-kolkata
R21914,The Essentia,Bhiwadi,https://www.squareyards.com/sale/resale-properties-in-the-essentia-bhiwadi
R22138,Aaspire Heights,Bangalore East,https://www.squareyards.com/rent/1-bhk-flat-in-aaspire-heights-bangalore
R22324,Ashadeep Vedanta,Jaipur,https://www.squareyards.com/jaipur-residential-property/ashadeep-vedanta/9796/project
R22810,Bombay Realty Island City Center,Mumbai South,https://www.squareyards.com/mumbai-residential-property/bombay-realty-island-city-center-icc/27830/project
R22964,Nyati Eternity,Pune South,https://www.squareyards.com/pune-residential-property/nyati-eternity/2059/project
R23006,Alliance Orchids,Chandigarh,https://www.squareyards.com/chennai-residential-property/alliance-galleria-residences/13609/project
R23402,Shagun White Woods,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/shagun-white-woods/6692/project
R23624,Shri Sai Upvan,Ghaziabad,https://www.squareyards.com/sale/resale-properties-in-ashiana-upvan-ghaziabad
R23738,Bestech Park View Residences,Mohali,https://www.squareyards.com/chandigarh-residential-property/bestech-park-view-residency-mohali/8992/project
R23822,BBD Green City Lotus Court,Lucknow,https://www.squareyards.com/lucknow-residential-property/bbd-green-city/48179/project/location-map
R24556,TDI Lake Grove City,Sonipat,https://www.squareyards.com/sonipat-residential-property/tdi-lake-grove-city/311574/project
R24770,HFL Presidency Estate,Bhiwadi,https://www.squareyards.com/sale/3-bhk-flat-in-hfl-presidency-estate-bhiwadi
R24920,Wave Amore,Noida,https://www.squareyards.com/noida-residential-property/wave-amore/100584/project/floor-plans
R24924,Wave Gardens,Mohali,https://www.squareyards.com/projects-in-mohali-sector-82-chandigarh
R25164,Dhirendra Ramji Sunshine Willow,Navi Mumbai,Not Found
R25310,JKG Amba G Residency,Ghaziabad,https://www.squareyards.com/ghaziabad-residential-property/jkg-amba-g-residency/1275/project
R25344,Nirala Eden Park,Ghaziabad,https://www.squareyards.com/sale/resale-properties-in-nirala-eden-park-1-ghaziabad
R25646,Signature 360,Bhopal,https://www.squareyards.com/sale/resale-properties-in-signature-360-bhopal
R25710,Platinum The Springs,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-platinum-the-springs-navi-mumbai
R25914,Ametek Doon Square,Dehradun,https://www.squareyards.com/sale/property-for-sale-near-doon-it-park-govind-vihar-in-dehradun
R25934,Shama Apartments,Delhi South West,https://www.squareyards.com/projects-in-dharavi-mumbai
R25966,Uppal Plumeria Garden Estate,Greater Noida,Not Found
R25986,Kasturi Epitome,Pune West,https://www.squareyards.com/sale/resale-properties-in-kasturi-epitome-pune
R26188,Pundrik Vihar,North Delhi,https://www.squareyards.com/sale/builder-floors-for-sale-in-vasant-vihar-delhi
R26198,Kaveri Apartments,Delhi South West,https://www.squareyards.com/sale/furnished-properties-for-sale-in-south-delhi-delhi
R26232,Unique Apartments,Delhi South West,https://www.squareyards.com/luxury-projects-in-west-delhi-delhi
R26346,Parker Residency,Sonipat,https://www.squareyards.com/sale/resale-properties-in-parker-residency-sonipat
R26406,DDA Yamuna Block Apartment,South Delhi,https://www.squareyards.com/sale/apartments-for-sale-in-south-delhi-delhi
