XID Number,Project Name,City,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4
R62235,Mahindra Luminare,Gurgaon,https://www.mahindralifespaces.com/real-estate-properties/gurgaon-property/luminare-golf-course-extension-road/?utm_source=gmb&utm_medium=maps&utm_campaign=gmb_listing,,https://www.magicbricks.com/mahindra-luminare-sector-59-gurgaon-pdpid-4d4235303732303636,,,,https://housing.com/in/buy/projects/page/33499-mahindra-luminare-by-mahindra-lifespaces-in-sector-59,,,,https://www.squareyards.com/gurgaon-residential-property/mahindra-luminare/987/project,,,
R327273,County 107,Noida,https://www.countygroup.in/county107/mobile/,,https://www.magicbricks.com/county-107-sector-107-noida-pdpid-4d4235313234373439,,,,https://housing.com/in/buy/projects/page/198060-county-107-by-county-group-in-sector-107,,,,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project,,,
R368900,Prestige Waterford,Bangalore East,https://www.prestigeconstructions.com/residential-projects/bangalore/prestige-waterford,,https://www.magicbricks.com/prestige-waterford-whitefield-bangalore-pdpid-4d4235313335343739,,,,https://housing.com/in/buy/projects/page/239242-prestige-waterford-by-prestige-estates-projects-ltd-in-whitefield,,,,https://www.squareyards.com/bangalore-residential-property/prestige-waterford/29258/project,,,
R382837,Park Titan,Pune West,https://www.pridepurpleproperties.com/2bhk-3bhk-flats-hinjawadi-park-titan/,,https://www.magicbricks.com/pride-park-titan-marunji-pune-pdpid-4d4235333235333539,,,,https://housing.com/in/buy/projects/page/271625-pride-purple-park-titan-by-pride-purple-group-in-hinjawadi,,,,https://www.squareyards.com/pune-residential-property/pride-purple-park-titan/151661/project,,,
R386756,Mantra Mirari,Pune East,https://www.mantraproperties.in/properties/residential/mantra-mirari,http://miraribymantra.com/,https://www.magicbricks.com/mantra-mirari-mundhwa-pune-pdpid-4d4235333237303239,,,,https://housing.com/in/buy/projects/page/294377-mantra-mirari-by-mantra-properties-in-mundhwa,,,,https://www.squareyards.com/pune-residential-property/mantra-mirari/123236/project,,,
R393900,EKA Elitas,Pune Central,https://ekabuildcon.com/eka-elitas/,,https://www.magicbricks.com/eka-elitas-kothrud-pune-pdpid-4d4235333332363731,,,,https://housing.com/in/buy/projects/page/272587-elitas-by-eka-buildcon-llp-in-kothrud,,,,https://www.squareyards.com/pune-residential-property/eka-elitas/216819/project,,,
R397783,Lodha Bellevue Tower 3,Mumbai South,https://www.lodhagroup.com/projects/residential-property-in-mumbai/lodha-bellevue-mahalaxmi?publisher=Google-lodha-bellevue-tower3-Organic-RI&campaign=Organic-Search&adgroup=lodha-bellevue-tower3-GMB&digital_source=GMB-ClickLink&digital_medium=Unpaid&banner_size=GMB-ClickLink&utm_source=Google&utm_medium=Unpaid&utm_campaign=lodha-bellevue-tower3-GMB&utm_content=GMB-Listing&utm_creative_format=GMB-Listing&utm_marketing_tactic=prospecting,,na,,,,na,,,,https://www.squareyards.com/mumbai-residential-property/lodha-mahalaxmi-bellevue/165090/project,,,
R404068,M3M Crown,Gurgaon,https://m3mindia.com/residential/m3m-crown,,https://www.magicbricks.com/m3m-crown-phase-1-sector-111-gurgaon-pdpid-4d4235333933333337,,,,https://housing.com/in/buy/projects/page/288734-m3m-crown-by-m3m-india-pvt-ltd-in-sector-111,,,,https://www.squareyards.com/gurgaon-residential-property/m3m-crown/214724/project,,,
R411008,Spotlight Countryside,Kolkata South,https://spotlightrealty.in/project.php,https://spotlightcountryside.com/,https://www.magicbricks.com/purslane-spotlight-countryside-sonarpur-kolkata-pdpid-4d4235343138313533,,,,https://housing.com/buy-spotlight-countryside-by-spotlight-realty-in-narendrapur-kolkata-pid-300744,,,,na,,,
R424568,JMS Premier Floors,Gurgaon,https://jmsgroup.co.in/,https://jmspremierfloors.co.in/,https://www.magicbricks.com/jms-premier-floors-sector-95-gurgaon-pdpid-4d4235343233363135,,,,https://housing.com/in/buy/projects/page/327241-jms-premier-floors-by-jms-buildtech-pvt-ltd-in-sector-95,,,,https://www.squareyards.com/gurgaon-residential-property/jms-premier-floors/306414/project,,,
