XID,Phase,Configuration,List Item,Price
R62235,1,3 BHK Apartment,1535 SQ.FT,₹ 4.76 Cr
R62235,1,3 BHK Apartment,1624 SQ.FT,₹ 5.03 Cr
R62235,1,3 BHK Apartment,1632 SQ.FT,Price on Request
R62235,1,4 BHK Apartment,1342 SQ.FT,Price on Request
R62235,1,4 BHK Apartment,1398 SQ.FT,Price on Request
R62235,1,4 BHK Apartment,2009 SQ.FT,Price on Request
R62235,1,4 BHK Apartment,2689 SQ.FT,Price on Request
R62235,1,4 BHK Apartment,2739 SQ.FT,Price on Request
R62235,1,4 BHK Apartment,2740 SQ.FT,Price on Request
R62235,1,5 BHK Apartment,3385 SQ.FT,Price on Request
R327273,1,"4 BHK Apartment
6.65 Cr - 8.52 Cr",3501 SQ.FT,₹ 6.65 Cr
R327273,1,"4 BHK Apartment
6.65 Cr - 8.52 Cr",4482 SQ.FT,₹ 8.52 Cr
R327273,1,"5 BHK Apartment
12.48 Cr",6570 SQ.FT,₹ 12.48 Cr
R368900,1,"1 BHK Apartment
1.44 Cr - 1.46 Cr",421 SQ.FT,₹ 1.44 Cr
R368900,1,"1 BHK Apartment
1.44 Cr - 1.46 Cr",413 SQ.FT,₹ 1.44 Cr
R368900,1,"1 BHK Apartment
1.44 Cr - 1.46 Cr",416 SQ.FT,₹ 1.46 Cr
R368900,1,"2 BHK Apartment
3.46 Cr - 3.87 Cr",999 SQ.FT,₹ 3.46 Cr
R368900,1,"2 BHK Apartment
3.46 Cr - 3.87 Cr",999 SQ.FT,₹ 3.46 Cr
R368900,1,"2 BHK Apartment
3.46 Cr - 3.87 Cr",1024 SQ.FT,₹ 3.53 Cr
R368900,1,"2 BHK Apartment
3.46 Cr - 3.87 Cr",1024 SQ.FT,₹ 3.53 Cr
R368900,1,"2 BHK Apartment
3.46 Cr - 3.87 Cr",1114 SQ.FT,₹ 3.87 Cr
R368900,1,"2.5 BHK Apartment
3.87 Cr",1128 SQ.FT,₹ 3.87 Cr
R368900,1,"3 BHK Apartment
4.05 Cr - 4.7 Cr",1197 SQ.FT,₹ 4.05 Cr
R368900,1,"3 BHK Apartment
4.05 Cr - 4.7 Cr",1197 SQ.FT,₹ 4.06 Cr
R368900,1,"3 BHK Apartment
4.05 Cr - 4.7 Cr",1209 SQ.FT,₹ 4.07 Cr
R368900,1,"3 BHK Apartment
4.05 Cr - 4.7 Cr",1382 SQ.FT,₹ 4.63 Cr
R368900,1,"3 BHK Apartment
4.05 Cr - 4.7 Cr",1368 SQ.FT,₹ 4.63 Cr
R368900,1,"3 BHK Apartment
4.05 Cr - 4.7 Cr",1380 SQ.FT,₹ 4.7 Cr
R368900,1,"4 BHK Apartment
5.76 Cr - 5.83 Cr",1740 SQ.FT,₹ 5.76 Cr
R368900,1,"4 BHK Apartment
5.76 Cr - 5.83 Cr",1757 SQ.FT,₹ 5.83 Cr
R382837,1,"2 BHK Apartment
79 L - 88.81 L",725 SQ.FT,₹ 79.0 L
R382837,1,"2 BHK Apartment
79 L - 88.81 L",726 SQ.FT,₹ 79.11 L
R382837,1,"2 BHK Apartment
79 L - 88.81 L",745 SQ.FT,₹ 81.18 L
R382837,1,"2 BHK Apartment
79 L - 88.81 L",775 SQ.FT,₹ 84.45 L
