Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Total Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date
Lodha Azur,LODHA GROUP,"Begur Village, Hobli, South Bangalore, Bangalore",₹13 K/sq.ft,"Apr, 2028",1950 - 3060 sq.ft.,0.64 Acres (80% open),PRM/KA/RERA/1251/310/PR/220324/006728,,550,"3, 3.5, 4 BHK Apartments",26,"Swimming Pool, Pet Grooming, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, Kid's Pool, Gymnasium, 24X7 Water Supply, Car Parking, Jogging Track, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Party Lawn, Club House, Children's Play Area, Yoga / Meditation Area, Badminton Court, 24x7 CCTV Surveillance, Chess Board, Multipurpose Hall, Paved Compound, Carrom, Power Backup, Cafeteria, Billiards / Snooker Table",18,1,19,0,1980,509,"Developer Profile
Lodha Group is among the foremost real estate developers in Mumbai. Established in 1980, the developer etched its name in the history by recording one of the biggest land deal in India when it purchased a plot in Wadala worth Rs 4,053 crore from the Mumbai Metropolitan Region Development Authority (MMRDA). It has also been rated as a profitable real estate player and the largest by sales for three consecutive years apart from being endowed with awards for marketing excellence.
In addition to delivering world-class housing solutions in Mumbai, Lodha Group has expanded its presence in the luxury segment of Pune, Hyderabad and Bangalore as well as the United Kingdom. With 38 years of remarkable journey in the industry, the builder has engaged in strategic forays into all asset classes including residences, IT Parks, townships, offices, weekend retreats and retail spaces.
Experience and Strengths
With a vision of 'Building a Better Life', Lodha Group promotes ‘leadership through innovation’ and has spearheaded several landmark developments such as World One - the world's tallest residential tower, and the Palava City - the first Greenfield Smart City in the country. The group was honoured with the Green Good Design Award 2012 for World One. It won 5 STAR for Best Interior Design for project Lodha Fiorenza.
Led by chairman and founder, Mangal Prabhat Lodha, the company has attained new heights in building outstanding properties that are at par with global standards. The builder strives to create a quality lifestyle and make a difference in the lives of people across all segments. Lodha Group successfully launched its value luxury sub-brand CASA to cater to the mid-income group. With a host of designer residences, the developer has ensured to fulfil the lifestyle needs of many buyers of luxury homes.
Lodha Group crossed a direct employee strength of 3,000 in 2013. A committed management team, equipped with extensive technical expertise and domain knowledge, works towards providing timely and high-quality solutions for its clients. The developer exhibits a passion for going the last mile in order to seek excellence and exceed customers’ expectations. It complied with its corporate values of integrity and ethics when dealing with all the stakeholders.
Projects
Lodha Group has launched over 164 residential projects and is working on 85 ongoing projects. The builder holds the merit of delivering over 35 million sqft of real estate space accounting for about 30 projects in and around Mumbai (from Napean Sea Road to Dombivali).
The Palava city by Lodha Group is an over 4,000-acre integrated city which is set to be one of the world's top 50 most liveable cities. Residential units by the group include 2 and 3BHK apartments of sizes 500 sqft to luxury roomy 4BHK villas of size 5,000 sqft.",Under Construction,"Mar, 2024"
Ecolife Elements Of Nature Akash Block B And C,ECOLIFE DEVELOPERS,"Panathur - Varthur Main Road, Outer Ring Road, Bangalore East , Bangalore",8.99 K - ₹10.22 K/sq.ft,"Jul, 2026",1245 - 1878 sq.ft.,4.12 Acres (75% open),PRM/KA/RERA/1251/446/PR/300323/005832,,350,"2, 3 BHK Apartments",25,"Amphitheater, Cricket Pitch, Solar Lighting, Skating Rink, Swimming Pool, Gymnasium, Golf Course, School, Car Parking, 24X7 Water Supply, Jogging Track, Sewage Treatment Plant, Children's Play Area, Yoga / Meditation Area, Visitor Parking, Party Hall, Lift(s), Aerobics Room, Badminton Court, Basketball Court, ATM, Library, Rain Water Harvesting, Infinity Pool, Power Backup",43,2,45,0,2,Not Found,"Ecolife Developers is a promising Real Estate developer. Their mission is to provide clients with their dream homes which are affordable with all the modern day amenities and features. They strive to provide their customers a great environment where they can learn, grow and succeed together. Creating a home out of spaces is what they strive for with each project and their belief in teamwork has only accentuated it further. The company aims to build projects which will serve as a benchmark for all the other developers in the country. With their continuous hard work and dedication they are not far away from achieving success in the Realty sector.",Under Construction,"Mar, 2023"
Novo Gardenia,NOVOLIFE INNOVATIVE STRUCTURES LLP,"Ward No.149, Gunjur, Varthur, Bangalore East , Bangalore",₹8.65 K/sq.ft,"Dec, 2027",1495 - 1790 sq.ft.,3.19 Acres,PRM/KA/RERA/1251/309/PR/070324/006697,,332,3 BHK Apartment,46,"Amphitheater, Tennis Court, Grocery Shop, Gazebo, Reflexology Park, Spa, Swimming Pool, Skating Rink, Vastu Compliant, Fountains, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Kid's Pool, Fire Fighting System, Flower Garden, Squash Court, Closed Car Parking, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Street Lighting, Senior Citizen Siteout, Gated Community, Indoor Games, Pergola, Lawn Tennis Court, Sewage Treatment Plant, Foosball, Club House, Intercom, Children's Play Area, Entrance Lobby, Yoga / Meditation Area, Football Field, Lift(s), Badminton Court, Terrace Garden, 24x7 CCTV Surveillance, Restaurant, Multipurpose Hall, Basketball Court, Rain Water Harvesting, 24x7 Security, Power Backup",27,Not Found,27,0,Not Found,Not Found,Not Found,Under Construction,"Dec, 2023"
IVY County Pristine Villa Plots,MODERN SPAACES,"Ramanayakanahalli Village, Gunjur, Bangalore East , Bangalore",₹9.7 K/sq.ft,"Dec, 2026",1200 - 2400 sq.ft.,50 Acres,,,658,Residential Plots,16,"Tennis Court, Solid Waste Management And Disposal, Swimming Pool, Landscaping & Tree Planting, Gymnasium, Electrification(Transformer, Solar Energy etc), 24X7 Water Supply, Jogging Track, Basketball Court, Storm Water Drains, Internal Roads & Footpaths, 24x7 Security, Sewage Treatment Plant, Power Backup, Billiards / Snooker Table, Club House",11,Not Found,11,0,2019,19,"Since 2019, Modern Spaaces has been crafting homes that go beyond architecture—designed to reflect your lifestyle and aspirations. From villas and apartments to plotted developments, every space is built with a commitment to quality, innovation, and technology. With over 1 million sq. ft. already delivered and 2 million sq. ft. under development, we’re on track to deliver more than 10 million sq. ft.—all built to the highest standards of design, quality, and comfort.",Under Construction,"Jan, 2025"
Brigade Tranquil At Brigade Cornerstone Utopia,BRIGADE ENTERPRISES LTD,"Varthur Main Road, Whitefield, Varthur, Bangalore East , Bangalore",₹13.32 K/sq.ft,"Sep, 2025",978 - 1897 sq.ft.,10 Acres,PRM/KA/RERA/1251/446/PR/200123/003231,,933,"1, 1.5, 2, 2.5, 3 BHK Apartments",39,"Natural Pond, Waiting Lounge, Amphitheater, Volleyball Court, Gazebo, Swimming Pool, Skating Rink, Fountains, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Flower Garden, Car Parking, 24X7 Water Supply, School, Jogging Track, Senior Citizen Siteout, Gated Community, Indoor Games, Shopping Mall, Lawn Tennis Court, Sewage Treatment Plant, Club House, Intercom, Children's Play Area, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Solid Waste Management And Disposal, Lift(s), Badminton Court, 24x7 CCTV Surveillance, Sun Deck, Multipurpose Hall, Basketball Court, Community Hall, Rain Water Harvesting, 24x7 Security, Power Backup",28,1,29,0,1986,150,"Developer Profile
Brigade Group is a Bangalore-based real estate company focussed on providing world-class property solutions including luxury apartments, commercial spaces, retail spaces and hospitality projects. The builder has a multi-domain portfolio encompassing property management services, education, property development and hospitality. Founded in 1986, the group has a presence in major cities of South India like Kochi, Chennai, Hyderabad, Mysore and Bangalore. An accredited agent in the USA, the developer also has a representative office in Dubai, United Arab Emirates.
Brigade Group has won the Best Office Space Award - World Trade Center Bangalore and Brigade Gateway at the CREDAI Real Estate Awards Karnataka 2013. It has been ranked among India's top 10 builders for consistent five years from 2007 to 2011 by Construction World. It has also received the CRISIL Rating PA2, 1995.
Experience and Strengths
The corporate philosophy of Brigade Group includes a stable and confident business model as well as processes involving innovation. The developer is environmentally conscious and develops projects in strict compliance with applicable regulations and best practices. It has been certified in ISO 9001:2015 and ISO 14001:2004 (Environmental Management Systems), 2008. The brand has gained the trust and admiration of numerous customers owing to its reliable services. It strives to retain its position of being the preferred developer of residential, commercial and hospitality spaces in the market by staying committed to its goals.
The team at Brigade Group is led by Chairman and Managing Director, M.R. Jaishankar, and Director, M.R. Gurumurthy. Several projects and concepts pioneered by the developer have been a huge success and created landmarks which changed the urban landscape. For instance, Brigade Towers was the first 14-storied building in Bangalore; Brigade Millennium at JP Nagar was Bangalore's first integrated enclave project launched in 2002, and Brigade Gateway at Rajajinagar is another prestigious development in Bangalore that was recognised as the most integrated city-centric mixed-use project.
The builder has partnered with some of the best-known architects, master planners, contractors, suppliers and consultants in the industry. Construction of properties using cutting-edge technology is one of the biggest strengths of Brigade Group. The company has been on the forefront when it comes to using new technologies like in-house pre-cast technology. Besides complying with international standards for delivering a high-quality product, the developer also adheres to the timelines. Moreover, it has launched an online portal for tracking project progress and payments; and an online booking platform for home-buying that has offered the best customer experience.
Projects
In 32 years, Brigade Group has grown rapidly and developed over 20 million square feet of real estate space. Brigade Metropolis at Whitefield, Bangalore is an award-winning 40-acre residential development. The developer has worked on 30 residential projects in Bangalore and other cities including 14 ongoing projects. It offers 1, 2 and 3BHK apartments sized between 800 sqft and 2,000 sqft; as well as spacious 4BHK and 5BHK apartments sized above 3,000 sqft.",Under Construction,"Jan, 2020"
Abhee Celestial City,ABHEE VENTURES,"Sarjapura - Whitefield Main Road, Gunjur, Bangalore East , Bangalore",₹10.06 K/sq.ft,"Jun, 2029",1345 - 1990 sq.ft.,4.84 Acres (82% open),PRM/KA/RERA/1251/308/PR/071123/006380,,399,"2, 3 BHK Apartments",50,"Amphitheater, Volleyball Court, Cricket Pitch, Changing Room, Spa, Skating Rink, Fountains, Fire Sprinklers, Business Suites, Medical Facilities, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Street Lighting, Indoor Games, Cycling & Jogging Track, Piped Gas Connection, Business Center, Party Lawn, Sewage Treatment Plant, Children's Play Area, Solid Waste Management And Disposal, Visitor Parking, Party Hall, 24x7 CCTV Surveillance, Community Hall, Beach Volley Ball Court, Rain Water Harvesting, Library, 24x7 Security, Cafeteria, Waiting Lounge, Grocery Shop, Reflexology Park, Swimming Pool, Fire Fighting System, Flower Garden, Gymnasium, Squash Court, Jogging Track, Entrance Lobby, Yoga / Meditation Area, Badminton Court, Terrace Garden, Creche/Day Care, Sun Deck, Multipurpose Hall, Basketball Court, Power Backup",46,1,47,0,2009,22,"Abhee Developers started in 2009 with a vision to elevate the landscape of South India. We celebrate the trust of hundreds of families because of our commitment to quality architecture and honest prices. With fresh perspectives and pioneering design, we have placed a firm footing across all verticals – value structures, luxury edifices, apartments, villas and commercial spaces.
With Abhee, it is all about combining distinct elements and creating architectural masterpieces that form a special connect with aspiring home buyers. Be it our unwavering standard in quality raw materials or our uncompromising business & construction ethics, we ensure every Abhee project is like no other. We take pride in our designs that meets customer needs and also understand their desires, making us one of the best-in-class developer of South India for every pocket with a firm footing in real estate in Bangalore.
Quality is not just about what you do today but also how you continue reinventing yourself while staying true to your legacy. That is why we stand tall on our pillars of innovation, precision and honesty. We are privileged to be valued in the market for our unmatched quality standards and our firm commitment to on-time delivery, motivating us to push the bar higher and keep empowering lifestyles of the 21st century aspirational Indian, right from pioneering 3 & 4BHK luxury villas to thoughtfully designed 2, 2.5 & 3BHK apartments in Bangalore.",Under Construction,"Oct, 2023"
DSR The Courtyard,DSR INFRASTRUCTURE PVT LTD,"Survey No 70, Gunjur, Bangalore East , Bangalore",₹8.97 K/sq.ft,"Jun, 2026",1113 - 1687 sq.ft.,2.72 Acres (70% open),PRM/KA/RERA/1251/446/PR/280324/006759,,252,"2, 3 BHK Apartments",26,"Cricket Pitch, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis, Gymnasium, Fire Fighting System, Community Buildings, 24X7 Water Supply, Multipurpose Room, Jogging Track, Street Lighting, Senior Citizen Siteout, Sewage Treatment Plant, Club House, Children's Play Area, Solid Waste Management And Disposal, Lift(s), 24x7 CCTV Surveillance, Chess Board, Storm Water Drains, 24x7 Security, Energy management, Electrical meter Room, Power Backup, DG Availability",46,1,47,0,1988,38,"DSR Infra Projects was established with the vision of transforming the Real Estate Industry and today after the journey of so many years, its projects stand testimony to the shining excellence and brilliance in execution. Commanding an unparalleled expertise, the Group has spread its operations across South India across many Real Estate verticals, catering to various categories of clients. DSR Infra Projects repertoire has a wide array of exclusive projects which have been crafted to international standards. With diversified business interests across many portfolios, DSR Infra Projects today has achieved staggering success, thanks to its partners, associates and employees. Its success is shared and cherished among its people who work towards the common goal of a promising and prosperous future.",Under Construction,"May, 2024"
Myhna Orchid,MYHNA PROPERTIES PVT LTD,"Gunjur, Bangalore East , Bangalore",₹8.53 K/sq.ft,"Dec, 2027",1150 - 1720 sq.ft.,5 Acres (82% open),PRM/KA/RERA/1251/446/PR/150524/006874,,405,"2, 2.5, 3 BHK Apartments",39,"Amphitheater, Cricket Pitch, Tennis Court, Swimming Pool, Skating Rink, Acupressure Pathway, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Fighting System, Flower Garden, Electrification(Transformer, Solar Energy etc), Car Parking, 24X7 Water Supply, Jogging Track, Street Lighting, Gated Community, Indoor Games, Intercom, Children's Play Area, Yoga / Meditation Area, Recreation Facilities, Solid Waste Management And Disposal, Lift(s), Party Hall, Aerobics Room, Fire Retardant Structure, 24x7 CCTV Surveillance, Multipurpose Hall, Basketball Court, Banquet Hall, Storm Water Drains, Internal Roads & Footpaths, Open Parking, Rain Water Harvesting, 24x7 Security, Electrical meter Room, Energy management, Power Backup, Cafeteria",37,1,38,0,2007,7,"Myhna Properties was established with a vision of transforming the Real Estate Industry and today after the journey of so many years, its projects stand testimony to the shining excellence and brilliance in execution. Commanding an unparalleled expertise, the group has spread its operations across South India in many Real Estate verticals, catering to various categories of clients. Myhna Properties’ repertoire has a wide array of exclusive projects which have been crafted to international standards. Customer satisfaction is the cornerstone of company’s philosophy. All through its existence, Myhna Properties’ ideals of quality, innovation and attention to the needs of its clients have always been of utmost importance. The group has several residential as well as commercial projects underway in Bangalore catering to the customer with varied needs and tastes. It is their vision to exceed the expectations of their customers through innovative and world class solutions and become a benchmark for quality in every project they undertake. Myhna Properties ventures contribute significantly to building the new India. They value sustained efforts to enhance customer value and quality, Ethical and professional service, compliance and respect for environmental and legal requirements.",Under Construction,"Mar, 2024"
Concorde Neo,CONCORDE HOUSING CORPORATION PVT. LTD.,"No.29, K P Puttanna Chetty Road, Thanisandra, North Bangalore, Bangalore",₹13.25 K/sq.ft,"Oct, 2029",717 - 1125 sq.ft.,4.338916695 Acres,PRM/KA/RERA/1251/309/PR/270924/007088,,424,"2, 3 BHK Apartments",28,"Cricket Pitch, Swimming Pool, Skating Rink, Water Storage, Table Tennis, Gymnasium, Flower Garden, Closed Car Parking, Car Parking, Senior Citizen Siteout, Indoor Games, Smoke Detectors, Piped Gas Connection, Party Lawn, Club House, Open Air Theatre, Salon, Yoga / Meditation Area, Theme Park, Lift(s), 24x7 CCTV Surveillance, Multipurpose Hall, Community Hall, Basketball Court, Rain Water Harvesting, Electrical meter Room, Power Backup, Billiards / Snooker Table",46,1,47,0,1998,39,"The Concorde Group was set up in 1998 with a vision to create sustainable values for stakeholders and deliver customer delight. In almost 2 decades, the company has developed over 20 million square feet of real estate space, consistently delivering satisfaction to its customers through its innovative offerings and professionalism in every aspect of its dealings.
Known for building long-lasting value for its customers, the leadership at Concorde persistently strives towards delivering performance that make a difference. A Concorde home owner is one who looks for high level quality, aesthetics and future growth. We deliver this with trust, transparency, and fairness. Your search for a good home ends here.",Under Construction,"Oct, 2024"
Hiranandani Vista Residences,HIRANANDANI COMMUNITIES,"Jogeshwari West, Western Suburbs, Mumbai",₹33.23 K - 41.41 K/sq.ft,₹33.23 K - 41.41 K/sq.ft,766 - 1111 sq.ft.,,P51800076720,,,"2, 3 BHK Apartments",41,"Waiting Lounge, Gazebo, Garbage Disposal, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, 24X7 Water Supply, Closed Car Parking, Car Parking, Multipurpose Room, Jogging Track, Street Lighting, Senior Citizen Siteout, Gated Community, Indoor Games, Cycling & Jogging Track, Sewage Treatment Plant, Club House, Intercom, Children's Play Area, Entrance Lobby, Salon, Yoga / Meditation Area, Solid Waste Management And Disposal, Terrace Garden, 24x7 CCTV Surveillance, Chess Board, Multipurpose Hall, Banquet Hall, Storm Water Drains, Library, Rain Water Harvesting, Energy management, Electrical meter Room, Carrom, Jacuzzi, Power Backup, Cafeteria, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1978,198,"Established in 1978, Hiranandani Communities is one of the most prestigious real estate developers based in Mumbai. Hiranandani Communities has the vision of creating a new India with self-sufficient and enduring townships. Every activity, be it in real estate, education, healthcare, hospitality, leisure or entertainment has steadily focused on creating a better experience in every aspect of life. While corporate has gone from strength to strength, the Group is primarily synonymous with quality, commitment towards customers, reliability, and excellence in architecture. We are here to give an experience of a lifetime to every family, through infrastructure that is synonymous with supreme quality, beauty, and longevity. Having a legacy of 40+ years of exceeding expectations, Hiranandani Communities has marked its presence by building world-class townships, introducing integrated lifestyles and thus living up to its brand promise of creating better communities.",Under Construction,"Jun, 2024"
