Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Total Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date
Logix Blossom County,LOGIX GROUP,"Sector 137, Noida-Greater Noida Expressway, Noida",Not Found,Price on request,660 - 3738 sq.ft.,25 Acres,UPRERAPRJ4466,,1600,"2, 3, 4 BHK Apartments",44,"Tennis Court, Spa, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Medical Store/Pharmacy, Medical Facilities, Golf Course, Closed Car Parking, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Street Lighting, Gated Community, Indoor Games, Cycling & Jogging Track, Sports Facility, Lawn Tennis Court, Sewage Treatment Plant, Club House, Children's Play Area, Service Lift, Yoga / Meditation Area, Security Cabin, Lift(s), 24x7 CCTV Surveillance, Multipurpose Hall, Community Hall, Basketball Court, Staff Quarter, Yoga / Meditation Area, Conference Room, Spa/Sauna/Steam, Banquet Hall, ATM, Rain Water Harvesting, Library, 24x7 Security, Jacuzzi, Power Backup, Cafeteria",60,Not Found,60,0,1997,25,"With its hunger to excel in real estate industry, Logix Group has grown from a sapling into a strong tree with each passing day. Completion of projects and delivery as promised on time has been the key to their success and growth. Playing from past few years, the group has spread self-satisfied smiles on the faces of its customers. The customer satisfaction is the aim of the company and they have been striving hard since day one. With years of industry experience and a clear vision for the future, all projects are well planned, executed and implemented by an experienced team of professionals. Their designs are innovative and fresh and hence no two projects are ever the same. e82bda8c-4663-4bc2-ab6d-21b6b74bc1c5",Ready to Move,"Mar, 2010"
Logix Blossom County phase 1,Logix Blossom County,"Sector 137, Noida-Greater Noida Expressway, Noida",Not Found,Ready to Move,660 - 3010 sq.ft.,5 Acres,UPRERAPRJ4466,,,"2, 4 BHK Apartments",1,Closed Car Parking,Not Found,Not Found,Not Found,0,1997,24,"With its hunger to excel in real estate industry, Logix Group has grown from a sapling into a strong tree with each passing day. Completion of projects and delivery as promised on time has been the key to their success and growth. Playing from past few years, the group has spread self-satisfied smiles on the faces of its customers. The customer satisfaction is the aim of the company and they have been striving hard since day one. With years of industry experience and a clear vision for the future, all projects are well planned, executed and implemented by an experienced team of professionals. Their designs are innovative and fresh and hence no two projects are ever the same. e82bda8c-4663-4bc2-ab6d-21b6b74bc1c5",Ready to Move,"Mar, 2010"
Logix Blossom County phase 2,Logix Blossom County,"Sector 137, Noida-Greater Noida Expressway, Kulesara",Not Found,Ready to Move,660 - 3738 sq.ft.,4 Acres,UPRERAPRJ4411,,,"2, 3, 4 BHK Apartments",24,"Children's Play Area, Security Cabin, Spa, Swimming Pool, Lift(s), 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, Medical Store/Pharmacy, Closed Car Parking, Car Parking, 24X7 Water Supply, Multipurpose Hall, Street Lighting, Community Hall, Yoga / Meditation Area, Gated Community, Indoor Games, Banquet Hall, Lawn Tennis Court, 24x7 Security, Jacuzzi, Sewage Treatment Plant, Club House",9,Not Found,9,0,1997,25,"With its hunger to excel in real estate industry, Logix Group has grown from a sapling into a strong tree with each passing day. Completion of projects and delivery as promised on time has been the key to their success and growth. Playing from past few years, the group has spread self-satisfied smiles on the faces of its customers. The customer satisfaction is the aim of the company and they have been striving hard since day one. With years of industry experience and a clear vision for the future, all projects are well planned, executed and implemented by an experienced team of professionals. Their designs are innovative and fresh and hence no two projects are ever the same. e82bda8c-4663-4bc2-ab6d-21b6b74bc1c5",Ready to Move,"Mar, 2010"
Eros Sampoornam 2,AJAY ENTERPRISES PVT LTD,"Sector 2, Greater Noida",Not Found,"Sep, 2025",679 - 1139 sq.ft.,3.34 Acres,UPRERAPRJ301564,,,"2, 2.5, 3 BHK Apartments",19,"Children's Play Area, Amphitheater, Entrance Lobby, Yoga / Meditation Area, Skating Rink, Vastu Compliant, Fountains, Fire Sprinklers, Lift(s), Landscaping & Tree Planting, Badminton Court, Gymnasium, Video Door Security, Community Buildings, 24X7 Water Supply, Chess Board, Jogging Track, Basketball Court, Lawn Tennis Court",29,1,30,0,1947,3,"EROS Group, a Company which needs no introduction “The Recognized Real Estate Giant in India” with special strength in and around Delhi, exuberate quality and excellence with over 80 years of expertise and experience. It has created some of the most pioneering episodes of Real Estate Promotion and Town Planning for a period of over 80 impressive years.",Under Construction,"Nov, 2021"
ATS Picturesque Reprieves Phase 2,ATS INFRASTRUCTURE LIMITED,"Plot No-SC-1/A-1, In Sport City Project, Sector-152, Noida-Greater Noida Expressway, Noida",₹11.14 K/sq.ft,"Mar, 2027",1850 - 3200 sq.ft.,,UPRERAPRJ396176,,288,"3, 4 BHK Apartments",86,"Amphitheater, Cricket Pitch, Changing Room, Spa, Gazebo, Fountains, Fire Sprinklers, Valet Parking, Table Tennis, Kid's Pool, Water Softner Plant, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Shopping Mall, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Steam Room, Visitor Parking, Party Hall, 24x7 CCTV Surveillance, Reserved Parking, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Cineplex, Banquet Hall, Rain Water Harvesting, Library, Laundromat, Jacuzzi, 24x7 Security, Earthquake Resistant Structure, Cafeteria, Waiting Lounge, Reading Lounge, Internet / Wi-Fi, Tennis Court, Reflexology Park, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Fire Fighting System, Gymnasium, Flower Garden, School, Squash Court, Closed Car Parking, Golf Course, Jogging Track, Gated Community, Sports Facility, Lawn Tennis Court, Foosball, Club House, Service Lift, Entrance Lobby, Yoga / Meditation Area, Barbecue Area, Football Field, Lift(s), Aerobics Room, Badminton Court, Terrace Garden, Creche/Day Care, RO Water System, Sun Deck, Video Door Security, High Speed Elevators, Multipurpose Hall, Basketball Court, Staff Quarter, Conference Room, Paved Compound, Solar Water Heating, ATM, Infinity Pool, Power Backup, Acupressure Center, Billiards / Snooker Table",19,1,20,0,1998,56,"Developer Profile
ATS Green is one of the top performing real estate companies in India. Since its inception in 1998, the developer has seen phenomenal growth and delivered landmark projects across the National Capital Region (NCR) in Noida, Gurgaon, Greater Noida and Yamuna Expressway. The property portfolio of the builder includes residential, commercial, hospitality and retail projects. A Member of CREDAI, the company has gained the trust of thousands of customers because of its commitment towards building a sustainable environment. It has won several awards for its projects such as Premium Apartment Project of the Year in 2017 by NDTV Property Awards and Achievement Award for Best Construction Projects at the 8th CIDC Awards in 2016.
Experience and Strengths
A dedicated workforce of around 3,500 employees at ATS Green is led by a highly experienced management team led by Chairman and Managing Director, Getamber Anand, ATS Infrastructure Ltd. The company is committed to operating every aspect of the business in compliance with the mission and core values of the organization like unprecedented professionalism, transparency, reliability and integrity. The builder is focused on meeting the customers’ requirements through methodical project development and management procedures as well as adherence to global quality standards and best industry practices.
Properties developed by ATS Green are a sheer reflection of extraordinary in-house construction and unmatched brand equity. The developer has successfully delivered around 7,000 residential units to over 30,000 customers. All these properties boast modern architecture and superior construction quality accompanied by earmarked features entailing green surroundings and a host of world-class amenities.
ATS Green strives towards setting and achieve new milestones while considering ‘best customers experience’ as their top-most priority. The builder works towards “Ensuring Environmental Sustainability and Ecological Balance” through special programmes involving environment conservation initiatives.
Projects
In a period of two decades, ATS Green has evolved as a business while keeping pace with the changing market trends. It has successfully delivered real estate space spanning 30 million sqft and has around 40 million sqft of space underway. The builder is focusing its efforts on the target of average 5 million sqft of residential development annually not only in the NCR but across different geographies across the country.
In the residential segment, ATS Green offers well-designed 2, 3 and 4 BHK apartments and villas with sizes ranging between 1,000 sqft and over 3,000 sqft. It also offers plush, spacious 6BHK suites with over 4,000 sqft of area. Some of the outstanding residential projects by the developer include ATS Golf Meadows Lifestyle at Dera Bassi in Chandigarh; Casa Espana Apartment at Sector 121 in Mohali, ATS Pristine at Sector 150 in Noida and the upcoming ATS Tourmaline at Sector 109 in Gurgaon.",Under Construction,"Aug, 2019"
ATS Le Grandiose Phase I,ATS Le Grandiose,"Plot No. SC-01/C-A1 Of Sport City, Sector 150, Noida-Greater Noida Expressway, Noida",Not Found,Ready to Move,1027 - 2166 sq.ft.,13.32 Acres,UPRERAPRJ3250,,826,"3, 4 BHK Apartments",30,"Grocery Shop, Changing Room, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Kid's Pool, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Squash Court, Golf Course, Car Parking, 24X7 Water Supply, Street Lighting, Gated Community, Shopping Mall, Sewage Treatment Plant, Club House, Intercom, Children's Play Area, Solid Waste Management And Disposal, Football Field, Lift(s), 24x7 CCTV Surveillance, High Speed Elevators, Community Hall, Rain Water Harvesting, 24x7 Security, Energy management, Power Backup",26,1,27,0,1998,54,"Developer Profile
ATS Green is one of the top performing real estate companies in India. Since its inception in 1998, the developer has seen phenomenal growth and delivered landmark projects across the National Capital Region (NCR) in Noida, Gurgaon, Greater Noida and Yamuna Expressway. The property portfolio of the builder includes residential, commercial, hospitality and retail projects. A Member of CREDAI, the company has gained the trust of thousands of customers because of its commitment towards building a sustainable environment. It has won several awards for its projects such as Premium Apartment Project of the Year in 2017 by NDTV Property Awards and Achievement Award for Best Construction Projects at the 8th CIDC Awards in 2016.
Experience and Strengths
A dedicated workforce of around 3,500 employees at ATS Green is led by a highly experienced management team led by Chairman and Managing Director, Getamber Anand, ATS Infrastructure Ltd. The company is committed to operating every aspect of the business in compliance with the mission and core values of the organization like unprecedented professionalism, transparency, reliability and integrity. The builder is focused on meeting the customers’ requirements through methodical project development and management procedures as well as adherence to global quality standards and best industry practices.
Properties developed by ATS Green are a sheer reflection of extraordinary in-house construction and unmatched brand equity. The developer has successfully delivered around 7,000 residential units to over 30,000 customers. All these properties boast modern architecture and superior construction quality accompanied by earmarked features entailing green surroundings and a host of world-class amenities.
ATS Green strives towards setting and achieve new milestones while considering ‘best customers experience’ as their top-most priority. The builder works towards “Ensuring Environmental Sustainability and Ecological Balance” through special programmes involving environment conservation initiatives.
Projects
In a period of two decades, ATS Green has evolved as a business while keeping pace with the changing market trends. It has successfully delivered real estate space spanning 30 million sqft and has around 40 million sqft of space underway. The builder is focusing its efforts on the target of average 5 million sqft of residential development annually not only in the NCR but across different geographies across the country.
In the residential segment, ATS Green offers well-designed 2, 3 and 4 BHK apartments and villas with sizes ranging between 1,000 sqft and over 3,000 sqft. It also offers plush, spacious 6BHK suites with over 4,000 sqft of area. Some of the outstanding residential projects by the developer include ATS Golf Meadows Lifestyle at Dera Bassi in Chandigarh; Casa Espana Apartment at Sector 121 in Mohali, ATS Pristine at Sector 150 in Noida and the upcoming ATS Tourmaline at Sector 109 in Gurgaon.",Ready to Move,"Mar, 2016"
ATS Pristine Golf Villas Phase I,ATS Pristine,"Sector 150, Noida-Greater Noida Expressway, Noida",₹15.63 K/sq.ft,"Dec, 2023",3150 - 8500 sq.ft.,24 Acres,UPRERAPRJ3796,,113,4 BHK Villa,48,"Reading Lounge, Tennis Court, Swimming Pool, Fountains, Landscaping & Tree Planting, Water Storage, Table Tennis, Gymnasium, Fire Fighting System, Kid's Pool, Golf Course, Car Parking, 24X7 Water Supply, Jogging Track, Street Lighting, Gated Community, Indoor Games, Cycling & Jogging Track, Piped Gas Connection, Food Court, Club House, Intercom, Children's Play Area, Service Lift, Yoga / Meditation Area, Card Room, Recreation Facilities, Bar/Chill-out Lounge, Visitor Parking, Lift(s), Badminton Court, RO Water System, 24x7 CCTV Surveillance, Sun Deck, Reserved Parking, Temple, Multipurpose Hall, Water Sports, Community Hall, Basketball Court, Conference Room, Maintenance Staff, Rain Water Harvesting, 24x7 Security, Energy management, Power Backup, Cafeteria, Billiards / Snooker Table",55,1,56,0,1998,56,"Developer Profile
ATS Green is one of the top performing real estate companies in India. Since its inception in 1998, the developer has seen phenomenal growth and delivered landmark projects across the National Capital Region (NCR) in Noida, Gurgaon, Greater Noida and Yamuna Expressway. The property portfolio of the builder includes residential, commercial, hospitality and retail projects. A Member of CREDAI, the company has gained the trust of thousands of customers because of its commitment towards building a sustainable environment. It has won several awards for its projects such as Premium Apartment Project of the Year in 2017 by NDTV Property Awards and Achievement Award for Best Construction Projects at the 8th CIDC Awards in 2016.
Experience and Strengths
A dedicated workforce of around 3,500 employees at ATS Green is led by a highly experienced management team led by Chairman and Managing Director, Getamber Anand, ATS Infrastructure Ltd. The company is committed to operating every aspect of the business in compliance with the mission and core values of the organization like unprecedented professionalism, transparency, reliability and integrity. The builder is focused on meeting the customers’ requirements through methodical project development and management procedures as well as adherence to global quality standards and best industry practices.
Properties developed by ATS Green are a sheer reflection of extraordinary in-house construction and unmatched brand equity. The developer has successfully delivered around 7,000 residential units to over 30,000 customers. All these properties boast modern architecture and superior construction quality accompanied by earmarked features entailing green surroundings and a host of world-class amenities.
ATS Green strives towards setting and achieve new milestones while considering ‘best customers experience’ as their top-most priority. The builder works towards “Ensuring Environmental Sustainability and Ecological Balance” through special programmes involving environment conservation initiatives.
Projects
In a period of two decades, ATS Green has evolved as a business while keeping pace with the changing market trends. It has successfully delivered real estate space spanning 30 million sqft and has around 40 million sqft of space underway. The builder is focusing its efforts on the target of average 5 million sqft of residential development annually not only in the NCR but across different geographies across the country.
In the residential segment, ATS Green offers well-designed 2, 3 and 4 BHK apartments and villas with sizes ranging between 1,000 sqft and over 3,000 sqft. It also offers plush, spacious 6BHK suites with over 4,000 sqft of area. Some of the outstanding residential projects by the developer include ATS Golf Meadows Lifestyle at Dera Bassi in Chandigarh; Casa Espana Apartment at Sector 121 in Mohali, ATS Pristine at Sector 150 in Noida and the upcoming ATS Tourmaline at Sector 109 in Gurgaon.",Ready to Move,"Mar, 2014"
Tata Value Homes Phase 2,TATA REALTY AND INFRASTRUCTURE LIMITED,"Sector 150, Noida-Greater Noida Expressway, Noida",₹10.46 K/sq.ft,"Mar, 2021",1100 - 1575 sq.ft.,,UPRERAPRJ469983,,,"2, 3 BHK Apartments",40,"Amphitheater, Internet / Wi-Fi, Grocery Shop, Gazebo, Swimming Pool, Skating Rink, Fire Sprinklers, Landscaping & Tree Planting, Mini Theatre, Gymnasium, Kid's Pool, Fire Fighting System, Car Parking, 24X7 Water Supply, Squash Court, Multipurpose Room, Jogging Track, Gated Community, Shopping Mall, Lawn Tennis Court, Party Lawn, Club House, Intercom, Children's Play Area, Yoga / Meditation Area, Recreation Facilities, Lift(s), Badminton Court, 24x7 CCTV Surveillance, Video Door Security, Multipurpose Hall, Basketball Court, Community Hall, Maintenance Staff, Banquet Hall, ATM, Rain Water Harvesting, Library, 24x7 Security, Power Backup",26,1,27,0,1985,59,"TATA Housing has evolved into one of the fastest growing real estate development companies in India. With the primary business being development of properties in residential, commercial and retail sectors, the company's operations span across various aspects of real estate development, such as land identification and acquisition, project planning, designing, marketing & sales, project execution, property services and estate management.
The company's mission as a real estate development company is ""to delight customers by providing quality life spaces through continuous innovations""",Ready to Move,"Jan, 2014"
Tata Eureka Park,TATA REALTY AND INFRASTRUCTURE LIMITED,"Plot No. SC-02/A1, Sector 150, Noida-Greater Noida Expressway, Noida",Not Found,"Sep, 2023",648 - 981 sq.ft.,20 Acres (70% open),UPRERAPRJ5448,,,"2, 3 BHK Apartments",37,"Amphitheater, Internet / Wi-Fi, Volleyball Court, Tennis Court, Gazebo, Swimming Pool, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Squash Court, Multipurpose Room, Gated Community, Cycling & Jogging Track, Shopping Mall, Lawn Tennis Court, Party Lawn, Club House, Intercom, Children's Play Area, Yoga / Meditation Area, Sports Area, Lift(s), Badminton Court, Video Door Security, Multipurpose Hall, Community Hall, Basketball Court, Banquet Hall, ATM, Rain Water Harvesting, Library, 24x7 Security, Power Backup",87,2,89,0,1985,59,"TATA Housing has evolved into one of the fastest growing real estate development companies in India. With the primary business being development of properties in residential, commercial and retail sectors, the company's operations span across various aspects of real estate development, such as land identification and acquisition, project planning, designing, marketing & sales, project execution, property services and estate management.
The company's mission as a real estate development company is ""to delight customers by providing quality life spaces through continuous innovations""",Ready to Move,
ATS Pious Hideaways,ATS INFRASTRUCTURE LIMITED,"Plot No. SC-02/J&K, Sector 150, Noida-Greater Noida Expressway, Noida",₹10.9 K/sq.ft,"Mar, 2026",1400 - 1675 sq.ft.,9 Acres (80% open),UPRERAPRJ442430,,700,3 BHK Apartment,60,"Amphitheater, Cricket Pitch, Changing Room, Spa, Skating Rink, Fire Sprinklers, Mini Theatre, 24X7 Water Supply, Car Parking, Indoor Games, Cycling & Jogging Track, Pergola, Shopping Mall, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Card Room, Visitor Parking, Party Hall, 24x7 CCTV Surveillance, Reserved Parking, Spa/Sauna/Steam, Banquet Hall, Maintenance Staff, Rain Water Harvesting, Library, 24x7 Security, Cafeteria, Internet / Wi-Fi, Tennis Court, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Water Storage, Gymnasium, Fire Fighting System, Squash Court, Closed Car Parking, Jogging Track, Gated Community, Sports Facility, Lawn Tennis Court, Club House, Entrance Lobby, Yoga / Meditation Area, Lift(s), Badminton Court, RO Water System, Sun Deck, Restaurant, Multipurpose Hall, Basketball Court, Paved Compound, Internal Roads & Footpaths, Infinity Pool, Power Backup, Billiards / Snooker Table",40,2,42,0,1998,56,"Developer Profile
ATS Green is one of the top performing real estate companies in India. Since its inception in 1998, the developer has seen phenomenal growth and delivered landmark projects across the National Capital Region (NCR) in Noida, Gurgaon, Greater Noida and Yamuna Expressway. The property portfolio of the builder includes residential, commercial, hospitality and retail projects. A Member of CREDAI, the company has gained the trust of thousands of customers because of its commitment towards building a sustainable environment. It has won several awards for its projects such as Premium Apartment Project of the Year in 2017 by NDTV Property Awards and Achievement Award for Best Construction Projects at the 8th CIDC Awards in 2016.
Experience and Strengths
A dedicated workforce of around 3,500 employees at ATS Green is led by a highly experienced management team led by Chairman and Managing Director, Getamber Anand, ATS Infrastructure Ltd. The company is committed to operating every aspect of the business in compliance with the mission and core values of the organization like unprecedented professionalism, transparency, reliability and integrity. The builder is focused on meeting the customers’ requirements through methodical project development and management procedures as well as adherence to global quality standards and best industry practices.
Properties developed by ATS Green are a sheer reflection of extraordinary in-house construction and unmatched brand equity. The developer has successfully delivered around 7,000 residential units to over 30,000 customers. All these properties boast modern architecture and superior construction quality accompanied by earmarked features entailing green surroundings and a host of world-class amenities.
ATS Green strives towards setting and achieve new milestones while considering ‘best customers experience’ as their top-most priority. The builder works towards “Ensuring Environmental Sustainability and Ecological Balance” through special programmes involving environment conservation initiatives.
Projects
In a period of two decades, ATS Green has evolved as a business while keeping pace with the changing market trends. It has successfully delivered real estate space spanning 30 million sqft and has around 40 million sqft of space underway. The builder is focusing its efforts on the target of average 5 million sqft of residential development annually not only in the NCR but across different geographies across the country.
In the residential segment, ATS Green offers well-designed 2, 3 and 4 BHK apartments and villas with sizes ranging between 1,000 sqft and over 3,000 sqft. It also offers plush, spacious 6BHK suites with over 4,000 sqft of area. Some of the outstanding residential projects by the developer include ATS Golf Meadows Lifestyle at Dera Bassi in Chandigarh; Casa Espana Apartment at Sector 121 in Mohali, ATS Pristine at Sector 150 in Noida and the upcoming ATS Tourmaline at Sector 109 in Gurgaon.",Under Construction,"Feb, 2019"
