XID,Project Name,Configuration,List Item,Price
743,Logix Blossom County,2 BHK Apartment,660 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,753 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,936 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,936 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,947 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1319 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1544 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1644 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1872 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2258 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3010 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1319 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,1872 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2258 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2638 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,2804 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3010 SQ.FT,Price on Request
743,Logix Blossom County,2 BHK Apartment,3738 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,660 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,1159 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,1169 SQ.FT,Price on Request
743,Logix Blossom County,3 BHK Apartment,2317 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1629 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1632 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1633 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1645 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,670 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1398 SQ.FT,Price on Request
743,Logix Blossom County,4 BHK Apartment,1422 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,660 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,753 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,936 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,936 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,947 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,1319 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,1544 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,1644 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,1872 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,2258 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,2 BHK Apartment,3010 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,4 BHK Apartment,1629 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,4 BHK Apartment,1632 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,4 BHK Apartment,1633 SQ.FT,Price on Request
743_phase_1,Logix Blossom County phase 1,4 BHK Apartment,1645 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,1319 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,1872 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,2258 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,2638 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,2804 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,3010 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,2 BHK Apartment,3738 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,3 BHK Apartment,660 SQ.FT,Price on Request
743_phase_2,Logix Blossom County phase 2,3 BHK Apartment,1159 SQ.FT,Price on Request
