XID,Configuration,List Item,Price
r417614,2 BHK Apartment,1210 SQ.FT,₹ 1.03 Cr
r417614,2 BHK Apartment,1310 SQ.FT,₹ 1.11 Cr
r417614,2 BHK Apartment,1362 SQ.FT,Price on Request
r417614,2 BHK Apartment,1438 SQ.FT,Price on Request
r417614,3 BHK Apartment,1530 SQ.FT,₹ 1.3 Cr
r417614,3 BHK Apartment,1685 SQ.FT,₹ 1.43 Cr
r417614,3 BHK Apartment,1705 SQ.FT,Price on Request
r417614,3 BHK Apartment,1720 SQ.FT,₹ 1.46 Cr
r417614,3 BHK Apartment,1740 SQ.FT,₹ 1.48 Cr
r417614,3 BHK Apartment,1777 SQ.FT,Price on Request
r405295,"1 BHK Apartment
24.6 L",572 SQ.FT,₹ 24.6 L
r405295,2 BHK Apartment,850 SQ.FT,₹ 36.55 L
r405295,2 BHK Apartment,865 SQ.FT,₹ 37.2 L
r405295,2 BHK Apartment,873 SQ.FT,₹ 37.54 L
r405295,2 BHK Apartment,876 SQ.FT,₹ 37.67 L
r405295,2 BHK Apartment,878 SQ.FT,₹ 37.75 L
r405295,2 BHK Apartment,883 SQ.FT,₹ 37.97 L
r405295,2 BHK Apartment,895 SQ.FT,₹ 38.49 L
r405295,2 BHK Apartment,909 SQ.FT,Price on Request
r405295,2 BHK Apartment,938 SQ.FT,Price on Request
r405295,2 BHK Apartment,955 SQ.FT,₹ 41.07 L
r405295,2 BHK Apartment,956 SQ.FT,Price on Request
r405295,2 BHK Apartment,957 SQ.FT,Price on Request
r405295,2 BHK Apartment,965 SQ.FT,₹ 41.5 L
r405295,2 BHK Apartment,974 SQ.FT,₹ 41.88 L
r405295,2 BHK Apartment,978 SQ.FT,₹ 42.05 L
r405295,2 BHK Apartment,983 SQ.FT,₹ 42.27 L
r405295,2 BHK Apartment,988 SQ.FT,Price on Request
r405295,2 BHK Apartment,1002 SQ.FT,₹ 43.09 L
r405295,2 BHK Apartment,1028 SQ.FT,₹ 44.2 L
r405295,2 BHK Apartment,1038 SQ.FT,Price on Request
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1024 SQ.FT,₹ 44.03 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1057 SQ.FT,₹ 45.45 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1110 SQ.FT,₹ 47.73 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1169 SQ.FT,₹ 50.27 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1174 SQ.FT,₹ 50.48 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1188 SQ.FT,₹ 51.08 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1224 SQ.FT,₹ 52.63 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1308 SQ.FT,₹ 56.24 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1324 SQ.FT,₹ 56.93 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1332 SQ.FT,₹ 57.28 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1362 SQ.FT,₹ 58.57 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1418 SQ.FT,₹ 60.97 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1437 SQ.FT,₹ 61.79 L
r405295,"3 BHK Apartment
44.03 L - 65.23 L",1517 SQ.FT,₹ 65.23 L
r51192,2 BHK Apartment,1184 SQ.FT,Price on Request
r51192,2 BHK Apartment,1184 SQ.FT,₹ 59.2 L
r51192,"3 BHK Apartment
78 L - 1.02 Cr",1560 SQ.FT,₹ 78.0 L
r51192,"3 BHK Apartment
78 L - 1.02 Cr",1883 SQ.FT,₹ 94.15 L
r51192,"3 BHK Apartment
78 L - 1.02 Cr",2045 SQ.FT,₹ 1.02 Cr
r51192,"4 BHK Apartment
1.48 Cr",2960 SQ.FT,₹ 1.48 Cr
r402170,"4 BHK Villa
1.14 Cr - 1.3 Cr",2200 SQ.FT,₹ 1.14 Cr
r402170,"4 BHK Villa
1.14 Cr - 1.3 Cr",2500 SQ.FT,₹ 1.3 Cr
r383703,3 BHK Apartment,1708 SQ.FT,Price on Request
r383703,3 BHK Apartment,2868 SQ.FT,Price on Request
r383703,3 BHK Apartment,3747 SQ.FT,Price on Request
r383703,3 BHK Apartment,3986 SQ.FT,Price on Request
r383703,4 BHK Apartment,4144 SQ.FT,Price on Request
r383703,4 BHK Apartment,4349 SQ.FT,Price on Request
r383703,4 BHK Apartment,4550 SQ.FT,Price on Request
r383703,4 BHK Apartment,4751 SQ.FT,Price on Request
r29040,"Plot
33.92 L - 1.66 Cr",1370 SQ.FT,"₹ 33.92 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1615 SQ.FT,"₹ 40.0 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1663 SQ.FT,"₹ 41.19 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1806 SQ.FT,"₹ 44.73 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1870 SQ.FT,"₹ 46.32 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1875 SQ.FT,"₹ 46.44 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1917 SQ.FT,"₹ 47.48 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1938 SQ.FT,"₹ 48.0 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",1948 SQ.FT,"₹ 48.25 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2152 SQ.FT,"₹ 53.28 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2267 SQ.FT,"₹ 56.15 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2328 SQ.FT,"₹ 57.66 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2341 SQ.FT,"₹ 57.98 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2379 SQ.FT,"₹ 58.92 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2519 SQ.FT,"₹ 62.39 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2541 SQ.FT,"₹ 62.93 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",2563 SQ.FT,"₹ 63.48 L
i"
r29040,"Plot
33.92 L - 1.66 Cr",5587 SQ.FT,"₹ 1.38 Cr
i"
r29040,"Plot
33.92 L - 1.66 Cr",6340 SQ.FT,"₹ 1.57 Cr
i"
r29040,"Plot
33.92 L - 1.66 Cr",6374 SQ.FT,"₹ 1.58 Cr
i"
r29040,"Plot
33.92 L - 1.66 Cr",6430 SQ.FT,"₹ 1.59 Cr
i"
r29040,"Plot
33.92 L - 1.66 Cr",6698 SQ.FT,"₹ 1.66 Cr
i"
r394292,1 BHK Apartment,550 SQ.FT,Price on Request
r394292,1 BHK Apartment,560 SQ.FT,Price on Request
r394292,1 BHK Apartment,580 SQ.FT,Price on Request
r394292,2 BHK Apartment,532 SQ.FT,₹ 1.28 Cr
r394292,2 BHK Apartment,720 SQ.FT,Price on Request
r394292,2 BHK Apartment,735 SQ.FT,Price on Request
r394292,2 BHK Apartment,740 SQ.FT,Price on Request
r394292,2 BHK Apartment,755 SQ.FT,Price on Request
r394292,3 BHK Apartment,698 SQ.FT,₹ 1.79 Cr
r394292,3 BHK Apartment,728 SQ.FT,₹ 1.87 Cr
r394292,3 BHK Apartment,769 SQ.FT,₹ 1.98 Cr
r394292,3 BHK Apartment,804 SQ.FT,₹ 2.07 Cr
r394292,3 BHK Apartment,807 SQ.FT,₹ 2.07 Cr
r394292,3 BHK Apartment,840 SQ.FT,₹ 2.16 Cr
r394292,3 BHK Apartment,882 SQ.FT,₹ 2.27 Cr
r394292,3 BHK Apartment,995 SQ.FT,Price on Request
r394292,3 BHK Apartment,1038 SQ.FT,Price on Request
r394292,3 BHK Apartment,1075 SQ.FT,Price on Request
r394292,3 BHK Apartment,1240 SQ.FT,Price on Request
r404912,"1 BHK Apartment
41.97 L - 46.05 L",484 SQ.FT,₹ 41.97 L
r404912,"1 BHK Apartment
41.97 L - 46.05 L",490 SQ.FT,₹ 42.49 L
r404912,"1 BHK Apartment
41.97 L - 46.05 L",491 SQ.FT,₹ 42.58 L
r404912,"1 BHK Apartment
41.97 L - 46.05 L",531 SQ.FT,₹ 46.05 L
r404912,"2 BHK Apartment
51.34 L - 62.87 L",592 SQ.FT,₹ 51.34 L
r404912,"2 BHK Apartment
51.34 L - 62.87 L",593 SQ.FT,₹ 51.42 L
r404912,"2 BHK Apartment
51.34 L - 62.87 L",618 SQ.FT,₹ 53.59 L
