XID,Project Name,City,Housing.com Link
r403366,DS Max Samyak,Bangalore West,https://housing.com/in/buy/projects/page/294242-ds-max-samyak-by-dsmax-properties-private-limited-in-kengeri
r390363,Opulent Starlit,Pune East,https://housing.com/in/buy/projects/page/168433-east-street-galleria-by-reputed-builder-in-camp
r382576,Ananda Arrpan Vihar,Nasik,https://housing.com/buy-ananda-arrpan-vihar-by-ananda-developers-in-hirawadi-nashik-pid-280495
r379247,SVN Bay Parck Beachfront Plots and Villas,Visakhapatnam,https://housing.com/buy-svn-bay-parck-beachfront-plots-and-villas-by-svn-shivajyothi-developers-in-bhogapuram-visakhapatnam-pid-277197
r299863,Sattva Misty Charm,Bangalore South,https://housing.com/in/buy/projects/page/81521-sattva-misty-charm-by-sattva-group-in-jyotipuram
r408473,Rajapushpa Pristinia,Hyderabad,https://housing.com/in/buy/projects/page/307958-rajapushpa-pristinia-by-rajapushpa-properties-pvt-ltd-in-kokapet
r409476,Casagrand Hanford,Hyderabad,https://housing.com/in/buy/projects/page/298725-casagrand-hanford-by-casagrand-builder-private-limited-in-shamshabad
r265191,Green Fields Crown City,Coimbatore,https://housing.com/buy-green-field-crown-city-by-greenfield-housing-pvt-ltd-in-kovilpalayam-coimbatore-pid-235947
r416321,Rameshwar City Glory,Ahmedabad South,https://housing.com/buy-rameshwar-city-glory-by-rameshwar-infrabuild-pvt-ltd-in-kasindra-ahmedabad-pid-294566
r397871,VSKs Aira,Coimbatore,https://housing.com/buy-vsk-aira-by-vsk-housing-india-in-singanallur-coimbatore-pid-289352
r408184,SRIRAM Nagar by Raghava Foundations,Chennai North,https://housing.com/in/buy/projects/page/304360-sriram-nagar-by-raghava-foundations-private-limited-in-red-hills
r419026,AIGIN Royal Park,Ghaziabad,https://housing.com/in/buy/projects/page/303662-aigin-royal-park-by-aigin-group-in-mahurali
r412548,Ruby Horizon,Chennai South,https://housing.com/in/buy/projects/page/303284-ruby-horizon-by-ruby-builders-and-promoters-in-tambaram
r428320,Shyam Ananta,Nasik,https://housing.com/buy-shyam-ananta-by-shyam-group-in-indira-nagar-nashik-pid-323415
r437319,Shriniwas Niketan,Nasik,https://housing.com/buy-shriniwas-niketan-by-nisham-developers-in-parijat-nagar-nashik-pid-325505
r137319,Mansarovar Residency,Navi Mumbai,https://housing.com/in/buy/projects/page/13893-mansarovar-residency-by-kiran-realty-in-desai-village
r414339,Experion Elements,Noida,https://housing.com/in/buy/projects/page/319871-experion-elements-by-experion-developers-in-sector-45
r405075,Shreehari Skyleaf,Ahmedabad North,https://housing.com/buy-skyleaf-by-shreehari-infra-in-tragad-ahmedabad-pid-294615
r309485,Chitrakut Heights Phase 2,Kolkata East,https://housing.com/buy-chitrakut-heights-phase-ii-by-neelkanth-nirman-pvt-ltd-in-new-town-kolkata-pid-301827
r49948,Pratham Plaza,Vadodara,https://housing.com/buy-pratham-plaza-by-pratham-realty-private-limited-in-akota-vadodara-pid-309987
r410684,Vrindhavana Visthara,Coimbatore,https://housing.com/buy-vrindhavana-visthara-by-vrindhavana-properties-in-saravanampatty-coimbatore-pid-300099
r324441,Happy Homes V,Kolkata South,https://housing.com/buy-happy-homes-v-by-vishnu-group-in-narendrapur-kolkata-pid-117698
r419206,PS Jade Grove,Kolkata Central,https://housing.com/buy-ps-jade-grove-phase-1-by-ps-group-in-tangra-kolkata-pid-311807
r419798,Today Saubhagyam,Navi Mumbai,https://housing.com/in/buy/projects/page/311532-codename-happy-stories-by-today-global-developers-in-panvel
r413358,Urbanrise The World of Joy,Hyderabad,https://housing.com/in/buy/projects/page/301554-urbanrise-the-world-of-joy-by-urbanrise-in-miyapur
