XID,Configuration,List Item,Price
383662,"2 BHK Apartment
54.24 L - 65.24 L",1085 SQ.FT,₹ 54.24 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1160 SQ.FT,₹ 57.99 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1210 SQ.FT,₹ 60.49 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1215 SQ.FT,₹ 60.74 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1220 SQ.FT,₹ 60.99 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1240 SQ.FT,₹ 61.99 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1260 SQ.FT,₹ 62.99 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1270 SQ.FT,₹ 63.49 L
383662,"2 BHK Apartment
54.24 L - 65.24 L",1305 SQ.FT,₹ 65.24 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1330 SQ.FT,₹ 66.49 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1425 SQ.FT,₹ 71.24 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1520 SQ.FT,₹ 75.98 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1600 SQ.FT,₹ 79.98 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1625 SQ.FT,₹ 81.23 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1850 SQ.FT,₹ 92.48 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1855 SQ.FT,₹ 92.73 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1875 SQ.FT,₹ 93.73 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",1910 SQ.FT,₹ 95.48 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",2000 SQ.FT,₹ 99.98 L
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",2030 SQ.FT,₹ 1.01 Cr
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",2140 SQ.FT,₹ 1.07 Cr
383662,"3 BHK Apartment
66.49 L - 1.08 Cr",2165 SQ.FT,₹ 1.08 Cr
383708,"1 BHK Apartment
1.1 Cr - 1.23 Cr",1020 SQ.FT,₹ 1.1 Cr
383708,"1 BHK Apartment
1.1 Cr - 1.23 Cr",1147 SQ.FT,₹ 1.23 Cr
383708,"2 BHK Apartment
1.34 Cr - 1.44 Cr",1243 SQ.FT,₹ 1.34 Cr
383708,"2 BHK Apartment
1.34 Cr - 1.44 Cr",1326 SQ.FT,₹ 1.43 Cr
383708,"2 BHK Apartment
1.34 Cr - 1.44 Cr",1341 SQ.FT,₹ 1.44 Cr
383708,"2 BHK Apartment
1.34 Cr - 1.44 Cr",1342 SQ.FT,₹ 1.44 Cr
383708,3 BHK Apartment,1514 SQ.FT,₹ 1.63 Cr
383708,3 BHK Apartment,1560 SQ.FT,₹ 1.68 Cr
383708,3 BHK Apartment,1690 SQ.FT,₹ 1.82 Cr
383708,3 BHK Apartment,1712 SQ.FT,₹ 1.84 Cr
383708,3 BHK Apartment,1734 SQ.FT,Price on Request
383708,3 BHK Apartment,1826 SQ.FT,₹ 1.96 Cr
383708,3 BHK Apartment,1829 SQ.FT,₹ 1.97 Cr
383708,3 BHK Apartment,1982 SQ.FT,₹ 2.13 Cr
383708,3 BHK Apartment,2257 SQ.FT,₹ 2.43 Cr
383882,"1 BHK Apartment
93.05 L - 1.05 Cr",418 SQ.FT,₹ 93.05 L
383882,"1 BHK Apartment
93.05 L - 1.05 Cr",428 SQ.FT,₹ 95.23 L
383882,"1 BHK Apartment
93.05 L - 1.05 Cr",471 SQ.FT,₹ 1.05 Cr
383882,"2 BHK Apartment
1.37 Cr - 2.4 Cr",617 SQ.FT,₹ 1.37 Cr
383882,"2 BHK Apartment
1.37 Cr - 2.4 Cr",631 SQ.FT,₹ 1.4 Cr
383882,"2 BHK Apartment
1.37 Cr - 2.4 Cr",633 SQ.FT,₹ 1.41 Cr
383882,"2 BHK Apartment
1.37 Cr - 2.4 Cr",635 SQ.FT,₹ 1.41 Cr
383882,"2 BHK Apartment
1.37 Cr - 2.4 Cr",670 SQ.FT,₹ 1.49 Cr
383882,"2 BHK Apartment
1.37 Cr - 2.4 Cr",1076 SQ.FT,₹ 2.4 Cr
383882,"3 BHK Apartment
1.85 Cr - 2.03 Cr",829 SQ.FT,₹ 1.85 Cr
383882,"3 BHK Apartment
1.85 Cr - 2.03 Cr",910 SQ.FT,₹ 2.03 Cr
383939,Plot,1163 SQ.FT,₹ 40.11 L
383939,Plot,1200 SQ.FT,₹ 41.4 L
383939,Plot,1453 SQ.FT,₹ 50.13 L
383939,Plot,1500 SQ.FT,₹ 51.75 L
383939,Plot,1569 SQ.FT,₹ 54.12 L
383939,Plot,1927 SQ.FT,₹ 66.47 L
383939,Plot,989 SQ.FT,Price on Request
383939,Plot,1061 SQ.FT,Price on Request
383939,Plot,1163 SQ.FT,Price on Request
383939,Plot,1182 SQ.FT,Price on Request
383939,Plot,1354 SQ.FT,Price on Request
383939,Plot,1420 SQ.FT,Price on Request
383939,Plot,1507 SQ.FT,Price on Request
383939,Plot,1545 SQ.FT,Price on Request
383939,Plot,1807 SQ.FT,Price on Request
383939,Plot,1809 SQ.FT,Price on Request
383939,Plot,1812 SQ.FT,Price on Request
383939,Plot,1814 SQ.FT,Price on Request
383939,Plot,1817 SQ.FT,Price on Request
383939,Plot,1855 SQ.FT,Price on Request
383939,Plot,2309 SQ.FT,₹ 1.27 Cr
383939,Plot,847 SQ.FT,₹ 42.35 L
383939,Plot,1052 SQ.FT,₹ 52.59 L
383939,Plot,1157 SQ.FT,₹ 57.85 L
383939,Plot,1224 SQ.FT,₹ 61.16 L
383939,Plot,1301 SQ.FT,₹ 65.04 L
383939,Plot,1423 SQ.FT,₹ 71.12 L
383939,Plot,1486 SQ.FT,₹ 74.29 L
383939,Plot,1534 SQ.FT,₹ 76.68 L
383939,Plot,1631 SQ.FT,₹ 81.51 L
383939,Plot,1728 SQ.FT,₹ 86.41 L
383939,Plot,1754 SQ.FT,₹ 87.69 L
383939,Plot,1887 SQ.FT,₹ 94.34 L
383939,Plot,1931 SQ.FT,₹ 96.51 L
383939,Plot,1952 SQ.FT,₹ 97.59 L
383939,Plot,2041 SQ.FT,₹ 1.02 Cr
383939,Plot,2136 SQ.FT,₹ 1.07 Cr
383939,Plot,2323 SQ.FT,₹ 1.16 Cr
383939,Plot,2325 SQ.FT,₹ 1.16 Cr
383939,Plot,2407 SQ.FT,₹ 1.2 Cr
383939,Plot,2474 SQ.FT,₹ 1.24 Cr
383945,"2 BHK Apartment
28.76 L - 42.71 L",767 SQ.FT,₹ 28.76 L
383945,"2 BHK Apartment
28.76 L - 42.71 L",883 SQ.FT,₹ 33.11 L
383945,"2 BHK Apartment
28.76 L - 42.71 L",884 SQ.FT,₹ 33.15 L
383945,"2 BHK Apartment
28.76 L - 42.71 L",887 SQ.FT,₹ 33.26 L
383945,"2 BHK Apartment
28.76 L - 42.71 L",1139 SQ.FT,₹ 42.71 L
383945,"3 BHK Apartment
33.15 L - 52.5 L",884 SQ.FT,₹ 33.15 L
383945,"3 BHK Apartment
33.15 L - 52.5 L",1039 SQ.FT,₹ 38.96 L
383945,"3 BHK Apartment
33.15 L - 52.5 L",1049 SQ.FT,₹ 39.34 L
383945,"3 BHK Apartment
33.15 L - 52.5 L",1053 SQ.FT,₹ 39.49 L
383945,"3 BHK Apartment
33.15 L - 52.5 L",1400 SQ.FT,₹ 52.5 L
384098,"3 BHK Apartment
79.89 L",216.67 SQ.YD,₹ 79.89 L
384290,"1 BHK Apartment
63.5 L - 64.06 L",369 SQ.FT,₹ 63.5 L
384290,"1 BHK Apartment
63.5 L - 64.06 L",372 SQ.FT,₹ 64.06 L
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",592 SQ.FT,₹ 1.02 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",600 SQ.FT,₹ 1.03 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",651 SQ.FT,₹ 1.12 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",659 SQ.FT,₹ 1.13 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",659 SQ.FT,₹ 1.13 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",660 SQ.FT,₹ 1.14 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",667 SQ.FT,₹ 1.15 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",668 SQ.FT,₹ 1.15 Cr
384290,"2 BHK Apartment
1.02 Cr - 1.33 Cr",681 SQ.FT,₹ 1.17 Cr
384290,"3 BHK Apartment
1.31 Cr - 1.78 Cr",758 SQ.FT,₹ 1.31 Cr
