XID,List Item,Price
r417614,1210 SQ.FT,₹ 87.12 L
r417614,1310 SQ.FT,₹ 94.32 L
r417614,1362 SQ.FT,Price on Request
r417614,1438 SQ.FT,Price on Request
r417614,1530 SQ.FT,₹ 1.1 Cr
r417614,1685 SQ.FT,₹ 1.21 Cr
r417614,1705 SQ.FT,Price on Request
r417614,1720 SQ.FT,₹ 1.24 Cr
r417614,1740 SQ.FT,₹ 1.25 Cr
r417614,1777 SQ.FT,Price on Request
r405295,572 SQ.FT,₹ 24.6 L
r405295,850 SQ.FT,₹ 36.55 L
r405295,865 SQ.FT,₹ 37.2 L
r405295,873 SQ.FT,₹ 37.54 L
r405295,876 SQ.FT,₹ 37.67 L
r405295,878 SQ.FT,₹ 37.75 L
r405295,883 SQ.FT,₹ 37.97 L
r405295,895 SQ.FT,₹ 38.49 L
r405295,909 SQ.FT,Price on Request
r405295,938 SQ.FT,Price on Request
r405295,955 SQ.FT,₹ 41.07 L
r405295,956 SQ.FT,Price on Request
r405295,957 SQ.FT,Price on Request
r405295,965 SQ.FT,₹ 41.5 L
r405295,974 SQ.FT,₹ 41.88 L
r405295,978 SQ.FT,₹ 42.05 L
r405295,983 SQ.FT,₹ 42.27 L
r405295,988 SQ.FT,Price on Request
r405295,1002 SQ.FT,₹ 43.09 L
r405295,1028 SQ.FT,₹ 44.2 L
r405295,1038 SQ.FT,Price on Request
r405295,1024 SQ.FT,₹ 44.03 L
r405295,1057 SQ.FT,₹ 45.45 L
r405295,1110 SQ.FT,₹ 47.73 L
r405295,1169 SQ.FT,₹ 50.27 L
r405295,1174 SQ.FT,₹ 50.48 L
r405295,1188 SQ.FT,₹ 51.08 L
r405295,1224 SQ.FT,₹ 52.63 L
r405295,1308 SQ.FT,₹ 56.24 L
r405295,1324 SQ.FT,₹ 56.93 L
r405295,1332 SQ.FT,₹ 57.28 L
r405295,1362 SQ.FT,₹ 58.57 L
r405295,1418 SQ.FT,₹ 60.97 L
r405295,1437 SQ.FT,₹ 61.79 L
r405295,1517 SQ.FT,₹ 65.23 L
r51192,1184 SQ.FT,Price on Request
