XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r235520,Fortune Butterfly City,100,ByFortune Infra Developers,100,"Opposite Mucherla Pharmacity, Kadthal, South Hyderabad, Hyderabad",100,Ready to Move,100,Rera Not Applicable,100
r51192,Krishna Kalyan Garden View,100,ByKrishna Colonisers Pvt Ltd,100,"Sector 24, Indira Nagar, Sitapur Road, Lucknow",100,Ready to Move,100,,100
r332831,Prateek Canary,100,ByPrateek Group,100,"Plot No. SC-02/A7, Sector 150, Noida-Greater Noida Expressway, Noida",100,Under Construction,100,UPRERAPRJ591510,100
r354918,Super Homes Abhirama,100,BySuper Homes Constructions,100,"Shakti Nagar, LB Nagar, East Hyderabad, Hyderabad",100,Ready to Move,100,P02400001802,100
r400347,Saradeuz Olympus The Royal Castle,100,BySaradeuz Infrastructures Private Limited,100,"Perumbakkam, Chennai south, Chennai",100,Ready to Move,100,TN/01/Building/441/2022,100
r871,Ireo Victory Valley,100,ByIreo,100,"Sector 67, Golf Course Extension Road, Gurgaon",100,Ready to Move,100,Rera Not Applicable,100
r407338,Levonor Egeira,100,ByLevonor Lifespaces,100,"Telapur, Kollur, West Hyderabad, Hyderabad",100,Under Construction,100,P01100005935,100
r10208,VTP Township Codename Pegasus,100,ByVTP Realty,100,"New Kharadi, Pune",100,Ready to Move,100,"P52100007401, P52100009535, P52100009524, P52100007384, P52100007722, P52100007942, P52100009533",100
r296319,Gayatri Maitri Lake View,100,ByGayatri Infrastructure,100,"Maitri Lake View, Kalptaru Millennium Park, Opp Auda Lake, Zundal, North West, Ahmedabad",100,Ready to Move,100,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA01279/100118,100
r380618,Sikhara Tranquil,100,BySikhara Developers,100,"Cherlapally, Nagaram, Secunderabad",100,Ready to Move,100,P02200003066,100
r401563,Officers Enclave,100,ByR Sandesh Group,100,"Beltarodi, Manish Nagar, Wardha Road, Nagpur",100,Under Construction,100,P50500047527,100
r436831,MC Palazzo,100,ByMC Builders,100,"Banaswadi Main Road, Banaswadi, Bangalore",100,Ready to Move,100,Rera Not Applicable,100
r74851,Pride Park Royale,100,ByPride Group,100,"Park Royale Military Road, Marol, Andheri East, Western Suburbs, Mumbai",100,Ready to Move,100,P51800053602,100
r379979,Shubharambh,100,ByJaikumar Constructions Ltd,100,"Near Parksyde Homes, Panchavati Vrindavan Nagar, Amrutdham, Nashik",100,Ready to Move,100,P51600030396,100
r375314,Sharayu Sunny Days,100,BySharayu Global,100,"Valadarichem Bata , Village Marna, Siolim, North Goa, Marna",100,Ready to Move,100,PRGO02211262,100
r43934,Sunteck Signature Island,100,BySunteck Realty Limited,100,"G Block, Opposite Trident Hotel, Bandra Kurla Complex (BKC), Mumbai South West, Mumbai",100,Ready to Move,100,Rera Not Applicable,100
r272921,M3M Heights,100,ByM3M India Pvt. Ltd.,100,"Sector 65, Golf Course Extension Road, Gurgaon",100,Ready to Move,100,01 OF 2017,100
r434521,Bliss Pearls,100,ByBliss Developers,100,"Indira Nagar Annex, Near Parksyde Residency, Beside Raymond Showroom, Pathardi Phata, Nashik",100,Under Construction,100,Rera Not Applicable,100
r58272,Omaxe The Lake,100,ByOmaxe Ltd,100,"Madhya Marg Extension, Omaxe New Chandigarh, Near India Trade Tower, Mullanpur, Chandigarh",100,Ready to Move,100,"PBRERAâSAS80âPR0040, PBRERA-SAS80-PR0323",100
r396799,Keya Around The Life,100,ByKeya Homes,100,"Whitefield -Seegehalli, Near Sai Baba Ashram, Bangalore East , Bangalore",100,Ready to Move,100,PRM/KA/RERA/1251/446/PR/020822/005125,100
r381250,Navins Hanging Gardens,100,ByNavin's Housing & Properties,100,"142, Arcot Rd, Valasaravakkam, Chennai west, Chennai",100,Ready to Move,100,TN/29/Building/318/2021,100
