XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Possession Status,Possession Status_Score,RERA,RERA_Score
r413382,Shriram Solitaire,100,ByShriram Properties,78,"Yelahanka, North Bangalore, Bangalore",51,99acres: UNDER_CONSTRUCTION | Housing: Ready to Move,26,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,100
r376088,Smartworld Orchard,97,BySmartworld Developers,95,"99acres: Sector 61 | Housing: Golf Course Extension Road, Opposite Grand Hyatt, Sector 61, Golf Course Extension Road, Gurgaon",17,"99acres: READY_TO_MOVE | Housing: Dec, 2024",18,RERA-GRG-1121-2022,100
r235520,Fortune Butterfly City,100,ByFortune Infra Developers,96,"99acres: Kadthal | Housing: Opposite Mucherla Pharmacity, Kadthal, South Hyderabad, Hyderabad",19,Ready to Move,100,Rera Not Applicable,100
r300077,Elevate At Godrej Se7en,93,ByGodrej Properties Ltd.,83,"99acres: Joka | Housing: Diamond Harbour Road. Hanspukuria, Joka, Diamond Harbour Road-Thakurpukur, Kolkata",9,"99acres: UNDER_CONSTRUCTION | Housing: Dec, 2028",22,"WBRERA/P/SOU/2023/000015, WBRERA/P/SOU/2024/001051",100
r398124,Alaya Belmonte,82,ByMount Group,92,"99acres: Charodi | Housing: B/H Vandemataram Fabula, Nr. Malabar County -1, B/h Nirma University, Chharodi, North West, Ahmedabad",13,"99acres: UNDER_CONSTRUCTION | Housing: Jul, 2024",15,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN106AA10006/110722,100
r429474,RLD Merlion Estate,100,ByRoyal land & Developers Pvt Ltd,76,"99acres: Vanagaram | Housing: Noombal Road, Vanagaram, Chennai west, Chennai",33,Ready to Move,100,TN/2/Layout/3688/2024,100
r417614,Manjunatha MGR Windsor Gardens,75,BySri Manjunatha Developers,96,"99acres: 5th Phase JP Nagar | Housing: Ward No 187, JP Nagar, South Bangalore, Bangalore",30,"99acres: READY_TO_MOVE | Housing: Dec, 2025",18,PRM/KA/RERA/1251/310/PR/171023/006341,100
r386987,DS Max Sukruth,100,ByDS-MAX Properties Private Limited,62,"99acres: Chandapura | Housing: Iggalur Village, Chandapura, South Bangalore, Bangalore",31,"99acres: UNDER_CONSTRUCTION | Housing: Feb, 2026",15,PRM/KA/RERA/1251/308/PR/280222/004739,100
r393335,Sri Balajis Saphire,100,BySri Balaji Associates,62,"99acres: Maduravoyal | Housing: S Nos.216/4 & 217/4 Of Maduravoyal, Chennai west, Chennai",32,"99acres: READY_TO_MOVE | Housing: Aug, 2026",18,TN/29/Building/0175/2022 dated 20/05/2022,100
r405295,Sapnil Residency Noapara,80,BySapnil Developers,94,"99acres: Noapara, Palpara | Housing: 37 A, A. K. Mukherjee Road, Noapara, Baranagar, Kolkata",37,"99acres: UNDER_CONSTRUCTION | Housing: Oct, 2028",22,WBRERA/P/NOR/2023/000588,100
