xid,Project Name,Configuration,Area,Price
r413382,Shriram Solitaire,2 BHK Floor Plan,Carpet Area : 668 sqft.,Request Price Details
r376088,Smart World Orchard,3 BHK Floor Plan,Carpet Area : 1084 sqft.,Request Price Details
r376088,Smart World Orchard,3 BHK Floor Plan,Carpet Area : 1141 sqft.,Request Price Details
r386987,DS Max Sukruth,2 BHK Floor Plan,Carpet Area : 593 sqft.,Request Floor Plan
r386987,DS Max Sukruth,3 BHK Floor Plan,Carpet Area : 687 sqft.,Request Floor Plan
r4700,Lodha Bella Vita,2 BHK Floor Plan,Carpet Area : 811 sqft.,Request Price Details
r4700,Lodha Bella Vita,3 BHK Floor Plan,Carpet Area : 1068 sqft.,Request Price Details
r24280,Runwal Forests,1 BHK Floor Plan,Carpet Area : 430 sqft.,Request Price Details
r24280,Runwal Forests,1.5 BHK Floor Plan,Carpet Area : 535 sqft.,Request Price Details
r24280,Runwal Forests,2 BHK Floor Plan,Carpet Area : 666 sqft.,Request Price Details
r24280,Runwal Forests,2 BHK Floor Plan,Carpet Area : 616 sqft.,Request Price Details
r436183,Godrej Evergreen Square,2 BHK Floor Plan,Carpet Area : 700 sqft.,Request Price Details
r436183,Godrej Evergreen Square,2 BHK Floor Plan,Carpet Area : 868 sqft.,Request Price Details
r436183,Godrej Evergreen Square,3 BHK Floor Plan,Carpet Area : 1074 sqft.,Request Price Details
r395412,Ashiana Malhar,2 BHK Floor Plan,Carpet Area : 856 sqft.,Request Price Details
r395412,Ashiana Malhar,2 BHK Floor Plan,Carpet Area : 733 sqft.,Request Price Details
r395412,Ashiana Malhar,3 BHK Floor Plan,Carpet Area : 1177 sqft.,Request Price Details
r395412,Ashiana Malhar,3 BHK Floor Plan,Carpet Area : 1045 sqft.,Request Price Details
r394292,Ashwamedh Ratnaprabha,3 BHK Floor Plan,Carpet Area : 1240 sqft.,Request Price Details
r394292,Ashwamedh Ratnaprabha,3 BHK Floor Plan,Carpet Area : 995 sqft.,Request Price Details
r409008,Sobha Neopolis,1 BHK Floor Plan,Carpet Area : 415 sqft.,Request Price Details
r409008,Sobha Neopolis,3 BHK Floor Plan,Carpet Area : 1015 sqft.,Request Price Details
r409008,Sobha Neopolis,3 BHK Floor Plan,Carpet Area : 1206 sqft.,Request Price Details
r409008,Sobha Neopolis,4 BHK Floor Plan,Carpet Area : 1563 sqft.,Request Price Details
r409008,Sobha Neopolis,3.5 BHK Floor Plan,Carpet Area : 1354 sqft.,Request Floor Plan
r369336,Om Sree Brilliance,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r332831,Prateek Canary,3 BHK Floor Plan,Carpet Area : 1138 sqft.,Request Price Details
r332831,Prateek Canary,3 BHK Floor Plan,Carpet Area : 1346 sqft.,Request Price Details
r332831,Prateek Canary,3 BHK Floor Plan,Carpet Area : 1618 sqft.,Request Price Details
r332831,Prateek Canary,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r332831,Prateek Canary,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r332831,Prateek Canary,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r332831,Prateek Canary,4 BHK Floor Plan,Carpet Area : 2067 sqft.,Request Price Details
r332831,Prateek Canary,4 BHK Floor Plan,Carpet Area : 0 sqft.,Request Floor Plan
r332831,Prateek Canary,4 BHK Floor Plan,Carpet Area : 0 sqft.,Request Floor Plan
r422453,Assetz 66 and Shibui,3 BHK Floor Plan,Carpet Area : 1388 sqft.,Request Price Details
r422453,Assetz 66 and Shibui,4 BHK Floor Plan,Carpet Area : 2023 sqft.,Request Price Details
r390105,RIVERSCAPE,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Floor Plan
r390105,RIVERSCAPE,4 BHK Floor Plan,Carpet Area : 0 sqft.,Request Floor Plan
r437301,Sri Sai Chaitanya Sakura Blossom,2 BHK Floor Plan,Carpet Area : 840 sqft.,Request Price Details
r437301,Sri Sai Chaitanya Sakura Blossom,2 BHK Floor Plan,Carpet Area : 783 sqft.,Request Price Details
r437301,Sri Sai Chaitanya Sakura Blossom,3 BHK Floor Plan,Carpet Area : 1181 sqft.,Request Price Details
r437301,Sri Sai Chaitanya Sakura Blossom,3 BHK Floor Plan,Carpet Area : 1082 sqft.,Request Price Details
r429359,Tulive Grandezza,3 BHK Floor Plan,Carpet Area : 882 sqft.,Request Price Details
r429359,Tulive Grandezza,3 BHK Floor Plan,Carpet Area : 1008 sqft.,Request Price Details
r429359,Tulive Grandezza,4+ BHK Floor Plan,Carpet Area : 1796 sqft.,Request Price Details
r424359,Kohinoor Uptown Avenue,2 BHK Floor Plan,Carpet Area : 796 sqft.,Request Price Details
r424359,Kohinoor Uptown Avenue,3 BHK Floor Plan,Carpet Area : 982 sqft.,Request Price Details
r424359,Kohinoor Uptown Avenue,3 BHK Floor Plan,Carpet Area : 1070 sqft.,Request Price Details
r407293,Primark Inspira,2 BHK Floor Plan,Carpet Area : 765 sqft.,Request Price Details
r407293,Primark Inspira,2 BHK Floor Plan,Carpet Area : 781 sqft.,Request Price Details
r407293,Primark Inspira,3 BHK Floor Plan,Carpet Area : 916 sqft.,Request Price Details
r407293,Primark Inspira,3 BHK Floor Plan,Carpet Area : 1464 sqft.,Request Price Details
r415092,The Prestige City Hyderabad,3 BHK Floor Plan,Carpet Area : 1028 sqft.,Request Price Details
r415092,The Prestige City Hyderabad,3.5 BHK Floor Plan,Carpet Area : 1532 sqft.,Request Price Details
r415092,The Prestige City Hyderabad,4 BHK Floor Plan,Carpet Area : 2034 sqft.,Request Price Details
r415092,The Prestige City Hyderabad,2.5 BHK Floor Plan,Carpet Area : 975 sqft.,Request Floor Plan
r423416,Sree Urban Orchids Phase 2,2 BHK Floor Plan,Carpet Area : 711 sqft.,Request Price Details
r423416,Sree Urban Orchids Phase 2,2 BHK Floor Plan,Carpet Area : 793 sqft.,Request Price Details
r423416,Sree Urban Orchids Phase 2,3 BHK Floor Plan,Carpet Area : 871 sqft.,Request Price Details
r423416,Sree Urban Orchids Phase 2,3 BHK Floor Plan,Carpet Area : 1173 sqft.,Request Price Details
r423416,Sree Urban Orchids Phase 2,4 BHK Floor Plan,Carpet Area : 1334 sqft.,Request Price Details
r423416,Sree Urban Orchids Phase 2,4 BHK Floor Plan,Carpet Area : 1252 sqft.,Request Price Details
r417023,Rohan Harita,2 BHK Floor Plan,Carpet Area : 713 sqft.,Request Price Details
r417023,Rohan Harita,2 BHK Floor Plan,Carpet Area : 754 sqft.,Request Price Details
r417023,Rohan Harita,4 BHK Floor Plan,Carpet Area : 1740 sqft.,Request Price Details
r417023,Rohan Harita,3 BHK Floor Plan,Carpet Area : 1106 sqft.,Request Floor Plan
r417023,Rohan Harita,3.5 BHK Floor Plan,Carpet Area : 1376 sqft.,Request Floor Plan
r303861,Piramal Mahalaxmi,2 BHK Floor Plan,Carpet Area : 780 sqft.,Request Floor Plan
r303861,Piramal Mahalaxmi,2 BHK Floor Plan,Carpet Area : 750 sqft.,Request Floor Plan
r303861,Piramal Mahalaxmi,3 BHK Floor Plan,Carpet Area : 1050 sqft.,Request Floor Plan
r303861,Piramal Mahalaxmi,3 BHK Floor Plan,Carpet Area : 1450 sqft.,Request Floor Plan
r303861,Piramal Mahalaxmi,4 BHK Floor Plan,Carpet Area : 1850 sqft.,Request Floor Plan
r425244,Gajra Bhoomi Serenity,2 BHK Floor Plan,Carpet Area : 730 sqft.,Request Price Details
r425244,Gajra Bhoomi Serenity,2 BHK Floor Plan,Carpet Area : 720 sqft.,Request Price Details
r425244,Gajra Bhoomi Serenity,3 BHK Floor Plan,Carpet Area : 1020 sqft.,Request Price Details
r425244,Gajra Bhoomi Serenity,3 BHK Floor Plan,Carpet Area : 965 sqft.,Request Price Details
r414298,Vasavi Sarovar,2.5 BHK Floor Plan,Carpet Area : 897 sqft.,Request Price Details
r414298,Vasavi Sarovar,3 BHK Floor Plan,Carpet Area : 1045 sqft.,Request Price Details
r414298,Vasavi Sarovar,4 BHK Floor Plan,Carpet Area : 1814 sqft.,Request Price Details
r414298,Vasavi Sarovar,2.5 BHK Floor Plan,Carpet Area : 1001 sqft.,Request Floor Plan
r414298,Vasavi Sarovar,3 BHK Floor Plan,Carpet Area : 1496 sqft.,Request Floor Plan
r414298,Vasavi Sarovar,4 BHK Floor Plan,Carpet Area : 1839 sqft.,Request Floor Plan
r414298,Vasavi Sarovar,4+ BHK Floor Plan,Carpet Area : 4442 sqft.,Request Floor Plan
r427390,Casagrand Massimo,2 BHK Floor Plan,Carpet Area : 639 sqft.,Request Price Details
r427390,Casagrand Massimo,2 BHK Floor Plan,Carpet Area : 795 sqft.,Request Price Details
r427390,Casagrand Massimo,3 BHK Floor Plan,Carpet Area : 838 sqft.,Request Price Details
r427390,Casagrand Massimo,3 BHK Floor Plan,Carpet Area : 1202 sqft.,Request Price Details
r427390,Casagrand Massimo,4 BHK Floor Plan,Carpet Area : 1625 sqft.,Request Price Details
r427390,Casagrand Massimo,4 BHK Floor Plan,Carpet Area : 1624 sqft.,Request Price Details
r432564,ASBL Landmark,3 BHK Floor Plan,Carpet Area : 1187 sqft.,Request Price Details
r432564,ASBL Landmark,3 BHK Floor Plan,Carpet Area : 1243 sqft.,Request Price Details
r432564,ASBL Landmark,3.5 BHK Floor Plan,Carpet Area : 1612 sqft.,Request Price Details
r432564,ASBL Landmark,3.5 BHK Floor Plan,Carpet Area : 1300 sqft.,Request Price Details
r433250,Rohan Saroha,2 BHK Floor Plan,Carpet Area : 864 sqft.,Request Price Details
r433250,Rohan Saroha,2 BHK Floor Plan,Carpet Area : 833 sqft.,Request Price Details
r433250,Rohan Saroha,3 BHK Floor Plan,Carpet Area : 1051 sqft.,Request Price Details
r433250,Rohan Saroha,3 BHK Floor Plan,Carpet Area : 1355 sqft.,Request Price Details
r433250,Rohan Saroha,4 BHK Floor Plan,Carpet Area : 1536 sqft.,Request Price Details
r368086,GKs Zenith,2 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,2 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,2 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
r368086,GKs Zenith,3 BHK Floor Plan,Carpet Area : 0 sqft.,Request Price Details
