XID,Project Name,City,NoBroker.in Link
r346617,Goyal Orchid Legacy,Ahmedabad West,https://www.nobroker.in/goyal-orchid-bloomsberry-varthur_bangalore-prjt-8a9ff3838a2f9ed2018a30afe4f25282
r28048,Homeland Heights,Mohali,https://www.nobroker.in/3bhk-flats-for-sale-in-roadpali_kalamboli_mumbai
r306291,Adi Aventura,Pune West,https://www.nobroker.in/flats-for-rent-near-adi_aventura_pune
r341255,VR Visionnair,Ahmedabad West,Not Found
r416251,Parth Prime,Jaipur,https://www.nobroker.in/the-urban-edge-2-by-parth-sarthi-ajmer-jaipur-expressway_jaipur-prjt-671f19adaed8216927cf4d6b
r410886,Raheja The Riviere Worli Skyline,South Mumbai,https://www.nobroker.in/flats-for-sale-near-rupji_skyline_mumbai
r9924,Mainland Camelot Royale,Pune East,https://www.nobroker.in/2bhk-flats-for-sale-near-camelot_society_pune
r28978,Fortaleza Apartment,Pune East,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-fortaleza-cooperative-housing-society-rio-grande-fortaleza-co-operative-housing-society-east-ave-nilanjali-society-kalyani-nagar-pune-maharashtra-411006-india-pune-for-rs-60000/8a9f8e838f5c9948018f5cb9acd70e8f/detail
r329109,KVT Smart City,Chennai North,https://www.nobroker.in/independent-house-for-sale-in-cholavaram-chennai
r268273,Millennium Acropolis,Pune West,https://www.nobroker.in/ace-almighty-commercial-tathawade_pune-prjt-63a956198223f6000122ac84
r431012,Samatva Magnolia,Ahmedabad West,Not Found
r385120,Goyal Orchid Nirvana 2 O,Bangalore North,https://www.nobroker.in/goyal-orchid-nirvana-2-devanahalli_bangalore-prjt-d19700f810v7u9r4b5u548y4
r3576,Shikhar Balaji Skyz,Indore,https://www.nobroker.in/2bhk-flats-for-sale-near-garden_avenue_k_mumbai
r396925,Majestique The Ornate,Pune West,https://www.nobroker.in/new-projects-in-baner-pune
r425110,Satyamev Royal 4,Ahmedabad North,Not Found
r12330,CGHS Himalayan Residency,Dwarka Delhi,https://www.nobroker.in/himalayan-residency-dwarka-sector-22_delhi-prjt-5da43c2c0e3bcc90ab696394
r63083,VGN Notting Hill,Chennai Central,https://www.nobroker.in/flats-for-sale-near-vgn_notting_hill_chennai
r1383,Adityaram Nagar 5,Chennai South,https://www.nobroker.in/properties-for-sale-below-2-crores-in-injambakkam_chennai
r264809,Kukreja Chembur Heights 2,Central Mumbai,https://www.nobroker.in/flats-for-rent-near-kukreja_chembur_heights_2_mumbai
r347787,Sriven Iris,Hyderabad,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-narsingi-hyderabad/8a9f8ad27015679d0170158ea2cf132c/detail
r437896,Abhiman Niwas,Nagpur,https://www.nobroker.in/1rk-flats-for-rent-near-abhiman_apartment_pune
r394120,GBN Kusum Raj Residency,Patna,Not Found
r35606,Ashray Jaswanti Woods,Central Mumbai,https://www.nobroker.in/3bhk-flats-for-sale-near-hinal_residency_mumbai
r267279,Sri Heritage,Thane Outskirts,https://www.nobroker.in/flats-for-sale-near-hill_view_tower_mumbai
r180623,Altus Muirwoods,Chandigarh,Not Found
r12500,Lords CGHS,Dwarka Delhi,https://www.nobroker.in/lord-shiva-residency-dwarka-mor_delhi-prjt-5da43c2c0e3bcc90ab696c16
r412139,Sai Ornate Serenity,Beyond Mira Road,https://www.nobroker.in/properties-for-sale-between-25-lakhs-to-30-lakhs-in-naigaon_east_mumbai
r145229,Emaar MGF The Bungalows,Mohali,Not Found
r409532,Tirupati Greens,Indore,https://www.nobroker.in/1bhk-flats-for-sale-near-sai_tirupati_greens_pune
r316697,Sagitarius Bluegrass Residences,Pune East,https://www.nobroker.in/bluegrass-residences-kalyani-nagar_pune-prjt-8a9fbd827f4f7512017f4fae8d50213e
