xid,Name,Rera ID,NoBroker RERA ID,Builder Project RERA ID,Address,Price Starting From,Unit Configuration,Parking,Property Type,Water Supply,Builder,Date of establishment,Date of completion,Units,Min Flat Size,Max Flat Size,Project Area,Min. Price,Possesion Date,Security,Amenities,Top Benefits
r434608,Eldeco Fairway Reserve,GGM/880/612/2024/107 DATED 23.10.2024,Not Found,Not Found,"Codename Sector 80, Gurgaon",₹3.7 Crores - ₹4.89 Crores,"3,4 BHK",Bike and Car,Apartment,Not Found,Eldeco Group,January 1975,Not Found,350,1369 sqft,1810 sqft,7.50 acres,₹3.7 Cr,December 2029,Gated Security,"Park, Swimming pool, Visitor parking, Party area, Badminton court, Gym","Close to Proposed Manesar Metro Station, Vicinity To Entertainment Hub, Modern Layout With Maximum Space"
r51192,"Greenwood Apartments E,F,G Block",Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r398757,Trendsquares Ortus Phase 3,PRM/KA/RERA/1251/472/PR/220922/005264,Not Found,Not Found,"Opposite to little Rainbow babysitter, Balaji Layout, Dasarahalli, Bangalore",,3 BHK,Bike and Car,Apartment,Corporation and Borewell,Trendsquares Constructions,Not Found,Not Found,360,887 sqft,1056 sqft,4.30 acres,₹1.2 Cr,December 2028,Gated Security,"Intercom, Club house, Cctv camera, Gas pipeline, Park, Security",Not Found
r430363,Runwal Eirene,Not Found,A51800026821,P51700004574,"Near Narayana E-Techno School, Balkum Pada,Thane West, Mumbai",,"1,2 BHK",Bike and Car,Apartment,Corporation and Borewell,Subodh Runwal Group,January 1978,Not Found,90,422 sqft,729 sqft,9.00 acres,₹1.18 Cr,June 2025,Gated Security,"Intercom, Badminton court, Party area, Rain water harvesting, Amphitheater, Indoor games","Excellent Connectivity To Mum-Nashik Hwy, Close To Upcoming Metro 5 Corridor, Next To Mumbai University Campus, From The Reputed Builder Runwal"
r402170,Park Ville,Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r383703,Eipl River Edge,Not Found,Not Found,Not Found,"Manchirevula, Hyderabad, Telangana 500089",Not Found,4 BHK,Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2019,74,Not Found,Not Found,15.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
r390836,Shree Anand Bhavan Chsl,Not Found,Not Found,Not Found,,Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r404912,Brooklyn Pride World City,Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r422622,Wadhwa Wise City,Not Found,A51800026821,P52000016199,"Wadhwa Wise City, Panvel, Mumbai, India",,"1,1,2 BHK",Bike and Car,Apartment,Corporation and Borewell,The Wadhwa Group,January 1970,Not Found,4181,289 sqft,639 sqft,136.00 acres,₹47.8 Lacs,Not Found,Not Found,"Indoor games, Tennis court, Vastu compliant, Spa, Club house, Skating rink",Not Found
r388872,JAYANTI MANSION 1,Not Found,Not Found,Not Found,,Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r422307,Nirmal Nagari Condominium,Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
r354918,Abhirama Super Homes,P02400001802,Not Found,Not Found,"Omkar Nagar, Jahangir Nagar Colony, Chintalkunta, Hyderabad, Telangana 500079",Not Found,3 BHK,Bike and Car,Apartment,Borewell,Not Found,Not Found,Not Found,175,Not Found,Not Found,1.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Lift, Club house, Security, Intercom, Children's play area",Not Found
r406974,IRIS PRIME,UPRERAPRJ192059,Not Found,Not Found,"Ramprastha Greens, Vaishali, Ghaziabad, Uttar Pradesh 201010",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,SARENA PRIVATE LIMITED,Not Found,January 2028,112,Not Found,2189 sqft,2.00 acres,Not Found,Not Found,Gated Security,"Security, Park, Fire safety, Rain water harvesting, Cctv camera, Community hall",Not Found
r418266,Srinidhi Iris,P02200007134,Not Found,Not Found,"Bachupally, Medchal-Malkajgiri, Hyderabad, Telangana 500090",₹68.4 Lacs onwards,2 BHK,Bike and Car,Apartment,Corporation and Borewell,Srinidhi Developers,Not Found,Not Found,Not Found,756 sqft,756 sqft,0.96 acres,₹82.08 Lacs,July 2026,Gated Security,"Visitor parking, Security, Waste management, Fire safety, Vastu compliant, Cctv camera",Not Found
r413870,Maxx Glory,Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
