Name,Rera ID,NoBroker RERA ID,Builder Project RERA ID,Address,Price Starting From,Unit Configuration,Parking,Property Type,Water Supply,Builder,Date of establishment,Date of completion,Units,Min Flat Size,Max Flat Size,Project Area,Min. Price,Possesion Date,Security,Amenities,Top Benefits
Shriram Solitaire,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,Not Found,Not Found,"Near Vidhya Vikas Pre-School, Veerasagara village, Yelahanka New Town, Bangalore",₹79.05 Lacs onwards,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Shriram Properties,January 1995,Not Found,264,668 sqft,1125 sqft,6.85 acres,₹83 Lacs,May 2025,Gated Security,"Visitor parking, Swimming pool, Cctv camera, Jogging track, Fire safety, Party area","Close Proximity To IT Hubs, Homes With Splendid Lake View, High Rental Yield"
Smart World Orchard,RC/REP/HARERA/GGM/506/238/2021,Not Found,Not Found,"Near Grand Hyatt, Baharampur Naya, Sector 61, Gurugram",,"2.5,3 BHK",Bike and Car,Apartment,Not Found,SmartWorld Developers Pvt Ltd,January 2021,Not Found,1200,784 sqft,1141 sqft,25.00 acres,₹2.24 Cr,December 2024,Gated Security,"Intercom, Lift, Power backup, Children's play area, Maintenance staff, Rain water harvesting",Not Found
Fortune Butterfly City,Not Found,Not Found,Not Found,,Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Fortune Infra Developers,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
DS Max Sukruth,PRM/KA/RERA/1251/308/PR/280222/004739,Not Found,Not Found,"Near Dancercise,Thirumagondanahalli,Chandapura,Bengaluru",₹72 Lacs - ₹92 Lacs,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,DS MAX Properties Pvt Ltd,January 2007,Not Found,312,593 sqft,879 sqft,2.22 acres,₹72 Lacs,February 2026,Gated Security,"Community hall, Power backup, Maintenance staff, House keeping, Swimming pool, Cctv camera",Not Found
Lodha Bella Vita,Not Found,A51800026821,P52100046081,"Near Ganga Florentina, off NIBM Road, NIMB, Pune",₹92.11 Lacs - ₹1.3 Crores,"2,3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Lodha Group,January 1980,Not Found,470,805 sqft,2300 sqft,13.00 acres,₹1.05 Cr,December 2027,Gated Security,"Power backup, Spa/steam/sauna, Swimming pool, Visitor parking, Children's play area, Cctv camera","Proximity to Pune Railway station, Proximity to Orchid International School, Clubhouse With Class Amenities, Easy Access to Daily Essentials"
Runwal Forests,Not Found,A51800026821,P51800001137,"Near Mangatram petrol pump, LBS Road,Kanjurmarg West,Mumbai",₹1.17 Crores - ₹2 Crores,"1,1.5,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Subodh Runwal Group,January 1978,Not Found,1200,430 sqft,1081 sqft,16.00 acres,₹1.36 Cr,June 2026,Gated Security,"Club house, Tennis court, Community hall, Spa/steam/sauna, Cctv camera, Power backup","Urban forest-themed development, Clubhouse WIth 20+ Amenities, 15-Acre Residential Campus, Connectivity To Eastern Express Highway"
Godrej Evergreen Square,Not Found,A51800026821,P52100078240,"Near Metro Super Mall, Hinjewadi Phase 3, Pimpri-Chinchwad, Pune.",₹68 Lacs - ₹1.15 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,1800,500 sqft,1074 sqft,11.00 acres,₹81 Lacs,October 2030,Gated Security,"Community hall, Lift, Park, Cctv camera, Common garden, Visitor parking","Luxurious 1, 2 & 3 BHK Apartments, Lifestyle Amenities, Near To Upcoming Metro Station"
Kuber Shrushti Residency,Not Found,Not Found,Not Found,,Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
Ashiana Malhar,Not Found,A51800026821,P52100076601,"Near Life Republic Township, Hinjewadi - Marunji Road,Hinjewadi, Pune",₹68 Lacs - ₹1.02 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Ashiana Housing Limited,January 1986,Not Found,990,733 sqft,1177 sqft,11.33 acres,₹74 Lacs,March 2028,Gated Security,"Wifi, Visitor parking, Party area, Power backup, Jogging track, Fire safety","Surrounded With Lush Greenery, Close to Mumbai- Bangalore Highway, Proximity To Akurdi Railway Station"
Ashwamedh Ratnaprabha,Not Found,A51800026821,P52100045880,"Near Rumeso International, Rambaug Colony, Kothrud, Pune",,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Ashwamedh Spaces,Not Found,Not Found,17,621 sqft,1240 sqft,1.00 acres,₹2.04 Cr,June 2025,Gated Security,"Club house, Community hall, Cctv camera, Power backup, Intercom, Wifi",Not Found
Sobha Neopolis,Phase 1: PRM/KA/RERA/1251/446/PR/200923/006269 Phase 2: PRM/KA/RERA/1251/446/PR/200923/006270 Phase 3: PRM/KA/RERA/1251/446/PR/220923/006282 Phase 4: PRM/KA/RERA/1251/446/PR/220923/006283 Phase 5: PRM/KA/RERA/1251/446/PR/200923/006271,Not Found,Not Found,"Near State Bank of India, ORR East, Panathur ,Bengaluru.",₹90.48 Lacs - ₹3.62 Crores,"1,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Sobha Limited,January 1995,Not Found,1875,401 sqft,1563 sqft,25.35 acres,₹95 Lacs,December 2028,Gated Security,"Power backup, Club house, Air conditioner, Common garden, Rain water harvesting, Indoor games","15 Min Drive From Whitefield IT Parks, 30+ Worldclass Amentities, Located Close To Varthur Main Road, Project By Grade A builder"
Om Sree Brilliance,P02200002235,Not Found,Not Found,"Ahead of, Tulsi Gardens, Bus Parking, behind Indus School, near A S Rao Nagar, Bank Colony, Panchasheel Enclave, Sainikpuri, Secunderabad, Telangana 500094",Not Found,3 BHK,Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2022,200,Not Found,Not Found,3.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Security, Intercom, Fire safety",Not Found
Prateek Canary,UPRERAPRJ591510,Not Found,Not Found,"Sector 150, Noida, Uttar Pradesh 201301",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,Prateek Group,Not Found,April 2027,664,Not Found,2067 sqft,12.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Assetz 66 and Shibui,PRM/KA/RERA/1251/446/PR/300124/006601,Not Found,Not Found,"Near Our Lady Of Lourdes Church Pattandur Agrahara,Whitefield Main Road,Whitefield, Bangalore",₹3.19 Crores - ₹4.58 Crores,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Assetz Property Group,January 2006,Not Found,102,1388 sqft,2023 sqft,2.00 acres,₹3.35 Cr,September 2029,Gated Security,"Power backup, Swimming pool, Visitor parking, Sewage treatment plant, Children's play area, Security","In the Heart of Whitefield, Luxury Homes | Ultra Modern Amenities, Multi-Speciality Hospitals Within 5 Mins"
Saradeuz Olympus,Not Found,Not Found,Not Found,"Perumbakkam, Chennai, Tamil Nadu, INDIA.",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Saradeuz Infrastructure Pvt.Ltd,Not Found,December 2025,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,"Lift, Children's play area, Cctv camera, Indoor games, Jogging track, Maintenance staff",Not Found
RIVERSCAPE,Not Found,Not Found,Not Found,"Velly View Enclave, Bandlaguda Jagir, Hyderabad Telangana",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,March 2028,226,Not Found,Not Found,23.00 acres,₹3.38 Cr,Not Found,Gated Security,"Swimming pool, Gym, Club house, Intercom, Children's play area, Fire safety",Not Found
Sri Sai Chaitanya Sakura Blossom,PRM/KA/RERA/1251/446/PR/191024/007155,Not Found,Not Found,"Near Snowman Logistics Ltd, Bangalore-2 Warehouse, Cheemasandra, Budigere, Bangalore.",₹1.16 Crores - ₹1.72 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sri Sai Chaitanya Group,Not Found,Not Found,56,783 sqft,1181 sqft,1.04 acres,₹1.22 Cr,July 2027,Gated Security,"Sewage treatment plant, Security, Gym, Swimming pool, Children's play area, Fire safety","100% Vastu-Compliant Homes, Bedroom Sizes Larger Than Villas, 40+ Modern Amenities, No Common Walls"
Tulive Grandezza,TN/29/Building/0399/2024 dated 19-06-2024,Not Found,Not Found,"Daniel Thomas Matriculation Higher Secondary School, Padi Kuppam, Koyambedu, Chennai.",₹1.31 Crores - ₹3.13 Crores,"3,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Tulive GK Shetty,January 1963,Not Found,58,882 sqft,1796 sqft,1.00 acres,₹1.57 Cr,October 2025,Gated Security,"Cctv camera, Vastu compliant, Visitor parking, Community hall, Rain water harvesting, Sewage treatment plant","400 Metres to Koyambedu Metro Station, Well Developed Residential in Koyambedu, Ultra-Luxurious of 3 BHK and 5 BHK"
Kohinoor Uptown Avenue,Not Found,A51800026821,P52100055120,"Near Zudio,Kate Vasti,Punawale,Pune",₹77.68 Lacs - ₹1.03 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Kohinoor Group,January 1983,Not Found,1207,723 sqft,1070 sqft,9.00 acres,₹87 Lacs,December 2029,Gated Security,"Vastu compliant, Common garden, Cctv camera, Club house, Party area, Indoor games","Proximity to Wakad Metro Station, Close to the National Highway, Surrounded With Greenery, Well-Maintained Infrastructure"
Primark Inspira,P02400006151,Not Found,Not Found,"Opp Miyapur Dmart, Lakshminagar Colony, Miyapur, Hyderabad",₹1.02 Crores - ₹1.89 Crores,"2,3 BHK",Bike and Car,Apartment,Borewell,Primark Projects,January 2011,Not Found,884,765 sqft,1464 sqft,6.00 acres,₹1.23 Cr,March 2029,Gated Security,"Jogging track, Swimming pool, Basketball court, Library, Lift, Community hall","Modern Homes with Luxury Amenities, Close to Miyapur X Roads, Proximity To Miyapur Metro Station, Mivan Construction Apartments"
The Prestige City Hyderabad,P02400007209,Not Found,Not Found,"Near Celebration Convention, Umda Nagar, Budwel, Hyderabad",₹1.22 Crores - ₹2.77 Crores,"2,2.5,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Prestige Group,January 1986,Not Found,4647,743 sqft,2114 sqft,31.00 acres,₹1.47 Cr,October 2028,Gated Security,"Community hall, Party area, Rain water harvesting, Park, Atm, Shopping center","Modern Layout With Extra Living Space, Enjoy Cosy & Comfortable Life At Glance, Project by Reputed Builder"
Sree Urban Orchids Phase 2,PRM/KA/RERA/1251/446/PR/160523/005939,Not Found,Not Found,"Near Govt Primary School Panathur Dinne, Panathur Village, Panathur, Bangalore.",₹89.82 Lacs - ₹1.69 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Sree Builders and Developers,Not Found,Not Found,251,711 sqft,1343 sqft,3.75 acres,₹94.31 Lacs,March 2028,Gated Security,"Jogging track, Swimming pool, Basketball court, Community hall, Lift, Club house","50% Open Space, Luxuries Clubhouse, Near Belandur Road Railway Station"
Rohan Harita,Not Found,A51800026821,P52100052972,"Near TATA Motors Cars Showroom, Ashok Nagar, Tathawade, pune",₹74.09 Lacs - ₹1.84 Crores,"1,2,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Rohan Builders,January 1993,Not Found,450,443 sqft,1909 sqft,8.00 acres,₹81.5 Lacs,September 2028,Gated Security,"Badminton court, Fire safety, Common garden, House keeping, Library, Club house","Modern Layout With Extra Space, Connectivity To Bangalore Mumbai Highway, Easy Access To Everyday Needs, Surrounded With Lush and Greenery"
K PUNE PHASE 2,Not Found,A51800026821,P52100077301,"K PUNE PHASE 2,Bavdhan,Bavdhan,411021",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,VMC LANDMARK REALTY LLP,Not Found,Not Found,289,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
Piramal Mahalaxmi,Not Found,A51800026821,P51900015854; P51900016482; P51900021057,"Near Best Bill Payment Center, Sane Guruji Marg, Mahalaxmi East, Mumbai",₹4.03 Crores - ₹12.1 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Piramal Realty,Not Found,Not Found,1000,750 sqft,1850 sqft,4.00 acres,₹4.59 Cr,December 2025,Gated Security,"Visitor parking, Basketball court, Fire safety, Party area, Tennis court, Maintenance staff","Close To Eastern Express Highway, Extravagant Project By Renowned Builders, Near To Reputed Balaji Hospital, Clubhouse Lounge With 20+ Amenities"
Gajra Bhoomi Serenity,Not Found,A51800026821,P52000055280,"Near Baugban Restaurant, Sector 37, Kharghar, Mumbai.",₹1.25 Crores - ₹1.72 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Gajra Group,Not Found,Not Found,232,720 sqft,1020 sqft,1.00 acres,₹1.43 Cr,December 2030,Gated Security,"Cricket pitch, Lift, Intercom, Swimming pool, Party area, Indoor games","Spacious Flats with Affordable Prices, 23+ Luxuries Amenities, Just 15 Min Drive to Amandoot Station"
Vasavi Sarovar,P02200006766,Not Found,Not Found,"Near Masjid Kahf-ul-Eeman, Moosapet, Hitec City, Hyderabad",₹1.16 Crores - ₹5.26 Crores,"2,2.5,3,4,4+ BHK",Bike and Car,Apartment,Borewell,Vasavi Group,January 1994,Not Found,2250,897 sqft,4442 sqft,20.00 acres,₹1.39 Cr,August 2028,Gated Security,"Security, Cctv camera, Shopping center, Maintenance staff, Jogging track, Aerobics room","Within The Vicinity Of Hitech City, Surrounded By Major Metro Stations, Enjoy Sunset At Kamini Cheruvu Lake"
Casagrand Massimo,TN/1/Building/0362/2024,Not Found,Not Found,"Near Parimalam Cinemas, Kundrathur, Thandlam, Chennai.",₹56.7 Lacs - ₹1.41 Crores,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Casagrand Builder Private Limited,January 2003,Not Found,853,639 sqft,1625 sqft,7.90 acres,₹63.51 Lacs,April 2028,Gated Security,"Jogging track, Table tennis, Swimming pool, Basketball court, Library, Community hall","85% of Open Space, 24,000 sq ft Ultra Modern Clubhouse, 70+ Luxuries Amenities"
ASBL Landmark,P02200008770,Not Found,Not Found,"Opposite to KIA showroom Kukatpally, Moosapet, Kukatpally, Hyderabad.",₹1.69 Crores - ₹2.26 Crores,"3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,ASBL,January 2019,Not Found,676,1187 sqft,1801 sqft,6.60 acres,₹2.03 Cr,August 2029,Gated Security,"Badminton court, Intercom, Basketball court, Lift, Tennis court, Gym","44,000 sft Luxurious Clubhouse, 75% Open Area, Just 4 Min to Ambedkar Metro Station"
Rohan Saroha,Not Found,A51800026821,P52100076652,"Near Hindustan Petroleum Corporation Limited, Mulshi Road, Bhugaon, Pune.",₹79.11 Lacs - ₹1.5 Crores,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Rohan Builders,January 1993,Not Found,300,833 sqft,1536 sqft,5.75 acres,₹87.21 Lacs,September 2028,Gated Security,"Tennis court, Security, Children's play area, Indoor games, Power backup, Swimming pool","Landscape of Green Hills View, An Enchanting Paradise Amidst Nature, Proposed Metro Connectivity, Prime Location with Good Connectivity"
GKs Zenith,P02200002010,Not Found,Not Found,"Balaji Nagar Main Rd, Swarnandhra Colony, Sainikpuri, Secunderabad, Hyderabad, Telangana 500087",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,GK Developers,Not Found,March 2023,147,Not Found,Not Found,2.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
