XID,Configuration,List Item,Price,Area
R10166,1 BHK Apartment,300 SQ.FT,Price on Request,Carpet Area: 300 sq.ft
R10166,2 BHK Apartment,495 SQ.FT,Price on Request,Carpet Area: 495 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",913 SQ.FT,₹ 2.72 Cr,Carpet Area: 913 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",933 SQ.FT,₹ 2.78 Cr,Carpet Area: 933 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1048 SQ.FT,₹ 3.13 Cr,Carpet Area: 1048 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1050 SQ.FT,₹ 3.13 Cr,Carpet Area: 1050 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1062 SQ.FT,₹ 3.17 Cr,Carpet Area: 1062 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1092 SQ.FT,₹ 3.26 Cr,Carpet Area: 1092 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1204 SQ.FT,₹ 3.59 Cr,Carpet Area: 1204 sq.ft
R106169,"4 BHK Apartment
5.75 Cr - 6.47 Cr",1926 SQ.FT,₹ 5.75 Cr,Carpet Area: 1926 sq.ft
R106169,"4 BHK Apartment
5.75 Cr - 6.47 Cr",2170 SQ.FT,₹ 6.47 Cr,Carpet Area: 2170 sq.ft
R10986,"4 BHK Apartment
22.98 Cr",5000 SQ.FT,₹ 22.98 Cr,Carpet Area: 5000 sq.ft
R11008,"3 BHK Apartment
8.21 Cr",2125 SQ.FT,₹ 8.21 Cr,Builtup Area: 2125 sq.ft
R1128,"2 BHK Apartment
2.21 Cr",813 SQ.FT,₹ 2.21 Cr,Carpet Area: 813 sq.ft
R11354,"1 BHK Apartment
49.43 L",500 SQ.FT,₹ 49.43 L,Super Builtup Area: 500 sq.ft
R11354,"2 BHK Apartment
1.24 Cr",1250 SQ.FT,₹ 1.24 Cr,Super Builtup Area: 1250 sq.ft
R11354,"4 BHK Apartment
2.78 Cr",2812 SQ.FT,₹ 2.78 Cr,Super Builtup Area: 2812 sq.ft
R11366,"2 BHK Apartment
3.61 Cr",772 SQ.FT,"₹ 3.61 Cr
i",Carpet Area: 772 sq.ft
R11656,"2 BHK Apartment
98.69 L",1464 SQ.FT,₹ 98.69 L,Builtup Area: 1464 sq.ft
R11656,"3 BHK Apartment
1.41 Cr",2095 SQ.FT,₹ 1.41 Cr,Builtup Area: 2095 sq.ft
R11656,"4 BHK Apartment
2.66 Cr",3940 SQ.FT,₹ 2.66 Cr,Builtup Area: 3940 sq.ft
R1170,4 BHK Apartment,1836 SQ.FT,Price on Request,Carpet Area: 1836 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2025 SQ.FT,₹ 3.66 Cr,Super Builtup Area: 2025 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2035 SQ.FT,₹ 3.67 Cr,Super Builtup Area: 2035 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2037 SQ.FT,₹ 3.68 Cr,Super Builtup Area: 2037 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2047 SQ.FT,₹ 3.69 Cr,Super Builtup Area: 2047 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2305 SQ.FT,₹ 4.16 Cr,Super Builtup Area: 2305 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2356 SQ.FT,₹ 4.25 Cr,Super Builtup Area: 2356 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2358 SQ.FT,₹ 4.26 Cr,Super Builtup Area: 2358 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2400 SQ.FT,₹ 4.33 Cr,Super Builtup Area: 2400 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2422 SQ.FT,₹ 4.37 Cr,Super Builtup Area: 2422 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2427 SQ.FT,₹ 4.38 Cr,Super Builtup Area: 2427 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2660 SQ.FT,₹ 4.8 Cr,Super Builtup Area: 2660 sq.ft
r1191,"3 BHK Apartment
3.66 Cr - 4.92 Cr",2727 SQ.FT,₹ 4.92 Cr,Super Builtup Area: 2727 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3100 SQ.FT,₹ 5.6 Cr,Super Builtup Area: 3100 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3103 SQ.FT,₹ 5.6 Cr,Super Builtup Area: 3103 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3125 SQ.FT,₹ 5.64 Cr,Super Builtup Area: 3125 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3154 SQ.FT,₹ 5.69 Cr,Super Builtup Area: 3154 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3297 SQ.FT,₹ 5.95 Cr,Super Builtup Area: 3297 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3341 SQ.FT,₹ 6.03 Cr,Super Builtup Area: 3341 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",3865 SQ.FT,₹ 6.98 Cr,Super Builtup Area: 3865 sq.ft
r1191,"4 BHK Apartment
5.6 Cr - 10.45 Cr",5790 SQ.FT,₹ 10.45 Cr,Super Builtup Area: 5790 sq.ft
R119707,"3 BHK Apartment
2.55 Cr - 2.64 Cr",1475 SQ.FT,"₹ 2.55 Cr
i",Super Builtup Area: 1475 sq.ft
R119707,"3 BHK Apartment
2.55 Cr - 2.64 Cr",1671 SQ.FT,"₹ 2.63 Cr
i",Super Builtup Area: 1671 sq.ft
R119707,"3 BHK Apartment
2.55 Cr - 2.64 Cr",1529 SQ.FT,"₹ 2.64 Cr
i",Super Builtup Area: 1529 sq.ft
r12272,3 BHK Villa,1633 SQ.FT,Price on Request,Builtup Area: 1633 sq.ft
r12272,3 BHK Villa,2152 SQ.FT,₹ 7.58 Cr,Builtup Area: 2152 sq.ft
r12272,3 BHK Villa,2583 SQ.FT,₹ 9.1 Cr,Builtup Area: 2583 sq.ft
r12272,3 BHK Villa,3229 SQ.FT,₹ 11.38 Cr,Builtup Area: 3229 sq.ft
r12272,3 BHK Villa,3999 SQ.FT,₹ 14.09 Cr,Builtup Area: 3999 sq.ft
r12272,4 BHK Villa,2152 SQ.FT,₹ 7.58 Cr,Builtup Area: 2152 sq.ft
r12272,4 BHK Villa,2583 SQ.FT,₹ 9.1 Cr,Builtup Area: 2583 sq.ft
r12272,4 BHK Villa,3229 SQ.FT,₹ 11.38 Cr,Builtup Area: 3229 sq.ft
r12272,4 BHK Villa,4521 SQ.FT,Price on Request,Builtup Area: 4521 sq.ft
r1229,"Plot
6 Cr - 40.15 Cr",1345 SQ.FT,₹ 6.0 Cr,Plot Area: 1345 sq.ft
r1229,"Plot
6 Cr - 40.15 Cr",4844 SQ.FT,₹ 21.61 Cr,Plot Area: 4844 sq.ft
r1229,"Plot
6 Cr - 40.15 Cr",6297 SQ.FT,₹ 28.09 Cr,Plot Area: 6297 sq.ft
r1229,"Plot
6 Cr - 40.15 Cr",6458 SQ.FT,₹ 28.81 Cr,Plot Area: 6458 sq.ft
r1229,"Plot
6 Cr - 40.15 Cr",8988 SQ.FT,₹ 40.09 Cr,Plot Area: 8988 sq.ft
r1229,"Plot
6 Cr - 40.15 Cr",9000 SQ.FT,₹ 40.15 Cr,Plot Area: 9000 sq.ft
r1229,3 BHK Villa,5844 SQ.FT,Price on Request,Plot Area: 5844 sq.ft
R123001,"2 BHK Apartment
1.87 Cr",1823 SQ.FT,₹ 1.87 Cr,Super Builtup Area: 1823 sq.ft
