XID,Project Name,City,Housing.com Link
R101061,Safal Glade One,Ahmedabad West,https://housing.com/buy-safal-glade-one-resale-flats-in-pipan-ahmedabad-srpid-AG112vAH0
R10166,Arihant Anmol,Thane Outskirts,https://housing.com/in/buy/projects/page/233137-arihant-aloki-phase-v-by-arihant-superstructures-limited-in-karjat
R106169,Eternia by Oberoi Realty,Central Mumbai,https://housing.com/in/buy/projects/page/53007-oberoi-eternia-towers-a-to-d-by-oberoi-realty-limited-in-mulund-west
R10986,Hiranandani Verona CHS,Central Mumbai,https://housing.com/in/buy/projects/page/33982-hiranandani-verona-chs-by-hiranandani-communities-in-powai
R11008,Hiranandani Glen Dale Apartment,Central Mumbai,https://housing.com/in/buy/projects/page/53987-hiranandani-glen-dale-by-hiranandani-communities-in-powai
R1128,Kalpataru Crest,Central Mumbai,https://housing.com/in/buy/projects/page/52566-kalpataru-crest-wing-b-avalon-by-kalpataru-group-in-bhandup-west
R11354,Palm Avenue,Kolkata South,https://housing.com/buy-palm-avenue-by-reputed-builder-in-ballygunge-kolkata-pid-236513
R11366,L and T Crescent Bay,Mumbai South,https://housing.com/in/buy/projects/page/52051-l-and-t-crescent-bay-t4-by-lt-realty-in-parel
r1148,Tata Primanti,Gurgaon,https://www.tatahousing.com/residential-property-in-gurgaon/tata-primanti
R11656,Unitech Gardens,Kolkata East,https://housing.com/buy-unitech-gardens-by-unitech-limited-in-new-town-kolkata-pid-97232
R1170,Lodha Fiorenza,Western Mumbai,https://housing.com/in/buy/projects/page/52044-lodha-fiorenza-milano-and-roma-by-lodha-group-in-goregaon-east
r1191,M3M Merlin,Gurgaon,https://housing.com/in/buy/projects/page/10392-m3m-merlin-by-m3m-india-pvt-ltd-in-sector-67
R119707,Bengal Peerless Avidipta Phase 2,Kolkata South,https://housing.com/buy-bengal-peerless-avidipta-phase-ii-by-bengal-peerless-housing-in-santoshpur-kolkata-pid-52652
r12072,La Lagune,Gurgaon,https://housing.com/in/buy/abw-la-lagune-for-resale-in-sector-54-gurgaon-AG3yfAH0
R12166,Spaze Privy,Gurgaon,https://housing.com/in/buy/spaze-privy-for-resale-in-sector-72-gurgaon-AGs6tAH0
R12202,Tharwani Rosewood Heights,Navi Mumbai,https://housing.com/rent-tharwani-rosewood-heights-for-rent-in-kharghar-navi-mumbai-rpid-AGjyqAH0
R12206,Uppal Southend,Gurgaon,https://housing.com/in/buy/gurgaon/sector_49_gurgaon
r1222,Royal Velstand Phase 2,Pune East,https://housing.com/in/buy/royal-velstand-phase-2-formerly-kul-scapes-for-resale-in-kharadi-pune-AG7tAH0
R12222,Vatika City,Gurgaon,https://housing.com/in/buy/vatika-city-homes-for-resale-in-sector-83-gurgaon-AGpxvAH0
r12272,Unitech Deerwood Chase,Gurgaon,https://housing.com/in/buy/projects/page/75674-unitech-deerwood-chase-by-unitech-limited-in-sector-50
r1229,DLF Alameda,Gurgaon,https://housing.com/in/buy/projects/page/87367-dlf-alameda-by-dlf-in-sector-73
R122955,Godrej The Trees,Central Mumbai,https://housing.com/in/buy/projects/page/252909-godrej-the-trees-origins-wing-p-to-wing-t-by-godrej-properties-ltd-in-vikhroli-east/brochure
R123001,Godrej Icon,Gurgaon,https://housing.com/in/buy/projects/page/31657-godrej-icon-by-godrej-properties-ltd-in-sector-88a
R12318,Agarwal Aditya Mega City,Ghaziabad,https://housing.com/in/buy/agarwal-aditya-mega-city-for-resale-in-vaibhav-khand-ghaziabad-AG1mhaAH0
R12332,Krishna Apra Gardens,Ghaziabad,https://housing.com/in/buy/projects/page/75791-mapsko-krishna-apra-gardens-by-mapsko-builders-in-indirapuram
R1234,Savvy Swaraaj Sports Living,Ahmedabad North,https://housing.com/buy-savvy-swaraaj-sports-living-by-savvy-infrastructure-in-gota-ahmedabad-pid-15879
