XID,Configuration,List Item,Price,Area
r403366,"2 BHK Apartment
45.24 L - 70.35 L",738 SQ.FT,₹ 62.06 L,Carpet Area: 738 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",761 SQ.FT,₹ 63.98 L,Carpet Area: 761 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",780 SQ.FT,₹ 45.24 L,Carpet Area: 780 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",816 SQ.FT,₹ 68.55 L,Carpet Area: 816 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",823 SQ.FT,₹ 47.73 L,Carpet Area: 823 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",837 SQ.FT,₹ 70.35 L,Carpet Area: 837 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",853 SQ.FT,₹ 49.47 L,Carpet Area: 853 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",1031 SQ.FT,₹ 59.82 L,Carpet Area: 1031 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",935 SQ.FT,₹ 54.23 L,Carpet Area: 935 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",943 SQ.FT,₹ 79.29 L,Carpet Area: 943 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",970 SQ.FT,₹ 56.26 L,Carpet Area: 970 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",982 SQ.FT,₹ 56.96 L,Carpet Area: 982 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",983 SQ.FT,₹ 57.01 L,Carpet Area: 983 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",990 SQ.FT,₹ 57.42 L,Carpet Area: 990 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",998 SQ.FT,₹ 83.87 L,Carpet Area: 998 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",1030 SQ.FT,₹ 86.59 L,Carpet Area: 998 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",1047 SQ.FT,₹ 60.73 L,Carpet Area: 1047 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",1049 SQ.FT,₹ 60.84 L,Carpet Area: 1049 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",738 SQ.FT,₹ 62.06 L,N/A
r403366,"2 BHK Apartment
45.24 L - 70.35 L",761 SQ.FT,₹ 63.98 L,N/A
r403366,"2 BHK Apartment
45.24 L - 70.35 L",780 SQ.FT,₹ 45.24 L,N/A
r403366,"2 BHK Apartment
45.24 L - 70.35 L",816 SQ.FT,₹ 68.55 L,N/A
r403366,"2 BHK Apartment
45.24 L - 70.35 L",738 SQ.FT,₹ 62.06 L,Carpet Area: 738 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",761 SQ.FT,₹ 63.98 L,Carpet Area: 761 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",780 SQ.FT,₹ 45.24 L,Carpet Area: 780 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",816 SQ.FT,₹ 68.55 L,Carpet Area: 816 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",823 SQ.FT,₹ 47.73 L,Carpet Area: 823 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",837 SQ.FT,₹ 70.35 L,Carpet Area: 837 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",853 SQ.FT,₹ 49.47 L,Carpet Area: 853 sq.ft
r403366,"2 BHK Apartment
45.24 L - 70.35 L",1031 SQ.FT,₹ 59.82 L,Carpet Area: 1031 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",935 SQ.FT,₹ 54.23 L,Carpet Area: 935 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",943 SQ.FT,₹ 79.29 L,Carpet Area: 943 sq.ft
r403366,"3 BHK Apartment
54.23 L - 90.6 L",970 SQ.FT,₹ 56.26 L,Carpet Area: 970 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",913 SQ.FT,₹ 2.72 Cr,Carpet Area: 913 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",933 SQ.FT,₹ 2.78 Cr,Carpet Area: 933 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1048 SQ.FT,₹ 3.13 Cr,Carpet Area: 933 sq.ft
R106169,"3 BHK Apartment
2.72 Cr - 3.59 Cr",1050 SQ.FT,₹ 3.13 Cr,Carpet Area: 933 sq.ft
