XID,Project Name,City,Housiing.com Link
R409908,Cinco Fairland,Coimbatore,https://housing.com/buy-fairland-phase-i-by-cinco-realtors-in-chettipalayam-coimbatore-pid-300179
R398124,Mount Alaya Belmonte,Ahmedabad North,https://housing.com/buy-alaya-belmonte-by-mount-group-in-chharodi-ahmedabad-pid-281779
R429474,RLD Merlion Estate,Chennai West,https://housing.com/in/buy/projects/page/330572-rld-merlion-estate-by-royal-land-developers-pvt-ltd-in-vanagaram
R393335,Sri Balajis Saphire,Chennai West,https://housing.com/in/buy/projects/page/278176-sri-balajis-saphire-by-sri-balaji-associates-in-maduravoyal
R2,Omaxe Twin Towers,Noida,https://housing.com/in/buy/projects/page/182911-omaxe-twin-towers-by-omaxe-ltd-in-sector-50
R294633,Codename Skywards,Thane Outskirts,https://housing.com/in/buy/projects/page/97213-codename-skywards-by-jp-corp-in-ambernath-east
R398606,SB Centrum,Bhilai,Not Found
R383703,River Breeze,Hyderabad,https://housing.com/in/buy/projects/page/269576-pch-river-breeze-by-pch-river-edge-in-narsingi
R394292,Ashwamedh Ratnaprabha,Pune Central,https://housing.com/in/buy/projects/page/279586-ashwamedh-ratnaprabha-by-ashwamedh-spaces-pvt-ltd-in-kothrud
R429438,Rose Hills Estate,Srinagar,https://housing.com/srinagar-colony-main-road-hyderabad-overview-P6k2l951l06k8pdsx
R369336,Om Sree Brilliance,Secunderabad,https://housing.com/in/buy/projects/page/251817-omsree-brilliance-by-om-sree-builders-developers-in-dr-a-s-rao-nagar-colony/floor-plan
R375899,Raama Skyz,Vadodara,https://housing.com/rent-raama-skyz-for-rent-in-vemali-vadodara-rpid-AG5hrpAH0
R392193,Kohinoor Abhimaan Homes Phase 3,Pune North,https://housing.com/in/buy/projects/page/278734-kohinoor-abhimaan-homes-phase-3-by-kohinoor-group-in-mamurdi
R430319,Prosperity Homes,Lucknow,https://housing.com/in/buy/projects/page/300760-p-i-prosperity-homes-by-p-i-group-in-anora-kala
R428449,Sun Siri The Capital,Guntur,https://housing.com/in/buy/projects/page/334514-the-lotus-sunsiri-projects-by-sun-siri-projects-pvt-ltd-in-amaravati
R409549,Protech Pride,Guwahati,https://housing.com/buy-protech-pride-by-protech-group-in-satgaon-guwahati-pid-334543
R333859,Lord Krishna Floors,Faridabad,https://housing.com/buy-lord-krishna-airport-suites-by-lord-krishna-builders-in-nedumbassery-kochi-pid-327734
R354918,Super Homes Abhirama,Hyderabad,https://housing.com/in/buy/projects/page/238224-super-homes-abhirama-by-super-homes-constructions-in-lb-nagar
R430176,Elegance Pristine,Bangalore South,https://housing.com/in/buy/projects/page/338024-elegance-pristine-apartment-by-elegance-homes-in-electronic-city
R390105,Riverscape,Hyderabad,https://housing.com/in/buy/projects/page/283156-urrban-league-riverscape-by-urrban-league-in-bandlaguda-jagir
R401868,Nirvanaa Casa Vrindavan,Kanpur,Not Found
