XID,Unit Type,Unit Size,Area Type,Price,Possession Date
R433762,Residential plot,600 sq.ft,Super Area,33 Lac,Possession by Mar'25
R433762,Residential plot,900 sq.ft,Super Area,45 Lac,Possession by Mar'25
R433762,Residential plot,1800 sq.ft,Super Area,90 Lac,Possession by Mar'25
R433762,Residential plot,2400 sq.ft,Super Area,1.32 Cr,Possession by Mar'25
R403017,Residential plot,600 sq.ft,Super Area,30 Lac,Possession by Apr'24
R403017,Residential plot,1800 sq.ft,Super Area,90 Lac,Possession by Apr'24
R403017,Residential plot,2000 sq.ft,Super Area,1.12 Cr,Possession by Apr'24
R253739,Residential plot,1500 sq.ft,Super Area,25.5 Lac,Possession by Sep'23
R253739,Residential plot,2000 sq.ft,Super Area,34 Lac,Possession by Sep'23
R253739,Residential plot,2500 sq.ft,Super Area,42.5 Lac,Possession by Sep'23
R253739,Residential plot,4000 sq.ft,Super Area,68 Lac,Possession by Sep'23
R338211,Residential plot,1000 sq.ft,Super Area,20 Lac,Possession by Sep'24
R338211,Residential plot,1125 sq.ft,Super Area,24.8 Lac,Possession by Sep'24
R338211,Residential plot,1250 sq.ft,Super Area,25 Lac,Possession by Sep'24
R338211,Residential plot,1500 sq.ft,Super Area,30 Lac,Possession by Sep'24
R338211,Residential plot,1800 sq.ft,Super Area,36 Lac,Possession by Sep'24
