XID,Project Name,City,Magicbricks.com Link
R402149,Town Empire City,Coimbatore,https://www.magicbricks.com/blog/smart-cities-in-tamil-nadu/132700.html
R330323,Samriddhi Sampat Greens,Indore,https://www.magicbricks.com/property-for-sale-rent-in-Indore/residential-real-estate-Indore
R313143,CIDCO Mass Housing Scheme Taloja,Navi Mumbai,https://www.magicbricks.com/blog/cidco-lottery-maharashtra/127117.html
R290373,Sahara City Homes,Lucknow,https://www.magicbricks.com/project-sahara-city-homes-for-sale-in-lucknow-pppfs
R237280,Sector 14 RWA,Gurgaon,https://www.magicbricks.com/sector-14-rwa-sector-14-gurgaon-pdpid-4d4235303635373934
R177855,RWA Greater Kailash 3,South Delhi,https://www.magicbricks.com/flats-in-greater-kailash-new-delhi-under-3-crore-pppfs
R177339,RWA NPL Colony,Central Delhi,https://www.magicbricks.com/project-nbcc-central-courtyard-garden-for-rent-in-new-delhi-pppfr
R135719,H Block Park Pocket,West Delhi,https://www.magicbricks.com/independent-house-for-rent-in-vikaspuri-block-h-new-delhi-pppfr
R112315,Swami Vivekanand Enclave,Ghaziabad,https://www.magicbricks.com/swami-vivekanand-enclave-shalimar-garden-ghaziabad-pdpid-4d4235303833363038
R78869,Nahar Lilium Lantana,Western Mumbai,https://www.magicbricks.com/lilium-lantana-andheri-east-mumbai-pdpid-4d4235303433333833
R64228,Orchid Tower,Western Mumbai,https://www.magicbricks.com/project-orchid-towers-for-sale-in-mumbai-pppfs
R39422,Hiranandani Lightbridge,Thane,https://www.magicbricks.com/project-hiranandani-lightbridge-for-rent-in-thane-pppfr
R32394,Gami Koregaon,Pune East,https://www.magicbricks.com/
R28932,Mahagun Maple,Noida,https://www.magicbricks.com/project-mahagun-maple-3bhk-for-sale-in-noida-pppfs
R28022,CGHS SOM,Dwarka Delhi,https://www.magicbricks.com/som-apartments-dwarka-sector-6-new-delhi-pdpid-4d4235303130353937
R12470,Defence Officers Apartments,Dwarka Delhi,https://www.magicbricks.com/defence-officers-apartment-dwarka-sector-4-new-delhi-pdpid-4d4235303131333730
R12310,Ashoka Apartments,Dwarka Delhi,https://www.magicbricks.com/ashoka-apartments-dwarka-sector-12-new-delhi-pdpid-4d4235303130363237
R438192,SS Bhavya Enclave,Indore,https://www.magicbricks.com/pg-in-indore-pppfr
R436913,Arvind Uplands 3,Ahmedabad South,https://www.magicbricks.com/arvind-uplands-one-nasmed-gandhinagar-pdpid-4d4235313130353431
R435863,Sunsiri The Lotus,Guntur,Not Found
R434479,Runjhun Sudha Enclave,Hapur,Not Found
R433843,RMC Farms,Coimbatore,https://www.magicbricks.com/cm-to-feet-pppfa
R433771,Visvas Vaaruni Enclave,Madurai,Not Found
R433762,Opus 96,Chennai South,https://www.magicbricks.com/urbanrise-opus-96-tambaram-chennai-pdpid-4d4235343235303131
R429636,DAC Avenue One,Chennai South,https://www.magicbricks.com/dac-agaram-medavakkam-chennai-pdpid-4d4235333235393639
R429443,RCS KRK Elite 99,Aurangabad,https://www.magicbricks.com/residential-plots-land-for-sale-in-aurangabad-pppfs
R429438,Rose Hills Estate,Srinagar,https://www.magicbricks.com/single-room-for-rent-in-krishna-rajendra-road-bangalore-pppfr
R429162,Sri Savithru Township,Guntur,Not Found
R428295,Ask Chennai Highway City,Chennai South,https://www.magicbricks.com/
R428048,Lodhi Kasturi Habitat Phase 2,Bhopal,https://www.magicbricks.com/project-plots-emerald-park-city-for-sale-in-bhopal-pppfs
R424982,Shadow Citrine City,Pune East,https://www.magicbricks.com/project-plots-shree-sai-citrine-city-for-sale-in-pune-pppfs
R422585,Ujwal Royal Residency,Hubli,https://www.magicbricks.com/bhuvan-pride-khandagiri-bhubaneswar-pdpid-4d4235303939373433
R420440,Nandan Green Meadows,Pune West,https://www.magicbricks.com/villa-for-sale-in-pune-western-outskirts-pppfs
R419372,Prarambh Smart City,Ahmedabad South,https://www.magicbricks.com/project-prarambh-smart-city-1bhk-for-sale-in-ahmedabad-pppfs
R413623,Swarga Sirulaseema II,Hyderabad,https://www.magicbricks.com/project-plots-swargaseema-sirula-seema-i-for-sale-in-hyderabad-pppfs
R413330,Nutech Inscape,Chennai West,Not Found
R412313,HPR Avani,Hyderabad,https://www.magicbricks.com/project-plots-srika-hpr-avani-for-sale-in-hyderabad-pppfs
R403762,Parshavanath City,Kota,Not Found
