XID,Project Name,Unit Type,Area,Price
R10166,Arihant Anmol,1 BHK 309 Sq. Ft. Apartment,309 Sq. Ft.,Rs 18.62 L
R10166,Arihant Anmol,1 BHK 342 Sq. Ft. Apartment,342 Sq. Ft.,Rs 20.61 L
R10166,Arihant Anmol,2 BHK 438 Sq. Ft. Apartment,438 Sq. Ft.,Rs 26.40 L
R10166,Arihant Anmol,2 BHK 524 Sq. Ft. Apartment,524 Sq. Ft.,Rs 31.59 L
R106169,Oberoi Realty Enigma And Eternia,3 BHK 1415 Sq. Ft. Apartment,1415 Sq. Ft.,Rs 4.33 Cr
R106169,Oberoi Realty Enigma And Eternia,3 BHK 913 Sq. Ft. Apartment,913 Sq. Ft.,Rs 2.79 Cr
R106169,Oberoi Realty Enigma And Eternia,4 BHK 1886 Sq. Ft. Apartment,1886 Sq. Ft.,Rs 5.77 Cr
R106169,Oberoi Realty Enigma And Eternia,4 BHK 2130 Sq. Ft. Apartment,2130 Sq. Ft.,Rs 6.51 Cr
R10986,Hiranandani Verona Co op Housing Society Ltd,3 BHK 1285 Sq. Ft. Apartment,1285 Sq. Ft.,Rs 4.80 Cr
R10986,Hiranandani Verona Co op Housing Society Ltd,3 BHK 1695 Sq. Ft. Apartment,1695 Sq. Ft.,Rs 6.33 Cr
R1128,Kalpataru Crest,1 BHK 482 Sq. Ft. Apartment,482 Sq. Ft.,Rs 1.07 Cr
R1128,Kalpataru Crest,2 BHK 768 Sq. Ft. Apartment,768 Sq. Ft.,Rs 1.71 Cr
R1128,Kalpataru Crest,2 BHK 754 Sq. Ft. Apartment,754 Sq. Ft.,Rs 1.67 Cr
R1128,Kalpataru Crest,2 BHK 813 Sq. Ft. Apartment,813 Sq. Ft.,Rs 1.81 Cr
R1128,Kalpataru Crest,3 BHK 956 Sq. Ft. Apartment,956 Sq. Ft.,Rs 2.12 Cr
R1128,Kalpataru Crest,3 BHK 989 Sq. Ft. Apartment,989 Sq. Ft.,Rs 2.20 Cr
R1128,Kalpataru Crest,3 BHK 1038 Sq. Ft. Apartment,1038 Sq. Ft.,Rs 2.31 Cr
R1128,Kalpataru Crest,427 Sq. Ft. Studio,427 Sq. Ft.,Rs 95.09 L
R1128,Kalpataru Crest,477 Sq. Ft. Studio,477 Sq. Ft.,Rs 1.06 Cr
R11366,LnT Realty Crescent Bay,2 BHK 672 Sq. Ft. Apartment,672 Sq. Ft.,Rs 2.86 Cr
R11366,LnT Realty Crescent Bay,2 BHK 722 Sq. Ft. Apartment,722 Sq. Ft.,Rs 3.07 Cr
R11366,LnT Realty Crescent Bay,2 BHK 771 Sq. Ft. Apartment,771 Sq. Ft.,Rs 3.28 Cr
R11366,LnT Realty Crescent Bay,2 BHK 788 Sq. Ft. Apartment,788 Sq. Ft.,Rs 3.35 Cr
R11366,LnT Realty Crescent Bay,3 BHK 824 Sq. Ft. Apartment,824 Sq. Ft.,Rs 3.51 Cr
R11366,LnT Realty Crescent Bay,3 BHK 1041 Sq. Ft. Apartment,1041 Sq. Ft.,Rs 4.43 Cr
R11366,LnT Realty Crescent Bay,3 BHK 1422 Sq. Ft. Apartment,1422 Sq. Ft.,Rs 6.06 Cr
R11366,LnT Realty Crescent Bay,3 BHK 1205 Sq. Ft. Apartment,1205 Sq. Ft.,Rs 5.13 Cr
R11366,LnT Realty Crescent Bay,4 BHK 2107 Sq. Ft. Apartment,2107 Sq. Ft.,Rs 8.98 Cr
R11366,LnT Realty Crescent Bay,4 BHK 1731 Sq. Ft. Apartment,1731 Sq. Ft.,Rs 7.37 Cr
r1148,Tata Primanti-Tower Residences,3 BHK 2560 Sq. Ft. Apartment,2560 Sq. Ft.,Rs 2.94 Cr
r1148,Tata Primanti-Tower Residences,3 BHK 2550 Sq. Ft. Apartment,2550 Sq. Ft.,Rs 2.93 Cr
r1148,Tata Primanti-Tower Residences,4 BHK 3320 Sq. Ft. Apartment,3320 Sq. Ft.,Rs 3.82 Cr
r1148,Tata Primanti-Tower Residences,4 BHK 3355 Sq. Ft. Apartment,3355 Sq. Ft.,Rs 3.86 Cr
R1170,Lodha Fiorenza,2 BHK 744 Sq. Ft. Apartment,744 Sq. Ft.,Rs 2.36 Cr
R1170,Lodha Fiorenza,2 BHK 803 Sq. Ft. Apartment,803 Sq. Ft.,Rs 2.55 Cr
R1170,Lodha Fiorenza,3 BHK 938 Sq. Ft. Apartment,938 Sq. Ft.,Rs 2.98 Cr
R1170,Lodha Fiorenza,3 BHK 1025 Sq. Ft. Apartment,1025 Sq. Ft.,Rs 3.26 Cr
R1170,Lodha Fiorenza,4 BHK 1623 Sq. Ft. Apartment,1623 Sq. Ft.,Rs 5.16 Cr
R1170,Lodha Fiorenza,4 BHK 1790 Sq. Ft. Apartment,1790 Sq. Ft.,Rs 5.69 Cr
