XID,Project Name,City,Squareyards.com Link
R101061,Safal Glade One,Ahmedabad West,https://www.squareyards.com/sanand-in-ahmedabad-overview-1201
R10166,Arihant Anmol,Thane Outskirts,https://www.squareyards.com/thane-residential-property/arihant-anmol/105671/project
R106169,Eternia by Oberoi Realty,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/oberoi-realty-enigma-and-eternia/2813/project
R10986,Hiranandani Verona CHS,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-verona-co-op-housing-society-ltd/27165/project
R11008,Hiranandani Glen Dale Apartment,Central Mumbai,https://www.squareyards.com/sale/resale-properties-in-hiranandani-glen-dale-mumbai
R1128,Kalpataru Crest,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/kalpataru-crest/2915/project
R11354,Palm Avenue,Kolkata South,https://www.squareyards.com/rent/property-for-rent-near-army-public-school-ballygunge-in-kolkata
R11366,L and T Crescent Bay,Mumbai South,https://www.squareyards.com/mumbai-residential-property/lnt-realty-crescent-bay/2785/project
r1148,Tata Primanti,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/tata-primanti-tower-residences/223/project
R11656,Unitech Gardens,Kolkata East,https://www.squareyards.com/projects-by-unitech-in-kolkata
R1170,Lodha Fiorenza,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/lodha-fiorenza/2824/project
r1191,M3M Merlin,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/m3m-merlin/61/project
R119707,Bengal Peerless Avidipta Phase 2,Kolkata South,https://www.squareyards.com/rent/property-for-rent-in-bengal-peerless-avidipta-kolkata
r12072,La Lagune,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/abw-la-lagune/341/project
R12166,Spaze Privy,Gurgaon,https://www.squareyards.com/sale/3-bhk-flat-in-spaze-privy-gurgaon
R12202,Tharwani Rosewood Heights,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-tharwani-rosewood-heights-navi-mumbai
R12206,Uppal Southend,Gurgaon,https://www.squareyards.com/sale/resale-properties-in-uppal-southend-gurgaon
r1222,Royal Velstand Phase 2,Pune East,https://www.squareyards.com/pune-residential-property/royal-velstand-phase-2/101400/project
R12222,Vatika City,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/vatika-city/95/project
r12272,Unitech Deerwood Chase,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/unitech-deerwood-chase/20975/project
r1229,DLF Alameda,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/dlf-alameda/21194/project
R122955,Godrej The Trees,Central Mumbai,https://www.squareyards.com/sale/1-bhk-flat-in-godrej-the-trees-mumbai
R123001,Godrej Icon,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/godrej-icon/4034/project
R12318,Agarwal Aditya Mega City,Ghaziabad,https://www.squareyards.com/ghaziabad-residential-property/aditya-mega-city/1272/project
R12332,Krishna Apra Gardens,Ghaziabad,https://www.squareyards.com/sale/resale-properties-in-mapsko-krishna-apra-gardens-ghaziabad
R1234,Savvy Swaraaj Sports Living,Ahmedabad North,https://doc.squareyards.com/ProjectKnowledge/Brochure_f980006cb004442398b94ad2e13e37ba.pdf
R12352,Chitrakoot Dham Apartments,Delhi South West,https://www.squareyards.com/sale/property-for-sale-in-southern-avenue-kolkata
R12364,CGHS Majestic Apartments,Delhi South West,https://www.squareyards.com/projects-in-nahur-west-mumbai
R12368,AWHO Vivek Vihar,Noida,https://www.squareyards.com/rent/property-for-rent-in-awho-township-gurjinder-vihar-greater-noida
R12382,DDA Dwarkadheesh Apartments,Delhi South West,https://www.squareyards.com/sale/3-bhk-apartments-flats-in-sector-12-dwarka-delhi-between-1-crore-to-2-crore-for-sale
R12398,Ratnakar Apartments,Delhi South West,https://www.squareyards.com/sale/4-bhk-flat-in-sarv-priya-mahajan-cghs-delhi
R12412,CGHS IDC Apartments,Delhi South West,Not Found
R12418,Neptune Living Point,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/neptune-living-point/28153/project
R12430,Swami Dayanand Appartments,Delhi South West,https://www.squareyards.com/rental-2-bhk-900-sq-ft-apartment-in-ip-extension/7888862
R12440,Vishrantika Apartments,Delhi South West,https://www.squareyards.com/sale/4-bhk-flat-in-sarv-priya-mahajan-cghs-delhi
R12446,Shri Keshav Kunj Apartments,Delhi South West,https://www.squareyards.com/rent/2-bhk-for-rent-in-dwarka-delhi
R12450,DDA Rosewood Apartments,Delhi South West,https://www.squareyards.com/sale/property-for-sale-in-shanti-kunj-delhi
R12466,Parijat Apartment,Delhi South West,https://www.squareyards.com/sale/properties-for-sale-in-andheri-west-mumbai-under-1-crore
R12478,CGHS Chanakya Apartments,Delhi South West,https://www.squareyards.com/rent/3-bhk-for-rent-in-uttam-nagar-delhi
R124803,Antriksh Management Apartments,Delhi South West,https://www.squareyards.com/greater-noida-residential-property/antriksh-golf-link/875/project
R12486,Vivekanand Apartments,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
R12488,New Jyoti Apartments,Delhi South West,https://www.squareyards.com/sale/resale-properties-in-jeewan-jyoti-apartment-delhi
R12496,Sant Sunder Dass CGHS,Delhi South West,Not Found
R12500,Lords CGHS,Delhi South West,https://www.squareyards.com/projects-in-south-delhi-delhi
R12504,CGHS Hare Krishna Valley,Delhi South West,https://www.squareyards.com/sector-23-dwarka-in-delhi-overview-65977
R12508,CGHS Ircon Employees,Delhi South West,Not Found
R12514,CGHS Joy Apartments,Delhi South West,https://www.squareyards.com/projects-by-joy-developers-in-mumbai
R12518,Kalka Apartments,Delhi South West,Not Found
R12530,CGHS Palm Green Apartment,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R12536,Azad Hind Apartments,Delhi South West,https://www.squareyards.com/rent/builder-floors-for-rent-in-delhi
R12538,The Gold Croft CGHS,Delhi South West,https://www.squareyards.com/rent/3-bhk-flat-in-golf-link-residency-delhi
R12546,DDA Sanskriti Apartments,Delhi South West,https://www.squareyards.com/rent/3-bhk-flat-in-garur-golf-island-delhi
R12548,Eden Tower Apartment,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-near-district-park-sector-19-dwarka-in-delhi
R12554,CGHS Airlines Apartments,Delhi South West,https://www.squareyards.com/sale/3-bhk-for-sale-in-sector-23-dwarka-delhi
R12564,DDA Shaheed Bhagat Singh Apartment,Delhi South West,https://www.squareyards.com/sale/apartments-for-sale-in-sector-14-dwarka-delhi
R12566,CGHS Gokul Apartment,Delhi South West,https://www.squareyards.com/faridabad-residential-property/the-murlidhar-cghs/170755/project
R12568,Youngsters CGHS,Delhi South West,https://www.squareyards.com/sale/4-bhk-flat-in-sarv-priya-mahajan-cghs-delhi
R12600,Hilansh Apartment,Delhi South West,Not Found
R12608,Celestial Heights,Delhi South West,https://www.squareyards.com/projects-by-shreenathji-group-in-mumbai
R12632,Sri Agrasen Apartments,Delhi South West,https://www.squareyards.com/sector-7-dwarka-in-delhi-overview-65987
R12636,The Excellence Apartments,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R12640,CGHS Beverly Park,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R12652,Fakhruddin Memorial CGHS,Delhi South West,Not Found
R12658,Manglik Apartment,Delhi South West,https://www.squareyards.com/real-estate-agents-in-janakpuri-delhi
R12672,CGHS Daffodils Apartments,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-13-dwarka-delhi
R12676,Antriksh Rashi Apartments,Delhi South West,Not Found
R12690,New Ashiana Apartment,Delhi South West,https://www.squareyards.com/ashiana-projects/17/builder
R12694,CGHS Princess Park Apartments,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-near-district-park-sector-19-dwarka-in-delhi
R12724,K.M. Apartments,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-near-district-park-sector-19-dwarka-in-delhi
R12726,Jai Maa Kalyani Apartment,Delhi South West,https://www.squareyards.com/faridabad-residential-property/the-murlidhar-cghs/170755/project
R12742,Mayank Apartments,Delhi South West,https://www.squareyards.com/sale/apartments-for-sale-in-sector-6-dwarka-delhi
R127477,Joy Legend,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/joy-legend/26893/project
R12754,Kukreja Complex,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/kukreja-infopark/243575/project/photos
R12768,CGHS Shubham Apartments,Delhi South West,https://www.squareyards.com/sale/3-bhk-for-sale-in-sector-22-dwarka-delhi
R12770,Param Puneet Apartment,Delhi South West,https://www.squareyards.com/sale/apartments-for-sale-in-uttam-nagar-delhi
R12774,Udyog Vihar CGHS,Delhi South West,https://www.squareyards.com/sale/3-bhk-for-sale-in-sector-22-dwarka-delhi
R12776,CGHS Green Valley Apartments,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R12780,Mahalaxmi Apartment,Delhi South West,https://www.squareyards.com/mumbai-residential-property/lodha-mahalaxmi-bellevue/165090/project
R12782,Shree Awas,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R12790,Shivani Apartments,Delhi South West,https://www.squareyards.com/chennai-residential-property/ramaniyam-shivani/8478/project
R12802,CGHS New Rashtriya,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-near-district-park-sector-19-dwarka-in-delhi
R12812,CGHS Kailash Apartment,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-near-district-park-sector-19-dwarka-in-delhi
R12826,DDA Pink Apartments,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
R12834,Guru Apartments,Delhi South West,https://www.squareyards.com/sale/property-for-sale-in-guru-angad-nagar-delhi
R130133,Shafalya Shlok Parisar,Ahmedabad North,Not Found
R13344,Lodha The Park,Mumbai South,Not Found
R133579,Tower of Adyar by Nahar,Chennai South,https://www.squareyards.com/resale-3-bhk-pooja-room-1763-sq-ft-apartment-in-rakesh-nahar-towers/7770396
R13494,Dynamix Parkwoods,Thane,https://www.squareyards.com/sale/resale-properties-in-db-realty-parkwoods-thane
R135659,North East County by Bhashyam,Hyderabad,https://www.squareyards.com/projects-by-bhashyam-developers-in-hyderabad
r1363,Kolte Patil Life Republic,Pune West,https://www.squareyards.com/pune-residential-property/kolte-patil-life-republic/2187/project
R136463,DDA Flat Janakpuri,West Delhi,https://www.squareyards.com/sale/villas-for-sale-in-west-delhi-delhi
R136475,DDA D3 and D4 Vasant Kunj,South Delhi,https://www.squareyards.com/sale/4-bhk-for-sale-in-vasant-kunj-delhi
R136591,Hauz Khas RWA,South Delhi,https://www.squareyards.com/resale-4-bhk-servant-room-500-sq-yd-builder-floor-in-hauz-khas/6908256
R1366,Sunteck City Avenue 1,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/sunteck-city-avenue-1/3123/project
R137039,RWA Green Park,South Delhi,https://www.squareyards.com/sale/3-bhk-for-sale-in-green-park-delhi
R137101,Nehru Enclave East RWA,South Delhi,https://www.squareyards.com/sale/3-bhk-for-sale-near-apna-park-kalkaji-kalkaji-in-delhi
R137103,Shree Badrinath Apartments,Delhi South West,https://www.squareyards.com/resale-4-bhk-servant-room-2344-sq-ft-apartment-in-park-grandeur-juhu/7000204
R137347,RWA Saket Block D,South Delhi,https://www.squareyards.com/rent/property-for-rent-near-pvr-saket-complex-saket-in-delhi
R137365,Om Satyam Apartment,Delhi South West,https://www.squareyards.com/sale/3-bhk-for-sale-in-sector-8-dwarka-delhi
r137441,Renovated Apartments Saket,South Delhi,https://www.squareyards.com/sale/apartments-for-sale-in-south-delhi-delhi
R137587,Sri Durga Apartment,Delhi South West,https://www.squareyards.com/sale/3-bhk-apartments-flats-in-sector-12-dwarka-delhi-between-1-crore-to-2-crore-for-sale
R137599,Belur Apartments,Delhi South West,https://www.squareyards.com/sale/5-bhk-for-sale-near-district-park-sector-19-dwarka-in-delhi
R137743,DDA SFS Flats,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
R137813,RWA Defence Colony Block A,South Delhi,https://www.squareyards.com/sale/office-spaces-for-sale-in-defence-colony-delhi
R137819,Shabad CGHS,Delhi South West,Not Found
R137827,DDA SFS Flats Dwarka,Delhi South West,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
R137841,Shatabdi Enclave,Noida,https://www.squareyards.com/sale/resale-properties-in-cghs-shatabdi-enclave-noida
R144579,RDP Shanti Luxuria,Navi Mumbai,https://www.squareyards.com/projects-in-shilphata-thane
r146995,Magic Villa,Ghaziabad,https://doc.squareyards.com/ProjectKnowledge/112919-gaursons-1st-a-park-view-4910.pdf
R154983,Shapoorji Sarova,Western Mumbai,https://www.squareyards.com/ready-to-move-by-shapoorji-pallonji-in-mumbai
R157,Emaar Mgf Commonwealth Games Village 2010,East Delhi,Not Found
R157563,Vaichal Vastu KalpaVruksha,Pune West,https://www.squareyards.com/pune-residential-property/the-vaichal-kalpavruksha/22707/project
R160387,Mahindra World City,Chennai South,https://www.squareyards.com/chennai-residential-property/mahindra-world-city/84204/project
R170885,DDA Flats Munirka,South Delhi,https://www.squareyards.com/resale-4-bhk-1685-sq-ft-apartment-in-nisha-homes/7904320
R171013,Hargobind Enclave,South Delhi,https://www.squareyards.com/sale/property-for-sale-in-hargobind-enclave-delhi
R17196,Lake Florence,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/lake-florence/28239/project
r17492,Panchshil Towers,Pune East,https://www.squareyards.com/pune-residential-property/panchshil-towers/7219/project
R177021,DDA Santushti Apartments,South Delhi,https://www.squareyards.com/rent/property-for-rent-in-vasant-kunj-delhi
R177287,Lodha Amara,Thane,https://www.squareyards.com/thane-residential-property/lodha-amara/8508/project
R177361,N Block RWA Greater Kailash,South Delhi,https://www.squareyards.com/sale/property-for-sale-in-greater-kailash-i-delhi
R177379,Manokamna Apartment,Delhi South West,https://www.squareyards.com/rental-3-bhk-servant-room-2000-sq-ft-builder-floor-in-defence-colony/8476744
R177459,Hamdam Apartment,Delhi South West,https://www.squareyards.com/sale/apartments-for-sale-in-sector-18-dwarka-delhi
