XID,Project Name,City,Squareyards.com Link
R409908,Cinco Fairland,Coimbatore,https://www.squareyards.com/sale/property-for-sale-in-fairlands-salem
R398124,Mount Alaya Belmonte,Ahmedabad North,Not Found
R429474,RLD Merlion Estate,Chennai West,https://www.squareyards.com/hyderabad-residential-property/merlion-orchids/323731/project
R393335,Sri Balajis Saphire,Chennai West,https://www.squareyards.com/projects-by-sri-balaji-builders-in-bangalore
R2,Omaxe Twin Towers,Noida,https://www.squareyards.com/rent/property-for-rent-in-omaxe-twin-towers-noida
R294633,Codename Skywards,Thane Outskirts,https://www.squareyards.com/projects-in-mumbra-thane
R398606,SB Centrum,Bhilai,https://www.squareyards.com/bangalore-residential-property/sb-temple-tree/109959/project
R383703,River Breeze,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/the-trilight/211482/project/floor-plans
R394292,Ashwamedh Ratnaprabha,Pune Central,https://www.squareyards.com/projects-by-ashwamedh-spaces-pvt-ltd-in-pune
R429438,Rose Hills Estate,Srinagar,https://www.squareyards.com/thane-residential-property/hiranandavi-rodas-enclave-rosehill/42554/project
R369336,Om Sree Brilliance,Secunderabad,https://www.squareyards.com/hyderabad-residential-property/om-sree-brilliance/104017/project
R375899,Raama Skyz,Vadodara,https://www.squareyards.com/projects-by-ramprastha-in-gurgaon
R392193,Kohinoor Abhimaan Homes Phase 3,Pune North,https://www.squareyards.com/sale/1-bhk-for-sale-in-somatane-pune
R430319,Prosperity Homes,Lucknow,https://www.squareyards.com/lucknow-residential-property/pi-prosperity-homes/307970/project/photos
R428449,Sun Siri The Capital,Guntur,https://www.squareyards.com/vijayawada-residential-property/siva-capital-greens/10090/project
R409549,Protech Pride,Guwahati,https://www.squareyards.com/satgaon-in-guwahati-overview-10758
R333859,Lord Krishna Floors,Faridabad,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-225-sq-yd-builder-floor-in-lord-krishna-properties-developers/6161579
R354918,Super Homes Abhirama,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/abhirama-super-homes/106503/project
R430176,Elegance Pristine,Bangalore South,https://www.squareyards.com/bangalore-residential-property/pristine-elegance/18865/project/photos
R390105,Riverscape,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/urrban-riverscape/161111/project
R401868,Nirvanaa Casa Vrindavan,Kanpur,https://www.squareyards.com/sale/resale-properties-in-mutha-sai-nirvana-thane
R322869,Anantnath And Forever City,Thane Outskirts,https://www.squareyards.com/thane-residential-property/anantnath-and-forever-city/10906/project
R329969,Swargaseema Sirulaseema I,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/swargaseema-suketana/226882/project
R390243,KCB Solace,Kolkata East,Not Found
R421695,Sunniva Legacy,Kolkata South,Not Found
R380138,Sri Sai Home Ujaan Nagar,Kolkata East,Not Found
