XID,Registration Number,Apartment Type,Block Number,Carpet Area (In sq. meters),Area of Exclusive Balcony (In sq. meters),Area of Exclusive Verandah (In sq. meters),Area of Exclusive Terrace (In sq. meters),Area of Exclusive Store (In sq. meters),Any Other Area (In sq. meters),Proposed Number of Apartments,
r403762,RAJ/P/2024/3353,2BHK (109),1,57.31,6.66,0,2.91,0,0,1,
r403762,RAJ/P/2024/3353,"2BHK(209,309,409,509,609,709,809,909,1009,1109,1209)",1,57.31,6.66,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"3BHK (206,306,406,506,606,706,806,906,1006,1106)",1,82.23,12.56,0,0,0,0,10,
r403762,RAJ/P/2024/3353,3BHK (101),1,99.6,17.58,0,11.71,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (102),1,92.3,19.59,0,12.51,0,0,1,
r403762,RAJ/P/2024/3353,"3BHK (103,203,303,403,503,603,703,803,903,1003,1103)",1,101.87,10.09,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"3BHK (104,204,304,404,504,604,704,804,904,1004,1104)",1,77.2,14.38,0,0,0,0,11,
r403762,RAJ/P/2024/3353,3BHK (106),1,82.23,12.56,0,4.41,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (107),1,87.15,12.67,0,4.45,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (108),1,88.47,13.05,0,4.07,0,0,1,
r403762,RAJ/P/2024/3353,"3BHK (110,210,310,410,510,610,710,810,910,1010,1110)",1,89.79,6.44,0,0,0,0,11,
r403762,RAJ/P/2024/3353,3BHK (111),1,78.31,6.22,0,3.07,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (112),1,83.83,7.17,0,3.07,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (114),1,83.53,17.16,0,3.7,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (1203),1,101.87,10.09,0,106,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (1204),1,77.2,14.38,0,93.99,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (1206),1,82.23,12.56,0,97.2,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (1210),1,89.79,6.44,0,98.95,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (1211),1,78.31,6.22,0,86.88,0,0,1,
r403762,RAJ/P/2024/3353,3BHK (1212),1,83.83,7.17,0,94.63,0,0,1,
r403762,RAJ/P/2024/3353,"3BHK (202,302,402,502,602,702,802,902,1002,1102,1202)",1,92.3,19.59,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"3BHK (207,307,407,507,607,707,807,907,1007,1107,1207)",1,87.15,12.67,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"3BHK (208,308,408,508,608,708,808,908,1008,1108,1208)",1,88.47,13.05,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"3BHK (211,311,411,511,611,711,811,911,1011,1111)",1,78.31,6.22,0,0,0,0,10,
r403762,RAJ/P/2024/3353,"3BHK (212,312,412,512,612,712,812,912,1012,1112)",1,83.83,7.17,0,0,0,0,10,
r403762,RAJ/P/2024/3353,"3BHK (214,314,414,514,614,714,814,914,1014,1114,1214)",1,83.53,17.16,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"3BHK(201,301,401,501,601,701,801,901,1001,1101,1201)",1,99.6,17.58,0,0,0,0,11,
r403762,RAJ/P/2024/3353,"4BHK(105,205,305,405,505,605,705,805,905,1005,1105)",1,115.15,20.86,0,0,0,0,11,
r403762,RAJ/P/2024/3353,4BHK(1205),1,115.15,20.86,0,130.74,0,0,1,
r420000,RAJ/P/2025/3468,2BHK + 2T,Block/ Tower- 4,73.19,10.71,0,0,0,0,24,24
r420000,RAJ/P/2025/3468,3BHK + 2T,Block/ Tower- 4,93.96,11.75,0,0,0,0,23,22
r420000,RAJ/P/2025/3468,3BHK + 2T (First Floor),Block/ Tower- 4,93.96,7.38,0,0,0,0,1,0
r438325,RAJ/P/2024/3420,"2 BHK-2 (106,206,306,406,506,606)",1,62.15,6.3,0,0,0,0,6,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,"2BHK-1(105,205,305,405,505,605)",1,61.62,6.3,0,0,0,0,6,
